SED_CODE_2021,F_Kidney_disease_0_14,F_Kidney_disease_15_24,F_Kidney_disease_25_34,F_Kidney_disease_35_44,F_Kidney_disease_45_54,F_Kidney_disease_55_64,F_Kidney_disease_65_74,F_Kidney_disease_75_84,F_Kidney_disease_85_over,F_Kidney_disease_Tot,F_Lung_cond_0_14,F_Lung_cond_15_24,F_Lung_cond_25_34,F_Lung_cond_35_44,F_Lung_cond_45_54,F_Lung_cond_55_64,F_Lung_cond_65_74,F_Lung_cond_75_84,F_Lung_cond_85_over,F_Lung_cond_Tot,F_Mental_health_cond_0_14,F_Mental_health_cond_15_24,F_Mental_health_cond_25_34,F_Mental_health_cond_35_44,F_Mental_health_cond_45_54,F_Mental_health_cond_55_64,F_Mental_health_cond_65_74,F_Mental_health_cond_75_84,F_Mental_health_cond_85_over,F_Mental_health_cond_Tot,F_Stroke_0_14,F_Stroke_15_24,F_Stroke_25_34,F_Stroke_35_44,F_Stroke_45_54,F_Stroke_55_64,F_Stroke_65_74,F_Stroke_75_84,F_Stroke_85_over,F_Stroke_Tot,F_Other_0_14,F_Other_15_24,F_Other_25_34,F_Other_35_44,F_Other_45_54,F_Other_55_64,F_Other_65_74,F_Other_75_84,F_Other_85_over,F_Other_Tot,F_None_0_14,F_None_15_24,F_None_25_34,F_None_35_44,F_None_45_54,F_None_55_64,F_None_65_74,F_None_75_84,F_None_85_over,F_None_Tot,F_NS_0_14,F_NS_15_24,F_NS_25_34,F_NS_35_44,F_NS_45_54,F_NS_55_64,F_NS_65_74,F_NS_75_84,F_NS_85_over,F_NS_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85_over,F_Tot_Tot,P_Arthritis_0_14,P_Arthritis_15_24,P_Arthritis_25_34,P_Arthritis_35_44,P_Arthritis_45_54,P_Arthritis_55_64,P_Arthritis_65_74,P_Arthritis_75_84,P_Arthritis_85_over,P_Arthritis_Tot,P_Asthma_0_14,P_Asthma_15_24,P_Asthma_25_34,P_Asthma_35_44,P_Asthma_45_54,P_Asthma_55_64,P_Asthma_65_74,P_Asthma_75_84,P_Asthma_85_over,P_Asthma_Tot,P_Cancer_0_14,P_Cancer_15_24,P_Cancer_25_34,P_Cancer_35_44,P_Cancer_45_54,P_Cancer_55_64,P_Cancer_65_74,P_Cancer_75_84,P_Cancer_85_over,P_Cancer_Tot,P_Dementia_0_14,P_Dementia_15_24,P_Dementia_25_34,P_Dementia_35_44,P_Dementia_45_54,P_Dementia_55_64,P_Dementia_65_74,P_Dementia_75_84,P_Dementia_85_over,P_Dementia_Tot,P_Diabetes_0_14,P_Diabetes_15_24,P_Diabetes_25_34,P_Diabetes_35_44,P_Diabetes_45_54,P_Diabetes_55_64,P_Diabetes_65_74,P_Diabetes_75_84,P_Diabetes_85_over,P_Diabetes_Tot,P_Heart_disease_0_14,P_Heart_disease_15_24,P_Heart_disease_25_34,P_Heart_disease_35_44,P_Heart_disease_45_54,P_Heart_disease_55_64,P_Heart_disease_65_74,P_Heart_disease_75_84,P_Heart_disease_85_over,P_Heart_disease_Tot,P_Kidney_disease_0_14,P_Kidney_disease_15_24,P_Kidney_disease_25_34,P_Kidney_disease_35_44,P_Kidney_disease_45_54,P_Kidney_disease_55_64,P_Kidney_disease_65_74,P_Kidney_disease_75_84,P_Kidney_disease_85_over,P_Kidney_disease_Tot,P_Lung_cond_0_14,P_Lung_cond_15_24,P_Lung_cond_25_34,P_Lung_cond_35_44,P_Lung_cond_45_54,P_Lung_cond_55_64,P_Lung_cond_65_74,P_Lung_cond_75_84,P_Lung_cond_85_over,P_Lung_cond_Tot,P_Mental_health_cond_0_14,P_Mental_health_cond_15_24,P_Mental_health_cond_25_34,P_Mental_health_cond_35_44,P_Mental_health_cond_45_54,P_Mental_health_cond_55_64,P_Mental_health_cond_65_74,P_Mental_health_cond_75_84,P_Mental_health_cond_85_over,P_Mental_health_cond_Tot,P_Stroke_0_14,P_Stroke_15_24,P_Stroke_25_34,P_Stroke_35_44,P_Stroke_45_54,P_Stroke_55_64,P_Stroke_65_74,P_Stroke_75_84,P_Stroke_85_over,P_Stroke_Tot,P_Other_0_14,P_Other_15_24,P_Other_25_34,P_Other_35_44,P_Other_45_54,P_Other_55_64,P_Other_65_74,P_Other_75_84,P_Other_85_over,P_Other_Tot,P_None_0_14,P_None_15_24,P_None_25_34,P_None_35_44,P_None_45_54,P_None_55_64,P_None_65_74,P_None_75_84,P_None_85_over,P_None_Tot
SED80001,0,10,28,41,45,88,102,110,55,479,12,9,12,39,84,173,190,166,62,747,233,991,1156,1054,862,737,324,132,58,5547,3,0,3,15,32,60,72,72,45,302,329,429,640,783,839,971,682,330,161,5164,6284,2844,3365,3234,2848,2444,1396,403,93,22911,478,262,289,285,279,227,203,142,68,2233,7747,4643,5742,5768,5637,5799,4180,1890,749,42155,16,82,241,521,1069,2064,2219,1205,487,7904,1224,928,1333,1332,1176,1105,813,344,120,8375,12,29,64,139,297,643,803,446,159,2592,0,0,0,0,3,22,69,166,167,427,29,65,158,300,639,1099,1133,560,171,4154,29,35,55,107,270,642,1001,673,354,3166,11,14,47,63,92,163,257,194,99,940,19,17,24,71,144,298,422,285,122,1402,474,1536,1768,1669,1424,1188,606,231,88,8984,3,3,10,33,64,124,198,154,83,672,831,747,1004,1243,1434,1703,1279,577,237,9055,12686,6446,7238,6800,5848,4882,2647,735,158,47440
SED80002,7,8,15,38,63,65,105,130,60,491,3,5,12,39,79,137,227,172,79,753,231,1262,1489,1192,932,597,398,185,101,6387,0,0,9,17,30,39,79,124,64,362,318,581,816,886,857,781,781,473,221,5714,6704,3914,5382,4289,2856,1983,1303,519,110,27060,537,398,466,346,280,234,206,100,43,2610,8242,6344,8418,7231,5663,4622,4292,2423,878,48113,18,94,258,599,1028,1560,2221,1723,679,8180,1294,1280,1651,1533,1179,913,861,506,152,9369,11,28,80,162,329,509,812,655,199,2785,3,0,0,8,4,18,78,200,226,537,26,80,146,291,584,855,1105,716,199,4002,27,34,48,113,260,525,893,928,451,3279,17,16,30,74,103,149,219,240,115,963,14,14,29,74,148,261,405,361,144,1450,520,1933,2338,2000,1593,1027,640,315,148,10514,0,5,15,28,60,106,179,245,120,758,869,931,1222,1456,1469,1374,1335,816,343,9815,13658,8380,11614,9030,6082,3939,2509,1004,217,56433
SED80003,7,0,16,23,38,44,67,82,58,335,8,10,7,23,40,91,131,138,67,515,125,1708,1627,884,673,508,265,169,135,6094,5,3,11,10,18,44,52,86,82,311,190,692,987,696,639,698,525,311,242,4980,4388,4937,5701,3739,2900,2005,1183,484,163,25500,314,897,630,406,309,278,209,105,82,3230,5245,8475,9213,6127,5102,4327,3228,1862,1080,44659,21,86,238,383,732,1273,1469,1077,565,5844,610,1495,1701,1138,893,741,565,291,118,7552,5,22,70,160,261,453,622,412,162,2167,0,0,0,4,6,18,64,236,380,708,11,61,124,172,285,527,543,346,180,2249,6,41,49,80,157,365,634,572,392,2296,6,10,29,40,69,95,156,149,99,653,3,18,23,40,85,188,258,254,123,992,249,2415,2587,1475,1176,904,483,271,191,9751,5,4,9,23,37,97,132,167,132,606,433,1031,1514,1120,1121,1268,969,567,348,8371,8949,10514,12088,7755,6020,4091,2339,902,266,52924
SED80004,5,9,8,17,44,59,99,132,71,444,3,8,5,22,49,95,181,203,95,661,149,900,1045,856,808,474,297,210,87,4826,0,0,6,5,34,39,60,100,84,328,282,370,641,736,727,695,704,498,233,4886,6871,3040,4386,4393,3280,2217,1532,791,187,26697,410,274,350,313,290,269,256,162,115,2439,8082,4736,6642,6789,5812,4747,4306,3116,1315,45545,15,58,197,436,923,1424,1989,1857,832,7731,948,875,1154,1226,1020,850,802,497,176,7548,14,19,61,122,297,498,809,736,283,2839,0,3,0,6,4,21,98,270,317,719,27,46,124,274,472,658,885,762,253,3501,24,26,39,93,194,438,843,1008,570,3235,16,22,24,53,95,112,206,250,144,922,12,12,19,38,93,179,339,415,165,1272,354,1369,1591,1416,1332,826,543,334,126,7891,3,0,10,17,73,82,146,213,164,708,723,631,980,1205,1265,1322,1269,857,378,8630,13841,6515,9040,8936,6712,4457,2808,1449,357,54115
SED80005,0,3,14,40,49,59,85,64,28,342,9,9,23,32,44,93,137,85,31,463,249,1023,1241,1120,782,408,233,72,12,5140,0,3,6,15,27,40,51,42,22,206,384,438,746,943,730,616,512,222,61,4652,9127,3889,6231,5970,3526,1832,1066,273,51,31965,584,328,439,423,311,170,157,64,11,2487,10820,5836,8974,9094,6129,3969,3021,1261,299,49403,16,58,255,529,951,1226,1340,826,219,5420,1401,1011,1486,1529,1020,699,534,230,56,7966,23,24,70,157,281,398,460,295,75,1783,7,0,0,4,7,21,34,87,56,216,32,57,162,502,717,795,827,410,77,3579,33,33,58,110,265,405,579,470,154,2107,17,14,34,64,100,117,167,138,49,700,19,14,36,59,82,154,247,188,57,856,517,1510,1927,1762,1298,727,375,140,20,8276,7,6,8,27,58,97,124,120,36,483,957,726,1166,1537,1373,1109,896,361,93,8218,18434,8416,12915,12496,7473,3687,1972,547,95,66035
SED89494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,9,8,5,8,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,7,5,6,5,8,0,0,0,31,15,39,33,19,13,11,0,0,0,130,0,3,7,7,4,6,4,0,0,31,21,74,53,33,30,35,10,8,0,264,0,0,0,3,3,20,10,3,4,43,5,12,9,8,3,6,3,0,0,46,0,0,0,0,0,3,7,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,3,0,3,0,20,0,0,0,0,3,4,6,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,4,40,19,20,14,11,0,0,0,108,0,0,0,0,3,0,0,0,0,3,0,9,12,8,14,14,5,0,0,62,35,75,57,37,28,11,4,0,0,247
SED89797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
