SED_CODE_2021,F_Malta_0_4,F_Malta_5_14,F_Malta_15_24,F_Malta_25_44,F_Malta_45_54,F_Malta_55_64,F_Malta_65_74,F_Malta_75_84,F_Malta_85ov,F_Malta_Tot,F_Mauritius_0_4,F_Mauritius_5_14,F_Mauritius_15_24,F_Mauritius_25_44,F_Mauritius_45_54,F_Mauritius_55_64,F_Mauritius_65_74,F_Mauritius_75_84,F_Mauritius_85ov,F_Mauritius_Tot,F_Myanmar_0_4,F_Myanmar_5_14,F_Myanmar_15_24,F_Myanmar_25_44,F_Myanmar_45_54,F_Myanmar_55_64,F_Myanmar_65_74,F_Myanmar_75_84,F_Myanmar_85ov,F_Myanmar_Tot,F_Nepal_0_4,F_Nepal_5_14,F_Nepal_15_24,F_Nepal_25_44,F_Nepal_45_54,F_Nepal_55_64,F_Nepal_65_74,F_Nepal_75_84,F_Nepal_85ov,F_Nepal_Tot,F_Netherlands_0_4,F_Netherlands_5_14,F_Netherlands_15_24,F_Netherlands_25_44,F_Netherlands_45_54,F_Netherlands_55_64,F_Netherlands_65_74,F_Netherlands_75_84,F_Netherlands_85ov,F_Netherlands_Tot,F_New_Zealand_0_4,F_New_Zealand_5_14,F_New_Zealand_15_24,F_New_Zealand_25_44,F_New_Zealand_45_54,F_New_Zealand_55_64,F_New_Zealand_65_74,F_New_Zealand_75_84,F_New_Zealand_85ov,F_New_Zealand_Tot,F_North_Macedonia_0_4,F_North_Macedonia_5_14,F_North_Macedonia_15_24,F_North_Macedonia_25_44,F_North_Macedonia_45_54,F_North_Macedonia_55_64,F_North_Macedonia_65_74,F_North_Macedonia_75_84,F_North_Macedonia_85ov,F_North_Macedonia_Tot,F_Pakistan_0_4,F_Pakistan_5_14,F_Pakistan_15_24,F_Pakistan_25_44,F_Pakistan_45_54,F_Pakistan_55_64,F_Pakistan_65_74,F_Pakistan_75_84,F_Pakistan_85ov,F_Pakistan_Tot,F_PNG_0_4,F_PNG_5_14,F_PNG_15_24,F_PNG_25_44,F_PNG_45_54,F_PNG_55_64,F_PNG_65_74,F_PNG_75_84,F_PNG_85ov,F_PNG_Tot,F_Philippines_0_4,F_Philippines_5_14,F_Philippines_15_24,F_Philippines_25_44,F_Philippines_45_54,F_Philippines_55_64,F_Philippines_65_74,F_Philippines_75_84,F_Philippines_85ov,F_Philippines_Tot,F_Poland_0_4,F_Poland_5_14,F_Poland_15_24,F_Poland_25_44,F_Poland_45_54,F_Poland_55_64,F_Poland_65_74,F_Poland_75_84,F_Poland_85ov,F_Poland_Tot,F_Samoa_0_4,F_Samoa_5_14,F_Samoa_15_24,F_Samoa_25_44,F_Samoa_45_54,F_Samoa_55_64,F_Samoa_65_74,F_Samoa_75_84,F_Samoa_85ov,F_Samoa_Tot,F_Scotland_0_4,F_Scotland_5_14,F_Scotland_15_24,F_Scotland_25_44,F_Scotland_45_54,F_Scotland_55_64,F_Scotland_65_74,F_Scotland_75_84,F_Scotland_85ov,F_Scotland_Tot,F_Singapore_0_4,F_Singapore_5_14,F_Singapore_15_24,F_Singapore_25_44,F_Singapore_45_54,F_Singapore_55_64,F_Singapore_65_74,F_Singapore_75_84,F_Singapore_85ov,F_Singapore_Tot,F_South_Africa_0_4,F_South_Africa_5_14,F_South_Africa_15_24,F_South_Africa_25_44,F_South_Africa_45_54,F_South_Africa_55_64,F_South_Africa_65_74,F_South_Africa_75_84,F_South_Africa_85ov,F_South_Africa_Tot,F_Sri_Lanka_0_4,F_Sri_Lanka_5_14,F_Sri_Lanka_15_24,F_Sri_Lanka_25_44,F_Sri_Lanka_45_54,F_Sri_Lanka_55_64,F_Sri_Lanka_65_74,F_Sri_Lanka_75_84,F_Sri_Lanka_85ov,F_Sri_Lanka_Tot,F_Taiwan_0_4,F_Taiwan_5_14,F_Taiwan_15_24,F_Taiwan_25_44,F_Taiwan_45_54,F_Taiwan_55_64,F_Taiwan_65_74,F_Taiwan_75_84,F_Taiwan_85ov,F_Taiwan_Tot,F_Thailand_0_4,F_Thailand_5_14,F_Thailand_15_24,F_Thailand_25_44,F_Thailand_45_54,F_Thailand_55_64,F_Thailand_65_74,F_Thailand_75_84,F_Thailand_85ov,F_Thailand_Tot,F_Turkey_0_4,F_Turkey_5_14,F_Turkey_15_24,F_Turkey_25_44,F_Turkey_45_54,F_Turkey_55_64,F_Turkey_65_74,F_Turkey_75_84,F_Turkey_85ov,F_Turkey_Tot,F_USA_0_4,F_USA_5_14,F_USA_15_24,F_USA_25_44,F_USA_45_54,F_USA_55_64,F_USA_65_74,F_USA_75_84,F_USA_85ov,F_USA_Tot
SED80001,0,0,0,3,0,7,10,12,0,32,0,3,4,11,9,8,5,0,0,29,0,0,4,9,7,5,9,3,0,34,0,3,28,181,5,4,0,0,0,222,0,0,0,7,5,14,43,25,12,113,7,17,30,112,85,92,54,13,3,406,0,0,0,11,3,6,4,4,0,37,0,8,6,59,8,3,0,0,0,97,0,0,3,3,18,14,4,0,0,50,4,33,45,199,110,96,62,14,4,566,0,0,0,29,13,22,35,10,10,118,0,0,3,10,9,7,4,0,0,34,0,0,3,12,24,61,46,48,14,213,0,6,5,25,17,19,9,3,0,85,0,8,16,47,46,18,25,8,6,173,0,16,5,78,35,52,43,21,0,251,0,0,0,11,0,0,4,0,0,19,0,6,7,85,48,36,11,6,0,213,0,0,0,0,0,0,0,0,0,4,3,20,15,79,33,22,17,12,0,199
SED80002,0,0,0,0,4,0,19,5,3,27,0,0,9,21,5,0,0,0,0,36,0,0,12,27,15,9,3,0,4,76,0,6,153,454,6,4,4,0,0,625,0,3,6,15,8,7,32,34,8,120,3,32,39,152,82,67,60,24,4,475,0,0,0,8,4,12,8,9,0,39,4,32,22,157,20,10,4,0,0,236,0,0,10,14,34,18,12,5,0,96,0,32,65,337,111,95,40,15,3,708,0,5,0,32,11,13,29,15,8,115,0,0,7,11,0,5,0,0,0,33,0,0,0,30,17,32,42,28,17,177,0,4,8,35,24,9,7,4,0,94,0,7,27,79,41,24,23,11,3,214,0,16,25,129,35,37,26,8,11,280,0,0,7,48,12,3,0,0,0,72,0,18,29,111,46,18,16,3,0,244,0,0,0,11,4,5,0,0,0,25,3,32,60,117,49,36,35,20,4,354
SED80003,0,0,0,6,3,0,12,3,3,21,0,0,4,15,3,0,4,0,0,29,0,0,9,10,22,6,3,7,0,49,0,0,44,194,7,0,0,0,0,249,0,6,10,20,17,15,25,17,15,126,5,18,85,189,82,97,60,24,8,564,0,0,0,13,10,0,7,0,0,38,5,7,10,78,10,5,0,0,0,117,0,0,3,34,28,18,11,0,0,94,0,16,45,175,41,29,24,17,0,342,0,0,5,31,17,12,23,16,9,117,0,0,4,0,9,3,0,4,0,19,0,4,12,30,23,29,28,28,15,165,4,15,51,60,26,15,12,0,3,189,7,7,43,96,40,32,15,3,3,241,0,5,24,113,34,23,12,8,3,231,0,5,15,77,14,5,6,0,0,124,0,8,32,99,21,15,10,5,0,193,6,3,0,13,10,3,10,0,0,34,14,41,102,198,82,52,47,20,0,563
SED80004,0,0,0,0,0,9,7,10,4,30,0,0,0,12,4,9,0,0,0,27,0,0,0,18,12,8,10,0,0,40,0,11,154,550,12,7,6,0,0,745,0,0,4,11,9,9,18,30,21,102,5,32,30,117,100,107,59,47,9,509,0,0,3,17,4,8,14,3,0,55,0,35,20,106,24,6,7,0,0,190,0,0,0,16,31,27,8,6,4,82,0,44,51,389,101,64,62,12,0,716,0,5,0,31,15,25,31,20,12,136,0,0,5,3,3,7,0,0,0,24,0,5,7,29,28,34,41,50,21,220,3,14,7,47,20,19,13,4,0,118,3,4,25,75,53,35,26,12,7,232,0,11,15,138,56,57,35,15,4,334,0,0,3,35,9,12,0,3,0,70,5,7,14,99,41,24,12,8,0,203,0,3,0,4,3,7,4,0,0,22,20,60,42,125,56,34,48,16,0,410
SED80005,0,0,0,0,0,5,4,3,0,15,0,4,6,39,12,7,10,3,0,72,0,0,7,55,30,15,9,7,3,142,8,7,137,592,17,15,10,0,0,786,0,0,3,11,4,6,22,12,0,74,9,53,59,183,88,53,34,10,5,482,0,0,6,20,17,21,21,5,0,88,5,57,66,387,46,24,11,3,0,596,0,0,4,19,23,12,0,0,0,59,0,37,62,345,128,99,44,11,0,740,0,4,0,23,21,22,15,0,3,91,0,4,6,9,3,5,0,0,0,34,0,0,11,21,21,14,15,19,3,120,3,17,15,45,27,17,14,5,0,139,4,35,50,112,103,27,12,7,0,354,0,28,52,240,99,92,51,22,3,593,0,3,5,85,8,3,10,0,0,108,5,20,20,135,38,27,15,5,0,265,0,0,5,10,6,3,5,0,0,33,17,43,29,97,39,17,17,6,0,257
SED89494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6
SED89797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
