SED_CODE_2021,P_Y8b_15_19_yrs,P_Y8b_20_24_yrs,P_Y8b_25_34_yrs,P_Y8b_35_44_yrs,P_Y8b_45_54_yrs,P_Y8b_55_64_yrs,P_Y8b_65_74_yrs,P_Y8b_75_84_yrs,P_Y8b_85ov,P_Y8b_Tot,P_DNGTS_15_19,P_DNGTS_20_24,P_DNGTS_25_34,P_DNGTS_35_44,P_DNGTS_45_54,P_DNGTS_55_64,P_DNGTS_65_74,P_DNGTS_75_84,P_DNGTS_85_ov,P_DNGTS_Tot,P_Hghst_yr_schl_ns_15_19_yrs,P_Hghst_yr_schl_ns_20_24_yrs,P_Hghst_yr_schl_ns_25_34_yrs,P_Hghst_yr_schl_ns_35_44_yrs,P_Hghst_yr_schl_ns_45_54_yrs,P_Hghst_yr_schl_ns_55_64_yrs,P_Hghst_yr_schl_ns_65_74_yrs,P_Hghst_yr_schl_ns_75_84_yrs,P_Hghst_yr_schl_ns_85_yrs_ovr,P_Hghst_yr_schl_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
SED80001,10,21,68,69,88,231,389,361,209,1443,6,5,23,31,47,51,49,49,30,290,122,135,387,369,301,266,323,248,135,2294,1902,4910,11386,11269,10873,11037,8014,3433,1202,64022
SED80002,17,15,74,93,104,206,349,396,218,1478,5,13,77,49,61,78,54,79,33,453,157,335,776,502,382,303,299,252,155,3155,2260,7441,16921,14308,11266,8817,7832,4511,1514,74877
SED80003,16,8,41,63,70,108,189,229,208,937,0,5,40,35,37,37,44,41,29,260,560,943,1199,726,509,473,411,293,240,5366,3784,10526,18594,12281,10189,8605,6286,3396,1696,75363
SED80004,17,11,37,61,80,106,272,417,244,1238,3,6,29,41,30,38,40,68,33,289,139,207,573,423,393,306,413,420,264,3130,1680,4906,12917,13263,11357,9138,7950,5630,2236,69084
SED80005,16,16,75,116,137,183,345,288,111,1292,0,14,114,84,79,95,86,58,21,545,155,258,779,571,371,228,232,121,26,2728,2112,6344,17769,18133,12417,7710,5541,2358,535,72912
SED89494,0,0,4,3,3,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,7,17,35,25,22,18,5,0,130,34,81,108,104,77,78,34,10,4,530
SED89797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
