SED_CODE_2021,P_NS_0_14,P_NS_15_24,P_NS_25_34,P_NS_35_44,P_NS_45_54,P_NS_55_64,P_NS_65_74,P_NS_75_84,P_NS_85_over,P_NS_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
SED80001,945,588,618,561,554,487,393,238,113,4497,15956,9758,11390,11267,10882,11043,8015,3441,1202,82954
SED80002,1094,808,975,739,637,466,352,189,70,5330,17180,12641,16932,14313,11271,8826,7836,4511,1511,95021
SED80003,643,1863,1566,1009,753,662,436,218,128,7278,10816,16576,18602,12288,10194,8607,6288,3397,1696,88464
SED80004,880,610,727,612,624,508,448,320,190,4919,16632,9578,12923,13270,11359,9139,7958,5631,2236,88726
SED80005,1226,710,948,870,608,344,277,114,23,5120,22313,11906,17784,18143,12426,7717,5541,2358,535,98723
SED89494,7,21,17,35,22,22,11,0,0,135,50,148,108,104,77,78,34,10,4,613
SED89797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
