SED_CODE_2021,M_Y12e_15_19,M_Y12e_20_24,M_Y12e_25_34,M_Y12e_35_44,M_Y12e_45_54,M_Y12e_55_64,M_Y12e_65_74,M_Y12e_75_84,M_Y12e_85ov,M_Y12e_Tot,M_Y11e_15_19,M_Y11e_20_24,M_Y11e_25_34,M_Y11e_35_44,M_Y11e_45_54,M_Y11e_55_64,M_Y11e_65_74,M_Y11e_75_84,M_Y11e_85ov,M_Y11e_Tot,M_Y10e_15_19,M_Y10e_20_24,M_Y10e_25_34,M_Y10e_35_44,M_Y10e_45_54,M_Y10e_55_64,M_Y10e_65_74,M_Y10e_75_84,M_Y10e_85ov,M_Y10e_Tot,M_Y9e_15_19,M_Y9e_20_24,M_Y9e_25_34,M_Y9e_35_44,M_Y9e_45_54,M_Y9e_55_64,M_Y9e_65_74,M_Y9e_75_84,M_Y9e_85ov,M_Y9e_Tot,M_Y8b_15_19,M_Y8b_20_24,M_Y8b_25_34,M_Y8b_35_44,M_Y8b_45_54,M_Y8b_55_64,M_Y8b_65_74,M_Y8b_75_84,M_Y8b_85ov,M_Y8b_Tot,M_DNGTS_15_19,M_DNGTS_20_24,M_DNGTS_25_34,M_DNGTS_35_44,M_DNGTS_45_54,M_DNGTS_55_64,M_DNGTS_65_74,M_DNGTS_75_84,M_DNGTS_85_ov,M_DNGTS_Tot,M_Hghst_yr_schl_ns_15_19,M_Hghst_yr_schl_ns_20_24,M_Hghst_yr_schl_ns_25_34,M_Hghst_yr_schl_ns_35_44,M_Hghst_yr_schl_ns_45_54,M_Hghst_yr_schl_ns_55_64,M_Hghst_yr_schl_ns_65_74,M_Hghst_yr_schl_ns_75_84,M_Hghst_yr_schl_ns_85_ovr,M_Hghst_yr_schl_ns_Tot,M_Tot_15_19,M_Tot_20_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Y12e_15_19,F_Y12e_20_24,F_Y12e_25_34,F_Y12e_35_44,F_Y12e_45_54,F_Y12e_55_64,F_Y12e_65_74,F_Y12e_75_84,F_Y12e_85ov,F_Y12e_Tot,F_Y11e_15_19,F_Y11e_20_24,F_Y11e_25_34,F_Y11e_35_44,F_Y11e_45_54,F_Y11e_55_64,F_Y11e_65_74,F_Y11e_75_84,F_Y11e_85ov,F_Y11e_Tot,F_Y10e_15_19,F_Y10e_20_24,F_Y10e_25_34,F_Y10e_35_44,F_Y10e_45_54,F_Y10e_55_64,F_Y10e_65_74,F_Y10e_75_84,F_Y10e_85ov,F_Y10e_Tot,F_Y9e_15_19,F_Y9e_20_24,F_Y9e_25_34,F_Y9e_35_44,F_Y9e_45_54,F_Y9e_55_64,F_Y9e_65_74,F_Y9e_75_84,F_Y9e_85ov,F_Y9e_Tot,F_Y8b_15_19,F_Y8b_20_24,F_Y8b_25_34,F_Y8b_35_44,F_Y8b_45_54,F_Y8b_55_64,F_Y8b_65_74,F_Y8b_75_84,F_Y8b_85ov,F_Y8b_Tot,F_DNGTS_15_19,F_DNGTS_20_24,F_DNGTS_25_34,F_DNGTS_35_44,F_DNGTS_45_54,F_DNGTS_55_64,F_DNGTS_65_74,F_DNGTS_75_84,F_DNGTS_85_ov,F_DNGTS_Tot,F_Hghst_yr_schl_ns_15_19,F_Hghst_yr_schl_ns_20_24,F_Hghst_yr_schl_ns_25_34,F_Hghst_yr_schl_ns_35_44,F_Hghst_yr_schl_ns_45_54,F_Hghst_yr_schl_ns_55_64,F_Hghst_yr_schl_ns_65_74,F_Hghst_yr_schl_ns_75_84,F_Hghst_yr_schl_ns_85_ovr,F_Hghst_yr_schl_ns_Tot,F_Tot_15_19,F_Tot_20_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Y12e_15_19,P_Y12e_20_24,P_Y12e_25_34,P_Y12e_35_44,P_Y12e_45_54,P_Y12e_55_64,P_Y12e_65_74,P_Y12e_75_84,P_Y12e_85ov,P_Y12e_Tot,P_Y11e_15_19,P_Y11e_20_24,P_Y11e_25_34,P_Y11e_35_44,P_Y11e_45_54,P_Y11e_55_64,P_Y11e_65_74,P_Y11e_75_84,P_Y11e_85ov,P_Y11e_Tot,P_Y10e_15_19,P_Y10e_20_24,P_Y10e_25_34,P_Y10e_35_44,P_Y10e_45_54,P_Y10e_55_64,P_Y10e_65_74,P_Y10e_75_84,P_Y10e_85ov,P_Y10e_Tot,P_Y9e_15_19,P_Y9e_20_24,P_Y9e_25_34,P_Y9e_35_44,P_Y9e_45_54,P_Y9e_55_64,P_Y9e_65_74,P_Y9e_75_84,P_Y9e_85ov,P_Y9e_Tot
SED80001,633,2066,4356,4266,3634,3176,2179,814,169,21292,78,128,268,278,332,334,216,60,21,1712,190,267,672,628,930,1310,867,302,99,5269,43,23,85,83,107,168,214,111,44,880,8,9,39,36,48,87,190,146,67,622,3,6,9,21,23,14,21,17,3,120,68,69,210,190,153,144,159,104,52,1151,1019,2567,5647,5502,5234,5240,3836,1550,451,31045,611,2003,4659,4747,4156,3482,1982,642,191,22480,66,90,230,208,281,347,215,74,22,1545,118,155,557,503,881,1486,1275,590,211,5775,21,16,81,86,107,183,309,179,69,1043,8,10,27,35,38,145,207,217,140,826,0,3,8,11,26,34,30,34,25,170,59,67,179,178,142,125,165,146,83,1147,883,2351,5738,5768,5635,5794,4175,1891,749,32974,1252,4072,9016,9017,7792,6662,4156,1452,359,43772,143,216,496,489,620,678,434,137,40,3257,306,426,1230,1129,1808,2797,2142,890,314,11040,61,37,165,168,217,348,519,291,115,1923
SED80002,795,3095,7079,5848,4224,2780,2294,1228,323,27662,84,143,291,283,263,199,126,73,27,1494,156,200,575,502,749,837,639,359,96,4118,22,22,70,73,83,102,188,119,35,726,10,13,44,53,48,99,146,165,85,650,3,3,46,28,34,30,19,26,12,206,80,181,402,284,216,151,124,123,61,1621,1145,3655,8507,7077,5610,4203,3542,2090,637,36472,859,3371,7349,6275,4487,2977,2311,1081,291,29008,61,97,191,203,203,234,191,121,42,1331,95,125,389,411,635,970,1082,642,216,4560,17,12,54,56,74,131,294,167,78,888,8,5,30,38,61,113,206,233,129,828,4,11,30,18,34,48,34,51,24,245,78,155,372,224,167,146,172,130,87,1540,1114,3785,8416,7226,5659,4612,4292,2420,874,38404,1652,6468,14428,12127,8710,5752,4610,2315,612,56663,142,242,482,484,465,433,318,191,71,2829,250,322,964,911,1380,1809,1727,996,311,8681,34,41,132,132,158,238,482,285,113,1610
SED80003,1430,4450,8127,5257,4138,3231,2293,1019,330,30274,34,64,185,140,154,148,105,36,22,894,58,91,303,250,385,496,283,174,83,2124,12,12,37,40,52,63,52,71,31,372,7,9,28,31,38,49,81,95,67,404,0,3,24,20,18,10,22,8,7,113,258,502,675,422,303,280,224,127,82,2878,1805,5136,9390,6158,5086,4281,3063,1531,615,37056,1586,4840,8334,5512,4405,3343,2222,988,378,31608,32,47,115,96,122,135,119,78,41,786,42,50,172,148,276,494,478,350,226,2243,9,14,30,24,31,74,96,116,111,497,8,5,16,31,31,61,104,135,140,532,0,6,19,12,20,22,25,28,20,149,302,437,526,298,208,197,189,169,165,2485,1984,5393,9209,6118,5102,4324,3231,1867,1080,38304,3015,9289,16464,10770,8545,6579,4507,2002,707,61880,63,110,301,233,278,284,228,121,70,1684,104,143,477,395,660,989,762,521,308,4367,21,18,74,59,87,130,147,185,138,871
SED80004,619,2110,5442,5686,4597,3333,2657,1520,509,26470,50,83,149,164,165,193,135,102,23,1062,82,105,306,301,476,588,460,388,144,2857,24,13,41,54,59,56,99,119,53,511,12,4,18,34,40,45,110,164,87,516,3,3,21,28,16,9,15,21,5,119,83,119,302,225,199,161,174,197,90,1537,873,2435,6273,6476,5542,4393,3648,2510,920,33080,633,2235,5961,6162,4915,3579,2655,1504,480,28116,35,43,113,135,154,173,178,154,59,1042,63,81,234,228,441,674,861,746,319,3644,17,13,37,29,52,91,171,200,108,719,6,9,17,26,41,58,165,245,156,720,0,5,3,13,19,29,21,47,24,171,63,96,276,198,192,147,239,217,168,1593,806,2475,6642,6788,5813,4749,4299,3116,1315,36001,1251,4338,11403,11847,9509,6913,5315,3021,986,54581,83,124,258,292,320,369,314,255,81,2103,148,188,540,528,912,1260,1323,1130,467,6499,40,27,81,79,110,146,268,321,159,1238
SED80005,715,2752,7397,7784,5043,2582,1609,565,106,28558,88,129,274,283,242,217,101,35,8,1374,119,179,519,477,613,640,431,206,28,3215,24,18,76,76,92,69,141,83,24,612,13,8,48,66,62,74,117,133,47,568,0,6,72,49,39,32,29,19,8,262,86,133,412,298,189,124,102,52,11,1412,1043,3227,8798,9040,6287,3741,2529,1103,234,35998,809,2771,7891,8012,4894,2616,1485,481,80,29040,77,84,207,238,229,235,137,51,14,1273,78,116,387,425,648,758,817,356,70,3649,31,10,53,55,62,87,169,107,41,623,7,8,29,45,71,117,233,157,64,724,0,5,45,32,41,58,54,37,12,286,70,118,358,276,180,105,128,69,10,1318,1067,3115,8970,9091,6126,3972,3015,1261,299,36908,1528,5521,15289,15804,9937,5202,3092,1047,185,57600,158,211,479,519,470,447,232,93,26,2642,197,298,910,902,1265,1399,1249,562,101,6870,57,31,132,135,160,159,308,194,62,1232
SED89494,5,16,34,16,11,13,0,3,0,106,0,4,3,3,0,3,0,0,0,15,3,5,9,11,9,4,4,0,0,54,6,0,0,0,4,0,0,0,0,14,0,0,0,3,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,7,11,30,19,16,8,4,0,97,16,44,60,62,53,38,21,6,0,306,11,29,34,30,18,19,4,0,0,140,0,4,0,4,0,5,4,0,0,17,5,4,3,0,8,5,0,3,0,29,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,3,7,7,3,8,7,0,0,34,16,39,53,33,30,35,10,8,0,229,16,48,70,42,28,29,7,3,0,247,0,6,3,11,0,3,4,0,0,28,12,15,17,9,18,14,6,3,0,84,6,0,5,4,4,0,0,3,0,19
SED89797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
