SED_CODE_2021,Intct_fam_no_otr_chld_pre_Fam,Step_fam_no_otr_chld_pre_Fam,Blnd_fam_no_otr_chld_pre_Fam,Intct_fam_othr_child_pres_Fam,Step_fam_othr_child_pres_Fam,Blnd_fam_othr_child_pres_Fam,Otr_cpl_fam_otr_chld_only_Fam,Tot_Families
SED80001,9267,813,488,108,18,4,53,10738
SED80002,9701,732,345,82,8,3,44,10917
SED80003,6664,403,140,26,4,0,17,7256
SED80004,10022,620,251,70,11,5,23,11011
SED80005,12951,804,418,119,9,3,50,14346
SED89494,0,0,0,0,0,0,0,0
SED89797,0,0,0,0,0,0,0,0
