SED_CODE_2021,Separate_house_NofB_0_i_b,Separate_house_NofB_1,Separate_house_NofB_2,Separate_house_NofB_3,Separate_house_NofB_4,Separate_house_NofB_5,Separate_house_NofB_6_or_m,Separate_house_NofB_NS,Separate_house_Total,Se_d_r_or_t_h_t_1_s_NofB_0_ib,Se_d_r_or_t_h_t_1_st_NofB_1,Se_d_r_or_t_h_t_1_st_NofB_2,Se_d_r_or_t_h_t_1_st_NofB_3,Se_d_r_or_t_h_t_1_st_NofB_4,Se_d_r_or_t_h_t_1_st_NofB_5,Se_d_r_or_t_h_t_1_st_NofB_6_m,Se_d_r_or_t_h_t_1_st_NofB_NS,Se_d_r_or_t_h_t_1_st_Total,Se_d_r_or_t_h_t_2_s_NofB_0_ib,Se_d_r_or_t_h_t_2_sts_NofB_1,Se_d_r_or_t_h_t_2_sts_NofB_2,Se_d_r_or_t_h_t_2_sts_NofB_3,Se_d_r_or_t_h_t_2_sts_NofB_4,Se_d_r_or_t_h_t_2_sts_NofB_5,Se_d_r_or_t_h_t_2_st_NofB_6_m,Se_d_r_or_t_h_t_2_sts_NofB_NS,Se_d_r_or_t_h_t_2_sts_Total,Se_d_r_or_t_h_t_Tot_NofB_0_ib,Se_d_r_or_t_h_t_Tot_NofB_1,Se_d_r_or_t_h_t_Tot_NofB_2,Se_d_r_or_t_h_t_Tot_NofB_3,Se_d_r_or_t_h_t_Tot_NofB_4,Se_d_r_or_t_h_t_Tot_NofB_5,Se_d_r_or_t_h_t_Tot_NofB_6_m,Se_d_r_or_t_h_t_Tot_NofB_NS,Se_d_r_or_t_h_t_Tot_Total,Flt_at_1or2_st_bl_NofB_0_ib,Flt_at_In_1or2_s_b_NofB_1,Flt_at_In_1or2_s_b_NofB_2,Flt_at_In_1or2_s_b_NofB_3,Flt_at_In_1or2_s_b_NofB_4,Flt_at_In_1or2_s_b_NofB_5,Flt_at_In_1or2_s_b_NoB_6_m,Flt_at_In_1or2_s_b_NoB_NS,Flt_at_In_1or2_s_b_Total,Flt_apt_3_st_bl_NoB_0_ib,Flt_apt_In_3_st_bl_NofB_1,Flt_apt_In_3_st_bl_NofB_2,Flt_apt_In_3_st_bl_NofB_3,Flt_apt_In_3_st_bl_NofB_4,Flt_apt_In_3_st_bl_NofB_5,Flt_apt_In_3_s_bl_NofB_6_m,Flt_apt_In_3_st_bl_NofB_NS,Flt_apt_In_3_st_bl_Total,Flt_apt_4to8_s_b_NofB_0_ib,Flt_apt_4to8_s_b_NofB_1,Flt_apt_4to8_s_b_NofB_2,Flt_apt_4to8_s_b_NofB_3,Flt_apt_4to8_s_b_NofB_4,Flt_apt_4to8_s_b_NofB_5,Flt_apt_4to8_s_b_NofB_6_m,Flt_apt_4to8_s_b_NofB_NS,Flt_apt_4to8_s_b_Total,Flt_apt_9_or_m_s_b_NofB_0_ib,Flt_apt_9_or_m_s_b_NofB_1,Flt_apt_9_or_m_s_b_NofB_2,Flt_apt_9_or_m_s_b_NofB_3,Flt_apt_9_or_m_s_b_NofB_4,Flt_apt_9_or_m_s_b_NofB_5,Flt_apt_9_or_m_s_b_NofB_6_m,Flt_apt_9_or_m_s_b_NofB_NS,Flt_apt_9_or_m_s_b_Total,Flt_apt_At_to_a_h_NofB_0_ib,Flt_apt_At_to_a_hse_NofB_1,Flt_apt_At_to_a_hse_NofB_2,Flt_apt_At_to_a_hse_NofB_3,Flt_apt_At_to_a_hse_NofB_4,Flt_apt_At_to_a_hse_NofB_5,Flt_apt_At_to_a_hs_NofB_6_m,Flt_apt_At_to_a_hs_NofB_NS,Flt_apt_At_to_a_hse_Total,Flt_apart_Tot_NofB_0_i_b,Flt_apart_Tot_NofB_1,Flt_apart_Tot_NofB_2,Flt_apart_Tot_NofB_3,Flt_apart_Tot_NofB_4,Flt_apart_Tot_NofB_5,Flt_apart_Tot_NofB_6_or_m,Flt_apart_Tot_NofB_NS,Flt_apart_Tot_Total,Other_dwelling_NofB_0_i_b,Other_dwelling_NofB_1,Other_dwelling_NofB_2,Other_dwelling_NofB_3,Other_dwelling_NofB_4,Other_dwelling_NofB_5,Other_dwelling_NofB_6_or_m,Other_dwelling_NofB_NS,Other_dwelling_Total,Dweling_structu_NS_NofB_0_i_b,Dweling_structur_NS_NofB_1,Dweling_structur_NS_NofB_2,Dweling_structur_NS_NofB_3,Dweling_structur_NS_NofB_4,Dweling_structur_NS_NofB_5,Dwelig_struct_NS_NofB_6_or_m,Dweling_structur_NS_NofB_NS,Dweling_structur_NS_Total,Total_NofB_0_i_b,Total_NofB_1,Total_NofB_2,Total_NofB_3,Total_NofB_4,Total_NofB_5,Total_NofB_6_or_m,Total_NofB_NS,Total_Total
SED80001,5,97,633,10734,9944,2062,360,184,24027,0,79,876,1998,139,4,0,25,3131,0,55,335,677,205,5,0,13,1289,0,135,1212,2677,348,6,0,34,4424,0,41,134,481,59,0,0,12,728,0,38,138,25,3,0,0,0,200,15,218,265,41,0,0,0,10,549,0,239,164,50,0,0,0,5,459,0,3,15,11,3,3,0,0,46,17,540,718,609,67,6,0,30,1981,0,0,0,0,0,0,0,0,0,0,5,5,7,6,0,0,7,30,23,783,2567,14029,10364,2076,367,255,30460
SED80002,21,235,920,10819,9480,1839,366,184,23857,0,140,1697,1752,167,16,9,41,3818,0,139,775,1563,280,12,7,29,2809,0,280,2469,3316,453,30,12,65,6631,14,234,499,217,31,0,3,14,1007,9,311,484,93,0,0,0,9,913,3,1154,904,171,3,0,0,17,2250,11,447,402,76,0,0,0,9,938,5,4,8,8,0,0,0,0,26,37,2146,2284,565,31,5,3,46,5126,0,0,0,0,0,0,0,0,0,0,7,4,8,10,0,0,5,31,60,2670,5689,14702,9968,1873,378,303,35649
SED80003,19,240,1079,5682,4704,1247,216,93,13278,13,242,535,677,115,13,4,29,1634,6,377,1124,1864,260,28,10,15,3689,23,619,1659,2540,376,47,15,43,5322,25,950,1525,295,24,5,0,39,2853,25,1054,2091,378,14,0,3,29,3596,46,2158,3067,797,19,0,0,32,6125,37,1349,1576,381,17,0,0,25,3395,0,91,94,21,4,0,3,3,217,139,5598,8348,1867,91,9,6,124,16187,5,56,73,18,3,0,0,4,160,3,27,16,12,5,0,0,0,63,185,6537,11183,10119,5175,1303,238,271,35008
SED80004,23,126,635,8437,9761,2459,460,171,22063,13,291,1055,989,191,10,0,35,2587,16,378,1168,1701,333,20,5,20,3646,26,669,2228,2694,519,27,8,55,6228,21,211,450,117,23,0,0,8,824,29,513,877,236,34,0,0,21,1706,3,532,1000,338,21,0,0,19,1916,0,325,427,55,0,0,0,12,821,6,58,34,29,4,5,0,0,130,60,1640,2787,770,85,5,4,58,5403,0,0,0,4,0,0,0,0,4,0,5,15,3,0,5,0,4,33,109,2443,5658,11905,10366,2488,469,285,33734
SED80005,5,104,771,7598,11841,2360,309,213,23206,0,84,745,1610,117,10,0,21,2585,10,183,865,2069,531,35,0,36,3732,10,274,1606,3678,649,41,0,57,6321,4,58,124,32,8,0,0,3,224,0,559,558,163,30,0,0,14,1329,0,663,913,175,23,0,0,23,1801,0,81,393,112,0,0,0,5,593,0,3,11,0,0,3,0,0,21,7,1370,1994,483,62,4,3,47,3966,0,0,0,0,0,0,0,0,3,3,12,6,7,9,3,0,5,59,30,1754,4384,11768,12564,2405,314,318,33549
SED89494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SED89797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
