SED_CODE_2021,Neg_Nil_inc_fam_households,Neg_Nil_inc_Non_fam_househlds,Negative_Nil_income_Tot,HI_1_149_Family_households,HI_1_149_Non_family_hseholds,HI_1_149_Tot,HI_150_299_Family_households,HI_150_299_Non_fam_househlds,HI_150_299_Tot,HI_300_399_Family_households,HI_300_399_Non_fam_househlds,HI_300_399_Tot,HI_400_499_Family_households,HI_400_499_Non_fam_househlds,HI_400_499_Tot,HI_500_649_Family_households,HI_500_649_Non_fam_househlds,HI_500_649_Tot,HI_650_799_Family_households,HI_650_799_Non_fam_househlds,HI_650_799_Tot,HI_800_999_Fam_households,HI_800_999_Non_fam_hsehlds,HI_800_999_Tot,HI_1000_1249_Fam_households,HI_1000_1249_Non_fam_hsehlds,HI_1000_1249_Tot,HI_1250_1499_Fam_households,HI_1250_1499_Non_fam_hsehlds,HI_1250_1499_Tot,HI_1500_1749_Fam_households,HI_1500_1749_Non_fam_hsehlds,HI_1500_1749_Tot,HI_1750_1999_Fam_households,HI_1750_1999_Non_fam_hsehlds,HI_1750_1999_Tot,HI_2000_2499_Fam_households,HI_2000_2499_Non_fam_hsehlds,HI_2000_2499_Tot,HI_2500_2999_Fam_households,HI_2500_2999_Non_fam_hsehlds,HI_2500_2999_Tot,HI_3000_3499_Fam_households,HI_3000_3499_Non_fam_hsehlds,HI_3000_3499_Tot,HI_3500_3999_Fam_households,HI_3500_3999_Non_fam_hsehlds,HI_3500_3999_Tot,HI_4000_more_Fam_households,HI_4000_more_Non_fam_hsehlds,HI_4000_more_Tot,Part_inc_stated_Fam_household,Part_inc_std_Non_fam_hhds,Partial_income_stated_Tot,All_incomes_ns_Famly_househld,All_inc_ns_Non_famly_househld,All_incomes_not_stated_Tot,Tot_Family_households,Tot_Non_family_households,Tot_Tot
SED80001,85,158,240,41,52,100,52,154,208,58,329,391,197,892,1091,235,469,707,584,474,1057,572,611,1180,907,694,1603,1196,665,1862,1134,702,1842,1160,588,1743,2865,973,3842,2558,81,2639,2553,189,2743,1941,43,1983,5405,250,5651,1229,96,1322,116,142,253,22893,7576,30460
SED80002,113,234,351,54,82,141,59,208,272,83,417,493,229,898,1125,287,639,928,656,694,1354,699,809,1505,1003,964,1961,1448,952,2400,1201,1026,2224,1321,864,2188,3173,1544,4712,2786,196,2983,2563,341,2904,2110,111,2225,5745,418,6162,1173,268,1440,107,168,281,24809,10832,35649
SED80003,109,273,376,43,100,147,50,285,331,46,501,550,136,940,1076,140,622,767,310,518,826,351,675,1024,551,936,1490,717,1244,1965,666,1390,2058,804,1283,2089,2060,2997,5059,1823,379,2202,1879,827,2703,1555,246,1796,7380,1488,8866,1021,412,1433,84,169,251,19732,15273,35008
SED80004,110,178,289,47,89,136,32,161,189,72,378,449,141,888,1032,194,625,818,444,614,1064,506,743,1245,736,913,1649,1154,821,1978,949,878,1827,1004,745,1751,2614,1482,4098,2162,130,2288,2220,340,2554,1833,91,1924,8124,614,8744,1266,140,1411,118,168,287,23727,10001,33734
SED80005,124,176,301,50,50,99,55,137,200,57,252,308,155,549,703,239,368,604,542,358,896,609,488,1096,841,595,1444,1173,657,1830,1161,769,1929,1201,652,1844,3315,1242,4554,2796,181,2976,2818,253,3076,2377,84,2454,7061,412,7475,1359,184,1539,119,105,226,26046,7501,33549
SED89494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SED89797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
