SED_CODE_2021,M_15_19_yr_Married,M_15_19_yr_Separated,M_15_19_yr_Divorced,M_15_19_yr_Widowed,M_15_19_yr_Never_married,M_15_19_yr_Tot,M_20_24_yr_Married,M_20_24_yr_Separated,M_20_24_yr_Divorced,M_20_24_yr_Widowed,M_20_24_yr_Never_married,M_20_24_yr_Tot,M_25_34_yr_Married,M_25_34_yr_Separated,M_25_34_yr_Divorced,M_25_34_yr_Widowed,M_25_34_yr_Never_married,M_25_34_yr_Tot,M_35_44_yr_Married,M_35_44_yr_Separated,M_35_44_yr_Divorced,M_35_44_yr_Widowed,M_35_44_yr_Never_married,M_35_44_yr_Tot,M_45_54_yr_Married,M_45_54_yr_Separated,M_45_54_yr_Divorced,M_45_54_yr_Widowed,M_45_54_yr_Never_married,M_45_54_yr_Tot,M_55_64_yr_Married,M_55_64_yr_Separated,M_55_64_yr_Divorced,M_55_64_yr_Widowed,M_55_64_yr_Never_married,M_55_64_yr_Tot,M_65_74_yr_Married,M_65_74_yr_Separated,M_65_74_yr_Divorced,M_65_74_yr_Widowed,M_65_74_yr_Never_married,M_65_74_yr_Tot,M_75_84_yr_Married,M_75_84_yr_Separated,M_75_84_yr_Divorced,M_75_84_yr_Widowed,M_75_84_yr_Never_married,M_75_84_yr_Tot,M_85ov_Married,M_85ov_Separated,M_85ov_Divorced,M_85ov_Widowed,M_85ov_Never_married,M_85ov_Tot,M_Tot_Married,M_Tot_Separated,M_Tot_Divorced,M_Tot_Widowed,M_Tot_Never_married,M_Tot_Tot,F_15_19_yr_Married,F_15_19_yr_Separated,F_15_19_yr_Divorced,F_15_19_yr_Widowed,F_15_19_yr_Never_married,F_15_19_yr_Tot,F_20_24_yr_Married,F_20_24_yr_Separated,F_20_24_yr_Divorced,F_20_24_yr_Widowed,F_20_24_yr_Never_married,F_20_24_yr_Tot,F_25_34_yr_Married,F_25_34_yr_Separated,F_25_34_yr_Divorced,F_25_34_yr_Widowed,F_25_34_yr_Never_married,F_25_34_yr_Tot,F_35_44_yr_Married,F_35_44_yr_Separated,F_35_44_yr_Divorced,F_35_44_yr_Widowed,F_35_44_yr_Never_married,F_35_44_yr_Tot,F_45_54_yr_Married,F_45_54_yr_Separated,F_45_54_yr_Divorced,F_45_54_yr_Widowed,F_45_54_yr_Never_married,F_45_54_yr_Tot,F_55_64_yr_Married,F_55_64_yr_Separated,F_55_64_yr_Divorced,F_55_64_yr_Widowed,F_55_64_yr_Never_married,F_55_64_yr_Tot,F_65_74_yr_Married,F_65_74_yr_Separated,F_65_74_yr_Divorced,F_65_74_yr_Widowed,F_65_74_yr_Never_married,F_65_74_yr_Tot,F_75_84_yr_Married,F_75_84_yr_Separated,F_75_84_yr_Divorced,F_75_84_yr_Widowed,F_75_84_yr_Never_married,F_75_84_yr_Tot,F_85ov_Married,F_85ov_Separated,F_85ov_Divorced,F_85ov_Widowed,F_85ov_Never_married,F_85ov_Tot,F_Tot_Married,F_Tot_Separated,F_Tot_Divorced,F_Tot_Widowed,F_Tot_Never_married,F_Tot_Tot,P_15_19_yr_Married,P_15_19_yr_Separated,P_15_19_yr_Divorced,P_15_19_yr_Widowed,P_15_19_yr_Never_married,P_15_19_yr_Tot,P_20_24_yr_Married,P_20_24_yr_Separated,P_20_24_yr_Divorced,P_20_24_yr_Widowed,P_20_24_yr_Never_married,P_20_24_yr_Tot,P_25_34_yr_Married,P_25_34_yr_Separated,P_25_34_yr_Divorced,P_25_34_yr_Widowed,P_25_34_yr_Never_married,P_25_34_yr_Tot,P_35_44_yr_Married,P_35_44_yr_Separated,P_35_44_yr_Divorced,P_35_44_yr_Widowed,P_35_44_yr_Never_married,P_35_44_yr_Tot,P_45_54_yr_Married,P_45_54_yr_Separated,P_45_54_yr_Divorced,P_45_54_yr_Widowed,P_45_54_yr_Never_married,P_45_54_yr_Tot,P_55_64_yr_Married,P_55_64_yr_Separated,P_55_64_yr_Divorced,P_55_64_yr_Widowed,P_55_64_yr_Never_married,P_55_64_yr_Tot,P_65_74_yr_Married,P_65_74_yr_Separated,P_65_74_yr_Divorced,P_65_74_yr_Widowed,P_65_74_yr_Never_married,P_65_74_yr_Tot,P_75_84_yr_Married,P_75_84_yr_Separated,P_75_84_yr_Divorced,P_75_84_yr_Widowed,P_75_84_yr_Never_married,P_75_84_yr_Tot,P_85ov_Married,P_85ov_Separated,P_85ov_Divorced,P_85ov_Widowed,P_85ov_Never_married,P_85ov_Tot,P_Tot_Married,P_Tot_Separated,P_Tot_Divorced,P_Tot_Widowed,P_Tot_Never_married,P_Tot_Tot
SED80001,0,0,0,0,2550,2547,46,5,0,0,2516,2567,1793,72,96,3,3681,5647,3393,189,325,10,1577,5500,3328,246,553,19,1090,5243,3633,207,711,86,606,5242,2849,110,519,159,202,3837,1149,43,146,174,33,1551,272,0,12,151,14,451,16463,872,2368,606,12280,32595,0,0,0,0,2293,2295,115,4,5,0,2226,2351,2353,135,150,6,3092,5742,3600,276,430,22,1436,5768,3424,314,859,86,961,5637,3571,269,1168,252,537,5799,2442,148,862,529,196,4180,831,35,301,670,59,1890,131,5,57,539,11,749,16467,1181,3829,2111,10814,34404,0,0,0,3,4844,4842,161,6,5,0,4743,4915,4145,206,246,11,6779,11390,6992,462,761,34,3018,11267,6749,558,1420,110,2054,10882,7204,476,1878,339,1142,11043,5297,258,1382,691,401,8015,1984,74,443,847,93,3441,405,8,69,696,22,1202,32931,2052,6202,2717,23088,67000
SED80002,0,0,0,0,2630,2628,98,4,0,0,3565,3660,2774,89,118,3,5521,8514,4443,210,342,11,2083,7088,3396,235,615,31,1335,5614,2693,169,622,55,664,4205,2574,108,462,124,267,3541,1538,43,195,250,68,2094,387,3,40,189,19,637,17894,866,2397,674,16155,37981,0,0,5,0,2555,2555,240,13,6,0,3534,3795,3461,159,186,3,4610,8418,4455,276,511,29,1954,7231,3236,299,848,86,1189,5663,2650,196,957,220,596,4622,2480,134,856,558,263,4292,1153,44,333,804,91,2423,201,8,65,569,27,878,17876,1128,3775,2269,14814,39861,0,0,4,0,5179,5187,335,15,10,0,7096,7456,6232,252,308,10,10128,16932,8896,484,857,43,4034,14313,6630,537,1463,120,2526,11271,5343,370,1587,275,1263,8826,5056,247,1318,686,533,7836,2684,85,532,1052,161,4511,590,12,104,757,43,1511,35771,1996,6174,2938,30969,77845
SED80003,0,0,0,0,2966,2972,72,0,4,3,5061,5138,1797,77,116,9,7399,9394,3087,173,355,12,2520,6164,2892,260,556,12,1367,5089,2468,196,664,40,915,4284,1949,103,445,116,442,3063,1050,39,170,162,106,1530,331,14,37,214,20,615,13659,864,2351,567,20801,38241,0,0,0,0,3068,3074,112,6,5,0,5279,5399,2179,90,160,3,6786,9213,3188,215,461,25,2237,6127,2834,265,634,82,1286,5102,2295,165,847,179,845,4327,1753,122,664,360,333,3228,776,42,323,636,87,1862,184,4,107,749,40,1080,13335,896,3201,2038,19947,39418,6,0,0,0,6033,6043,184,8,14,3,10332,10540,3978,166,274,7,14185,18602,6278,390,822,39,4759,12288,5727,522,1191,98,2650,10194,4768,366,1506,216,1755,8607,3705,219,1115,477,775,6288,1832,74,496,797,191,3397,508,21,143,965,61,1696,26989,1765,5555,2599,40749,77651
SED80004,0,0,0,0,2407,2408,66,4,4,0,2365,2438,2224,70,91,8,3890,6277,4438,169,275,9,1589,6480,3615,210,569,24,1131,5547,2912,172,532,48,727,4393,2660,104,460,160,273,3653,1887,58,235,243,92,2513,554,8,58,274,25,920,18344,798,2227,767,12494,34625,3,0,0,0,2256,2261,177,10,5,0,2283,2474,2921,87,121,4,3507,6642,4546,244,449,31,1529,6789,3591,289,815,75,1052,5812,2875,170,832,208,654,4747,2563,97,767,579,300,4306,1474,47,422,1059,119,3116,258,8,107,893,50,1315,18416,954,3508,2845,11740,37470,3,0,0,0,4659,4667,244,12,7,0,4647,4912,5145,160,216,10,7396,12923,8980,409,722,36,3118,13270,7203,497,1383,94,2180,11359,5785,340,1373,256,1378,9139,5219,206,1223,740,573,7958,3358,109,654,1302,205,5631,809,20,161,1169,69,2236,36758,1746,5739,3618,24235,72089
SED80005,0,0,3,0,2830,2831,94,0,3,6,3134,3239,3534,101,121,5,5052,8810,6541,253,464,13,1774,9045,4667,226,547,25,830,6296,2776,145,428,58,335,3739,1991,75,249,102,110,2529,866,25,71,97,36,1103,152,6,12,63,6,234,20631,834,1902,369,14099,37829,0,0,0,0,2713,2716,248,7,8,0,2855,3119,4657,168,201,12,3939,8974,6471,312,612,42,1655,9094,4159,280,833,89,766,6129,2524,169,719,211,337,3969,1780,99,553,465,119,3021,560,26,155,489,31,1261,62,3,31,193,8,299,20467,1058,3115,1514,12422,38580,5,0,3,0,5534,5545,341,10,16,3,5987,6355,8192,270,320,12,8992,17784,13013,568,1080,53,3426,18143,8822,504,1379,119,1595,12426,5307,309,1152,273,672,7717,3767,171,807,569,231,5541,1432,48,223,589,65,2358,208,13,48,259,6,535,41100,1894,5018,1884,26519,76406
SED89494,0,0,0,0,23,23,0,0,0,0,43,44,5,0,0,0,55,60,0,4,0,0,54,62,10,8,12,0,28,53,7,3,7,0,7,38,7,3,10,0,9,21,0,0,0,0,0,6,0,0,0,0,0,0,32,19,35,7,221,315,0,0,0,0,37,37,0,0,0,0,42,40,9,0,0,0,40,53,8,4,3,0,21,33,3,0,7,0,16,30,9,4,11,6,8,35,3,0,7,0,0,10,0,0,0,3,0,8,0,0,0,0,0,0,40,10,30,8,158,249,0,0,0,0,58,58,0,0,0,0,83,82,14,0,0,0,91,108,11,9,6,0,75,104,8,3,20,4,46,77,23,8,24,3,17,78,10,3,8,6,9,34,6,0,0,3,0,10,0,0,0,0,0,4,76,32,68,15,375,560
SED89797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
