SED_CODE_2021,M_0_299_DS_DS_Sept_house,M_0_299_DS_DS_sd_row_tce_hs_t,M_0_299_DS_DS_Flat_apart,M_0_299_DS_DS_Other_dwg,M_0_299_DS_ns,M_0_299_Tot,M_300_449_DS_Separate_hse,M_300_449_DS_sd_row_tc_hse_th,M_300_449_DS_Flat_apart,M_300_449_DS_Other_dwg,M_300_449_DS_ns,M_300_449_Tot,M_450_599_DS_Separate_hse,M_450_599_DS_sd_row_tce_hs_th,M_450_599_DS_Flat_apart,M_450_599_DS_Other_dwg,M_450_599_DS_ns,M_450_599_Tot,M_600_799_DS_Separate_hse,M_600_799_DS_sd_row_tc_hs_th,M_600_799_DS_Flat_apart,M_600_799_DS_Other_dwg,M_600_799_DS_ns,M_600_799_Tot,M_800_999_DS_Separate_hse,M_800_999_DS_sd_row_tc_hs_th,M_800_999_DS_Flat_apart,M_800_999_DS_Other_dwg,M_800_999_DS_ns,M_800_999_Tot,M_1000_1399_DS_Separate_hse,M_1000_1399_DS_sd_rw_tc_h_th,M_1000_1399_DS_Flat_apart,M_1000_1399_DS_Other_dwg,M_1000_1399_DS_ns,M_1000_1399_Tot,M_1400_1799_DS_Separate_hse,M_1400_1799_DS_sd_rw_tc_h_th,M_1400_1799_DS_Flat_apart,M_1400_1799_DS_Other_dwg,M_1400_1799_DS_ns,M_1400_1799_Tot,M_1800_2399_DS_Separate_hse,M_1800_2399_DS_sd_rw_tc_h_th,M_1800_2399_DS_Flat_apart,M_1800_2399_DS_Other_dwg,M_1800_2399_DS_ns,M_1800_2399_Tot,M_2400_2999_DS_Separate_hse,M_2400_2999_DS_sd_rw_tc_h_th,M_2400_2999_DS_Flat_apart,M_2400_2999_DS_Other_dwg,M_2400_2999_DS_ns,M_2400_2999_Tot,M_3000_3999_DS_Separate_hse,M_3000_3999_DS_sd_rw_tc_h_th,M_3000_3999_DS_Flt_apart,M_3000_3999_DS_Other_dwg,M_3000_3999_DS_ns,M_3000_3999_Tot,M_4000_over_DS_Separate_hse,M_4000_ov_DS_sd_rw_tce_hs_th,M_4000_over_DS_Flat_apart,M_4000_over_DS_Other_dwg,M_4000_DS_over_ns,M_4000_over_Tot,Mort_Rpmnt_ns_DS_Separat_hs,Mrt_Rpmt_ns_DS_sd_rw_tc_hs_th,Mrt_Rpmt_ns_DS_Flat_apart,Mort_Rpmnt_ns_DS_Other_dwg,Mort_Rpmnt_ns_DS_ns,Mort_Rpmnt_ns_Total,Tot_DS_Separate_hse,Tot_DS_sd_row_tce_hse_thse,Tot_DS_Flat_apartment,Tot_DS_Other_dwg,Tot_DS_ns,Tot_Tot
SED80001,530,58,13,0,0,602,189,20,8,0,0,211,149,24,3,0,0,184,262,46,15,0,0,324,352,51,25,0,0,432,1054,225,167,0,0,1447,1643,416,173,0,0,2227,3377,411,143,0,0,3935,1963,116,39,0,0,2123,1289,65,34,0,0,1379,636,32,13,0,0,683,493,69,21,0,0,584,11938,1538,653,0,0,14129
SED80002,438,76,35,0,0,550,135,25,12,0,0,170,117,26,14,0,0,148,213,47,40,0,0,297,306,83,69,0,0,459,959,290,330,0,0,1580,1589,527,313,0,4,2438,3128,562,193,0,0,3886,1705,178,50,0,0,1934,1180,114,47,0,0,1343,687,59,26,0,0,771,423,85,32,0,0,544,10875,2066,1159,0,4,14104
SED80003,297,72,121,0,0,493,65,18,28,0,0,118,50,15,32,0,0,96,65,32,84,0,0,183,93,41,136,0,0,276,282,157,659,0,0,1099,340,251,1072,0,0,1660,687,361,1095,0,0,2140,592,209,374,0,0,1175,940,222,341,0,0,1505,1091,146,212,0,0,1444,212,41,132,0,0,387,4710,1590,4284,0,7,10590
SED80004,472,61,43,0,0,575,103,14,15,0,0,130,102,25,29,0,0,153,182,46,53,0,0,277,201,62,83,0,0,342,597,246,441,0,0,1277,762,423,488,0,0,1669,1698,575,373,0,0,2642,1525,227,112,0,0,1862,1836,161,59,0,0,2054,1543,105,37,0,3,1683,364,65,49,0,0,476,9378,1999,1755,0,11,13144
SED80005,411,76,27,0,0,521,123,14,7,0,0,152,106,23,16,0,0,148,178,42,31,0,0,252,234,73,74,0,0,383,861,315,340,0,0,1520,1358,721,344,0,3,2427,2900,855,180,0,0,3934,2196,225,29,0,0,2448,1994,131,34,0,5,2160,1036,66,19,0,0,1116,593,98,44,0,0,737,11984,2645,1147,0,12,15786
SED89494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SED89797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
