SED_CODE_2021,M_Iraq_0_4,M_Iraq_5_14,M_Iraq_15_24,M_Iraq_25_44,M_Iraq_45_54,M_Iraq_55_64,M_Iraq_65_74,M_Iraq_75_84,M_Iraq_85ov,M_Iraq_Tot,M_Ireland_0_4,M_Ireland_5_14,M_Ireland_15_24,M_Ireland_25_44,M_Ireland_45_54,M_Ireland_55_64,M_Ireland_65_74,M_Ireland_75_84,M_Ireland_85ov,M_Ireland_Tot,M_Italy_0_4,M_Italy_5_14,M_Italy_15_24,M_Italy_25_44,M_Italy_45_54,M_Italy_55_64,M_Italy_65_74,M_Italy_75_84,M_Italy_85ov,M_Italy_Tot,M_Japan_0_4,M_Japan_5_14,M_Japan_15_24,M_Japan_25_44,M_Japan_45_54,M_Japan_55_64,M_Japan_65_74,M_Japan_75_84,M_Japan_85ov,M_Japan_Tot,M_Korea_South_0_4,M_Korea_South_5_14,M_Korea_South_15_24,M_Korea_South_25_44,M_Korea_South_45_54,M_Korea_South_55_64,M_Korea_South_65_74,M_Korea_South_75_84,M_Korea_South_85ov,M_Korea_South_Tot,M_Lebanon_0_4,M_Lebanon_5_14,M_Lebanon_15_24,M_Lebanon_25_44,M_Lebanon_45_54,M_Lebanon_55_64,M_Lebanon_65_74,M_Lebanon_75_84,M_Lebanon_85ov,M_Lebanon_Tot,M_Malaysia_0_4,M_Malaysia_5_14,M_Malaysia_15_24,M_Malaysia_25_44,M_Malaysia_45_54,M_Malaysia_55_64,M_Malaysia_65_74,M_Malaysia_75_84,M_Malaysia_85ov,M_Malaysia_Tot,M_Malta_0_4,M_Malta_5_14,M_Malta_15_24,M_Malta_25_44,M_Malta_45_54,M_Malta_55_64,M_Malta_65_74,M_Malta_75_84,M_Malta_85ov,M_Malta_Tot,M_Mauritius_0_4,M_Mauritius_5_14,M_Mauritius_15_24,M_Mauritius_25_44,M_Mauritius_45_54,M_Mauritius_55_64,M_Mauritius_65_74,M_Mauritius_75_84,M_Mauritius_85ov,M_Mauritius_Tot,M_Myanmar_0_4,M_Myanmar_5_14,M_Myanmar_15_24,M_Myanmar_25_44,M_Myanmar_45_54,M_Myanmar_55_64,M_Myanmar_65_74,M_Myanmar_75_84,M_Myanmar_85ov,M_Myanmar_Tot,M_Nepal_0_4,M_Nepal_5_14,M_Nepal_15_24,M_Nepal_25_44,M_Nepal_45_54,M_Nepal_55_64,M_Nepal_65_74,M_Nepal_75_84,M_Nepal_85ov,M_Nepal_Tot,M_Netherlands_0_4,M_Netherlands_5_14,M_Netherlands_15_24,M_Netherlands_25_44,M_Netherlands_45_54,M_Netherlands_55_64,M_Netherlands_65_74,M_Netherlands_75_84,M_Netherlands_85ov,M_Netherlands_Tot,M_New_Zealand_0_4,M_New_Zealand_5_14,M_New_Zealand_15_24,M_New_Zealand_25_44,M_New_Zealand_45_54,M_New_Zealand_55_64,M_New_Zealand_65_74,M_New_Zealand_75_84,M_New_Zealand_85ov,M_New_Zealand_Tot,M_North_Macedonia_0_4,M_North_Macedonia_5_14,M_North_Macedonia_15_24,M_North_Macedonia_25_44,M_North_Macedonia_45_54,M_North_Macedonia_55_64,M_North_Macedonia_65_74,M_North_Macedonia_75_84,M_North_Macedonia_85ov,M_North_Macedonia_Tot,M_Pakistan_0_4,M_Pakistan_5_14,M_Pakistan_15_24,M_Pakistan_25_44,M_Pakistan_45_54,M_Pakistan_55_64,M_Pakistan_65_74,M_Pakistan_75_84,M_Pakistan_85ov,M_Pakistan_Tot,M_PNG_0_4,M_PNG_5_14,M_PNG_15_24,M_PNG_25_44,M_PNG_45_54,M_PNG_55_64,M_PNG_65_74,M_PNG_75_84,M_PNG_85ov,M_PNG_Tot,M_Philippines_0_4,M_Philippines_5_14,M_Philippines_15_24,M_Philippines_25_44,M_Philippines_45_54,M_Philippines_55_64,M_Philippines_65_74,M_Philippines_75_84,M_Philippines_85ov,M_Philippines_Tot,M_Poland_0_4,M_Poland_5_14,M_Poland_15_24,M_Poland_25_44,M_Poland_45_54,M_Poland_55_64,M_Poland_65_74,M_Poland_75_84,M_Poland_85ov,M_Poland_Tot,M_Samoa_0_4,M_Samoa_5_14,M_Samoa_15_24,M_Samoa_25_44,M_Samoa_45_54,M_Samoa_55_64,M_Samoa_65_74,M_Samoa_75_84,M_Samoa_85ov,M_Samoa_Tot,M_Scotland_0_4,M_Scotland_5_14,M_Scotland_15_24,M_Scotland_25_44,M_Scotland_45_54,M_Scotland_55_64,M_Scotland_65_74,M_Scotland_75_84,M_Scotland_85ov,M_Scotland_Tot
SED80001,0,15,14,46,22,12,10,0,0,119,0,8,5,20,9,16,12,8,4,77,0,0,0,9,8,30,61,27,11,148,0,0,3,5,6,0,0,0,0,16,0,6,11,27,11,7,0,0,0,65,0,3,3,16,27,15,18,4,3,94,0,3,9,30,24,41,30,8,0,142,0,0,0,3,0,8,13,12,0,42,0,0,0,9,3,3,0,0,0,26,0,0,0,5,4,6,6,4,0,25,0,5,45,212,6,0,0,0,0,266,0,0,0,4,3,19,39,24,11,93,0,16,44,118,101,90,57,19,0,459,0,0,3,6,6,13,8,0,0,30,0,10,8,65,17,8,0,0,0,111,0,0,4,0,27,12,4,0,0,54,5,25,47,126,70,32,23,6,0,336,0,4,0,21,11,18,34,9,0,96,0,0,7,12,3,10,0,0,0,30,0,0,8,19,25,58,48,26,12,197
SED80002,0,5,10,39,4,4,3,0,0,77,0,0,8,38,8,10,13,15,0,98,0,0,6,19,15,29,65,59,29,228,0,9,7,8,0,0,5,0,0,40,0,5,16,135,10,9,7,0,4,182,0,0,3,18,14,4,6,4,0,40,0,0,27,85,32,43,22,14,3,232,0,0,0,4,0,3,11,4,4,23,0,0,0,30,0,9,0,0,0,44,0,3,9,30,11,13,0,5,0,69,0,6,133,574,8,0,3,0,0,739,0,7,0,18,7,7,24,26,4,103,4,31,54,170,68,72,55,28,7,487,0,0,0,11,4,12,6,5,0,37,3,27,24,246,27,12,0,3,0,348,0,0,4,14,35,15,4,0,0,78,0,35,68,205,72,45,11,3,6,433,0,0,3,27,13,8,20,5,8,85,0,0,9,9,0,5,0,3,0,30,0,4,9,31,22,41,46,46,11,205
SED80003,0,0,8,16,11,6,4,0,0,49,0,0,9,41,17,9,11,12,0,95,0,3,0,44,19,29,39,27,27,187,0,10,22,26,7,3,0,0,0,74,0,8,36,131,33,12,0,5,0,230,0,0,3,11,6,5,3,0,0,32,0,11,78,124,38,34,12,6,0,306,0,0,0,0,3,0,8,4,0,17,0,0,3,8,3,0,0,0,0,18,0,0,3,14,12,10,5,6,0,55,0,7,42,240,0,3,0,0,0,294,4,0,5,22,17,18,31,15,10,123,0,13,109,215,112,94,51,30,0,631,0,0,0,15,0,9,9,4,0,34,0,6,28,106,12,8,0,0,0,172,0,3,5,22,28,11,5,0,0,76,5,15,27,119,24,7,4,0,0,201,0,0,3,24,16,6,21,12,4,92,0,4,3,8,3,0,0,0,0,20,0,4,16,38,21,40,33,28,3,186
SED80004,0,4,8,26,17,11,7,0,0,79,0,16,9,29,13,9,14,18,8,111,0,5,0,26,14,25,62,62,32,223,0,10,7,12,9,0,8,0,0,55,4,8,6,92,16,8,4,0,0,150,0,0,3,17,7,5,7,3,0,34,3,21,16,94,56,45,36,12,9,292,0,0,0,0,0,0,14,10,0,29,0,0,0,8,3,3,3,0,0,19,0,0,0,20,8,4,7,4,4,46,0,14,104,708,14,0,3,4,0,843,0,0,9,7,15,10,28,14,12,93,3,37,32,142,111,94,58,43,17,525,0,0,0,17,9,10,14,0,0,41,0,25,22,130,35,20,0,0,0,234,0,0,0,12,30,23,3,3,0,69,3,41,42,282,67,19,15,5,0,472,0,0,0,16,5,16,29,16,3,84,0,3,0,3,0,10,4,0,0,23,0,4,5,28,25,41,43,35,20,197
SED80005,0,5,8,26,17,8,0,0,0,74,0,10,0,35,10,3,5,5,0,76,0,7,0,36,24,19,45,34,11,174,6,12,4,8,9,9,0,0,0,49,10,21,46,345,77,30,10,0,0,539,0,0,4,23,12,0,7,0,0,52,8,18,28,131,51,34,20,11,0,306,0,0,0,0,0,3,9,5,0,20,0,0,15,29,6,9,4,0,0,71,0,0,15,54,41,13,5,3,0,128,0,12,141,720,32,8,3,3,0,913,3,0,0,6,6,11,14,12,7,54,12,46,70,208,93,71,32,11,3,546,0,0,3,20,12,17,23,4,0,85,12,75,82,511,90,31,13,6,0,814,0,0,0,9,34,5,0,0,0,53,0,35,76,253,102,50,25,4,0,541,0,6,4,15,24,16,9,3,0,77,0,4,6,17,4,4,0,0,0,40,0,3,6,25,32,30,31,15,4,141
SED89494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SED89797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
