SED_CODE_2021,M_0_149_CFNC,M_0_149_CF_C_und15,M_0_149_CFNC_und15,M_0_149_1PF_C_und15,M_0_149_1PFNC_und15,M_0_149_OthF,M_0_149_Tot,M_150_299_CFNC,M_150_299_CF_C_und15,M_150_299_CFNC_und15,M_150_299_1PF_C_und15,M_150_299_1PFNC_und15,M_150_299_OthF,M_150_299_Tot,M_300_449_CFNC,M_300_449_CF_C_und15,M_300_449_CFNC_und15,M_300_449_1PF_C_und15,M_300_449_1PFNC_und15,M_300_449_OthF,M_300_449_Tot,M_450_599_CFNC,M_450_599_CF_C_und15,M_450_599_CFNC_und15,M_450_599_1PF_C_und15,M_450_599_1PFNC_und15,M_450_599_OthF,M_450_599_Tot,M_600_799_CFNC,M_600_799_CF_C_und15,M_600_799_CFNC_und15,M_600_799_1PF_C_und15,M_600_799_1PFNC_und15,M_600_799_OthF,M_600_799_Tot,M_800_999_CFNC,M_800_999_CF_C_und15,M_800_999_CFNC_und15,M_800_999_1PF_C_und15,M_800_999_1PFNC_und15,M_800_999_OthF,M_800_999_Tot,M_1000_1199_CFNC,M_1000_1199_CF_C_und15,M_1000_1199_CFNC_und15,M_1000_1199_1PF_C_und15,M_1000_1199_1PFNC_und15,M_1000_1199_OthF,M_1000_1199_Tot,M_1200_1399_CFNC,M_1200_1399_CF_C_und15,M_1200_1399_CFNC_und15,M_1200_1399_1PF_C_und15,M_1200_1399_1PFNC_und15,M_1200_1399_OthF,M_1200_1399_Tot,M_1400_1599_CFNC,M_1400_1599_CF_C_und15,M_1400_1599_CFNC_und15,M_1400_1599_1PF_C_und15,M_1400_1599_1PFNC_und15,M_1400_1599_OthF,M_1400_1599_Tot,M_1600_1799_CFNC,M_1600_1799_CF_C_und15,M_1600_1799_CFNC_und15,M_1600_1799_1PF_C_und15,M_1600_1799_1PFNC_und15,M_1600_1799_OthF,M_1600_1799_Tot,M_1800_1999_CFNC,M_1800_1999_CF_C_und15,M_1800_1999_CFNC_und15,M_1800_1999_1PF_C_und15,M_1800_1999_1PFNC_und15,M_1800_1999_OthF,M_1800_1999_Tot,M_2000_2199_CFNC,M_2000_2199_CF_C_und15,M_2000_2199_CFNC_und15,M_2000_2199_1PF_C_und15,M_2000_2199_1PFNC_und15,M_2000_2199_OthF,M_2000_2199_Tot,M_2200_2399_CFNC,M_2200_2399_CF_C_und15,M_2200_2399_CFNC_und15,M_2200_2399_1PF_C_und15,M_2200_2399_1PFNC_und15,M_2200_2399_OthF,M_2200_2399_Tot,M_2400_2599_CFNC,M_2400_2599_CF_C_und15,M_2400_2599_CFNC_und15,M_2400_2599_1PF_C_und15,M_2400_2599_1PFNC_und15,M_2400_2599_OthF,M_2400_2599_Tot,M_2600_2999_CFNC,M_2600_2999_CF_C_und15,M_2600_2999_CFNC_und15,M_2600_2999_1PF_C_und15,M_2600_2999_1PFNC_und15,M_2600_2999_OthF,M_2600_2999_Tot,M_3000_3999_CFNC,M_3000_3999_CF_C_und15,M_3000_3999_CFNC_und15,M_3000_3999_1PF_C_und15,M_3000_3999_1PFNC_und15,M_3000_3999_OthF,M_3000_3999_Tot,M_4000_4999_CFNC,M_4000_4999_CF_C_und15,M_4000_4999_CFNC_und15,M_4000_4999_1PF_C_und15,M_4000_4999_1PFNC_und15,M_4000_4999_OthF,M_4000_4999_Tot,M_5000over_CFNC,M_5000over_CF_C_und15,M_5000over_CFNC_und15,M_5000over_1PF_C_und15,M_5000over_1PFNC_und15,M_5000over_OthF,M_5000over_Tot,M_NS_CFNC,M_NS_CF_C_und15,M_NS_CFNC_und15,M_NS_1PF_C_und15,M_NS_1PFNC_und15,M_NS_OthF,M_NS_Tot,Tot_CFNC,Tot_CF_C_und15,Tot_CFNC_und15,Tot_1PF_C_und15,Tot_1PFNC_und15,Tot_OthF,Tot_Tot
SED80001,147,96,63,15,32,3,350,41,10,26,5,9,0,94,73,20,43,6,17,0,159,45,25,35,11,12,0,127,91,46,64,17,38,3,264,109,79,67,28,42,3,321,152,121,108,39,58,0,483,175,189,121,42,65,12,607,200,268,110,75,70,11,734,251,418,155,86,103,12,1033,239,467,105,77,72,10,974,418,746,218,108,89,11,1582,241,460,120,64,42,8,918,163,344,67,30,10,0,612,320,740,214,77,52,15,1420,283,675,256,49,42,5,1309,98,188,80,25,6,3,399,64,125,63,11,9,0,268,112,195,83,37,37,7,468,3229,5211,1998,792,805,97,12125
SED80002,125,84,77,8,25,10,323,35,12,21,0,12,0,82,51,27,22,14,17,0,129,48,36,15,4,8,0,113,70,44,39,14,18,3,193,93,94,61,31,30,4,312,167,152,80,31,48,4,475,193,232,87,47,51,3,617,235,321,95,90,54,12,808,255,449,114,87,81,11,991,276,450,78,72,68,8,955,405,742,177,107,76,10,1525,207,480,71,50,35,8,847,160,323,43,28,18,5,588,307,688,134,48,27,3,1204,306,713,146,50,23,6,1234,105,233,77,23,13,5,447,67,148,51,10,0,0,283,120,188,66,26,39,9,440,3220,5410,1441,739,652,100,11557
SED80003,124,75,52,17,9,7,281,22,10,10,3,3,0,52,37,14,15,13,4,0,87,23,19,11,9,7,0,66,39,26,20,9,6,0,101,61,40,24,9,18,0,144,105,65,38,17,26,3,254,148,85,28,30,21,3,323,214,110,28,24,14,7,393,234,137,43,37,23,0,470,187,124,31,31,18,9,391,304,227,69,50,38,10,694,130,133,24,22,14,5,326,108,148,21,19,13,4,311,211,315,51,38,30,5,646,334,688,146,74,45,9,1286,161,341,99,19,11,0,633,169,382,115,20,13,0,699,81,98,45,15,14,5,260,2687,3024,871,453,327,56,7416
SED80004,134,111,82,21,17,8,371,36,23,26,4,4,0,94,32,28,22,4,9,0,91,37,26,22,6,17,0,106,76,46,41,12,3,5,190,71,62,33,24,23,7,215,141,121,63,19,32,9,385,157,155,48,38,33,8,440,185,183,59,58,52,10,550,208,241,66,48,50,13,622,177,275,74,49,26,7,609,242,495,126,61,52,7,984,164,297,57,37,27,0,583,145,273,47,23,13,0,503,258,674,140,78,40,6,1186,406,1194,235,68,47,3,1956,159,527,136,21,15,4,871,158,435,130,17,25,0,762,84,199,61,23,24,4,395,2883,5361,1456,617,517,84,10912
SED80005,111,136,64,11,20,11,351,24,26,22,6,10,0,78,43,16,30,4,11,5,107,33,35,20,4,18,4,118,63,62,31,15,22,4,190,78,101,46,18,24,3,271,115,186,72,44,43,8,459,167,245,84,40,59,10,616,232,354,99,60,51,10,806,274,508,123,74,60,12,1058,234,473,107,75,48,14,955,374,851,217,84,69,10,1605,212,513,102,46,36,5,911,165,460,79,29,10,7,752,310,980,179,66,48,8,1588,412,1251,318,65,48,4,2092,138,393,109,18,17,0,676,92,233,75,11,5,3,417,134,320,101,38,32,4,631,3194,7159,1877,708,624,123,13692
SED89494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SED89797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
