SED_CODE_2021,Age_yr_55_P,Age_yr_56_M,Age_yr_56_F,Age_yr_56_P,Age_yr_57_M,Age_yr_57_F,Age_yr_57_P,Age_yr_58_M,Age_yr_58_F,Age_yr_58_P,Age_yr_59_M,Age_yr_59_F,Age_yr_59_P,Age_yr_55_59_M,Age_yr_55_59_F,Age_yr_55_59_P,Age_yr_60_M,Age_yr_60_F,Age_yr_60_P,Age_yr_61_M,Age_yr_61_F,Age_yr_61_P,Age_yr_62_M,Age_yr_62_F,Age_yr_62_P,Age_yr_63_M,Age_yr_63_F,Age_yr_63_P,Age_yr_64_M,Age_yr_64_F,Age_yr_64_P,Age_yr_60_64_M,Age_yr_60_64_F,Age_yr_60_64_P,Age_yr_65_M,Age_yr_65_F,Age_yr_65_P,Age_yr_66_M,Age_yr_66_F,Age_yr_66_P,Age_yr_67_M,Age_yr_67_F,Age_yr_67_P,Age_yr_68_M,Age_yr_68_F,Age_yr_68_P,Age_yr_69_M,Age_yr_69_F,Age_yr_69_P,Age_yr_65_69_M,Age_yr_65_69_F,Age_yr_65_69_P,Age_yr_70_M,Age_yr_70_F,Age_yr_70_P,Age_yr_71_M,Age_yr_71_F,Age_yr_71_P,Age_yr_72_M,Age_yr_72_F,Age_yr_72_P,Age_yr_73_M,Age_yr_73_F,Age_yr_73_P,Age_yr_74_M,Age_yr_74_F,Age_yr_74_P,Age_yr_70_74_M,Age_yr_70_74_F,Age_yr_70_74_P,Age_yr_75_M,Age_yr_75_F,Age_yr_75_P,Age_yr_76_M,Age_yr_76_F,Age_yr_76_P,Age_yr_77_M,Age_yr_77_F,Age_yr_77_P,Age_yr_78_M,Age_yr_78_F,Age_yr_78_P,Age_yr_79_M,Age_yr_79_F,Age_yr_79_P,Age_yr_75_79_M,Age_yr_75_79_F,Age_yr_75_79_P,Age_yr_80_84_M,Age_yr_80_84_F,Age_yr_80_84_P,Age_yr_85_89_M,Age_yr_85_89_F,Age_yr_85_89_P,Age_yr_90_94_M,Age_yr_90_94_F,Age_yr_90_94_P,Age_yr_95_99_M,Age_yr_95_99_F,Age_yr_95_99_P,Age_yr_100_yr_over_M,Age_yr_100_yr_over_F,Age_yr_100_yr_over_P,Tot_M,Tot_F,Tot_P
SED80001,1099,527,564,1085,523,651,1176,567,607,1178,567,624,1194,2690,3043,5734,576,580,1156,505,556,1059,494,552,1051,480,544,1030,486,517,1009,2555,2757,5307,467,521,987,401,513,917,426,445,869,436,420,861,396,460,855,2128,2351,4477,372,396,768,363,368,734,344,358,695,322,347,669,307,362,669,1711,1827,3541,284,275,558,183,234,423,182,233,421,183,185,368,140,193,329,970,1122,2089,581,770,1351,308,470,781,123,213,338,22,53,74,4,4,10,40801,42151,82954
SED80002,922,482,482,964,429,477,907,437,403,838,416,461,875,2210,2299,4508,412,491,905,398,447,846,385,472,852,404,454,857,399,458,860,1999,2324,4318,365,378,751,334,433,764,334,422,755,343,438,781,332,412,740,1713,2087,3801,364,452,821,304,450,752,394,414,806,352,432,785,419,453,872,1829,2203,4031,316,351,668,269,339,612,252,309,562,238,242,482,219,256,480,1295,1505,2801,794,921,1716,416,519,936,176,267,443,49,77,130,0,9,6,46915,48105,95023
SED80003,902,466,435,895,469,453,922,470,440,913,478,471,950,2309,2275,4582,435,436,873,428,442,875,408,417,833,370,408,779,323,350,677,1974,2053,4029,360,386,748,321,313,626,336,330,663,322,354,684,296,309,604,1632,1698,3332,280,329,611,319,315,631,277,279,550,268,290,568,284,320,600,1428,1531,2959,234,248,480,242,221,459,197,234,422,139,178,316,169,178,345,971,1048,2021,558,816,1377,356,596,952,206,328,533,50,144,190,7,18,20,43806,44660,88467
SED80004,1026,481,483,963,449,462,904,455,439,895,466,525,991,2325,2449,4776,446,505,950,451,469,924,378,454,836,402,442,845,384,420,808,2062,2296,4358,343,413,751,342,373,711,372,389,766,343,412,756,357,462,820,1759,2049,3806,347,414,758,389,429,814,356,461,819,400,456,862,405,493,895,1896,2254,4147,347,413,763,311,375,683,302,364,663,241,350,594,298,325,622,1501,1829,3334,1009,1292,2296,592,776,1369,255,386,641,69,135,205,4,19,23,43181,45548,88725
SED80005,910,428,465,894,425,416,843,394,460,855,392,394,790,2111,2184,4292,348,362,716,370,346,715,325,351,677,292,337,633,293,387,682,1632,1788,3424,283,388,680,288,332,622,285,332,615,303,323,622,237,303,543,1396,1675,3074,248,323,568,253,300,548,190,230,417,228,234,461,217,256,471,1129,1339,2473,182,184,364,152,159,308,144,139,284,120,154,278,124,146,269,720,780,1498,385,477,861,181,214,389,49,65,113,7,13,22,0,0,3,49315,49399,98716
SED89494,0,5,0,5,12,4,12,7,4,7,0,7,5,17,15,32,5,6,17,7,4,5,9,0,12,4,4,4,0,5,7,20,21,45,0,0,3,0,0,0,3,0,9,4,0,8,0,3,4,11,8,20,4,0,5,0,0,0,6,0,6,4,4,6,4,0,3,9,5,14,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,3,0,7,0,3,6,0,0,4,0,0,0,0,0,0,0,0,0,336,273,605
SED89797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
