SED_CODE_2021,Num_Psns_UR_1_FamHhold,Num_Psns_UR_1_NonFamHhold,Num_Psns_UR_1_Total,Num_Psns_UR_2_FamHhold,Num_Psns_UR_2_NonFamHhold,Num_Psns_UR_2_Total,Num_Psns_UR_3_FamHhold,Num_Psns_UR_3_NonFamHhold,Num_Psns_UR_3_Total,Num_Psns_UR_4_FamHhold,Num_Psns_UR_4_NonFamHhold,Num_Psns_UR_4_Total,Num_Psns_UR_5_FamHhold,Num_Psns_UR_5_NonFamHhold,Num_Psns_UR_5_Total,Num_Psns_UR_6mo_FamHhold,Num_Psns_UR_6mo_NonFamHhold,Num_Psns_UR_6mo_Total,Total_FamHhold,Total_NonFamHhold,Total_Total
SED80001,..,6912,6912,9482,495,9980,5184,120,5307,5264,30,5299,2030,8,2040,925,5,933,22893,7576,30460
SED80002,..,9054,9054,10916,1064,11972,5495,484,5982,5493,154,5648,2002,40,2050,907,32,938,24809,10832,35649
SED80003,..,12241,12241,10709,1772,12488,3923,837,4761,3572,291,3867,1163,93,1252,365,28,394,19732,15273,35008
SED80004,..,8939,8939,10379,694,11074,5054,250,5303,5560,90,5650,2002,26,2022,740,8,745,23727,10001,33734
SED80005,..,6183,6183,8809,723,9536,6193,312,6499,7074,178,7247,2750,64,2818,1223,44,1266,26046,7501,33549
SED89494,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SED89797,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
