SED_CODE_2021,M_15_19y_DUDW_LT_5_h,M_15_19y_DUDW_5_14_h,M_15_19y_DUDW_15_29_h,M_15_19y_DUDW_30_h_mo,M_15_19y_DNUDW,M_15_19y_UDW_NS,M_15_19y_Total,M_20_24y_DUDW_LT_5_h,M_20_24y_DUDW_5_14_h,M_20_24y_DUDW_15_29_h,M_20_24y_DUDW_30_h_mo,M_20_24y_DNUDW,M_20_24y_UDW_NS,M_20_24y_Total,M_25_34y_DUDW_LT_5_h,M_25_34y_DUDW_5_14_h,M_25_34y_DUDW_15_29_h,M_25_34y_DUDW_30_h_mo,M_25_34y_DNUDW,M_25_34y_UDW_NS,M_25_34y_Total,M_35_44y_DUDW_LT_5_h,M_35_44y_DUDW_5_14_h,M_35_44y_DUDW_15_29_h,M_35_44y_DUDW_30_h_mo,M_35_44y_DNUDW,M_35_44y_UDW_NS,M_35_44y_Total,M_45_54y_DUDW_LT_5_h,M_45_54y_DUDW_5_14_h,M_45_54y_DUDW_15_29_h,M_45_54y_DUDW_30_h_mo,M_45_54y_DNUDW,M_45_54y_UDW_NS,M_45_54y_Total,M_55_64y_DUDW_LT_5_h,M_55_64y_DUDW_5_14_h,M_55_64y_DUDW_15_29_h,M_55_64y_DUDW_30_h_mo,M_55_64y_DNUDW,M_55_64y_UDW_NS,M_55_64y_Total,M_65_74y_DUDW_LT_5_h,M_65_74y_DUDW_5_14_h,M_65_74y_DUDW_15_29_h,M_65_74y_DUDW_30_h_mo,M_65_74y_DNUDW,M_65_74y_UDW_NS,M_65_74y_Total,M_75_84y_DUDW_LT_5_h,M_75_84y_DUDW_5_14_h,M_75_84y_DUDW_15_29_h,M_75_84y_DUDW_30_h_mo,M_75_84y_DNUDW,M_75_84y_UDW_NS,M_75_84y_Total,M_85y_ov_DUDW_LT_5_h,M_85y_ov_DUDW_5_14_h,M_85y_ov_DUDW_15_29_h,M_85y_ov_DUDW_30_h_mo,M_85y_ov_DNUDW,M_85y_ov_UDW_NS,M_85y_ov_Total,M_Tot_DUDW_LT_5_h,M_Tot_DUDW_5_14_h,M_Tot_DUDW_15_29_h,M_Tot_DUDW_30_h_mo,M_Tot_DNUDW,M_Tot_UDW_NS,M_Tot_Total,F_15_19y_DUDW_LT_5_h,F_15_19y_DUDW_5_14_h,F_15_19y_DUDW_15_29_h,F_15_19y_DUDW_30_h_mo,F_15_19y_DNUDW,F_15_19y_UDW_NS,F_15_19y_Total,F_20_24y_DUDW_LT_5_h,F_20_24y_DUDW_5_14_h,F_20_24y_DUDW_15_29_h,F_20_24y_DUDW_30_h_mo,F_20_24y_DNUDW,F_20_24y_UDW_NS,F_20_24y_Total,F_25_34y_DUDW_LT_5_h,F_25_34y_DUDW_5_14_h,F_25_34y_DUDW_15_29_h,F_25_34y_DUDW_30_h_mo,F_25_34y_DNUDW,F_25_34y_UDW_NS,F_25_34y_Total,F_35_44y_DUDW_LT_5_h,F_35_44y_DUDW_5_14_h,F_35_44y_DUDW_15_29_h,F_35_44y_DUDW_30_h_mo,F_35_44y_DNUDW,F_35_44y_UDW_NS,F_35_44y_Total,F_45_54y_DUDW_LT_5_h,F_45_54y_DUDW_5_14_h,F_45_54y_DUDW_15_29_h,F_45_54y_DUDW_30_h_mo,F_45_54y_DNUDW,F_45_54y_UDW_NS,F_45_54y_Total,F_55_64y_DUDW_LT_5_h,F_55_64y_DUDW_5_14_h,F_55_64y_DUDW_15_29_h,F_55_64y_DUDW_30_h_mo,F_55_64y_DNUDW,F_55_64y_UDW_NS,F_55_64y_Total,F_65_74y_DUDW_LT_5_h,F_65_74y_DUDW_5_14_h,F_65_74y_DUDW_15_29_h,F_65_74y_DUDW_30_h_mo,F_65_74y_DNUDW,F_65_74y_UDW_NS,F_65_74y_Total,F_75_84y_DUDW_LT_5_h,F_75_84y_DUDW_5_14_h,F_75_84y_DUDW_15_29_h,F_75_84y_DUDW_30_h_mo,F_75_84y_DNUDW,F_75_84y_UDW_NS,F_75_84y_Total,F_85y_ov_DUDW_LT_5_h,F_85y_ov_DUDW_5_14_h,F_85y_ov_DUDW_15_29_h,F_85y_ov_DUDW_30_h_mo,F_85y_ov_DNUDW,F_85y_ov_UDW_NS,F_85y_ov_Total,F_Tot_DUDW_LT_5_h,F_Tot_DUDW_5_14_h,F_Tot_DUDW_15_29_h,F_Tot_DUDW_30_h_mo,F_Tot_DNUDW,F_Tot_UDW_NS,F_Tot_Total,P_15_19y_DUDW_LT_5_h,P_15_19y_DUDW_5_14_h,P_15_19y_DUDW_15_29_h,P_15_19y_DUDW_30_h_mo,P_15_19y_DNUDW,P_15_19y_UDW_NS,P_15_19y_Total,P_20_24y_DUDW_LT_5_h,P_20_24y_DUDW_5_14_h,P_20_24y_DUDW_15_29_h,P_20_24y_DUDW_30_h_mo,P_20_24y_DNUDW,P_20_24y_UDW_NS,P_20_24y_Total,P_25_34y_DUDW_LT_5_h,P_25_34y_DUDW_5_14_h,P_25_34y_DUDW_15_29_h,P_25_34y_DUDW_30_h_mo,P_25_34y_DNUDW,P_25_34y_UDW_NS,P_25_34y_Total,P_35_44y_DUDW_LT_5_h,P_35_44y_DUDW_5_14_h,P_35_44y_DUDW_15_29_h,P_35_44y_DUDW_30_h_mo,P_35_44y_DNUDW,P_35_44y_UDW_NS,P_35_44y_Total,P_45_54y_DUDW_LT_5_h,P_45_54y_DUDW_5_14_h,P_45_54y_DUDW_15_29_h,P_45_54y_DUDW_30_h_mo,P_45_54y_DNUDW,P_45_54y_UDW_NS,P_45_54y_Total,P_55_64y_DUDW_LT_5_h,P_55_64y_DUDW_5_14_h,P_55_64y_DUDW_15_29_h,P_55_64y_DUDW_30_h_mo,P_55_64y_DNUDW,P_55_64y_UDW_NS,P_55_64y_Total,P_65_74y_DUDW_LT_5_h,P_65_74y_DUDW_5_14_h,P_65_74y_DUDW_15_29_h,P_65_74y_DUDW_30_h_mo,P_65_74y_DNUDW,P_65_74y_UDW_NS,P_65_74y_Total,P_75_84y_DUDW_LT_5_h,P_75_84y_DUDW_5_14_h,P_75_84y_DUDW_15_29_h,P_75_84y_DUDW_30_h_mo,P_75_84y_DNUDW,P_75_84y_UDW_NS,P_75_84y_Total,P_85y_ov_DUDW_LT_5_h,P_85y_ov_DUDW_5_14_h,P_85y_ov_DUDW_15_29_h,P_85y_ov_DUDW_30_h_mo
SED80001,1272,207,16,3,956,96,2547,1082,352,37,16,989,89,2567,1678,1811,353,159,1416,236,5647,1291,2220,638,232,908,216,5500,1439,2086,536,177,842,165,5243,1292,2024,619,242,915,141,5242,733,1364,541,244,816,142,3837,297,413,205,111,430,96,1551,69,81,48,24,180,54,451,9151,10558,2996,1210,7452,1228,32595,1174,237,23,9,777,78,2295,915,612,108,53,581,77,2351,1016,2028,851,709,943,196,5742,605,2221,1225,931,592,190,5768,738,2486,1129,534,592,159,5637,707,2255,1250,663,790,134,5799,389,1175,1013,675,788,129,4180,201,391,312,291,549,145,1890,82,124,63,49,309,124,749,5831,11528,5976,3923,5921,1227,34404,2446,448,42,14,1731,169,4842,1994,967,144,72,1568,165,4915,2691,3837,1205,870,2361,431,11390,1894,4443,1861,1166,1504,404,11267,2177,4575,1666,709,1436,321,10882,1998,4281,1868,905,1704,273,11043,1127,2537,1559,922,1603,271,8015,496,797,512,405,978,237,3441,148,203,111,73
SED80002,1368,229,21,3,916,95,2628,1327,734,88,34,1282,207,3660,2427,2528,465,174,2483,437,8514,1680,2821,794,261,1241,297,7088,1370,2306,631,217,861,218,5614,968,1608,499,183,789,165,4205,659,1328,544,249,661,105,3541,342,628,317,163,553,93,2094,98,138,52,28,274,44,637,10239,12317,3401,1303,9061,1659,37981,1316,331,31,17,767,92,2555,1305,1074,165,56,1006,180,3795,1674,2892,998,763,1707,392,8418,926,2705,1530,1020,819,228,7231,725,2365,1253,542,594,181,5663,541,1792,982,485,667,148,4622,383,1197,1027,714,828,150,4292,209,596,497,398,612,105,2423,126,149,89,66,365,74,878,7201,13101,6575,4061,7373,1549,39861,2683,564,52,20,1681,186,5187,2629,1814,252,87,2285,391,7456,4102,5415,1463,936,4193,825,16932,2602,5526,2327,1280,2058,523,14313,2100,4669,1879,756,1462,402,11271,1509,3398,1479,670,1453,315,8826,1040,2523,1569,958,1487,261,7836,554,1224,814,563,1164,189,4511,225,284,150,95
SED80003,1360,358,29,8,934,281,2972,1865,1231,106,45,1332,554,5138,2992,3229,380,117,1854,818,9394,1502,2435,646,176,902,498,6164,1245,2098,602,129,677,335,5089,1030,1737,455,169,591,301,4284,571,1182,461,134,503,206,3063,276,484,225,77,339,138,1530,105,101,56,23,237,85,615,10941,12855,2956,885,7376,3213,38241,1487,493,45,8,727,308,3074,2129,1666,196,54,894,464,5399,2495,3779,713,354,1331,546,9213,1005,2328,1212,722,550,310,6127,797,2164,1106,434,377,219,5102,689,1758,869,367,450,194,4327,328,1104,816,393,409,184,3228,173,485,385,211,458,146,1862,113,200,97,54,469,155,1080,9212,13976,5445,2597,5660,2527,39418,2847,851,72,26,1664,592,6043,3996,2890,300,101,2232,1017,10540,5488,7006,1092,468,3183,1369,18602,2504,4766,1855,893,1451,813,12288,2046,4264,1707,568,1050,553,10194,1715,3500,1325,531,1043,492,8607,897,2288,1276,521,918,391,6288,448,973,611,292,793,285,3397,219,303,154,75
SED80004,1297,202,14,11,790,97,2408,1041,469,36,23,745,116,2438,1902,1941,388,132,1589,328,6277,1422,2624,844,302,1040,245,6480,1350,2368,685,209,729,213,5547,1041,1834,568,179,601,160,4393,677,1421,535,191,672,144,3653,436,813,341,193,575,151,2513,151,172,98,54,379,70,920,9316,11852,3506,1298,7131,1517,34625,1266,233,17,7,660,79,2261,961,688,80,46,575,122,2474,1339,2387,798,586,1234,292,6642,822,2443,1574,1036,701,212,6789,762,2472,1357,583,451,190,5812,626,1938,1070,467,504,145,4747,412,1366,1040,647,637,201,4306,283,769,642,517,737,174,3116,176,255,139,92,547,110,1315,6656,12538,6714,3987,6044,1529,37470,2569,430,27,18,1449,178,4667,2000,1158,119,71,1320,243,4912,3247,4323,1184,723,2825,617,12923,2244,5066,2419,1343,1742,457,13270,2110,4832,2038,789,1179,406,11359,1665,3776,1644,644,1108,307,9139,1089,2789,1575,841,1306,349,7958,719,1584,984,711,1311,322,5631,329,429,232,146
SED80005,1392,229,11,6,1081,115,2831,1233,553,55,26,1227,154,3239,2407,2450,491,180,2819,474,8810,2056,3408,1021,332,1864,356,9045,1564,2544,609,197,1182,196,6296,922,1411,372,142,768,120,3739,483,872,333,124,607,105,2529,198,322,150,63,316,48,1103,46,47,16,22,99,11,234,10301,11844,3065,1084,9971,1575,37829,1374,344,27,8,874,87,2716,1115,795,134,61,851,156,3119,1510,2856,1113,979,2115,411,8974,946,3152,1926,1431,1340,296,9094,738,2463,1319,648,786,175,6129,524,1413,855,452,625,103,3969,269,840,684,458,629,125,3021,119,313,247,193,331,58,1261,52,53,25,17,127,13,299,6655,12234,6332,4245,7682,1426,38580,2765,572,38,9,1954,206,5545,2350,1341,189,83,2084,310,6355,3912,5304,1602,1157,4930,881,17784,2999,6565,2953,1763,3208,650,18143,2306,5010,1933,842,1969,370,12426,1447,2825,1228,592,1394,222,7717,752,1720,1022,589,1245,225,5541,322,635,398,256,650,105,2358,95,105,41,41
SED89494,9,4,0,0,9,4,23,11,12,3,0,17,7,44,9,15,0,0,20,11,60,8,9,0,0,20,30,62,10,9,0,0,12,19,53,10,3,0,0,7,16,38,4,6,0,0,8,10,21,0,4,0,0,0,4,6,0,0,0,0,0,0,0,58,56,11,0,89,94,315,20,11,0,0,9,0,37,14,6,0,3,17,4,40,12,15,3,6,5,7,53,5,14,9,4,4,7,33,3,15,4,0,3,7,30,3,16,8,0,3,8,35,0,0,5,0,0,4,10,0,0,0,0,3,0,8,0,0,0,0,0,0,0,68,70,27,12,50,33,249,30,18,0,0,11,4,58,26,14,6,3,33,7,82,25,26,3,6,27,17,108,11,25,4,4,22,35,104,12,14,8,0,19,29,77,14,16,9,5,15,22,78,3,10,4,0,6,11,34,0,3,0,0,3,5,10,0,0,0,0
SED89797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
