SED_CODE_2021,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
SED80001,15956,9758,11390,11267,10882,11043,8015,3441,1202,82954
SED80002,17180,12641,16932,14313,11271,8826,7836,4511,1511,95023
SED80003,10816,16576,18602,12288,10194,8607,6288,3397,1696,88467
SED80004,16632,9578,12923,13270,11359,9139,7958,5631,2236,88725
SED80005,22313,11906,17784,18143,12426,7717,5541,2358,535,98716
SED89494,50,148,108,104,77,78,34,10,4,605
SED89797,0,0,0,0,0,0,0,0,0,0
