SED_CODE_2021,M_15_19_CF_Own_CCO,M_15_19_CF_Oth_CCO,M_15_19_CF_Own_CC_Oth_CC,M_15_19_CF_Total,M_15_19_DNPCC,M_15_19_UCC_NS,M_15_19_Total,M_20_24_CF_Own_CCO,M_20_24_CF_Oth_CCO,M_20_24_CF_Own_CC_Oth_CC,M_20_24_CF_Total,M_20_24_DNPCC,M_20_24_UCC_NS,M_20_24_Total,M_25_34_CF_Own_CCO,M_25_34_CF_Oth_CCO,M_25_34_CF_Own_CC_Oth_CC,M_25_34_CF_Total,M_25_34_DNPCC,M_25_34_UCC_NS,M_25_34_Total,M_35_44_CF_Own_CCO,M_35_44_CF_Oth_CCO,M_35_44_CF_Own_CC_Oth_CC,M_35_44_CF_Total,M_35_44_DNPCC,M_35_44_UCC_NS,M_35_44_Total,M_45_54_CF_Own_CCO,M_45_54_CF_Oth_CCO,M_45_54_CF_Own_CC_Oth_CC,M_45_54_CF_Total,M_45_54_DNPCC,M_45_54_UCC_NS,M_45_54_Total,M_55_64_CF_Own_CCO,M_55_64_CF_Oth_CCO,M_55_64_CF_Own_CC_Oth_CC,M_55_64_CF_Total,M_55_64_DNPCC,M_55_64_UCC_NS,M_55_64_Total,M_65_74_CF_Own_CCO,M_65_74_CF_Oth_CCO,M_65_74_CF_Own_CC_Oth_CC,M_65_74_CF_Total,M_65_74_DNPCC,M_65_74_UCC_NS,M_65_74_Total,M_75_84_CF_Own_CCO,M_75_84_CF_Oth_CCO,M_75_84_CF_Own_CC_Oth_CC,M_75_84_CF_Total,M_75_84_DNPCC,M_75_84_UCC_NS,M_75_84_Total,M_85ov_CF_Own_CCO,M_85ov_CF_Oth_CCO,M_85ov_CF_Own_CC_Oth_CC,M_85ov_CF_Total,M_85ov_DNPCC,M_85ov_UCC_NS,M_85ov_Total,M_Tot_CF_Own_CCO,M_Tot_CF_Oth_CCO,M_Tot_CF_Own_CC_Oth_CC,M_Tot_CF_Total,M_Tot_DNPCC,M_Tot_UCC_NS,M_Tot_Total,F_15_19_CF_Own_CCO,F_15_19_CF_Oth_CCO,F_15_19_CF_Own_CC_Oth_CC,F_15_19_CF_Total,F_15_19_DNPCC,F_15_19_UCC_NS,F_15_19_Total,F_20_24_CF_Own_CCO,F_20_24_CF_Oth_CCO,F_20_24_CF_Own_CC_Oth_CC,F_20_24_CF_Total,F_20_24_DNPCC,F_20_24_UCC_NS,F_20_24_Total,F_25_34_CF_Own_CCO,F_25_34_CF_Oth_CCO,F_25_34_CF_Own_CC_Oth_CC,F_25_34_CF_Total,F_25_34_DNPCC,F_25_34_UCC_NS,F_25_34_Total,F_35_44_CF_Own_CCO,F_35_44_CF_Oth_CCO,F_35_44_CF_Own_CC_Oth_CC,F_35_44_CF_Total,F_35_44_DNPCC,F_35_44_UCC_NS,F_35_44_Total,F_45_54_CF_Own_CCO,F_45_54_CF_Oth_CCO,F_45_54_CF_Own_CC_Oth_CC,F_45_54_CF_Total,F_45_54_DNPCC,F_45_54_UCC_NS,F_45_54_Total,F_55_64_CF_Own_CCO,F_55_64_CF_Oth_CCO,F_55_64_CF_Own_CC_Oth_CC,F_55_64_CF_Total,F_55_64_DNPCC,F_55_64_UCC_NS,F_55_64_Total,F_65_74_CF_Own_CCO,F_65_74_CF_Oth_CCO,F_65_74_CF_Own_CC_Oth_CC,F_65_74_CF_Total,F_65_74_DNPCC,F_65_74_UCC_NS,F_65_74_Total,F_75_84_CF_Own_CCO,F_75_84_CF_Oth_CCO,F_75_84_CF_Own_CC_Oth_CC,F_75_84_CF_Total,F_75_84_DNPCC,F_75_84_UCC_NS,F_75_84_Total,F_85ov_CF_Own_CCO,F_85ov_CF_Oth_CCO,F_85ov_CF_Own_CC_Oth_CC,F_85ov_CF_Total,F_85ov_DNPCC,F_85ov_UCC_NS,F_85ov_Total,F_Tot_CF_Own_CCO,F_Tot_CF_Oth_CCO,F_Tot_CF_Own_CC_Oth_CC,F_Tot_CF_Total,F_Tot_DNPCC,F_Tot_UCC_NS,F_Tot_Total,P_15_19_CF_Own_CCO,P_15_19_CF_Oth_CCO,P_15_19_CF_Own_CC_Oth_CC,P_15_19_CF_Total,P_15_19_DNPCC,P_15_19_UCC_NS,P_15_19_Total,P_20_24_CF_Own_CCO,P_20_24_CF_Oth_CCO,P_20_24_CF_Own_CC_Oth_CC,P_20_24_CF_Total,P_20_24_DNPCC,P_20_24_UCC_NS,P_20_24_Total,P_25_34_CF_Own_CCO,P_25_34_CF_Oth_CCO,P_25_34_CF_Own_CC_Oth_CC,P_25_34_CF_Total,P_25_34_DNPCC,P_25_34_UCC_NS,P_25_34_Total,P_35_44_CF_Own_CCO,P_35_44_CF_Oth_CCO,P_35_44_CF_Own_CC_Oth_CC,P_35_44_CF_Total,P_35_44_DNPCC,P_35_44_UCC_NS,P_35_44_Total,P_45_54_CF_Own_CCO,P_45_54_CF_Oth_CCO,P_45_54_CF_Own_CC_Oth_CC,P_45_54_CF_Total,P_45_54_DNPCC,P_45_54_UCC_NS,P_45_54_Total,P_55_64_CF_Own_CCO,P_55_64_CF_Oth_CCO,P_55_64_CF_Own_CC_Oth_CC,P_55_64_CF_Total,P_55_64_DNPCC,P_55_64_UCC_NS,P_55_64_Total,P_65_74_CF_Own_CCO,P_65_74_CF_Oth_CCO,P_65_74_CF_Own_CC_Oth_CC,P_65_74_CF_Total,P_65_74_DNPCC,P_65_74_UCC_NS,P_65_74_Total,P_75_84_CF_Own_CCO,P_75_84_CF_Oth_CCO,P_75_84_CF_Own_CC_Oth_CC,P_75_84_CF_Total,P_75_84_DNPCC,P_75_84_UCC_NS,P_75_84_Total,P_85ov_CF_Own_CCO,P_85ov_CF_Oth_CCO,P_85ov_CF_Own_CC_Oth_CC,P_85ov_CF_Total
SED80001,3,136,0,138,2320,88,2547,65,85,0,150,2332,87,2567,1443,153,35,1632,3784,230,5647,3041,115,109,3261,2032,209,5500,1763,180,43,1982,3090,167,5243,324,586,13,916,4176,148,5242,47,737,3,783,2923,134,3837,8,150,0,158,1300,92,1551,0,7,0,7,387,58,451,6704,2148,200,9041,22351,1200,32595,11,208,0,224,2000,67,2295,150,169,6,330,1947,76,2351,2170,265,118,2559,2989,190,5742,3539,151,229,3914,1670,185,5768,1537,389,58,1991,3505,144,5637,148,1334,15,1499,4179,126,5799,28,1126,4,1169,2896,119,4180,4,170,3,173,1581,133,1890,0,7,0,7,619,123,749,7596,3832,430,11862,21385,1157,34404,17,344,0,359,4329,158,4842,212,258,6,481,4274,164,4915,3617,420,153,4189,6774,418,11390,6578,260,332,7175,3699,391,11267,3305,569,100,3972,6594,311,10882,477,1920,25,2420,8358,263,11043,78,1865,9,1954,5817,250,8015,13,323,3,335,2884,223,3441,0,11,0,13
SED80002,6,134,0,138,2405,90,2628,38,90,3,129,3334,203,3660,1427,173,28,1628,6456,431,8514,3615,115,130,3864,2944,279,7088,2040,125,66,2231,3158,216,5614,339,304,4,654,3397,151,4205,52,697,6,753,2689,102,3541,14,215,0,231,1767,88,2094,0,8,0,8,590,37,637,7523,1870,235,9629,26743,1611,37981,11,220,0,234,2229,88,2555,103,175,3,276,3327,179,3795,2182,270,100,2547,5488,382,8418,4130,221,243,4590,2409,228,7231,1888,274,97,2255,3225,175,5663,146,789,17,956,3520,145,4622,42,1132,5,1179,2971,140,4292,10,258,0,267,2065,92,2423,0,10,0,12,789,73,878,8502,3353,467,12323,26031,1516,39861,19,353,0,372,4630,186,5187,136,261,5,406,6666,389,7456,3603,447,129,4175,11943,813,16932,7745,336,371,8453,5351,509,14313,3928,401,163,4490,6387,394,11271,484,1100,23,1603,6921,299,8826,95,1830,7,1934,5660,241,7836,21,470,0,498,3835,180,4511,0,18,0,24
SED80003,3,96,0,98,2596,276,2972,8,68,0,81,4506,553,5138,661,151,10,827,7748,816,9394,2266,92,75,2437,3230,496,6164,1792,81,59,1936,2822,333,5089,422,188,17,625,3373,289,4284,48,506,0,556,2295,206,3063,4,168,0,173,1224,128,1530,0,9,0,12,521,82,615,5214,1364,159,6743,28320,3176,38241,6,140,7,150,2616,303,3074,38,119,3,162,4783,459,5399,1021,250,38,1312,7355,543,9213,2881,177,151,3209,2607,310,6127,1754,163,89,2000,2892,209,5102,190,500,5,698,3434,196,4327,24,834,0,860,2196,176,3228,12,204,0,216,1501,149,1862,0,13,0,16,912,155,1080,5929,2403,291,8627,28291,2501,39418,4,237,7,245,5214,585,6043,49,189,3,240,9287,1009,10540,1690,403,50,2140,15107,1359,18602,5145,275,228,5647,5837,802,12288,3550,244,141,3934,5717,539,10194,610,690,21,1322,6807,481,8607,76,1336,3,1419,4489,382,6288,18,369,0,391,2730,280,3397,0,27,0,28
SED80004,13,119,4,133,2179,95,2408,24,71,0,97,2218,125,2438,1067,136,26,1227,4735,312,6277,3532,109,107,3748,2494,244,6480,2210,94,69,2372,2974,205,5547,426,284,14,726,3506,162,4393,53,687,3,746,2759,145,3653,11,258,0,271,2096,148,2513,0,23,0,23,831,73,920,7334,1778,221,9335,23788,1503,34625,12,146,0,157,2027,78,2261,69,129,6,205,2151,124,2474,1739,238,70,2051,4301,296,6642,4150,150,221,4528,2055,213,6789,2132,220,96,2445,3170,197,5812,185,714,15,913,3694,138,4747,33,1145,11,1184,2923,196,4306,13,332,5,351,2600,164,3116,0,8,0,8,1196,109,1315,8340,3084,420,11845,24104,1514,37470,19,263,4,294,4200,176,4667,98,204,3,298,4365,244,4912,2805,380,89,3279,9035,608,12923,7685,253,330,8268,4548,454,13270,4346,308,164,4818,6138,400,11359,612,998,29,1637,7199,304,9139,89,1833,14,1932,5679,339,7958,29,585,6,621,4697,314,5631,0,29,0,30
SED80005,13,136,0,143,2581,107,2831,53,80,5,136,2946,154,3239,1747,160,36,1948,6401,468,8810,4982,120,125,5227,3471,348,9045,2397,103,52,2555,3540,196,6296,325,286,4,615,3010,120,3739,38,509,4,555,1887,86,2529,7,134,0,135,918,43,1103,0,4,0,9,219,10,234,9560,1541,226,11323,24978,1530,37829,10,213,0,224,2415,82,2716,132,184,7,323,2650,146,3119,2965,282,91,3339,5224,418,8974,5723,188,211,6126,2674,297,9094,1988,257,71,2319,3628,183,6129,140,756,9,901,2977,89,3969,42,850,11,899,2008,109,3021,10,157,0,172,1035,54,1261,0,7,0,7,275,14,299,11012,2898,392,14300,22895,1386,38580,20,347,0,367,4992,188,5545,185,269,7,457,5594,303,6355,4710,443,129,5282,11625,879,17784,10705,318,331,11352,6149,639,18143,4388,365,122,4873,7171,384,12426,457,1039,14,1515,5992,211,7717,83,1357,15,1453,3897,194,5541,14,292,3,308,1957,98,2358,0,14,0,15
SED89494,0,0,0,0,20,4,23,5,0,0,7,28,7,44,9,3,0,10,38,11,60,11,0,0,10,23,30,62,9,0,0,9,28,19,53,0,7,0,7,23,16,38,0,4,0,4,14,10,21,0,0,0,0,3,0,6,0,0,0,0,0,0,0,28,17,0,42,176,97,315,0,0,0,5,36,0,37,3,0,0,6,30,4,40,8,0,0,13,36,7,53,8,6,0,15,13,7,33,8,4,0,6,12,8,30,0,4,0,5,24,8,35,0,5,0,3,0,4,10,0,0,0,0,4,0,8,0,0,0,0,0,0,0,35,20,0,52,159,31,249,0,4,0,5,49,4,58,7,3,0,11,65,7,82,13,9,0,20,70,17,108,22,8,0,26,38,35,104,13,4,0,13,40,27,77,0,11,0,5,47,22,78,0,7,0,3,17,11,34,0,0,0,0,12,0,10,0,0,0,0
SED89797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
