SED_CODE_2021,Median_age_persons,Median_mortgage_repay_monthly,Median_tot_prsnl_inc_weekly,Median_rent_weekly,Median_tot_fam_inc_weekly,Average_num_psns_per_bedroom,Median_tot_hhd_inc_weekly,Average_household_size
SED80001,38,2000,1146,425,2716,0.8,2315,2.6
SED80002,35,1999,1105,430,2615,0.8,2215,2.5
SED80003,33,2138,1341,480,3293,0.9,2391,2.2
SED80004,38,2167,1282,446,3101,0.8,2437,2.5
SED80005,33,2141,1184,462,2818,0.9,2515,2.9
SED89494,0,0,0,0,0,0,0,0
SED89797,0,0,0,0,0,0,0,0
