SED_CODE_2021,Buddhism_M,Buddhism_F,Buddhism_P,Christianity_Anglican_M,Christianity_Anglican_F,Christianity_Anglican_P,Christianity_Asyrin_Apstlic_M,Christianity_Asyrin_Apstlic_F,Christianity_Asyrin_Apstlic_P,Christianity_Baptist_M,Christianity_Baptist_F,Christianity_Baptist_P,Christianity_Brethren_M,Christianity_Brethren_F,Christianity_Brethren_P,Christianity_Catholic_M,Christianity_Catholic_F,Christianity_Catholic_P,Christianity_Church_Christ_M,Christianity_Church_Christ_F,Christianity_Church_Christ_P,Christianity_Eastrn_Orthdox_M,Christianity_Eastrn_Orthdox_F,Christianity_Eastrn_Orthdox_P,Christinty_Jehvahs_Witnses_M,Christinty_Jehvahs_Witnses_F,Christinty_Jehvahs_Witnses_P,Christianity_Lattr_day_Snts_M,Christianity_Lattr_day_Snts_F,Christianity_Lattr_day_Snts_P,Christianity_Lutheran_M,Christianity_Lutheran_F,Christianity_Lutheran_P,Christianity_Orintal_Orthdx_M,Christianity_Orintal_Orthdx_F,Christianity_Orintal_Orthdx_P,Christianity_Othr_Protestnt_M,Christianity_Othr_Protestnt_F,Christianity_Othr_Protestnt_P,Christianity_Pentecostal_M,Christianity_Pentecostal_F,Christianity_Pentecostal_P,Christinty_Prsbytrin_Refrmd_M,Christinty_Prsbytrin_Refrmd_F,Christinty_Prsbytrin_Refrmd_P,Christianity_Salvation_Army_M,Christianity_Salvation_Army_F,Christianity_Salvation_Army_P,Christnty_Sevnth_dy_Advntst_M,Christnty_Sevnth_dy_Advntst_F,Christnty_Sevnth_dy_Advntst_P,Christianity_Uniting_Church_M,Christianity_Uniting_Church_F,Christianity_Uniting_Church_P,Christianity_Christian_nfd_M,Christianity_Christian_nfd_F,Christianity_Christian_nfd_P,Christianity_Othr_Christian_M,Christianity_Othr_Christian_F,Christianity_Othr_Christian_P,Christianity_Tot_M,Christianity_Tot_F,Christianity_Tot_P,Hinduism_M,Hinduism_F,Hinduism_P,Islam_M,Islam_F,Islam_P,Judaism_M,Judaism_F,Judaism_P,Othr_Rel_Aust_Abor_Trad_Rel_M,Othr_Rel_Aust_Abor_Trad_Rel_F,Othr_Rel_Aust_Abor_Trad_Rel_P,Othr_Rel_Sikhism_M,Othr_Rel_Sikhism_F,Othr_Rel_Sikhism_P,Othr_Reln_Other_reln_groups_M,Othr_Reln_Other_reln_groups_F,Othr_Reln_Other_reln_groups_P,Other_Religions_Tot_M,Other_Religions_Tot_F,Other_Religions_Tot_P,SB_OSB_NRA_NR_M,SB_OSB_NRA_NR_F,SB_OSB_NRA_NR_P,SB_OSB_NRA_SB_M,SB_OSB_NRA_SB_F,SB_OSB_NRA_SB_P,SB_OSB_NRA_OSB_M,SB_OSB_NRA_OSB_F,SB_OSB_NRA_OSB_P,SB_OSB_NRA_Tot_M,SB_OSB_NRA_Tot_F,SB_OSB_NRA_Tot_P,Religious_affiliation_ns_M,Religious_affiliation_ns_F,Religious_affiliation_ns_P,Tot_M,Tot_F,Tot_P
SED80001,713,952,1667,3921,4822,8739,0,4,8,304,374,681,3,10,8,9263,10545,19803,31,29,59,528,546,1074,68,99,165,68,75,144,183,227,411,64,59,130,171,197,372,389,444,835,617,756,1372,92,106,197,76,93,170,590,865,1453,1001,1179,2176,21,20,40,17398,20449,37845,978,894,1874,985,948,1929,36,33,71,3,7,8,282,235,521,106,194,297,393,438,833,18035,16376,34411,173,124,298,56,91,142,18267,16587,34855,2028,1856,3889,40801,42151,82954
SED80002,1173,1528,2702,3468,4245,7721,0,0,0,476,522,995,0,5,4,8206,9596,17801,22,44,64,613,641,1248,77,116,190,106,100,212,199,254,448,50,41,92,284,315,599,477,591,1069,584,692,1278,36,57,96,76,92,164,804,1103,1903,1066,1246,2311,47,50,103,16592,19696,36291,2001,1732,3732,1583,1401,2980,36,50,79,3,3,11,444,387,829,169,217,385,612,612,1227,21963,20430,42391,260,200,460,69,106,176,22290,20734,43021,2627,2361,4986,46915,48105,95023
SED80003,1057,1409,2469,2766,3313,6076,0,0,0,305,303,605,8,8,12,6114,7008,13119,20,8,27,644,687,1331,32,54,90,27,22,57,149,165,317,26,34,53,198,236,436,181,210,386,472,502,974,34,30,64,29,34,72,580,762,1344,640,762,1404,34,50,85,12258,14193,26448,1120,1039,2160,905,769,1674,196,253,450,4,9,9,139,124,261,158,190,354,297,322,621,23330,22962,46287,389,296,684,78,120,196,23796,23375,47173,4178,3301,7478,43806,44660,88467
SED80004,1004,1282,2287,3372,4204,7576,0,0,3,329,388,720,3,6,6,8592,9925,18522,23,25,40,671,795,1460,46,71,114,59,75,133,194,268,462,103,121,217,251,258,512,302,345,652,581,720,1300,41,38,71,68,71,140,727,993,1718,870,1064,1936,31,31,55,16250,19403,35655,2327,2230,4556,1219,1176,2388,97,98,197,3,5,12,371,321,697,160,179,339,537,510,1051,19054,18279,37339,252,187,440,64,115,180,19378,18578,37957,2363,2276,4640,43181,45548,88725
SED80005,1605,1958,3561,3153,3844,6998,0,0,0,418,482,901,3,3,7,8660,9587,18252,15,15,38,794,868,1656,90,99,188,79,75,159,144,212,352,172,190,365,284,327,614,598,670,1273,630,693,1314,33,49,83,94,114,206,669,907,1575,1297,1494,2795,21,22,45,17164,19655,36821,4293,3888,8177,3020,2608,5628,43,48,90,7,10,9,1075,943,2016,136,172,306,1214,1121,2341,19203,17740,36942,212,143,356,52,74,132,19473,17957,37428,2512,2162,4672,49315,49399,98716
SED89494,4,9,8,12,20,35,0,0,0,0,0,3,0,0,0,37,31,66,0,0,0,0,0,6,0,0,0,0,0,0,6,0,6,0,0,0,0,0,6,3,5,7,8,0,7,6,0,6,0,0,0,3,6,7,13,13,24,0,0,0,80,88,161,6,4,5,9,6,14,0,0,0,0,0,0,0,0,0,4,0,4,3,0,3,139,129,260,0,0,0,0,0,0,140,128,265,101,40,143,336,273,605
SED89797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
