SED_CODE_2021,CF_C_BPBO_DC_0_4,CF_C_BPBO_DC_5_9,CF_C_BPBO_DC_10_12,CF_C_BPBO_DC_13_14,CF_C_BPBO_DC_15_17,CF_C_BPBO_DC_18_20,CF_C_BPBO_DC_21_24,CF_C_BPBO_Tot,CF_C_FBO_DC_0_4,CF_C_FBO_DC_5_9,CF_C_FBO_DC_10_12,CF_C_FBO_DC_13_14,CF_C_FBO_DC_15_17,CF_C_FBO_DC_18_20,CF_C_FBO_DC_21_24,CF_C_FBO_Tot,CF_C_MBO_DC_0_4,CF_C_MBO_DC_5_9,CF_C_MBO_DC_10_12,CF_C_MBO_DC_13_14,CF_C_MBO_DC_15_17,CF_C_MBO_DC_18_20,CF_C_MBO_DC_21_24,CF_C_MBO_Tot,CF_C_BPBAu_DC_0_4,CF_C_BPBAu_DC_5_9,CF_C_BPBAu_DC_10_12,CF_C_BPBAu_DC_13_14,CF_C_BPBAu_DC_15_17,CF_C_BPBAu_DC_18_20,CF_C_BPBAu_DC_21_24,CF_C_BPBAu_Tot,CF_C_BP_NS_DC_0_4,CF_C_BP_NS_DC_5_9,CF_C_BP_NS_DC_10_12,CF_C_BP_NS_DC_13_14,CF_C_BP_NS_DC_15_17,CF_C_BP_NS_DC_18_20,CF_C_BP_NS_DC_21_24,CF_C_BP_NS_Tot,CF_C_Tot_DC_0_4,CF_C_Tot_DC_5_9,CF_C_Tot_DC_10_12,CF_C_Tot_DC_13_14,CF_C_Tot_DC_15_17,CF_C_Tot_DC_18_20,CF_C_Tot_DC_21_24,CF_C_Tot_Tot,One_PF_BPBO_DC_0_4,One_PF_BPBO_DC_5_9,One_PF_BPBO_DC_10_12,One_PF_BPBO_DC_13_14,One_PF_BPBO_DC_15_17,One_PF_BPBO_DC_18_20,One_PF_BPBO_DC_21_24,One_PF_BPBO_Tot,One_PF_FBO_DC_0_4,One_PF_FBO_DC_5_9,One_PF_FBO_DC_10_12,One_PF_FBO_DC_13_14,One_PF_FBO_DC_15_17,One_PF_FBO_DC_18_20,One_PF_FBO_DC_21_24,One_PF_FBO_Tot,One_PF_MBO_DC_0_4,One_PF_MBO_DC_5_9,One_PF_MBO_DC_10_12,One_PF_MBO_DC_13_14,One_PF_MBO_DC_15_17,One_PF_MBO_DC_18_20,One_PF_MBO_DC_21_24,One_PF_MBO_Tot,One_PF_BPBAu_DC_0_4,One_PF_BPBAu_DC_5_9,One_PF_BPBAu_DC_10_12,One_PF_BPBAu_DC_13_14,One_PF_BPBAu_DC_15_17,One_PF_BPBAu_DC_18_20,One_PF_BPBAu_DC_21_24,One_PF_BPBAu_Tot,One_PF_BP_NS_DC_0_4,One_PF_BP_NS_DC_5_9,One_PF_BP_NS_DC_10_12,One_PF_BP_NS_DC_13_14,One_PF_BP_NS_DC_15_17,One_PF_BP_NS_DC_18_20,One_PF_BP_NS_DC_21_24,One_PF_BP_NS_Tot,One_PF_Tot_DC_0_4,One_PF_Tot_DC_5_9,One_PF_Tot_DC_10_12,One_PF_Tot_DC_13_14,One_PF_Tot_DC_15_17,One_PF_Tot_DC_18_20,One_PF_Tot_DC_21_24,One_PF_Tot_Tot,Tot_DC_0_4,Tot_DC_5_9,Tot_DC_10_12,Tot_DC_13_14,Tot_DC_15_17,Tot_DC_18_20,Tot_DC_21_24,Tot_Tot
SED80001,855,840,469,297,388,235,105,3185,312,360,214,130,196,83,46,1343,348,384,218,138,176,69,35,1368,2744,2696,1583,978,1225,407,228,9870,6,11,11,9,0,0,0,37,4262,4298,2494,1552,1984,793,414,15802,47,82,60,36,63,50,25,362,58,112,63,64,67,19,9,390,28,63,47,38,55,23,4,259,453,720,462,315,444,114,59,2574,22,13,0,4,5,0,0,47,617,982,628,459,638,208,101,3639,4883,5280,3121,2021,2622,1003,514,19434
SED80002,1405,1253,641,342,418,226,101,4394,375,395,204,169,165,67,40,1416,473,429,243,146,191,72,33,1597,2529,2693,1533,952,1151,361,152,9375,14,14,6,0,0,0,0,32,4801,4784,2621,1607,1929,728,321,16803,117,202,111,88,107,58,47,732,77,110,69,41,67,22,7,398,36,51,46,27,50,26,11,247,317,556,413,275,385,104,48,2101,22,18,6,6,4,0,0,58,569,931,655,444,604,214,114,3537,5377,5718,3274,2048,2534,945,440,20336
SED80003,641,702,408,255,339,140,79,2557,318,334,210,125,195,79,46,1302,417,371,241,141,173,85,36,1464,1489,1503,913,614,793,327,149,5788,0,0,0,4,6,0,0,14,2870,2900,1773,1139,1502,630,308,11128,55,124,73,59,99,55,31,495,58,61,61,37,71,24,6,309,14,52,38,19,43,19,13,206,146,254,182,155,195,77,37,1039,21,9,6,3,4,0,0,49,299,503,356,278,407,175,91,2107,3167,3408,2128,1411,1909,808,396,13231
SED80004,1439,1562,782,441,472,262,143,5098,371,452,263,175,217,90,44,1605,455,487,312,177,221,92,59,1807,2231,2423,1419,889,1184,491,232,8866,11,14,8,3,0,3,0,43,4503,4931,2781,1684,2100,942,474,17423,49,129,82,64,110,61,27,525,51,89,43,43,56,15,15,322,23,48,50,41,50,17,14,248,224,424,331,220,295,112,62,1664,14,22,11,7,3,0,0,50,365,717,516,383,513,211,124,2820,4872,5652,3297,2062,2613,1154,596,20236
SED80005,3000,3100,1459,780,943,564,264,10111,437,402,257,164,205,90,27,1587,520,528,289,162,199,79,37,1812,2587,2774,1507,877,1161,433,172,9511,23,18,15,3,0,0,0,64,6568,6823,3524,1991,2506,1163,501,23078,160,219,164,80,165,64,41,884,65,112,57,44,72,32,13,391,35,69,52,36,39,8,11,247,316,530,343,237,299,96,34,1859,25,11,8,3,0,0,0,47,599,941,623,398,575,201,100,3433,7169,7761,4147,2386,3080,1364,604,26509
SED89494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SED89797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
