SED_CODE_2021,Neg_Nil_inc_cpl_fam_no_child,Neg_Nil_inc_cpl_fam_wth_chld,Neg_Nil_inc_One_parent_fam,Neg_Nil_inc_Other_fam,Neg_Nil_inc_Tot,FI_1_149_cpl_fam_no_child,FI_1_149_cpl_fam_with_child,FI_1_149_One_parent_fam,FI_1_149_Other_fam,FI_1_149_Tot,FI_150_299_cpl_fam_no_child,FI_150_299_cpl_fam_with_child,FI_150_299_One_parent_fam,FI_150_299_Other_fam,FI_150_299_Tot,FI_300_399_cpl_fam_no_child,FI_300_399_cpl_fam_with_child,FI_300_399_One_parent_fam,FI_300_399_Other_fam,FI_300_399_Tot,FI_400_499_cpl_fam_no_child,FI_400_499_cpl_fam_with_child,FI_400_499_One_parent_fam,FI_400_499_Other_fam,FI_400_499_Tot,FI_500_649_cpl_fam_no_child,FI_500_649_cpl_fam_with_child,FI_500_649_One_parent_fam,FI_500_649_Other_fam,FI_500_649_Tot,FI_650_799_cpl_fam_no_child,FI_650_799_cpl_fam_with_child,FI_650_799_One_parent_fam,FI_650_799_Other_fam,FI_650_799_Tot,FI_800_999_cpl_fam_no_child,FI_800_999_cpl_fam_wth_chld,FI_800_999_One_parent_fam,FI_800_999_Other_fam,FI_800_999_Tot,FI_1000_1249_cpl_fam_no_child,FI_1000_1249_cpl_fam_wth_chld,FI_1000_1249_One_parent_fam,FI_1000_1249_Other_fam,FI_1000_1249_Tot,FI_1250_1499_cpl_fam_no_child,FI_1250_1499_cpl_fam_wth_chld,FI_1250_1499_One_parent_fam,FI_1250_1499_Other_fam,FI_1250_1499_Tot,FI_1500_1749_cpl_fam_no_child,FI_1500_1749_cpl_fam_wth_chld,FI_1500_1749_One_parent_fam,FI_1500_1749_Other_fam,FI_1500_1749_Tot,FI_1750_1999_cpl_fam_no_child,FI_1750_1999_cpl_fam_wth_chld,FI_1750_1999_One_parent_fam,FI_1750_1999_Other_fam,FI_1750_1999_Tot,FI_2000_2499_cpl_fam_no_child,FI_2000_2499_cpl_fam_wth_chld,FI_2000_2499_One_parent_fam,FI_2000_2499_Other_fam,FI_2000_2499_Tot,FI_2500_2999_cpl_fam_no_child,FI_2500_2999_cpl_fam_wth_chld,FI_2500_2999_One_parent_fam,FI_2500_2999_Other_fam,FI_2500_2999_Tot,FI_3000_3499_cpl_fam_no_child,FI_3000_3499_cpl_fam_wth_chld,FI_3000_3499_One_parent_fam,FI_3000_3499_Other_fam,FI_3000_3499_Tot,FI_3500_3999_cpl_fam_no_child,FI_3500_3999_cpl_fam_wth_chld,FI_3500_3999_One_parent_fam,FI_3500_3999_Other_fam,FI_3500_3999_Tot,FI_4000_more_cpl_fam_no_child,FI_4000_more_cpl_fam_wth_chld,FI_4000_more_One_parent_fam,FI_4000_more_Other_fam,FI_4000_more_Tot,Prt_inc_std_cpl_fam_no_child,Part_inc_std_cpl_fam_wth_chld,Part_inc_statd_One_parent_fam,Partial_income_statd_Othr_fam,Partial_income_stated_Tot,All_inc_ns_cpl_fam_no_child,All_inc_ns_cpl_fam_wth_chld,All_incomes_ns_One_parent_fam,All_incomes_ns_Other_fam,All_incomes_ns_Tot,Tot_cpl_fam_no_child,Tot_cpl_fam_wth_chld,Tot_One_parent_fam,Tot_Other_fam,Tot_Tot
SED80001,84,14,32,7,131,25,10,11,0,46,23,4,40,0,70,17,8,58,4,78,91,19,120,3,232,93,34,152,0,277,396,54,202,15,659,327,66,242,15,642,486,166,319,13,991,682,254,307,34,1281,523,324,368,18,1230,523,388,311,23,1246,1269,1115,604,53,3045,1018,1275,289,50,2635,897,1435,203,20,2551,548,1249,95,14,1902,1252,3634,217,19,5122,261,660,278,12,1209,50,45,26,0,127,8562,10738,3872,300,23475
SED80002,116,18,44,8,177,44,8,22,6,72,31,8,42,0,77,18,8,63,3,98,94,25,136,7,263,88,46,196,11,341,458,85,182,19,742,417,107,238,24,786,561,213,304,36,1115,940,311,323,58,1627,618,361,308,26,1312,652,438,298,29,1413,1500,1187,604,67,3359,1254,1253,262,53,2823,964,1328,178,28,2485,692,1207,83,24,2017,1433,3713,190,31,5369,306,548,242,14,1118,62,37,28,4,128,10255,10917,3746,425,25344
SED80003,63,20,49,3,129,21,4,13,9,48,26,4,31,0,58,15,3,30,0,59,59,21,62,10,152,45,20,91,11,166,210,34,90,9,347,173,51,140,20,385,332,92,166,23,614,476,138,152,33,800,413,133,165,19,729,459,177,178,34,852,1230,450,413,56,2149,1177,485,135,42,1842,1047,636,158,38,1886,841,595,55,13,1505,2898,3943,285,29,7157,406,423,167,8,1004,48,21,26,0,88,9938,7256,2412,355,19968
SED80004,115,15,45,0,172,29,6,17,3,53,14,4,19,0,38,13,10,60,5,80,73,8,74,8,163,79,30,117,0,228,316,46,122,12,494,306,69,160,21,551,450,118,205,28,806,741,242,259,20,1258,529,231,242,9,1016,599,293,221,19,1129,1315,879,533,51,2773,1046,881,226,49,2191,914,1075,216,22,2230,648,1045,90,24,1807,2092,5397,317,18,7829,315,632,266,17,1229,52,43,30,4,133,9645,11011,3208,320,24185
SED80005,188,32,37,3,258,37,9,12,0,68,31,12,34,4,77,18,15,52,0,77,81,24,84,8,197,82,57,141,9,291,345,90,169,7,616,309,180,204,26,721,418,256,283,22,982,600,450,280,36,1366,518,463,295,28,1303,528,527,266,23,1348,1330,1611,561,68,3576,1025,1555,213,43,2839,823,1737,189,23,2766,644,1539,93,18,2294,1333,4991,231,23,6580,290,755,228,13,1283,59,52,28,0,137,8660,14346,3414,362,26784
SED89494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SED89797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
