SED_CODE_2021,Preschool_M,Preschool_F,Preschool_P,Primary_Government_M,Primary_Government_F,Primary_Government_P,Primary_Catholic_M,Primary_Catholic_F,Primary_Catholic_P,Primry_Othr_non_Govt_M,Primry_Othr_non_Govt_F,Primry_Othr_non_Govt_P,Primary_Tot_Primary_M,Primary_Tot_Primary_F,Primary_Tot_Primary_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_non_Govt_M,Secondary_Other_non_Govt_F,Secondary_Other_non_Govt_P,Secondary_Tot_Secondary_M,Secondary_Tot_Secondary_F,Secondary_Tot_Secondary_P,Tert_Voc_edu_Ft_15_24_M,Tert_Voc_edu_Ft_15_24_F,Tert_Voc_edu_Ft_15_24_P,Tert_Voc_edu_Ft_25_ov_M,Tert_Voc_edu_Ft_25_ov_F,Tert_Voc_edu_Ft_25_ov_P,Tert_Voc_edu_Pt_15_24_M,Tert_Voc_edu_Pt_15_24_F,Tert_Voc_edu_Pt_15_24_P,Tert_Voc_edu_Pt_25_ov_M,Tert_Voc_edu_Pt_25_ov_F,Tert_Voc_edu_Pt_25_ov_P,Tert_Voc_edu_F_Pt_ns_M,Tert_Voc_edu_F_Pt_ns_F,Tert_Voc_edu_F_Pt_ns_P,Tert_Voc_edu_Tot_M,Tert_Voc_edu_Tot_F,Tert_Voc_edu_Tot_P,Tert_Uni_oth_h_edu_Ft_15_24_M,Tert_Uni_oth_h_edu_Ft_15_24_F,Tert_Uni_oth_h_edu_Ft_15_24_P,Tert_Uni_oth_h_edu_Ft_25_ov_M,Tert_Uni_oth_h_edu_Ft_25_ov_F,Tert_Uni_oth_h_edu_Ft_25_ov_P,Tert_Uni_oth_h_edu_Pt_15_24_M,Tert_Uni_oth_h_edu_Pt_15_24_F,Tert_Uni_oth_h_edu_Pt_15_24_P,Tert_Uni_oth_h_edu_Pt_25_ov_M,Tert_Uni_oth_h_edu_Pt_25_ov_F,Tert_Uni_oth_h_edu_Pt_25_ov_P,Tert_Uni_oth_h_edu_F_Pt_ns_M,Tert_Uni_oth_h_edu_F_Pt_ns_F,Tert_Uni_oth_h_edu_F_Pt_ns_P,Tert_Uni_other_high_edu_Tot_M,Tert_Uni_other_high_edu_Tot_F,Tert_Uni_other_high_edu_Tot_P,Tert_Tot_Tert_M,Tert_Tot_Tert_F,Tert_Tot_Tert_P,Othr_typ_educ_inst_Ft_stud_M,Othr_typ_educ_inst_Ft_stud_F,Othr_typ_educ_inst_Ft_stud_P,Othr_typ_educ_inst_Pt_stud_M,Othr_typ_educ_inst_Pt_stud_F,Othr_typ_educ_inst_Pt_stud_P,Oth_typ_ed_instit_F_Pt_ns_M,Oth_typ_ed_instit_F_Pt_ns_F,Oth_typ_ed_instit_F_Pt_ns_P,Other_type_educ_instit_Tot_M,Other_type_educ_instit_Tot_F,Other_type_educ_instit_Tot_P,Type_educanl_institution_ns_M,Type_educanl_institution_ns_F,Type_educanl_institution_ns_P,Tot_M,Tot_F,Tot_P
SED80001,826,785,1612,2319,2106,4424,1126,1085,2220,326,349,673,3772,3544,7322,1670,1549,3216,941,870,1813,278,321,592,2892,2740,5626,138,132,261,120,135,257,410,224,637,453,597,1049,3,0,4,1124,1084,2213,570,730,1295,190,275,465,132,179,309,439,799,1234,5,0,6,1329,1983,3315,2459,3073,5537,148,138,291,265,360,630,0,0,0,416,511,920,1289,1282,2566,11656,11924,23583
SED80002,978,861,1845,2922,2685,5607,794,772,1565,312,310,621,4033,3775,7810,1905,1731,3637,686,695,1380,334,331,668,2931,2754,5689,172,164,334,268,278,549,362,194,555,593,723,1320,7,3,11,1401,1365,2765,1474,1961,3431,785,849,1636,236,304,538,847,1184,2030,12,9,19,3349,4305,7655,4759,5672,10432,203,223,429,414,479,895,5,10,12,624,707,1330,1722,1625,3346,15046,15398,30448
SED80003,612,546,1150,1859,1701,3556,353,298,652,354,344,699,2572,2344,4915,1297,1194,2494,285,352,633,531,534,1064,2122,2073,4197,91,97,190,174,205,384,175,132,304,380,522,902,0,0,0,824,960,1782,3568,3979,7548,1098,1069,2165,363,481,839,1279,1642,2918,9,0,8,6310,7164,13474,7134,8135,15266,233,153,379,247,332,579,4,0,4,479,487,974,3258,2526,5782,16172,16116,32282
SED80004,902,850,1751,2583,2491,5073,922,818,1742,470,590,1058,3985,3898,7882,1583,1391,2970,873,699,1571,532,658,1195,2988,2753,5743,134,100,236,198,190,389,277,167,442,413,531,954,8,0,8,1033,993,2029,898,1102,2006,477,560,1042,206,244,450,785,1085,1864,4,7,6,2370,2997,5369,3406,3999,7402,169,166,336,268,389,659,4,6,6,438,561,998,1607,1589,3200,13331,13659,26985
SED80005,1280,1199,2476,3302,3064,6370,1318,1239,2553,719,672,1389,5339,4981,10318,2006,1831,3839,867,850,1715,548,565,1112,3419,3247,6672,191,168,355,302,326,624,338,241,576,625,849,1470,0,0,4,1453,1583,3033,1115,1322,2438,635,762,1397,201,272,474,902,1196,2097,10,7,13,2863,3551,6418,4332,5142,9473,304,257,560,433,541,974,3,3,6,740,796,1538,1664,1549,3212,16775,16908,33691
SED89494,3,0,8,6,5,9,0,0,0,0,0,0,6,5,9,9,23,36,0,0,5,0,0,0,11,25,37,0,4,8,0,0,3,0,0,0,3,4,7,0,0,0,9,14,21,11,6,21,4,4,9,3,5,5,0,0,8,0,0,0,14,18,35,23,31,54,0,0,0,3,6,5,0,0,0,3,6,4,97,36,131,148,104,248
SED89797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
