SED_CODE_2021,M_Arthritis_0_14,M_Arthritis_15_24,M_Arthritis_25_34,M_Arthritis_35_44,M_Arthritis_45_54,M_Arthritis_55_64,M_Arthritis_65_74,M_Arthritis_75_84,M_Arthritis_85_over,M_Arthritis_Tot,M_Asthma_0_14,M_Asthma_15_24,M_Asthma_25_34,M_Asthma_35_44,M_Asthma_45_54,M_Asthma_55_64,M_Asthma_65_74,M_Asthma_75_84,M_Asthma_85_over,M_Asthma_Tot,M_Cancer_0_14,M_Cancer_15_24,M_Cancer_25_34,M_Cancer_35_44,M_Cancer_45_54,M_Cancer_55_64,M_Cancer_65_74,M_Cancer_75_84,M_Cancer_85_over,M_Cancer_Tot,M_Dementia_0_14,M_Dementia_15_24,M_Dementia_25_34,M_Dementia_35_44,M_Dementia_45_54,M_Dementia_55_64,M_Dementia_65_74,M_Dementia_75_84,M_Dementia_85_over,M_Dementia_Tot,M_Diabetes_0_14,M_Diabetes_15_24,M_Diabetes_25_34,M_Diabetes_35_44,M_Diabetes_45_54,M_Diabetes_55_64,M_Diabetes_65_74,M_Diabetes_75_84,M_Diabetes_85_over,M_Diabetes_Tot,M_Heart_disease_0_14,M_Heart_disease_15_24,M_Heart_disease_25_34,M_Heart_disease_35_44,M_Heart_disease_45_54,M_Heart_disease_55_64,M_Heart_disease_65_74,M_Heart_disease_75_84,M_Heart_disease_85_over,M_Heart_disease_Tot,M_Kidney_disease_0_14,M_Kidney_disease_15_24,M_Kidney_disease_25_34,M_Kidney_disease_35_44,M_Kidney_disease_45_54,M_Kidney_disease_55_64,M_Kidney_disease_65_74,M_Kidney_disease_75_84,M_Kidney_disease_85_over,M_Kidney_disease_Tot,M_Lung_cond_0_14,M_Lung_cond_15_24,M_Lung_cond_25_34,M_Lung_cond_35_44,M_Lung_cond_45_54,M_Lung_cond_55_64,M_Lung_cond_65_74,M_Lung_cond_75_84,M_Lung_cond_85_over,M_Lung_cond_Tot,M_Mental_health_cond_0_14,M_Mental_health_cond_15_24,M_Mental_health_cond_25_34,M_Mental_health_cond_35_44,M_Mental_health_cond_45_54,M_Mental_health_cond_55_64,M_Mental_health_cond_65_74,M_Mental_health_cond_75_84,M_Mental_health_cond_85_over,M_Mental_health_cond_Tot,M_Stroke_0_14,M_Stroke_15_24,M_Stroke_25_34,M_Stroke_35_44,M_Stroke_45_54,M_Stroke_55_64,M_Stroke_65_74,M_Stroke_75_84,M_Stroke_85_over,M_Stroke_Tot,M_Other_0_14,M_Other_15_24,M_Other_25_34,M_Other_35_44,M_Other_45_54,M_Other_55_64,M_Other_65_74,M_Other_75_84,M_Other_85_over,M_Other_Tot,M_None_0_14,M_None_15_24,M_None_25_34,M_None_35_44,M_None_45_54,M_None_55_64,M_None_65_74,M_None_75_84,M_None_85_over,M_None_Tot,M_NS_0_14,M_NS_15_24,M_NS_25_34,M_NS_35_44,M_NS_45_54,M_NS_55_64,M_NS_65_74,M_NS_75_84,M_NS_85_over,M_NS_Tot,M_Tot_0_14,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85_over,M_Tot_Tot,F_Arthritis_0_14,F_Arthritis_15_24,F_Arthritis_25_34,F_Arthritis_35_44,F_Arthritis_45_54,F_Arthritis_55_64,F_Arthritis_65_74,F_Arthritis_75_84,F_Arthritis_85_over,F_Arthritis_Tot,F_Asthma_0_14,F_Asthma_15_24,F_Asthma_25_34,F_Asthma_35_44,F_Asthma_45_54,F_Asthma_55_64,F_Asthma_65_74,F_Asthma_75_84,F_Asthma_85_over,F_Asthma_Tot,F_Cancer_0_14,F_Cancer_15_24,F_Cancer_25_34,F_Cancer_35_44,F_Cancer_45_54,F_Cancer_55_64,F_Cancer_65_74,F_Cancer_75_84,F_Cancer_85_over,F_Cancer_Tot,F_Dementia_0_14,F_Dementia_15_24,F_Dementia_25_34,F_Dementia_35_44,F_Dementia_45_54,F_Dementia_55_64,F_Dementia_65_74,F_Dementia_75_84,F_Dementia_85_over,F_Dementia_Tot,F_Diabetes_0_14,F_Diabetes_15_24,F_Diabetes_25_34,F_Diabetes_35_44,F_Diabetes_45_54,F_Diabetes_55_64,F_Diabetes_65_74,F_Diabetes_75_84,F_Diabetes_85_over,F_Diabetes_Tot,F_Heart_disease_0_14,F_Heart_disease_15_24,F_Heart_disease_25_34,F_Heart_disease_35_44,F_Heart_disease_45_54,F_Heart_disease_55_64,F_Heart_disease_65_74,F_Heart_disease_75_84,F_Heart_disease_85_over,F_Heart_disease_Tot
SED80001,8,31,89,189,366,690,812,398,137,2720,721,458,558,560,426,394,296,114,41,3568,11,12,22,54,102,296,373,239,84,1193,0,0,0,0,0,16,35,72,55,178,11,34,72,147,338,588,678,311,78,2257,22,21,32,59,182,457,684,376,158,1991,12,6,11,20,49,76,158,80,43,455,6,7,16,30,58,131,231,123,57,659,244,545,612,614,559,456,282,95,33,3440,0,3,8,19,33,63,131,80,42,379,505,319,357,461,598,731,597,244,73,3885,6402,3606,3874,3561,3001,2440,1251,333,63,24531,471,331,331,274,277,258,192,91,41,2266,8206,5118,5647,5500,5243,5242,3837,1551,451,40795,7,51,155,339,711,1379,1406,808,351,5207,499,467,771,767,745,712,522,225,78,4786,4,16,36,85,196,347,430,208,77,1399,0,0,0,0,5,12,34,91,113,255,21,27,87,147,303,506,456,249,92,1888,13,17,25,44,89,189,324,299,200,1200
SED80002,8,30,91,226,368,545,711,593,222,2794,771,570,695,639,465,331,288,181,54,3994,5,15,33,62,128,228,399,350,103,1323,3,0,0,7,5,10,45,99,89,258,16,44,81,140,324,470,578,390,94,2137,15,16,24,68,161,335,561,528,221,1929,9,9,17,36,46,78,117,110,55,477,7,8,16,33,67,123,179,187,72,692,285,666,848,808,664,426,246,130,50,4123,0,0,8,12,32,65,96,121,60,394,549,356,406,571,607,593,554,348,127,4111,6952,4470,6229,4742,3225,1956,1207,479,106,29366,557,406,507,389,357,233,152,88,29,2718,8935,6293,8514,7088,5614,4205,3541,2094,637,46921,14,63,166,374,663,1013,1511,1131,455,5390,523,707,955,897,713,575,573,321,101,5365,4,17,44,103,195,281,416,300,97,1457,0,0,0,3,3,5,32,105,143,291,16,36,71,150,264,385,524,330,103,1879,12,8,24,48,101,190,330,403,226,1342
SED80003,15,20,99,173,307,472,529,338,156,2109,367,704,759,524,354,288,215,115,29,3355,4,11,31,61,86,210,322,222,70,1017,0,0,0,5,7,14,36,98,123,283,4,24,60,84,162,324,302,170,72,1202,5,17,30,49,116,261,439,332,165,1414,4,7,15,20,34,51,86,66,47,330,0,5,15,18,47,93,133,120,49,480,125,710,956,590,502,398,214,104,53,3652,0,5,3,13,19,50,83,83,45,301,237,340,522,427,486,570,444,262,109,3397,4559,5576,6394,4016,3120,2087,1152,416,104,27424,324,969,940,599,441,383,232,111,51,4050,5570,8102,9394,6164,5089,4284,3063,1530,615,43811,3,62,139,207,427,800,940,736,415,3729,246,793,941,615,535,463,349,175,91,4208,5,15,40,104,168,239,300,190,97,1158,0,0,0,0,3,7,31,138,257,436,11,45,63,83,129,204,235,176,109,1055,6,22,20,33,46,100,193,240,227,887
SED80004,3,19,82,182,323,481,692,586,261,2629,546,422,467,550,426,327,311,168,58,3275,5,15,26,49,100,204,401,376,143,1319,0,0,0,4,0,7,52,110,127,300,11,30,56,151,246,365,511,390,119,1879,18,13,24,69,132,283,557,585,270,1951,12,9,14,30,47,56,111,119,69,467,7,8,8,22,42,79,156,214,74,610,203,464,545,561,521,353,250,123,39,3059,4,3,4,12,38,42,83,112,80,378,442,261,340,463,538,628,562,364,140,3738,6975,3479,4651,4549,3428,2237,1275,658,164,27416,469,340,378,299,335,240,193,162,78,2494,8554,4846,6277,6480,5547,4393,3653,2513,920,43183,7,35,119,252,599,944,1293,1270,565,5084,401,453,682,679,597,518,490,334,115,4269,7,6,31,81,203,290,413,359,142,1532,0,0,0,0,0,14,46,163,189,412,17,19,68,119,221,289,373,371,133,1610,10,9,15,30,63,152,286,422,292,1279
SED80005,11,21,100,210,360,416,430,273,71,1892,850,483,613,647,430,276,178,83,22,3582,5,13,26,53,94,181,231,145,41,789,0,0,0,0,0,11,18,50,25,104,17,39,81,280,417,445,459,212,29,1979,19,12,27,61,185,276,381,279,85,1325,14,8,22,33,53,57,80,70,20,357,8,13,8,20,35,59,112,98,31,384,267,490,685,644,518,314,144,66,14,3142,7,0,8,11,27,50,74,81,19,277,571,279,420,599,649,493,384,145,32,3572,9302,4531,6684,6531,3947,1857,905,275,42,34074,646,383,509,450,307,178,117,49,13,2652,11487,6073,8810,9045,6296,3739,2529,1103,234,49316,7,35,150,323,592,811,907,546,141,3512,554,527,875,883,591,420,355,147,29,4381,11,12,42,102,187,222,231,144,32,983,0,0,0,0,0,12,21,45,30,108,22,25,79,226,298,354,370,199,50,1623,13,19,34,54,83,131,200,187,73,794
SED89494,0,0,0,3,0,4,4,0,0,11,0,6,0,4,5,0,0,0,0,15,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,8,0,0,0,0,3,4,0,3,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,4,12,14,13,6,7,0,3,0,59,0,0,0,0,3,0,0,0,0,3,0,4,7,3,9,4,5,0,0,32,17,31,29,18,11,5,4,0,0,115,3,15,11,30,19,15,10,0,0,103,23,66,60,62,53,38,21,6,0,329,0,0,0,0,0,12,4,3,0,19,0,8,5,3,3,3,3,0,0,25,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,4,4,0,0,8
SED89797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
