SED_CODE_2021,P_85ov_DNPCC,P_85ov_UCC_NS,P_85ov_Total,P_Tot_CF_Own_CCO,P_Tot_CF_Oth_CCO,P_Tot_CF_Own_CC_Oth_CC,P_Tot_CF_Total,P_Tot_DNPCC,P_Tot_UCC_NS,P_Tot_Total
SED80001,1008,181,1202,14297,5972,630,20903,43742,2361,67000
SED80002,1375,111,1511,16028,5224,699,21949,52773,3126,77845
SED80003,1433,235,1696,11146,3769,454,15359,56615,5678,77651
SED80004,2024,178,2236,15672,4864,645,21177,47897,3019,72089
SED80005,496,24,535,20567,4433,621,25618,47871,2919,76406
SED89494,0,0,4,63,32,0,97,335,130,560
SED89797,0,0,0,0,0,0,0,0,0,0
