SED_CODE_2021,F_GrpH_Mem_0_14,F_GrpH_Mem_15_24,F_GrpH_Mem_25_34,F_GrpH_Mem_35_44,F_GrpH_Mem_45_54,F_GrpH_Mem_55_64,F_GrpH_Mem_65_74,F_GrpH_Mem_75_84,F_GrpH_Mem_85ov,F_GrpH_Mem_Tot,F_LonePsn_0_14,F_LonePsn_15_24,F_LonePsn_25_34,F_LonePsn_35_44,F_LonePsn_45_54,F_LonePsn_55_64,F_LonePsn_65_74,F_LonePsn_75_84,F_LonePsn_85ov,F_LonePsn_Tot,F_Vis_within_Aus_0_14,F_Vis_within_Aus_15_24,F_Vis_within_Aus_25_34,F_Vis_within_Aus_35_44,F_Vis_within_Aus_45_54,F_Vis_within_Aus_55_64,F_Vis_within_Aus_65_74,F_Vis_within_Aus_75_84,F_Vis_within_Aus_85ov,F_Vis_within_Aus_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Ptn_in_RM_0_14,P_Ptn_in_RM_15_24,P_Ptn_in_RM_25_34,P_Ptn_in_RM_35_44,P_Ptn_in_RM_45_54,P_Ptn_in_RM_55_64,P_Ptn_in_RM_65_74,P_Ptn_in_RM_75_84,P_Ptn_in_RM_85ov,P_Ptn_in_RM_Tot,P_Ptn_in_DFM_0_14,P_Ptn_in_DFM_15_24,P_Ptn_in_DFM_25_34,P_Ptn_in_DFM_35_44,P_Ptn_in_DFM_45_54,P_Ptn_in_DFM_55_64,P_Ptn_in_DFM_65_74,P_Ptn_in_DFM_75_84,P_Ptn_in_DFM_85ov,P_Ptn_in_DFM_Tot,P_LonePnt_0_14,P_LonePnt_15_24,P_LonePnt_25_34,P_LonePnt_35_44,P_LonePnt_45_54,P_LonePnt_55_64,P_LonePnt_65_74,P_LonePnt_75_84,P_LonePnt_85ov,P_LonePnt_Tot,P_CU15_0_14,P_CU15_15_24,P_CU15_25_34,P_CU15_35_44,P_CU15_45_54,P_CU15_55_64,P_CU15_65_74,P_CU15_75_84,P_CU15_85ov,P_CU15_Tot,P_DpStu_0_14,P_DpStu_15_24,P_DpStu_25_34,P_DpStu_35_44,P_DpStu_45_54,P_DpStu_55_64,P_DpStu_65_74,P_DpStu_75_84,P_DpStu_85ov,P_DpStu_Tot,P_NDpChl_0_14,P_NDpChl_15_24,P_NDpChl_25_34,P_NDpChl_35_44,P_NDpChl_45_54,P_NDpChl_55_64,P_NDpChl_65_74,P_NDpChl_75_84,P_NDpChl_85ov,P_NDpChl_Tot,P_OthRI_0_14,P_OthRI_15_24,P_OthRI_25_34,P_OthRI_35_44,P_OthRI_45_54,P_OthRI_55_64,P_OthRI_65_74,P_OthRI_75_84,P_OthRI_85ov,P_OthRI_Tot,P_URI_in_FH_0_14,P_URI_in_FH_15_24,P_URI_in_FH_25_34,P_URI_in_FH_35_44,P_URI_in_FH_45_54,P_URI_in_FH_55_64,P_URI_in_FH_65_74,P_URI_in_FH_75_84,P_URI_in_FH_85ov,P_URI_in_FH_Tot,P_GrpH_Mem_0_14,P_GrpH_Mem_15_24,P_GrpH_Mem_25_34,P_GrpH_Mem_35_44,P_GrpH_Mem_45_54,P_GrpH_Mem_55_64,P_GrpH_Mem_65_74,P_GrpH_Mem_75_84,P_GrpH_Mem_85ov,P_GrpH_Mem_Tot,P_LonePsn_0_14,P_LonePsn_15_24,P_LonePsn_25_34,P_LonePsn_35_44,P_LonePsn_45_54,P_LonePsn_55_64,P_LonePsn_65_74,P_LonePsn_75_84,P_LonePsn_85ov,P_LonePsn_Tot,P_Vis_within_Aus_0_14,P_Vis_within_Aus_15_24,P_Vis_within_Aus_25_34,P_Vis_within_Aus_35_44,P_Vis_within_Aus_45_54,P_Vis_within_Aus_55_64,P_Vis_within_Aus_65_74,P_Vis_within_Aus_75_84,P_Vis_within_Aus_85ov,P_Vis_within_Aus_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
SED80001,..,104,156,59,61,102,65,14,0,562,..,89,316,296,474,866,1007,661,289,3998,93,100,107,53,51,91,75,20,12,611,7506,4499,5548,5573,5454,5588,3945,1707,548,40386,..,130,3833,6695,6470,6773,4847,1813,315,30871,..,702,2666,1494,1193,803,357,77,6,7297,..,66,518,957,1116,706,277,141,87,3871,15301,..,..,..,..,..,..,..,..,15301,..,4138,..,..,..,..,..,..,..,4138,..,3119,1799,474,251,108,37,0,0,5782,..,375,356,110,127,272,233,138,83,1694,..,302,351,99,78,47,28,11,0,907,..,261,444,191,181,219,137,28,4,1467,..,157,769,710,981,1507,1513,892,394,6916,186,224,247,153,123,161,122,29,22,1269,15484,9471,10975,10884,10518,10588,7547,3136,916,79512
SED80002,..,787,679,110,93,106,67,7,15,1864,..,209,705,588,605,826,1124,815,356,5227,69,177,154,71,68,65,64,45,12,719,7931,5558,7997,6956,5459,4390,4064,2255,666,45269,..,258,5411,8289,6202,4907,4661,2472,475,32668,..,1131,3803,1875,1283,663,337,113,5,9212,..,55,400,960,1145,619,282,187,93,3743,16415,..,..,..,..,..,..,..,..,16415,..,3918,..,..,..,..,..,..,..,3918,..,2425,1356,466,331,128,14,0,0,4722,..,548,535,154,140,210,224,173,68,2046,..,600,851,190,80,68,22,8,3,1822,..,1521,1869,362,237,231,132,30,14,4406,..,413,1451,1261,1244,1419,1635,1146,498,9058,151,333,331,172,141,121,100,68,17,1441,16568,11203,16007,13721,10805,8352,7415,4187,1178,89449
SED80003,..,1851,1555,183,76,95,42,29,7,3828,..,428,1479,970,743,1006,951,702,426,6698,65,321,222,99,61,79,63,32,16,954,4974,5711,8378,5666,4792,3996,2906,1629,724,38778,..,132,3260,5539,5131,4096,3153,1571,398,23283,..,1222,4870,1931,1242,840,358,81,16,10570,..,21,165,573,854,461,152,101,94,2415,10116,..,..,..,..,..,..,..,..,10116,..,3117,..,..,..,..,..,..,..,3117,..,1154,658,201,135,106,24,0,0,2283,..,330,369,94,64,108,128,104,72,1267,..,320,603,109,47,42,8,7,0,1130,..,3243,3260,466,194,203,91,40,14,7526,..,754,2933,2045,1602,1814,1533,998,563,12242,112,541,414,216,158,153,117,60,19,1791,10229,10833,16540,11169,9433,7825,5572,2960,1180,75739
SED80004,..,331,474,100,60,78,48,33,16,1144,..,163,664,446,556,816,1060,1100,561,5371,93,119,128,65,50,73,54,60,11,653,7807,4518,6350,6533,5559,4478,3971,2826,965,43009,..,170,4461,8399,6770,5229,4688,2995,677,33392,..,698,2790,1569,1155,709,331,113,16,7389,..,33,259,756,1040,570,249,181,114,3213,15877,..,..,..,..,..,..,..,..,15877,..,4362,..,..,..,..,..,..,..,4362,..,1993,1137,378,282,130,25,0,0,3958,..,382,427,129,116,189,216,161,87,1707,..,339,612,143,48,37,14,3,6,1192,..,646,1085,279,173,169,105,62,22,2534,..,302,1303,937,1140,1412,1603,1469,765,8940,182,211,258,154,120,136,108,91,17,1270,16062,9144,12333,12752,10846,8589,7336,5077,1697,83836
SED80005,..,429,534,119,72,79,52,5,6,1291,..,144,591,487,473,597,656,408,133,3483,85,119,135,72,65,46,55,22,5,607,10497,5650,8630,8819,5956,3828,2861,1187,264,47688,..,271,7068,12216,8294,4882,3428,1301,187,37645,..,908,3451,1849,954,440,185,33,5,7826,..,60,431,1006,1088,498,189,96,42,3406,21463,..,..,..,..,..,..,..,..,21463,..,5046,..,..,..,..,..,..,..,5046,..,2615,1271,364,168,67,17,0,0,4494,..,595,590,195,146,249,303,191,54,2317,..,539,1110,218,90,49,18,7,3,2035,..,983,1617,452,229,169,85,24,6,3550,..,299,1265,1085,947,962,918,537,182,6188,180,231,271,169,124,87,98,35,7,1181,21642,11535,17078,17549,12031,7389,5231,2217,481,95156
SED89494,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,14,38,24,17,10,20,3,7,0,132,14,38,24,17,10,20,3,7,0,132,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,18,59,57,41,32,23,19,3,0,263,18,59,57,41,32,23,19,3,0,263
SED89797,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
