SED_CODE_2021,R_1_74_LT_Real_estate_agent,R_1_74_LT_Ste_terr_hsg_auth,R_1_74_LT_com_hou_pro,R_1_74_LT_Psn_not_Sme_hhd,R_1_74_LT_Other_Lld_type,R_1_74_LT_Lld_type_ns,R_1_74_Tot,R_75_99_LT_Real_estate_agent,R_75_99_LT_Ste_terr_hsg_auth,R_75_99_LT_com_hou_pro,R_75_99_LT_Psn_not_Sme_hhd,R_75_99_LT_Other_Lld_type,R_75_99_LT_Lld_type_ns,R_75_99_Tot,R_100_149_LT_Real_eSte_agent,R_100_149_LT_St_ter_hsg_aut,R_100_149_LT_com_hou_pro,R_100_149_LT_Psn_not_Sme_hhd,R_100_149_LT_Other_Lld_type,R_100_149_LT_Lld_type_ns,R_100_149_Tot,R_150_199_LT_Real_eSte_agent,R_150_199_LT_Ste_ter_hsg_aut,R_150_199_LT_com_hou_pro,R_150_199_LT_Psn_not_Sme_hhd,R_150_199_LT_Other_Lld_type,R_150_199_LT_Lld_type_ns,R_150_199_Tot,R_200_224_LT_Real_eSte_agent,R_200_224_LT_Ste_ter_hsg_aut,R_200_224_LT_com_hou_pro,R_200_224_LT_Psn_not_Sme_hhd,R_200_224_LT_Other_Lld_type,R_200_224_LT_Lld_type_ns,R_200_224_Tot,R_225_274_LT_Real_eSte_agent,R_225_274_LT_Ste_ter_hsg_aut,R_225_274_LT_com_hou_pro,R_225_274_LT_Psn_not_Sme_hhd,R_225_274_LT_Other_Lld_type,R_225_274_LT_Lld_type_ns,R_225_274_Tot,R_275_349_LT_Real_eSte_agent,R_275_349_LT_Ste_ter_hsg_aut,R_275_349_LT_com_hou_pro,R_275_349_LT_Psn_not_Sme_hhd,R_275_349_LT_Other_Lld_type,R_275_349_LT_Lld_type_ns,R_275_349_Tot,R_350_449_LT_Real_eSte_agent,R_350_449_LT_Ste_ter_hsg_aut,R_350_449_LT_com_hou_pro,R_350_449_LT_Psn_not_Sme_hhd,R_350_449_LT_Other_Lld_type,R_350_449_LT_Lld_type_ns,R_350_449_Tot,R_450_549_LT_Real_eSte_agent,R_450_549_LT_Ste_ter_hsg_aut,R_450_549_LT_com_hou_pro,R_450_549_LT_Psn_not_Sme_hhd,R_450_549_LT_Other_Lld_type,R_450_549_LT_Lld_type_ns,R_450_549_Tot,R_550_649_LT_Real_eSte_agent,R_550_649_LT_Ste_ter_hsg_aut,R_550_649_LT_com_hou_pro,R_550_649_LT_Psn_not_Sme_hhd,R_550_649_LT_Other_Lld_type,R_550_649_LT_Lld_type_ns,R_550_649_Tot,R_650_749_LT_Real_eSte_agent,R_650_749_LT_Ste_ter_hsg_aut,R_650_749_LT_com_hou_pro,R_650_749_LT_Psn_not_Sme_hhd,R_650_749_LT_Other_Lld_type,R_650_749_LT_Lld_type_ns,R_650_749_Tot,R_750_849_LT_Real_eSte_agent,R_750_849_LT_Ste_ter_hsg_aut,R_750_849_LT_com_hou_pro,R_750_849_LT_Psn_not_Sme_hhd,R_750_849_LT_Other_Lld_type,R_750_849_LT_Lld_type_ns,R_750_849_Tot,R_850_949_LT_Real_estat_agent,R_850_949_LT_Ste_ter_hsg_aut,R_850_949_LT_com_hou_pro,R_850_949_LT_Psn_not_Sme_hhd,R_850_949_LT_Other_Lld_type,R_850_949_LT_Lld_type_ns,R_850_949_Tot,R_950_over_LT_Real_eSte_agent,R_950_over_LT_Ste_ter_hsg_aut,R_950_ovr_LT_com_hou_pro,R_950_over_LT_Psn_not_Sme_hhd,R_950_over_LT_Other_Lld_type,R_950_over_LT_Lld_type_ns,R_950_over_Tot,Rent_ns_LT_Real_eSte_agent,Rent_ns_LT_Ste_ter_hsg_auth,Rent_ns_LT_com_hou_pro,Rent_ns_LT_Psn_not_Sme_hhd,Rent_ns_LT_Other_Lld_type,Rent_ns_LT_Lld_type_ns,Rent_ns_Tot,Tot_LT_Real_eSte_agent,Tot_LT_Ste_ter_hsg_auth,Tot_LT_com_hou_pro,Tot_LT_Psn_not_Sme_hhd,Tot_LT_Other_Lld_type,Tot_LT_Lld_type_ns,Tot_Tot
SED80001,0,64,0,3,4,0,79,0,82,0,3,0,0,88,3,615,21,22,8,0,665,10,245,29,37,8,0,326,7,148,13,43,3,0,212,19,155,16,45,22,0,257,41,127,19,101,38,0,323,702,167,11,450,45,3,1374,1120,55,0,433,37,0,1652,536,6,0,171,9,4,721,155,0,0,38,4,0,202,55,0,0,8,0,0,72,20,0,0,6,0,0,27,15,0,0,0,0,0,13,51,93,14,70,21,11,256,2739,1762,118,1431,195,20,6268
SED80002,0,93,0,13,0,0,110,0,110,0,4,0,0,113,5,695,21,42,9,0,772,28,320,27,87,13,3,477,26,135,19,77,12,0,267,61,137,26,111,49,3,386,209,129,38,235,37,0,657,1888,194,29,675,128,4,2919,2063,45,6,630,94,3,2831,993,8,4,274,43,0,1315,296,0,0,102,13,0,413,85,3,0,36,10,0,135,26,0,0,8,5,0,31,34,3,0,16,5,0,62,75,131,17,97,28,27,382,5795,1997,189,2403,435,52,10879
SED80003,4,123,8,15,11,0,157,0,109,23,8,0,3,148,9,881,37,39,13,10,985,23,205,59,60,29,5,371,22,125,28,76,15,5,266,79,125,26,133,140,0,496,349,136,38,241,123,3,892,1633,83,31,626,117,9,2498,2997,55,15,689,80,0,3834,1994,16,11,479,40,4,2542,1033,3,3,241,18,0,1300,435,0,0,146,6,0,588,230,0,0,47,4,0,282,318,0,0,87,5,0,410,91,91,16,97,41,28,363,9222,1951,285,2973,630,66,15130
SED80004,3,73,0,4,3,0,88,0,102,15,5,3,4,125,9,657,21,37,4,0,728,18,246,28,45,8,4,351,15,112,7,48,8,0,184,74,129,3,87,44,0,344,355,111,12,174,40,3,686,1128,113,21,391,94,0,1750,1335,61,8,410,53,0,1868,972,9,5,251,36,0,1271,406,3,4,102,11,0,530,213,4,4,48,3,0,272,93,3,0,19,0,0,117,149,0,0,28,0,0,179,68,103,11,76,31,19,305,4843,1726,139,1725,338,38,8799
SED80005,0,67,0,7,0,0,70,0,62,0,3,0,0,68,10,364,14,26,8,0,424,22,177,24,68,14,0,305,12,77,7,52,14,0,155,56,95,32,74,256,3,519,142,97,74,146,310,5,778,1332,91,101,443,252,0,2212,2080,26,14,509,90,5,2729,1403,8,3,334,81,0,1833,643,0,3,136,39,3,820,159,4,0,57,15,0,235,47,0,0,23,6,0,73,48,0,0,23,0,0,74,91,59,8,90,42,22,317,6035,1124,281,1984,1135,43,10607
SED89494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SED89797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
