SED_CODE_2021,P_85y_ov_DNUDW,P_85y_ov_UDW_NS,P_85y_ov_Total,P_Tot_DUDW_LT_5_h,P_Tot_DUDW_5_14_h,P_Tot_DUDW_15_29_h,P_Tot_DUDW_30_h_mo,P_Tot_DNUDW,P_Tot_UDW_NS,P_Tot_Total
SED80001,489,180,1202,14976,22086,8976,5137,13372,2454,67000
SED80002,642,117,1511,17444,25415,9982,5363,16430,3210,77845
SED80003,708,242,1696,20158,26830,8401,3481,13041,5746,77651
SED80004,925,175,2236,15970,24393,10223,5282,13171,3053,72089
SED80005,224,30,535,16953,24082,9396,5330,17653,2998,76406
SED89494,0,0,4,123,123,39,17,138,126,560
SED89797,0,0,0,0,0,0,0,0,0,0
