SED_CODE_2021,P_650_799_15_19_yrs,P_650_799_20_24_yrs,P_650_799_25_34_yrs,P_650_799_35_44_yrs,P_650_799_45_54_yrs,P_650_799_55_64_yrs,P_650_799_65_74_yrs,P_650_799_75_84_yrs,P_650_799_85ov,P_650_799_Tot,P_800_999_15_19_yrs,P_800_999_20_24_yrs,P_800_999_25_34_yrs,P_800_999_35_44_yrs,P_800_999_45_54_yrs,P_800_999_55_64_yrs,P_800_999_65_74_yrs,P_800_999_75_84_yrs,P_800_999_85ov,P_800_999_Tot,P_1000_1249_15_19_yrs,P_1000_1249_20_24_yrs,P_1000_1249_25_34_yrs,P_1000_1249_35_44_yrs,P_1000_1249_45_54_yrs,P_1000_1249_55_64_yrs,P_1000_1249_65_74_yrs,P_1000_1249_75_84_yrs,P_1000_1249_85ov,P_1000_1249_Tot,P_1250_1499_15_19_yrs,P_1250_1499_20_24_yrs,P_1250_1499_25_34_yrs,P_1250_1499_35_44_yrs,P_1250_1499_45_54_yrs,P_1250_1499_55_64_yrs,P_1250_1499_65_74_yrs,P_1250_1499_75_84_yrs,P_1250_1499_85ov,P_1250_1499_Tot,P_1500_1749_15_19_yrs,P_1500_1749_20_24_yrs,P_1500_1749_25_34_yrs,P_1500_1749_35_44_yrs,P_1500_1749_45_54_yrs,P_1500_1749_55_64_yrs,P_1500_1749_65_74_yrs,P_1500_1749_75_84_yrs,P_1500_1749_85ov,P_1500_1749_Tot,P_1750_1999_15_19_yrs,P_1750_1999_20_24_yrs,P_1750_1999_25_34_yrs,P_1750_1999_35_44_yrs,P_1750_1999_45_54_yrs,P_1750_1999_55_64_yrs,P_1750_1999_65_74_yrs,P_1750_1999_75_84_yrs,P_1750_1999_85ov,P_1750_1999_Tot,P_2000_2999_15_19_yrs,P_2000_2999_20_24_yrs,P_2000_2999_25_34_yrs,P_2000_2999_35_44_yrs,P_2000_2999_45_54_yrs,P_2000_2999_55_64_yrs,P_2000_2999_65_74_yrs,P_2000_2999_75_84_yrs,P_2000_2999_85ov,P_2000_2999_Tot,P_3000_3499_15_19_yrs,P_3000_3499_20_24_yrs,P_3000_3499_25_34_yrs,P_3000_3499_35_44_yrs,P_3000_3499_45_54_yrs,P_3000_3499_55_64_yrs,P_3000_3499_65_74_yrs,P_3000_3499_75_84_yrs,P_3000_3499_85ov,P_3000_3499_Tot,P_3500_more_15_19_yrs,P_3500_more_20_24_yrs,P_3500_more_25_34_yrs,P_3500_more_35_44_yrs,P_3500_more_45_54_yrs,P_3500_more_55_64_yrs,P_3500_more_65_74_yrs,P_3500_more_75_84_yrs,P_3500_more_85ov,P_3500_more_Tot,P_PI_NS_15_19_yrs,P_PI_NS_ns_20_24_yrs,P_PI_NS_ns_25_34_yrs,P_PI_NS_ns_35_44_yrs,P_PI_NS_ns_45_54_yrs,P_PI_NS_ns_55_64_yrs,P_PI_NS_ns_65_74_yrs,P_PI_NS_ns_75_84_yrs,P_PI_NS_ns_85_yrs_ovr,P_PI_NS_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
SED80001,144,535,650,437,389,570,667,346,92,3832,138,679,1094,640,620,775,787,308,94,5120,68,682,1503,1072,947,1154,807,206,67,6508,29,539,1600,1118,921,1007,567,155,45,5979,4,273,1615,1364,1245,1130,489,118,25,6271,0,76,1074,1199,1087,928,337,57,9,4770,5,54,1343,2584,2732,1835,379,46,16,8987,0,10,142,348,456,338,87,5,0,1385,4,4,159,591,672,540,114,19,6,2114,172,182,438,408,350,294,278,262,219,2609,4842,4915,11390,11267,10882,11043,8015,3441,1202,67000
SED80002,165,768,1081,553,408,423,693,445,149,4685,145,847,1596,893,576,604,733,437,122,5966,62,826,2318,1262,920,787,736,426,108,7450,20,710,2046,1297,913,790,612,256,69,6702,7,342,2097,1590,1152,822,527,201,53,6792,0,106,1360,1499,1114,711,329,108,34,5260,0,100,1905,3266,2741,1405,434,127,27,10004,0,11,210,536,516,301,95,29,6,1699,0,20,184,801,834,485,105,44,12,2485,201,406,811,531,412,326,285,223,154,3334,5187,7456,16932,14313,11271,8826,7836,4511,1511,77845
SED80003,273,863,750,297,218,302,417,272,122,3524,257,1004,1043,505,365,385,512,276,128,4472,81,1170,1681,735,457,538,588,275,100,5625,41,1096,2297,767,476,559,519,227,96,6075,20,606,2655,976,716,618,470,211,56,6337,4,187,1963,1121,774,611,351,136,43,5182,10,130,3402,3367,2587,1593,588,195,53,11927,0,22,406,824,783,496,176,41,21,2773,3,20,440,1480,1977,1334,389,96,35,5780,586,1030,1364,832,570,504,412,321,326,5936,6043,10540,18602,12288,10194,8607,6288,3397,1696,77651
SED80004,116,477,693,403,300,368,585,508,206,3660,88,581,1105,635,496,532,665,548,217,4867,50,656,1506,953,735,727,829,558,174,6188,22,505,1597,966,710,670,653,363,116,5607,11,293,1753,1219,897,743,562,303,86,5871,0,90,1223,1264,978,722,433,169,49,4934,4,74,2015,3479,2905,1730,582,239,67,11090,0,8,257,816,760,434,142,54,12,2479,5,7,330,1530,1751,1069,312,93,34,5130,181,261,592,462,401,336,389,356,320,3310,4667,4912,12923,13270,11359,9139,7958,5631,2236,72089
SED80005,129,622,1183,662,465,389,456,213,46,4166,107,811,1786,1111,683,514,463,188,40,5707,89,853,2483,1628,990,687,464,140,25,7365,30,662,2182,1715,966,583,375,97,14,6615,7,326,2101,1879,1164,676,290,72,13,6541,12,100,1370,1855,1235,632,171,40,9,5420,0,77,1951,4163,3169,1324,267,29,4,10980,0,0,251,852,674,303,46,11,0,2148,0,6,256,1187,1087,451,91,20,3,3104,180,289,833,653,383,236,212,116,24,2929,5545,6355,17784,18143,12426,7717,5541,2358,535,76406
SED89494,0,4,4,3,8,4,0,0,0,29,0,7,5,3,6,6,4,4,0,33,0,7,16,3,0,4,0,0,0,41,0,4,8,0,4,3,0,0,0,19,0,8,7,0,0,4,0,0,0,15,0,0,3,3,5,4,0,0,0,13,0,0,6,6,10,0,0,0,0,24,0,0,0,4,0,4,0,0,0,7,0,0,4,0,0,3,0,0,0,11,7,7,17,27,26,20,10,5,0,121,58,82,108,104,77,78,34,10,4,560
SED89797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
