SED_CODE_2021,OPDs_Separate_house_Dwellings,OPDs_Separate_house_Persons,OPDs_SD_r_t_h_th_1_sty_Dwgs,OPDs_SD_r_t_h_th_1_sty_Psns,OPDs_SD_r_t_h_th_2_m_sty_Dwgs,OPDs_SD_r_t_h_th_2_m_sty_Psns,OPDs_SD_r_t_h_th_Tot_Dwgs,OPDs_SD_r_t_h_th_Tot_Psns,OPDs_F_ap_I_1or2_sty_blk_Ds,OPDs_F_ap_I_1or2_sty_blk_Ps,OPDs_F_ap_I_3_sty_blk_Dwgs,OPDs_F_ap_I_3_sty_blk_Psns,OPDs_F_ap_I_4to8_sty_blk_Ds,OPDs_F_ap_I_4to8_sty_blk_Ps,OPDs_F_ap_I_9_m_sty_blk_Ds,OPDs_F_ap_I_9_m_sty_blk_Ps,OPDs_Flt_apt_Att_house_Ds,OPDs_Flt_apt_Att_house_Ps,OPDs_Flt_apart_Tot_Dwgs,OPDs_Flt_apart_Tot_Psns,OPDs_Oth_dwg_Cvn_Ds,OPDs_Oth_dw_Cvn_Ps,OPDs_Oth_dwg_cab_hboat_Ds,OPDs_Oth_dwg_cab_hboat_Ps,OPDs_Ot_dwg_Im_hm_tnt_SO_Ds,OPDs_Ot_dwg_Im_hm_tnt_SO_Ps,OPDs_Ot_dwg_Hs_f_att_sh_of_Ds,OPDs_Ot_dwg_Hs_f_att_sh_of_Ps,OPDs_Other_dwelling_Tot_Dwgs,OPDs_Other_dwelling_Tot_Psns,OPDs_Dwlling_structur_NS_Dwgs,OPDs_Dwlling_structur_NS_Psns,OPDs_Tot_OPDs_Dwellings,OPDs_Tot_OPDs_Persons,Unoccupied_PDs_Dwgs,Unoccupied_PDs_Psns,Total_PDs_Dwellings,Total_PDs_Persons
SED80001,24027,67292,3131,6079,1289,2853,4424,8931,728,1450,200,343,549,905,459,756,46,91,1981,3547,0,0,0,0,0,0,0,0,0,0,30,51,30460,79821,1444,..,31913,79821
SED80002,23857,66398,3818,7343,2809,6643,6631,13983,1007,1983,913,1603,2250,3967,938,1735,26,58,5126,9337,0,0,0,0,0,0,0,0,0,0,31,84,35649,89805,2226,..,37870,89805
SED80003,13278,36500,1634,3212,3689,7973,5322,11186,2853,4903,3596,6228,6125,10298,3395,5790,217,390,16187,27610,44,66,105,181,0,0,3,16,160,260,63,122,35008,75681,4326,..,39332,75681
SED80004,22063,61540,2587,4705,3646,7881,6228,12585,824,1433,1706,3345,1916,3483,821,1496,130,256,5403,10024,0,0,0,0,0,0,4,6,4,6,33,74,33734,84232,2401,..,36128,84232
SED80005,23206,72086,2585,5735,3732,9622,6321,15358,224,449,1329,2727,1801,3542,593,1216,21,62,3966,7997,0,3,0,0,0,0,0,12,3,14,59,115,33549,95571,1595,..,35146,95571
SED89494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
SED89797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
