SED_CODE_2021,Num_MVs_per_dweling_0_MVs,Num_MVs_per_dweling_1_MVs,Num_MVs_per_dweling_2_MVs,Num_MVs_per_dweling_3_MVs,Num_MVs_per_dweling_4mo_MVs,Num_MVs_per_dweling_Tot,Num_MVs_NS,Total_dwelings
SED80001,1124,9801,12407,4429,2433,30197,266,30460
SED80002,1885,13858,13706,3908,1977,35338,311,35649
SED80003,3417,17349,10429,2467,1049,34716,291,35008
SED80004,1710,13036,13434,3494,1757,33436,298,33734
SED80005,1138,11397,14656,3994,2054,33233,320,33549
SED89494,0,0,0,0,0,0,0,0
SED89797,0,0,0,0,0,0,0,0
