SED_CODE_2021,Aust_BP_B_OS,Aust_FO_B_OS,Aust_MO_B_OS,Aust_Both_parents_born_Aust,Aust_Birthplace_not_stated,Aust_Tot_resp,Aust_Abor_BP_B_OS,Aust_Abor_FO_B_OS,Aust_Abor_MO_B_OS,Aust_Abor_BP_B_Aus,Aust_Abor_BP_NS,Aust_Abor_Tot_resp,Chinese_BP_B_OS,Chinese_FO_B_OS,Chinese_MO_B_OS,Chinese_BP_B_Aus,Chinese_BP_NS,Chinese_Tot_resp,Croatian_BP_B_OS,Croatian_FO_B_OS,Croatian_MO_B_OS,Croatian_BP_B_Aus,Croatian_BP_NS,Croatian_Tot_resp,Dutch_BP_B_OS,Dutch_FO_B_OS,Dutch_MO_B_OS,Dutch_BP_B_Aus,Dutch_BP_NS,Dutch_Tot_resp,English_BP_B_OS,English_FO_B_OS,English_MO_B_OS,English_BP_B_Aus,English_BP_NS,English_Tot_resp,Filipino_BP_B_OS,Filipino_FO_B_OS,Filipino_MO_B_OS,Filipino_BP_B_Aus,Filipino_BP_NS,Filipino_Tot_resp,French_BP_B_OS,French_FO_B_OS,French_MO_B_OS,French_BP_B_Aus,French_BP_NS,French_Tot_resp,German_BP_B_OS,German_FO_B_OS,German_MO_B_OS,German_BP_B_Aus,German_BP_NS,German_Tot_resp,Greek_BP_B_OS,Greek_FO_B_OS,Greek_MO_B_OS,Greek_BP_B_Aus,Greek_BP_NS,Greek_Tot_resp,Hungarian_BP_B_OS,Hungarian_FO_B_OS,Hungarian_MO_B_OS,Hungarian_BP_B_Aus,Hungarian_BP_NS,Hungarian_Tot_resp,Indian_BP_B_OS,Indian_FO_B_OS,Indian_MO_B_OS,Indian_BP_B_Aus,Indian_BP_NS,Indian_Tot_resp,Irish_BP_B_OS,Irish_FO_B_OS,Irish_MO_B_OS,Irish_BP_B_Aus,Irish_BP_NS,Irish_Tot_resp,Italian_BP_B_OS,Italian_FO_B_OS,Italian_MO_B_OS,Italian_BP_B_Aus,Italian_BP_NS,Italian_Tot_resp,Korean_BP_B_OS,Korean_FO_B_OS,Korean_MO_B_OS,Korean_BP_B_Aus,Korean_BP_NS,Korean_Tot_resp,Lebanese_BP_B_OS,Lebanese_FO_B_OS,Lebanese_MO_B_OS,Lebanese_BP_B_Aus,Lebanese_BP_NS,Lebanese_Tot_resp,Macedonian_BP_B_OS,Macdonian_FO_B_OS,Macdonian_MO_B_OS,Macdonian_BP_B_Aus,Macdonian_BP_NS,Macedonian_Tot_resp,Maltese_BP_B_OS,Maltese_FO_B_OS,Maltese_MO_B_OS,Maltese_BP_B_Aus,Maltese_BP_NS,Maltese_Tot_resp,Maori_BP_B_OS,Maori_FO_B_OS,Maori_MO_B_OS,Maori_BP_B_Aus,Maori_BP_NS,Maori_Tot_resp,NZ_BP_B_OS,NZ_FO_B_OS,NZ_MO_B_OS,NZ_BP_B_Aus,NZ_BP_NS,NZ_Tot_resp,Polish_BP_B_OS,Polish_FO_B_OS,Polish_MO_B_OS,Polish_BP_B_Aus,Polish_BP_NS,Polish_Tot_resp,Russian_BP_B_OS,Russian_FO_B_OS,Russian_MO_B_OS,Russian_BP_B_Aus,Russian_BP_NS,Russian_Tot_resp,Samoan_BP_B_OS,Samoan_FO_B_OS,Samoan_MO_B_OS,Samoan_BP_B_Aus,Samoan_BP_NS,Samoan_Tot_resp,Scottish_BP_B_OS,Scottish_FO_B_OS,Scottish_MO_B_OS,Scottish_BP_B_Aus,Scottish_BP_NS,Scottish_Tot_resp,Serbian_BP_B_OS,Serbian_FO_B_OS,Serbian_MO_B_OS,Serbian_BP_B_Aus,Serbian_BP_NS,Serbian_Tot_resp,Sth_African_BP_B_OS,Sth_African_FO_B_OS,Sth_African_MO_B_OS,Sth_Afrcan_BP_B_Aus,Sth_African_BP_NS,Sth_African_Tot_resp,Spanish_BP_B_OS,Spanish_FO_B_OS,Spanish_MO_B_OS,Spanish_BP_B_Aus,Spanish_BP_NS,Spanish_Tot_resp,Sri_Lankan_BP_B_OS,Sri_Lankan_FO_B_OS,Sri_Lankan_MO_B_OS,Sri_Lankan_BP_B_Aus,Sri_Lankan_BP_NS,Sri_Lankan_Tot_resp,Vietnamese_BP_B_OS,Vietnamese_FO_B_OS,Vietnamese_MO_B_OS,Vietnamese_BP_B_Aus,Vietnamese_BP_NS,Vietnamese_Tot_resp,Welsh_BP_B_OS,Welsh_FO_B_OS,Welsh_MO_B_OS,Welsh_BP_B_Aus,Welsh_BP_NS,Welsh_Tot_resp,Other_BP_B_OS,Other_FO_B_OS,Other_MO_B_OS,Other_BP_B_Aus,Other_BP_NS,Other_Tot_resp,Ancestry_NS_BP_B_OS,Ancestry_NS_FO_B_OS,Ancestry_NS_MO_B_OS,Ancestry_NS_BP_B_Aus,Ancestry_NS_BP_NS,Ancestry_NS_Tot_resp,Tot_P_BP_B_OS,Tot_P_FO_B_OS,Tot_P_MO_B_OS,Tot_P_BP_B_Aus,Tot_P_BP_NS,Tot_P_Tot_resp
SED80001,854,3606,2792,23399,133,30784,20,157,75,2204,17,2473,1490,74,165,214,9,1952,547,123,34,287,7,998,654,256,159,631,7,1707,4994,3130,2293,19515,137,30069,1078,37,140,44,7,1306,205,48,38,175,3,469,933,326,249,2228,11,3747,344,96,48,276,0,764,185,36,41,133,0,395,2384,52,51,46,9,2542,1072,708,540,7711,59,10090,863,330,130,1290,10,2623,156,9,33,8,0,206,282,82,28,64,0,456,153,38,17,78,0,286,178,76,58,233,5,550,147,68,55,56,0,326,241,180,98,90,0,609,514,97,82,271,0,964,182,26,30,84,0,322,197,43,24,10,0,274,1348,792,638,6106,35,8919,326,68,38,89,0,521,233,43,47,24,0,347,497,79,46,139,7,768,238,41,30,15,5,329,691,17,53,17,0,778,233,72,43,283,0,631,7262,1000,909,1371,46,10588,326,36,35,321,2259,2977,23796,6593,5037,44884,2645,82955
SED80002,966,3804,3141,23157,133,31201,30,108,57,1748,21,1964,4921,119,243,245,15,5543,540,111,58,235,7,951,553,288,179,608,15,1643,5229,3320,2592,19866,146,31153,1339,36,190,46,10,1621,267,54,43,193,0,557,998,411,322,2333,11,4075,521,124,63,359,8,1075,200,63,40,114,0,417,3282,73,47,58,3,3463,1213,808,583,8429,30,11063,1095,353,181,1302,17,2948,457,3,34,14,0,508,126,38,18,74,0,256,120,21,11,28,0,180,95,45,33,187,0,360,161,48,39,36,0,284,223,123,102,88,0,536,523,116,86,333,7,1065,265,39,46,75,3,428,144,45,13,7,7,216,1373,862,695,6676,27,9633,243,35,15,46,5,344,230,46,38,32,0,346,438,36,39,75,4,592,349,19,23,32,5,428,1414,19,91,22,9,1555,223,99,73,382,0,777,12192,1107,1087,1540,76,16002,482,24,17,337,3095,3955,33979,6932,5606,44979,3530,95026
SED80003,746,3971,3373,18101,116,26307,22,77,50,1020,8,1177,5312,187,315,259,29,6102,500,80,58,275,0,913,582,296,194,605,3,1680,5574,3547,2912,17636,129,29798,661,33,137,32,4,867,461,121,98,253,4,937,1192,434,346,2153,15,4140,569,169,94,523,10,1365,192,58,42,109,0,401,2180,90,111,67,0,2448,1458,1070,875,8761,47,12211,1137,431,241,1448,6,3263,646,16,81,16,3,762,122,37,25,110,0,294,152,23,27,65,0,267,130,49,37,137,3,356,130,27,23,24,0,204,330,139,115,59,0,643,543,118,129,316,10,1116,280,33,44,118,0,475,86,19,11,5,4,125,1663,1011,802,6507,28,10011,262,44,19,38,0,363,261,55,47,28,0,391,329,45,48,61,5,488,296,27,33,32,0,388,922,41,63,26,9,1061,269,110,77,374,3,833,9079,1277,1335,1638,59,13388,301,37,22,173,5698,6231,29693,7604,6462,38638,6065,88462
SED80004,902,3554,3136,19881,138,27611,28,74,53,1132,18,1305,3352,150,287,259,13,4061,581,84,42,317,9,1033,556,231,167,505,7,1466,5415,3066,2438,17928,143,28990,1370,25,135,43,0,1573,352,86,78,223,4,743,1085,372,272,2151,20,3900,591,123,90,434,4,1242,218,81,31,140,6,476,4051,105,75,57,0,4288,1252,823,594,8521,50,11240,1172,387,222,1371,22,3174,440,17,60,8,0,525,149,59,22,96,0,326,185,34,16,57,0,292,119,48,35,123,4,329,119,52,18,28,0,217,252,111,100,72,0,535,557,113,101,249,6,1026,256,40,31,68,3,398,109,19,12,8,0,148,1547,922,762,6392,49,9672,302,40,35,56,3,436,234,55,59,27,0,375,422,59,40,127,9,657,392,29,37,35,0,493,547,25,44,34,0,650,269,113,61,361,3,807,11418,1066,1024,1365,65,14938,380,30,24,215,2902,3551,32430,6744,5625,40587,3345,88731
SED80005,1438,3236,2862,19617,98,27251,29,95,72,1466,7,1669,7635,137,347,203,41,8363,1010,140,93,464,15,1722,486,213,142,498,0,1339,4689,2565,2053,15714,96,25117,1610,59,190,59,7,1925,193,49,19,150,4,415,790,289,233,1855,20,3187,515,112,55,389,7,1078,150,44,29,97,3,323,7418,81,61,51,12,7623,862,559,456,6104,23,8004,1139,381,210,1475,10,3215,1404,16,55,13,0,1488,127,56,11,86,0,280,292,56,19,69,0,436,105,43,38,165,0,351,192,47,58,51,5,353,228,143,110,56,0,537,429,76,91,280,0,876,230,25,30,83,6,374,236,47,9,12,0,304,1077,668,523,4884,20,7172,357,55,23,64,0,499,425,40,43,15,0,523,441,45,44,81,0,611,629,20,29,12,4,694,1727,44,81,36,7,1895,192,79,57,264,0,592,17775,1038,1099,1262,77,21251,769,39,26,281,2856,3971,47578,5918,5082,36909,3227,98714
SED89494,0,24,7,143,0,174,0,0,0,28,0,28,12,3,4,0,0,19,0,0,0,0,0,0,4,0,0,3,0,7,34,13,13,87,0,147,3,4,0,0,0,7,5,0,0,0,0,5,4,4,0,25,0,33,0,0,0,0,0,0,3,0,0,0,0,3,17,0,0,0,0,17,15,0,4,35,0,54,3,0,0,9,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,0,32,0,47,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,10,5,12,4,87,5,0,0,4,132,141,143,42,27,262,137,611
SED89797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
