SA1_CODE_2021,P_85y_ov_DNUDW,P_85y_ov_UDW_NS,P_85y_ov_Total,P_Tot_DUDW_LT_5_h,P_Tot_DUDW_5_14_h,P_Tot_DUDW_15_29_h,P_Tot_DUDW_30_h_mo,P_Tot_DNUDW,P_Tot_UDW_NS,P_Tot_Total
80103103103,0,0,0,0,3,0,3,5,0,13
80103103201,0,0,0,8,4,3,0,4,3,22
80103111301,0,0,3,64,81,24,14,76,74,323
80103111302,0,0,4,31,75,19,11,75,29,246
80103111303,0,0,0,4,5,0,0,12,18,39
80103111304,0,0,0,6,8,5,0,0,0,14
80103111305,0,0,0,4,13,5,0,7,0,22
80103111306,0,0,0,3,0,0,0,0,0,4
80103111307,0,0,0,34,39,12,12,59,163,331
80103111308,0,0,0,0,0,0,0,0,0,0
80103111309,0,0,0,5,0,3,0,0,0,12
80103111401,0,0,0,20,30,10,6,12,27,103
80103111501,0,0,0,0,0,0,0,0,0,0
80103111502,0,0,5,27,30,16,4,22,11,108
80103111503,0,0,0,0,0,0,0,0,0,0
80103111504,0,0,0,9,7,0,3,6,7,34
80103111505,0,0,0,0,0,0,0,0,0,7
80103111506,0,0,4,8,8,3,4,61,28,117
80103111507,0,0,0,0,0,0,0,0,0,0
80104103401,0,0,3,71,97,55,25,45,11,313
80104103402,0,0,0,44,67,23,8,31,6,181
80104103403,0,0,0,92,126,65,22,56,5,362
80104103404,0,0,0,73,111,44,26,59,11,325
80104103405,0,0,0,84,118,38,28,55,19,344
80104103406,3,0,0,77,95,47,26,65,0,317
80104103407,0,0,0,56,67,37,12,37,5,213
80104103408,8,0,8,163,242,81,47,173,58,768
80104103409,0,0,0,51,74,35,11,42,8,221
80104103410,0,0,0,96,144,50,21,88,10,405
80104103411,0,0,3,106,146,66,39,69,3,430
80104103412,0,0,4,99,131,53,29,57,8,379
80104103413,3,0,8,90,118,42,17,54,12,333
80104103414,0,0,0,34,63,19,10,37,5,165
80104103501,0,0,0,73,67,44,12,77,21,293
80104103505,0,0,0,46,77,39,14,41,10,218
80104103506,0,0,0,76,107,42,12,73,3,314
80104103507,0,0,0,65,85,28,19,76,18,295
80104103508,0,0,0,44,63,30,18,50,14,233
80104103509,0,0,0,55,89,42,25,89,19,319
80104103510,0,0,0,102,127,40,28,88,12,400
80104103511,0,0,0,79,57,32,19,49,3,245
80104103512,0,0,0,88,133,47,33,104,17,413
80104103513,0,0,0,65,89,27,18,64,24,286
80104103514,0,0,0,60,84,23,20,45,12,246
80104103515,0,0,0,42,96,38,13,53,6,237
80104103516,0,0,0,64,103,36,37,123,16,378
80104103517,0,0,0,38,59,25,13,66,0,197
80104103518,0,0,4,64,88,34,28,104,22,342
80104103519,0,0,0,48,81,24,18,62,13,244
80104103520,0,0,0,73,64,26,22,66,9,266
80104103521,0,0,0,0,0,0,0,0,0,0
80104103522,0,0,0,48,97,37,15,62,10,268
80104103601,0,0,0,88,110,47,33,89,15,388
80104103604,0,0,4,84,137,55,33,68,10,380
80104103605,0,0,0,46,62,23,16,35,11,193
80104103606,0,0,0,71,94,28,25,52,9,274
80104103607,0,0,0,55,82,41,15,41,10,243
80104103608,0,0,0,94,147,50,36,83,27,428
80104103609,0,0,4,117,144,40,43,142,26,500
80104103610,0,0,0,51,71,29,13,79,7,237
80104103611,0,0,0,56,78,25,9,34,0,209
80104103612,0,0,0,34,52,18,13,34,10,160
80104103613,0,0,4,77,111,40,14,59,4,313
80104103614,0,0,0,66,87,20,23,41,11,248
80104103615,0,0,0,92,159,52,35,67,6,419
80104103616,0,0,0,92,127,53,39,89,14,419
80104103617,0,0,0,73,113,33,14,58,6,294
80104103618,0,0,0,19,34,11,4,17,3,82
80104103702,0,0,0,62,104,35,11,72,7,285
80104103703,0,0,0,76,141,36,23,74,21,373
80104103704,0,0,0,71,105,53,33,62,12,336
80104103705,3,0,8,48,45,21,9,30,10,155
80104103706,0,0,0,36,91,26,9,44,9,220
80104103707,0,0,0,51,101,17,21,43,3,236
80104103708,0,0,0,91,141,35,30,62,6,360
80104103709,0,0,0,0,0,0,0,0,0,0
80104103710,0,0,0,68,112,41,22,84,3,338
80104103711,0,0,0,106,145,58,34,136,17,491
80104103712,7,0,28,39,74,36,18,55,3,219
80104103713,0,0,0,46,68,40,18,50,7,232
80104103714,0,0,0,86,97,51,28,83,4,354
80104103804,0,0,0,79,127,51,19,64,5,345
80104103805,0,0,0,51,94,45,23,51,3,261
80104103806,0,0,0,59,71,22,25,33,3,213
80104103807,0,0,0,50,88,40,10,43,6,235
80104103808,0,0,0,67,107,36,18,57,23,307
80104103809,0,0,0,58,76,24,26,38,20,236
80104103810,0,0,0,41,96,37,26,39,6,237
80104103811,0,0,0,46,71,23,11,39,4,185
80104103812,0,0,0,81,134,44,31,86,19,385
80104103813,0,0,0,49,84,42,30,46,9,268
80104103814,0,0,0,62,89,23,16,52,19,261
80104103815,0,0,3,89,102,39,26,42,12,310
80104103907,0,0,0,29,59,19,10,52,11,195
80104103908,0,0,0,41,47,14,11,69,24,205
80104103910,0,0,0,149,163,49,18,153,39,564
80104103911,0,0,0,44,56,19,5,45,0,164
80104103912,0,0,0,78,78,34,22,70,0,288
80104103913,0,0,0,39,48,13,5,44,14,164
80104103914,0,0,0,76,95,52,30,101,3,354
80104103915,3,0,3,36,85,24,13,76,6,243
80104103916,0,0,0,86,100,31,15,148,29,407
80104103917,0,0,0,34,43,10,6,66,11,166
80104103918,0,0,0,32,49,23,8,54,11,173
80104103919,0,0,0,44,68,17,15,60,4,205
80104103920,0,0,0,43,53,7,10,45,5,169
80104103921,0,0,0,83,76,31,15,124,13,338
80104103922,0,0,0,87,118,28,32,65,11,342
80104103923,0,0,0,79,105,45,30,74,30,369
80104103924,0,0,0,58,90,46,16,55,19,292
80104103925,0,0,0,68,105,45,26,68,16,312
80104103926,0,0,0,36,42,10,5,44,8,149
80104103927,0,0,0,85,119,38,14,155,15,427
80104103928,0,0,0,41,58,32,14,53,7,203
80104103929,0,0,0,41,69,18,13,82,13,236
80104104001,0,0,0,128,129,48,37,175,32,554
80104104002,0,0,0,66,93,45,20,63,10,297
80104104005,0,0,4,68,78,49,22,72,7,303
80104104006,5,0,5,67,68,42,18,48,16,256
80104104007,0,0,6,99,128,52,24,88,13,398
80104104008,0,0,0,102,133,50,31,99,9,428
80104104011,0,0,0,0,0,0,0,0,0,0
80104104013,0,0,0,52,89,36,13,50,4,233
80104104014,0,0,0,65,80,31,16,110,4,312
80104104015,0,0,0,78,73,46,25,86,9,322
80104104017,0,0,0,61,80,24,24,98,5,296
80104104018,0,0,0,23,28,8,3,34,10,112
80104104019,0,0,3,33,46,17,17,73,5,187
80104104020,0,0,0,0,0,0,0,0,0,0
80104104021,0,0,0,12,10,0,0,9,5,44
80104104022,0,0,0,41,56,7,7,88,19,220
80104104023,0,0,0,0,0,0,0,0,0,0
80104104024,0,0,0,54,83,19,11,70,0,236
80104104025,0,0,0,64,93,34,11,89,10,309
80104104026,0,0,3,129,140,35,31,190,40,562
80104104027,0,0,7,95,110,40,20,139,20,425
80104104028,0,0,0,64,95,14,11,73,11,261
80104104029,0,0,0,90,82,25,15,108,20,331
80104104030,5,0,5,154,175,48,42,259,55,734
80104104031,6,0,5,59,75,22,12,52,11,225
80104104032,0,0,0,43,46,9,10,71,4,196
80104104301,0,0,6,59,88,36,20,34,9,251
80104104302,0,0,0,0,0,0,0,0,0,0
80104104401,0,0,0,95,135,45,35,103,15,432
80104104402,0,0,0,95,134,47,26,124,23,459
80104104404,0,0,0,103,149,76,20,91,19,449
80104104405,0,0,0,63,90,48,28,73,9,317
80104104409,0,0,0,63,93,37,21,39,3,254
80104104410,0,0,0,32,37,9,3,77,10,172
80104104411,0,0,0,62,96,31,18,39,10,260
80104104412,0,0,0,58,63,29,11,42,7,222
80104104413,0,0,0,79,93,43,18,51,3,289
80104104414,0,0,0,33,54,21,15,31,11,160
80104104415,0,0,0,68,82,26,17,98,11,300
80104104416,0,0,0,56,101,44,31,92,25,353
80104104417,0,0,0,53,77,39,18,67,0,256
80104104418,0,0,0,80,106,33,25,111,21,381
80104104419,0,0,0,56,99,23,6,106,6,296
80104104420,0,0,0,118,145,31,25,93,20,423
80104104421,0,0,0,68,84,16,6,77,11,265
80104104422,0,0,0,0,0,0,0,0,3,3
80104104423,0,0,0,62,93,35,19,46,14,259
80104104424,0,0,0,97,90,49,29,97,17,385
80104104425,0,0,0,6,0,0,0,3,0,13
80104104426,0,0,0,105,123,39,25,103,14,409
80104104502,0,0,0,0,0,0,0,0,0,0
80104104503,0,0,0,0,0,0,0,0,0,0
80104104504,0,0,0,0,5,0,0,0,0,6
80104104601,0,0,0,36,77,18,19,38,4,199
80104104602,0,0,0,93,123,25,11,72,28,355
80104104603,0,0,0,51,75,23,19,35,0,207
80104104604,0,0,0,29,62,30,10,57,6,193
80104104605,3,0,3,44,74,31,19,52,14,230
80104104606,0,0,0,51,101,32,19,52,5,263
80104104607,3,0,8,47,66,31,13,37,3,191
80104104609,0,0,5,65,79,12,11,47,26,236
80104104612,5,0,5,35,60,19,15,37,4,170
80104104613,0,0,5,77,101,45,20,66,7,321
80104104614,0,0,0,53,85,23,23,37,18,238
80104104616,0,0,0,39,57,14,9,46,8,174
80104104617,3,0,5,96,146,54,21,72,9,398
80104104618,0,0,0,66,107,25,31,58,11,309
80104104619,0,0,0,63,76,31,19,49,9,254
80104104620,0,0,5,43,76,34,15,59,12,239
80104104621,0,0,0,72,86,34,23,54,4,273
80104104622,0,0,0,68,87,43,21,50,11,273
80104104623,0,0,0,104,128,50,34,79,5,397
80104104624,0,0,0,0,0,0,0,0,0,0
80104104625,0,0,0,74,91,49,31,75,10,333
80104104626,0,0,0,62,83,34,13,57,11,258
80104104627,7,0,8,55,90,33,19,76,0,275
80104104628,0,0,0,64,95,33,17,72,13,296
80104104629,6,4,26,41,66,29,35,54,10,234
80104104630,0,0,0,66,78,30,20,44,5,243
80104104631,0,0,0,51,77,25,22,60,8,244
80104104632,0,0,0,94,145,43,41,104,14,444
80104104633,0,0,0,73,113,31,30,102,13,363
80104104634,0,0,3,63,106,26,22,46,14,282
80104104635,0,0,0,43,68,24,16,47,8,213
80104104636,0,0,6,52,84,35,12,35,19,235
80104104637,0,0,0,56,85,32,11,56,12,252
80104104701,0,0,0,58,91,35,23,38,0,242
80104104702,6,0,8,77,115,48,24,61,17,332
80104104703,3,0,5,83,128,56,26,63,13,367
80104104704,0,0,0,41,67,24,10,41,3,189
80104104705,0,0,0,79,96,49,28,68,12,329
80104104706,0,0,3,69,71,49,19,78,12,301
80104104707,0,0,0,41,65,24,15,26,4,176
80104104708,0,0,4,57,103,42,25,53,3,280
80104104709,3,0,8,27,73,26,20,62,4,212
80104104710,0,0,0,100,110,53,24,50,8,356
80104104711,0,0,5,96,132,51,28,70,3,381
80104104712,0,0,3,42,64,25,13,68,7,218
80104104713,0,0,3,68,124,54,29,70,3,357
80104104714,0,0,0,0,0,0,0,0,0,0
80104104715,0,0,3,51,85,52,17,38,5,253
80104104716,0,0,0,80,123,61,29,44,0,336
80104104717,0,0,3,116,160,52,35,75,0,441
80104104718,0,0,0,96,146,59,21,66,5,399
80104104719,0,0,3,93,116,66,34,66,12,373
80104104801,0,0,0,78,75,37,17,47,0,263
80104104802,3,0,3,87,130,47,39,88,16,405
80104104803,0,0,0,61,88,30,20,43,3,254
80104104804,0,0,3,71,89,33,22,72,30,307
80104104805,0,0,0,80,130,54,29,88,25,407
80104104806,0,0,0,62,84,36,14,61,13,268
80104104807,0,0,3,62,82,35,18,45,11,249
80104104808,0,0,0,57,91,30,23,66,14,282
80104104809,0,0,5,99,113,59,25,101,8,400
80104104810,0,0,3,52,74,31,12,79,8,261
80104104811,0,0,0,58,89,45,24,39,12,272
80104104812,3,0,4,93,141,50,35,106,20,446
80104104813,0,0,6,48,78,29,11,58,3,223
80104104814,7,0,6,82,135,63,28,89,10,413
80104111601,0,0,0,0,0,0,0,0,0,0
80104111702,0,0,0,0,0,0,0,0,0,0
80104111801,0,0,0,114,158,47,43,113,16,490
80104111803,0,0,0,0,0,0,0,0,0,0
80104111901,0,0,0,0,4,0,0,4,7,16
80104112001,0,0,0,66,85,32,23,72,3,276
80104112003,0,0,0,93,112,54,33,76,12,379
80104112005,0,0,0,47,90,29,27,64,8,265
80104112006,0,0,0,63,110,30,28,102,12,345
80104112007,0,0,0,53,76,35,16,67,22,272
80104112008,0,0,0,66,85,34,21,73,15,289
80104112009,0,0,0,68,131,31,23,69,7,331
80104112010,0,0,0,63,85,49,40,67,16,320
80104112011,0,0,0,45,80,37,19,63,8,244
80104112012,0,0,0,64,110,45,18,94,13,347
80104112013,0,0,0,53,98,31,31,92,28,334
80104112014,0,0,0,0,0,0,0,0,0,0
80104112015,0,0,0,60,87,36,11,103,20,310
80104112102,0,0,0,36,51,29,21,63,15,217
80104112103,0,0,0,22,31,7,9,14,3,88
80104112104,0,0,0,0,0,0,0,0,0,0
80104112105,0,0,0,9,8,6,0,14,0,36
80104112106,0,0,0,3,8,0,0,0,0,7
80104112107,0,0,0,86,93,41,35,99,24,377
80104112108,0,0,0,53,70,24,22,79,17,260
80104112109,0,0,0,3,5,0,0,8,0,18
80104112110,0,0,0,5,21,9,0,16,3,54
80104112111,0,0,0,4,3,0,0,3,0,10
80104112112,0,0,0,0,0,0,0,0,0,0
80104112113,0,0,0,0,0,0,0,0,0,0
80104112114,0,0,0,54,62,36,22,113,30,328
80104112115,0,0,0,37,48,26,5,62,3,181
