SA1_CODE_2021,P_NS_0_14,P_NS_15_24,P_NS_25_34,P_NS_35_44,P_NS_45_54,P_NS_55_64,P_NS_65_74,P_NS_75_84,P_NS_85_over,P_NS_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
80101100101,5,0,0,4,0,0,0,0,0,9,59,25,17,37,33,40,28,24,11,274
80101100102,3,8,0,0,0,0,5,3,0,19,74,62,36,48,58,35,32,27,10,382
80101100103,3,0,0,3,0,3,6,0,0,15,98,47,61,67,48,40,27,22,6,416
80101100104,8,4,0,0,3,5,0,0,0,20,74,59,52,64,57,77,41,38,8,470
80101100105,8,3,3,8,7,0,7,6,0,42,119,65,43,69,76,83,66,47,20,588
80101100106,9,3,4,6,5,6,0,0,0,33,84,48,57,63,65,64,46,40,15,482
80101100201,0,3,6,4,4,4,0,0,0,21,46,66,115,71,48,38,16,13,0,413
80101100202,7,6,5,11,0,6,0,0,0,35,68,40,92,76,34,21,22,9,5,367
80101100203,3,3,10,8,0,0,0,0,0,24,58,117,307,119,50,38,21,13,0,723
80101100205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80101100208,0,0,3,0,4,0,0,0,0,7,65,49,101,70,53,27,27,12,6,410
80101100209,4,4,9,0,4,0,5,0,0,26,39,41,87,49,26,25,14,0,0,281
80101100210,4,3,11,6,5,3,3,0,0,35,42,44,84,59,45,34,37,26,3,374
80101100211,5,12,4,11,4,4,0,3,0,43,80,87,191,97,49,38,26,11,7,586
80101100212,4,4,0,0,0,7,0,8,13,36,53,37,50,42,17,22,48,123,148,540
80101100213,0,0,0,0,0,0,0,0,0,0,0,8,3,5,0,0,0,0,0,16
80101100215,0,0,21,0,0,0,0,0,0,21,23,104,289,74,21,13,10,7,0,541
80101100216,6,31,64,0,14,0,0,0,0,115,96,390,772,100,56,31,12,7,0,1464
80101100217,0,0,13,6,0,4,0,0,0,23,17,58,169,54,28,24,14,4,0,368
80101100218,9,8,11,13,5,0,0,0,0,46,39,93,244,96,39,21,14,0,0,546
80101100219,5,3,6,8,0,0,0,0,0,22,22,52,196,70,18,11,3,0,0,372
80101100220,0,0,3,3,0,0,0,0,0,6,20,27,94,58,23,5,5,0,0,232
80101100221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4
80101100222,0,6,9,0,0,0,0,0,0,15,49,90,223,109,40,30,14,17,4,576
80101100223,0,0,0,4,0,0,0,0,0,4,0,0,4,5,5,0,0,0,0,14
80101100224,0,9,3,0,0,0,0,0,0,12,0,177,54,3,0,0,0,0,0,234
80101100225,0,7,5,4,0,3,4,0,0,23,27,78,142,59,26,33,29,13,6,413
80101100301,5,3,11,4,0,0,0,0,0,23,51,67,159,69,18,16,15,6,0,401
80101100304,8,5,12,15,3,0,0,0,0,43,105,135,271,163,83,62,31,12,4,866
80101100306,0,3,3,4,0,0,3,0,0,13,53,58,110,61,32,30,39,11,9,403
80101100307,0,5,6,0,0,0,0,0,0,11,26,55,60,40,23,21,14,12,0,251
80101100308,0,35,3,0,0,0,0,3,3,44,0,813,145,24,9,4,0,4,4,1003
80101100309,0,0,4,3,0,0,0,0,0,7,40,64,92,42,28,19,14,0,0,299
80101100310,0,0,0,0,0,0,0,0,0,0,30,41,47,35,33,28,13,4,0,231
80101100311,0,0,0,0,3,0,3,0,0,6,29,40,80,26,24,35,29,13,3,279
80101100312,0,3,6,5,6,0,0,0,0,20,85,117,142,89,63,67,40,19,5,627
80101100314,0,12,4,4,0,4,0,0,0,24,4,49,17,9,4,7,8,9,6,113
80101100315,0,0,4,0,0,5,6,0,0,15,43,52,53,39,51,36,71,43,6,394
80101100316,0,0,0,0,0,3,0,4,4,11,21,18,0,7,26,14,36,94,95,311
80101100317,5,6,6,0,3,0,0,0,0,20,27,96,239,64,17,11,9,5,0,468
80101100318,5,3,0,0,0,0,6,0,0,14,45,33,21,29,40,41,60,15,0,284
80101100319,0,0,3,0,0,0,0,0,0,3,38,27,54,31,26,41,46,25,10,298
80101100320,3,0,5,4,4,0,0,0,0,16,110,67,103,101,42,8,0,0,0,431
80101100321,0,11,19,3,0,0,0,0,0,33,52,79,189,77,42,8,8,3,0,458
80101100322,0,3,5,0,0,3,0,0,0,11,14,76,168,76,19,12,10,0,0,375
80101100401,4,0,0,0,0,0,0,0,0,4,52,24,28,30,30,27,17,7,0,215
80101100402,0,8,6,0,5,0,0,0,0,19,86,34,64,69,73,37,32,16,4,415
80101100403,7,4,3,0,3,3,0,0,0,20,113,42,67,91,56,45,24,18,8,464
80101100404,3,0,0,7,5,0,0,0,0,15,93,28,54,80,49,21,34,12,0,371
80101100405,6,8,13,5,4,0,3,0,0,39,91,54,86,55,55,50,47,18,0,456
80101100406,9,3,12,5,3,4,0,0,0,36,119,91,100,85,61,76,43,23,8,606
80101100408,0,0,3,0,5,0,0,0,0,8,30,12,32,38,22,13,20,9,7,183
80101100409,6,11,6,10,7,0,5,0,0,45,59,40,65,57,40,28,28,16,3,336
80101100501,9,0,6,5,5,4,0,0,0,29,66,16,46,56,34,23,25,26,7,299
80101100502,8,5,4,4,6,0,0,0,0,27,76,46,48,64,69,60,32,29,6,430
80101100503,0,3,0,0,4,0,5,5,0,17,36,42,35,24,57,44,41,29,3,311
80101100504,0,0,0,0,0,4,0,0,0,4,45,15,42,58,47,46,45,26,14,338
80101100505,3,0,3,0,0,0,0,0,0,6,54,28,64,67,48,33,45,27,8,374
