SA1_CODE_2021,Intct_fam_no_otr_chld_pre_Fam,Step_fam_no_otr_chld_pre_Fam,Blnd_fam_no_otr_chld_pre_Fam,Intct_fam_othr_child_pres_Fam,Step_fam_othr_child_pres_Fam,Blnd_fam_othr_child_pres_Fam,Otr_cpl_fam_otr_chld_only_Fam,Tot_Families
80101100101,33,0,0,0,0,0,0,36
80101100102,53,3,4,0,0,0,0,60
80101100103,47,0,0,0,0,0,0,51
80101100104,64,6,3,0,0,0,0,71
80101100105,61,3,0,0,0,0,0,69
80101100106,65,0,0,0,0,0,0,66
80101100201,23,0,0,0,0,0,0,24
80101100202,25,0,0,0,0,0,0,28
80101100203,36,4,0,0,0,0,0,37
80101100205,0,0,0,0,0,0,0,0
80101100208,27,0,0,0,0,0,0,25
80101100209,12,0,0,0,0,0,0,18
80101100210,21,0,0,0,0,0,0,25
80101100211,38,3,0,0,0,0,0,41
80101100212,30,0,0,0,0,0,0,29
80101100213,0,0,0,0,0,0,0,0
80101100215,16,0,0,0,0,0,0,18
80101100216,60,0,0,0,0,0,0,66
80101100217,8,3,0,0,0,0,0,12
80101100218,23,0,0,0,0,0,0,26
80101100219,20,0,0,0,0,0,0,19
80101100220,18,0,0,0,0,0,0,17
80101100221,0,0,0,0,0,0,0,0
80101100222,28,0,0,0,0,0,0,31
80101100223,0,0,0,0,0,0,0,0
80101100224,0,0,0,0,0,0,0,0
80101100225,11,0,0,0,0,0,0,15
80101100301,27,5,0,0,0,0,0,33
80101100304,69,6,0,0,0,0,0,73
80101100306,30,0,0,0,0,0,0,30
80101100307,19,0,0,0,0,0,0,19
80101100308,0,0,0,0,0,0,0,0
80101100309,19,0,0,0,0,0,0,24
80101100310,24,4,0,0,0,0,0,31
80101100311,22,4,0,0,0,0,0,22
80101100312,53,0,0,0,0,0,0,59
80101100314,0,0,0,0,0,0,0,0
80101100315,35,0,0,0,0,0,0,35
80101100316,13,5,0,0,0,0,0,18
80101100317,15,0,0,0,0,0,0,15
80101100318,36,0,0,0,0,0,0,40
80101100319,17,8,0,0,0,0,0,21
80101100320,50,0,0,0,0,0,0,55
80101100321,41,3,0,0,0,0,0,42
80101100322,6,0,0,0,0,0,0,13
80101100401,26,0,0,0,0,0,0,32
80101100402,55,4,0,0,0,0,0,60
80101100403,44,3,3,0,0,0,0,51
80101100404,44,5,3,0,0,0,0,53
80101100405,42,4,5,0,0,0,0,51
80101100406,52,3,0,0,0,0,0,61
80101100408,7,0,0,0,0,0,0,7
80101100409,24,6,3,0,0,0,0,33
80101100501,31,0,0,0,0,0,0,31
80101100502,54,4,0,0,0,0,0,53
80101100503,41,0,0,0,0,0,0,43
80101100504,24,3,0,0,0,0,0,27
80101100505,36,0,0,0,0,0,0,32
80101100506,10,0,0,0,0,0,0,11
80101100507,40,0,0,0,0,0,0,47
80101100508,30,0,0,0,0,0,0,34
80101100509,46,3,0,0,0,0,0,55
80101100602,33,0,0,0,0,0,0,34
80101100604,41,5,3,0,0,0,0,45
80101100605,66,3,9,0,0,0,0,71
80101100606,52,5,6,0,0,0,0,58
80101100607,58,4,0,0,0,0,0,64
80101100608,57,10,4,3,0,0,0,70
80101100609,51,4,3,0,0,0,0,60
80101100610,51,10,5,0,0,0,0,58
80101100611,37,14,0,0,0,0,0,52
80101100612,77,5,0,0,0,0,0,84
80101100613,37,4,4,0,0,0,0,49
80101100614,52,3,3,0,0,0,0,55
80101100615,25,0,0,0,0,0,0,32
80101100616,73,4,0,6,0,0,0,77
80101100617,31,4,0,0,0,0,0,42
80101100618,47,0,5,0,0,0,0,57
80101100619,14,0,0,0,0,0,0,20
80101100620,52,10,4,0,0,0,0,66
80101100621,0,0,0,0,0,0,0,0
80101100622,42,0,0,0,0,0,0,45
80101100623,46,6,4,0,0,0,0,54
80101100701,61,0,0,0,0,0,0,72
80101100702,33,4,0,0,0,0,0,37
80101100703,68,7,0,0,0,0,0,77
80101100704,23,0,0,0,0,0,0,22
80101100705,66,6,0,0,0,0,0,67
80101100706,44,5,0,6,0,0,0,50
80101100707,65,5,0,0,0,0,0,72
80101100708,35,3,5,0,0,0,0,43
80101100709,28,0,0,0,0,0,0,26
80101100710,45,8,3,0,0,0,0,58
80101100711,64,4,0,0,0,0,0,76
80101100712,54,0,0,0,0,0,0,60
80101100713,32,4,0,0,0,0,0,39
80101100714,33,0,3,0,0,0,0,36
80101100801,40,4,4,0,0,0,0,50
80101100802,61,5,0,0,0,0,0,75
80101100803,40,3,0,0,0,0,0,47
80101100804,18,7,0,0,0,0,0,20
80101100805,54,3,0,0,0,0,0,59
80101100806,37,0,0,0,0,0,0,37
80101100807,63,0,0,0,0,0,0,63
80101100808,28,5,0,0,0,0,0,32
80101100809,54,3,4,0,0,0,0,58
80101100810,39,0,0,0,0,0,0,46
80101100811,26,0,0,0,0,0,0,27
80101100812,43,5,0,0,0,0,0,47
80101100901,49,3,0,0,0,0,0,55
80101100902,33,3,0,0,0,0,0,39
80101100903,67,0,0,0,0,0,0,67
80101100904,58,0,0,0,0,0,0,61
80101100905,54,3,0,0,0,0,0,57
80101100906,57,5,4,0,0,0,0,69
80101100907,24,0,4,0,0,0,0,28
80101100908,45,4,3,0,0,0,0,56
80101100909,32,3,0,0,0,0,0,35
80101100910,45,5,0,0,0,0,0,50
80101101001,43,8,0,0,0,0,0,51
80101101002,41,0,3,0,0,0,0,50
80101101003,58,3,5,0,0,0,0,61
80101101004,55,4,0,0,0,0,0,58
80101101005,60,3,4,0,0,0,5,72
80101101101,88,0,0,0,0,0,0,92
80101101102,47,4,0,0,0,0,0,50
80101101103,91,3,0,0,0,0,0,94
80101101104,45,0,7,0,0,0,0,53
80101101105,31,0,0,0,0,0,0,33
80101101106,25,4,0,0,0,0,0,25
80101101107,0,0,0,0,0,0,0,0
80101101108,23,5,0,0,0,0,0,25
80101101109,30,0,0,0,0,0,0,32
80101101110,27,3,0,0,0,0,0,31
80101101202,0,0,0,0,0,0,0,0
80101101203,0,0,0,0,0,0,0,0
80101101301,14,0,0,0,0,0,0,16
80101101302,41,4,0,0,0,0,0,48
80101101303,57,5,0,0,0,0,0,66
80101101304,37,6,0,0,0,0,0,38
80101101305,44,7,0,0,0,0,0,56
80101101306,40,4,0,0,0,0,0,46
80101101307,17,0,0,0,0,0,0,20
80101101308,42,4,0,0,0,0,0,47
80101101309,0,0,0,0,0,0,0,0
80101101310,32,0,0,0,0,0,0,30
80101101401,38,0,0,0,0,0,0,40
80101101402,63,9,5,0,0,0,0,77
80101101403,77,8,0,0,0,0,0,86
80101101404,59,3,7,0,0,0,0,69
80101101405,39,4,5,0,0,0,0,47
80101101406,28,0,3,0,0,0,0,25
80101101407,73,3,0,0,0,0,0,75
80101101502,31,4,4,0,0,0,0,37
80101101503,36,8,0,0,0,0,0,39
80101101504,38,6,0,0,0,0,0,41
80101101505,63,5,7,0,0,0,0,76
80101101506,26,0,0,0,0,0,0,24
80101101508,33,4,3,0,0,0,0,37
80101101509,44,6,0,0,0,0,0,46
80101101510,48,4,0,0,0,0,0,54
80101101511,23,6,0,0,0,0,0,30
80101101512,27,3,0,0,0,0,0,31
80101101513,14,0,0,0,0,0,0,15
80101101514,0,0,0,0,0,0,0,0
80101101515,21,0,0,0,0,0,0,27
80101101516,101,14,10,3,0,0,0,120
80101101517,44,9,0,0,0,0,0,61
80101101601,55,0,0,0,0,0,0,59
80101101602,26,3,0,0,0,0,0,35
80101101603,52,0,0,0,0,0,0,61
80101101604,49,0,0,0,0,0,0,49
80101101605,38,0,0,0,0,0,0,38
80101101606,72,9,0,0,0,0,0,79
80101101607,43,0,0,0,0,0,0,45
80101101608,0,0,0,0,0,0,0,0
80101101609,50,0,4,0,0,0,0,61
80101101610,26,0,3,0,0,0,0,31
80101101611,59,4,0,0,0,0,0,64
80101101612,57,5,0,0,0,0,0,65
80101101613,42,8,0,0,0,0,0,47
80101101614,66,3,3,0,0,0,0,74
80101101615,49,5,0,0,0,0,0,48
80101101616,48,7,3,0,0,0,0,59
80101101617,46,0,3,0,0,0,0,54
80101101618,44,0,4,0,0,0,0,50
80101101619,53,0,0,0,0,0,0,53
80101101701,42,3,4,0,0,0,0,45
80101101702,61,3,0,0,0,0,0,70
80101101703,60,3,4,0,0,0,0,67
80101101704,41,3,0,0,0,0,0,52
80101101705,36,5,0,0,0,0,0,48
80101101706,70,5,8,0,0,0,0,83
80101101707,42,4,0,0,0,0,0,50
80101101708,12,4,4,0,0,0,0,17
80101101709,41,0,0,0,0,0,0,45
80101101802,0,0,0,0,0,0,0,0
80101101805,52,3,0,0,0,0,0,56
80101101806,17,0,0,0,0,0,0,17
80101101807,33,0,0,0,0,0,0,33
80101101808,32,0,0,0,0,0,0,40
80101101809,30,3,0,0,0,0,0,33
80101101810,29,0,0,0,0,0,0,30
80101101902,93,7,0,6,0,0,0,105
80101101904,72,0,4,0,0,0,0,79
80101101905,62,3,0,4,0,0,0,69
80101101906,43,3,0,0,0,0,0,48
80101101907,65,3,7,0,0,0,0,74
80101101908,63,6,3,0,0,0,0,70
80101101909,51,3,0,0,0,0,0,60
80101101910,35,0,0,0,0,0,0,48
80101101911,48,11,5,4,0,0,0,64
80101101912,38,0,6,0,0,0,0,39
80101101913,49,0,0,0,0,0,0,50
80101101914,25,4,3,0,0,0,0,34
80101101915,45,0,0,0,0,0,0,49
80101101916,36,4,0,0,0,0,0,43
80101101917,43,3,0,0,0,0,0,45
80101101918,47,0,7,0,0,0,0,52
80101101919,56,4,5,0,0,0,0,67
80101102001,49,0,0,0,0,0,0,50
80101102002,33,4,0,0,0,0,0,40
80101102003,35,0,0,0,0,0,0,34
80101102004,32,0,0,0,0,0,0,29
80101102005,47,5,0,0,0,0,0,53
80101102006,29,0,0,0,0,0,0,26
80101102007,32,0,0,0,0,0,0,32
80101102008,36,0,0,0,0,0,0,41
80101102101,56,0,5,0,0,0,0,65
80101102102,40,9,0,3,0,0,0,51
80101102103,64,8,0,0,0,0,0,75
80101102104,53,3,0,0,0,0,0,65
80101102105,99,9,0,0,0,0,0,101
80101102201,29,0,0,0,0,0,0,27
80101102202,34,0,0,0,0,0,0,38
80101102203,40,3,3,0,0,0,0,46
80101102204,64,4,0,0,0,0,0,77
80101102205,81,10,0,0,0,0,0,92
80101102206,48,0,0,0,0,0,0,51
80101102207,68,4,4,0,0,0,0,78
80101102208,31,3,3,0,0,0,0,43
80101102301,57,8,0,0,0,0,0,73
80101102302,21,3,0,0,0,0,0,21
80101102303,42,0,0,0,0,0,0,46
80101102304,34,7,0,0,0,0,0,43
80101102305,35,3,6,0,0,0,0,39
80101102306,47,0,3,0,0,0,0,49
80101102307,8,0,0,0,0,0,0,8
80101102401,27,4,0,3,0,0,0,35
80101102402,55,3,0,0,0,0,0,63
80101102403,47,0,8,0,0,0,0,57
80101102404,36,5,3,0,0,0,0,45
80101102405,40,0,0,0,0,0,0,39
80101102406,45,0,0,0,0,0,0,52
80101102407,29,0,0,0,0,0,0,31
80101102408,52,5,0,0,0,0,0,60
80101102501,31,4,0,0,0,0,0,38
80101102502,47,0,0,0,0,0,0,47
80101102503,49,8,7,0,0,0,0,64
80101102504,55,4,5,0,0,0,0,62
80101102505,38,5,6,0,0,0,0,42
