SA1_CODE_2021,OPDs_Separate_house_Dwellings,OPDs_Separate_house_Persons,OPDs_SD_r_t_h_th_1_sty_Dwgs,OPDs_SD_r_t_h_th_1_sty_Psns,OPDs_SD_r_t_h_th_2_m_sty_Dwgs,OPDs_SD_r_t_h_th_2_m_sty_Psns,OPDs_SD_r_t_h_th_Tot_Dwgs,OPDs_SD_r_t_h_th_Tot_Psns,OPDs_F_ap_I_1or2_sty_blk_Ds,OPDs_F_ap_I_1or2_sty_blk_Ps,OPDs_F_ap_I_3_sty_blk_Dwgs,OPDs_F_ap_I_3_sty_blk_Psns,OPDs_F_ap_I_4to8_sty_blk_Ds,OPDs_F_ap_I_4to8_sty_blk_Ps,OPDs_F_ap_I_9_m_sty_blk_Ds,OPDs_F_ap_I_9_m_sty_blk_Ps,OPDs_Flt_apt_Att_house_Ds,OPDs_Flt_apt_Att_house_Ps,OPDs_Flt_apart_Tot_Dwgs,OPDs_Flt_apart_Tot_Psns,OPDs_Oth_dwg_Cvn_Ds,OPDs_Oth_dw_Cvn_Ps,OPDs_Oth_dwg_cab_hboat_Ds,OPDs_Oth_dwg_cab_hboat_Ps,OPDs_Ot_dwg_Im_hm_tnt_SO_Ds,OPDs_Ot_dwg_Im_hm_tnt_SO_Ps,OPDs_Ot_dwg_Hs_f_att_sh_of_Ds,OPDs_Ot_dwg_Hs_f_att_sh_of_Ps,OPDs_Other_dwelling_Tot_Dwgs,OPDs_Other_dwelling_Tot_Psns,OPDs_Dwlling_structur_NS_Dwgs,OPDs_Dwlling_structur_NS_Psns,OPDs_Tot_OPDs_Dwellings,OPDs_Tot_OPDs_Persons,Unoccupied_PDs_Dwgs,Unoccupied_PDs_Psns,Total_PDs_Dwellings,Total_PDs_Persons
80101100101,86,240,14,17,0,4,10,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,265,0,..,104,265
80101100102,125,361,0,0,3,8,3,8,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,128,370,4,..,132,370
80101100103,73,218,7,20,34,112,43,133,16,42,0,0,0,0,0,0,0,4,16,41,0,0,0,0,0,0,0,0,0,0,0,3,133,398,17,..,147,398
80101100104,159,445,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,162,457,10,..,170,457
80101100105,196,552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199,553,5,..,202,553
80101100106,145,385,0,0,33,66,33,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178,450,4,..,186,450
80101100201,6,19,15,31,140,297,156,327,20,37,7,10,0,0,0,0,0,0,25,50,0,0,0,0,0,0,0,0,0,0,0,3,191,399,22,..,216,399
80101100202,3,3,62,139,65,141,128,279,23,58,0,0,0,0,0,0,0,0,23,58,0,0,0,0,0,0,0,0,0,0,0,0,156,347,17,..,169,347
80101100203,0,0,0,0,0,0,0,0,0,0,236,470,112,240,0,0,0,0,349,705,0,0,0,0,0,0,0,0,0,0,0,0,349,705,15,..,366,705
80101100205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
80101100208,0,0,148,277,48,112,190,392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190,392,23,..,216,392
80101100209,0,0,0,3,48,110,51,112,15,29,31,39,32,76,0,0,0,0,79,139,0,0,0,0,0,0,0,0,0,0,0,0,126,255,10,..,138,255
80101100210,0,0,65,135,99,209,165,341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165,341,24,..,187,341
80101100211,5,18,87,176,99,227,179,399,45,101,18,38,0,0,0,0,0,0,66,135,0,0,0,0,0,0,0,0,0,0,0,0,253,558,23,..,278,558
80101100212,0,0,41,57,84,204,121,265,10,15,37,72,51,68,0,0,0,0,103,165,0,0,0,0,0,0,0,0,0,0,0,0,223,425,23,..,249,425
80101100213,0,0,0,0,3,3,3,3,11,15,4,5,0,0,0,0,0,0,13,15,0,0,0,0,0,0,0,0,0,0,0,0,14,19,0,..,16,19
80101100215,0,0,0,0,0,0,0,0,0,0,0,0,288,523,0,0,0,0,288,523,0,0,0,0,0,0,0,0,0,0,0,0,290,527,23,..,320,527
80101100216,0,0,0,0,0,0,0,0,0,0,0,0,377,703,337,663,0,0,711,1367,0,0,0,0,0,0,0,0,0,0,0,0,711,1372,166,..,876,1372
80101100217,0,0,0,0,0,0,0,0,10,16,101,191,81,143,0,0,0,0,188,352,0,0,0,0,0,0,0,0,0,0,0,0,188,352,23,..,207,352
80101100218,0,0,0,0,0,0,0,0,0,0,0,0,299,516,0,0,0,0,299,516,0,0,0,0,0,0,0,0,0,0,0,0,299,516,21,..,316,516
80101100219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224,373,0,0,224,373,0,0,0,0,0,0,0,0,0,0,0,0,224,373,6,..,231,373
80101100220,0,0,0,0,0,0,0,0,0,0,0,0,56,110,69,129,0,0,122,234,0,0,0,0,0,0,0,0,0,0,0,0,122,234,11,..,130,234
