SA1_CODE_2021,M_15_19_CF_Own_CCO,M_15_19_CF_Oth_CCO,M_15_19_CF_Own_CC_Oth_CC,M_15_19_CF_Total,M_15_19_DNPCC,M_15_19_UCC_NS,M_15_19_Total,M_20_24_CF_Own_CCO,M_20_24_CF_Oth_CCO,M_20_24_CF_Own_CC_Oth_CC,M_20_24_CF_Total,M_20_24_DNPCC,M_20_24_UCC_NS,M_20_24_Total,M_25_34_CF_Own_CCO,M_25_34_CF_Oth_CCO,M_25_34_CF_Own_CC_Oth_CC,M_25_34_CF_Total,M_25_34_DNPCC,M_25_34_UCC_NS,M_25_34_Total,M_35_44_CF_Own_CCO,M_35_44_CF_Oth_CCO,M_35_44_CF_Own_CC_Oth_CC,M_35_44_CF_Total,M_35_44_DNPCC,M_35_44_UCC_NS,M_35_44_Total,M_45_54_CF_Own_CCO,M_45_54_CF_Oth_CCO,M_45_54_CF_Own_CC_Oth_CC,M_45_54_CF_Total,M_45_54_DNPCC,M_45_54_UCC_NS,M_45_54_Total,M_55_64_CF_Own_CCO,M_55_64_CF_Oth_CCO,M_55_64_CF_Own_CC_Oth_CC,M_55_64_CF_Total,M_55_64_DNPCC,M_55_64_UCC_NS,M_55_64_Total,M_65_74_CF_Own_CCO,M_65_74_CF_Oth_CCO,M_65_74_CF_Own_CC_Oth_CC,M_65_74_CF_Total,M_65_74_DNPCC,M_65_74_UCC_NS,M_65_74_Total,M_75_84_CF_Own_CCO,M_75_84_CF_Oth_CCO,M_75_84_CF_Own_CC_Oth_CC,M_75_84_CF_Total,M_75_84_DNPCC,M_75_84_UCC_NS,M_75_84_Total,M_85ov_CF_Own_CCO,M_85ov_CF_Oth_CCO,M_85ov_CF_Own_CC_Oth_CC,M_85ov_CF_Total,M_85ov_DNPCC,M_85ov_UCC_NS,M_85ov_Total,M_Tot_CF_Own_CCO,M_Tot_CF_Oth_CCO,M_Tot_CF_Own_CC_Oth_CC,M_Tot_CF_Total,M_Tot_DNPCC,M_Tot_UCC_NS,M_Tot_Total,F_15_19_CF_Own_CCO,F_15_19_CF_Oth_CCO,F_15_19_CF_Own_CC_Oth_CC,F_15_19_CF_Total,F_15_19_DNPCC,F_15_19_UCC_NS,F_15_19_Total,F_20_24_CF_Own_CCO,F_20_24_CF_Oth_CCO,F_20_24_CF_Own_CC_Oth_CC,F_20_24_CF_Total,F_20_24_DNPCC,F_20_24_UCC_NS,F_20_24_Total,F_25_34_CF_Own_CCO,F_25_34_CF_Oth_CCO,F_25_34_CF_Own_CC_Oth_CC,F_25_34_CF_Total,F_25_34_DNPCC,F_25_34_UCC_NS,F_25_34_Total,F_35_44_CF_Own_CCO,F_35_44_CF_Oth_CCO,F_35_44_CF_Own_CC_Oth_CC,F_35_44_CF_Total,F_35_44_DNPCC,F_35_44_UCC_NS,F_35_44_Total,F_45_54_CF_Own_CCO,F_45_54_CF_Oth_CCO,F_45_54_CF_Own_CC_Oth_CC,F_45_54_CF_Total,F_45_54_DNPCC,F_45_54_UCC_NS,F_45_54_Total,F_55_64_CF_Own_CCO,F_55_64_CF_Oth_CCO,F_55_64_CF_Own_CC_Oth_CC,F_55_64_CF_Total,F_55_64_DNPCC,F_55_64_UCC_NS,F_55_64_Total,F_65_74_CF_Own_CCO,F_65_74_CF_Oth_CCO,F_65_74_CF_Own_CC_Oth_CC,F_65_74_CF_Total,F_65_74_DNPCC,F_65_74_UCC_NS,F_65_74_Total,F_75_84_CF_Own_CCO,F_75_84_CF_Oth_CCO,F_75_84_CF_Own_CC_Oth_CC,F_75_84_CF_Total,F_75_84_DNPCC,F_75_84_UCC_NS,F_75_84_Total,F_85ov_CF_Own_CCO,F_85ov_CF_Oth_CCO,F_85ov_CF_Own_CC_Oth_CC,F_85ov_CF_Total,F_85ov_DNPCC,F_85ov_UCC_NS,F_85ov_Total,F_Tot_CF_Own_CCO,F_Tot_CF_Oth_CCO,F_Tot_CF_Own_CC_Oth_CC,F_Tot_CF_Total,F_Tot_DNPCC,F_Tot_UCC_NS,F_Tot_Total,P_15_19_CF_Own_CCO,P_15_19_CF_Oth_CCO,P_15_19_CF_Own_CC_Oth_CC,P_15_19_CF_Total,P_15_19_DNPCC,P_15_19_UCC_NS,P_15_19_Total,P_20_24_CF_Own_CCO,P_20_24_CF_Oth_CCO,P_20_24_CF_Own_CC_Oth_CC,P_20_24_CF_Total,P_20_24_DNPCC,P_20_24_UCC_NS,P_20_24_Total,P_25_34_CF_Own_CCO,P_25_34_CF_Oth_CCO,P_25_34_CF_Own_CC_Oth_CC,P_25_34_CF_Total,P_25_34_DNPCC,P_25_34_UCC_NS,P_25_34_Total,P_35_44_CF_Own_CCO,P_35_44_CF_Oth_CCO,P_35_44_CF_Own_CC_Oth_CC,P_35_44_CF_Total,P_35_44_DNPCC,P_35_44_UCC_NS,P_35_44_Total,P_45_54_CF_Own_CCO,P_45_54_CF_Oth_CCO,P_45_54_CF_Own_CC_Oth_CC,P_45_54_CF_Total,P_45_54_DNPCC,P_45_54_UCC_NS,P_45_54_Total,P_55_64_CF_Own_CCO,P_55_64_CF_Oth_CCO,P_55_64_CF_Own_CC_Oth_CC,P_55_64_CF_Total,P_55_64_DNPCC,P_55_64_UCC_NS,P_55_64_Total,P_65_74_CF_Own_CCO,P_65_74_CF_Oth_CCO,P_65_74_CF_Own_CC_Oth_CC,P_65_74_CF_Total,P_65_74_DNPCC,P_65_74_UCC_NS,P_65_74_Total,P_75_84_CF_Own_CCO,P_75_84_CF_Oth_CCO,P_75_84_CF_Own_CC_Oth_CC,P_75_84_CF_Total,P_75_84_DNPCC,P_75_84_UCC_NS,P_75_84_Total,P_85ov_CF_Own_CCO,P_85ov_CF_Oth_CCO,P_85ov_CF_Own_CC_Oth_CC,P_85ov_CF_Total
80101100101,0,0,0,0,8,0,8,0,0,0,0,9,0,9,0,0,0,0,8,0,11,9,0,0,9,5,0,13,13,0,0,14,7,0,18,0,0,0,0,15,0,19,0,4,0,4,12,0,11,0,0,0,0,9,0,9,0,0,0,0,3,0,3,24,4,0,26,66,3,91,0,0,0,0,6,0,4,0,0,0,0,3,0,5,4,0,0,4,3,0,11,19,0,0,19,3,0,21,8,0,0,8,10,0,17,0,0,0,0,22,0,24,0,0,0,0,14,0,18,0,0,0,0,12,0,17,0,0,0,0,3,0,5,28,11,0,36,76,4,119,0,0,0,0,9,0,10,0,0,0,0,11,0,12,6,0,0,6,11,0,17,26,0,0,26,8,4,37,17,0,0,23,15,0,33,3,0,0,3,34,0,40,0,10,0,10,20,0,28,0,0,0,0,23,0,24,0,0,0,0
80101100102,0,0,0,0,15,0,11,0,0,0,0,19,4,18,3,0,0,3,16,0,18,11,0,0,12,5,0,20,18,0,0,18,10,0,34,7,0,0,6,14,0,25,0,3,0,3,10,0,15,0,0,0,0,11,0,17,0,0,0,0,5,0,5,36,7,0,45,108,8,166,0,0,0,0,16,0,14,0,0,0,0,11,0,11,9,0,0,9,9,0,15,20,0,0,16,5,0,28,12,0,0,14,13,0,29,0,5,0,5,12,0,12,0,5,0,5,9,0,21,0,0,0,0,10,0,10,0,0,0,0,3,0,3,37,19,0,54,87,3,147,0,0,0,0,30,0,30,0,3,0,3,23,9,34,13,0,0,13,26,0,36,29,0,4,37,10,0,48,34,0,0,33,24,0,58,7,3,0,8,27,0,35,0,12,0,12,21,4,32,0,0,0,0,23,3,27,0,0,0,0
80101100103,0,0,0,0,0,0,0,0,4,0,4,14,0,11,4,0,0,4,22,0,30,23,0,0,27,12,0,34,12,0,0,13,4,0,19,3,0,0,7,15,0,24,0,0,0,0,5,0,9,0,0,0,0,7,0,7,0,0,0,0,0,0,0,44,3,0,49,89,4,141,0,0,0,0,9,0,9,0,0,0,0,19,0,18,10,6,0,12,24,0,38,23,0,0,20,7,0,33,14,0,0,14,14,0,33,0,3,0,5,13,0,18,0,8,0,8,12,0,17,0,0,0,0,12,0,14,0,0,0,0,6,0,7,44,15,3,60,118,3,179,0,0,0,0,11,0,16,0,4,0,4,27,0,34,13,6,0,19,41,0,61,43,0,4,43,23,0,67,27,0,5,29,20,0,48,3,5,0,4,33,0,40,0,9,0,9,20,0,27,0,0,0,0,21,0,22,0,0,0,0
80101100104,0,0,0,0,15,0,15,0,0,0,0,16,0,16,4,0,0,4,23,0,31,18,0,0,18,14,0,27,21,0,0,16,12,0,30,4,0,0,7,26,3,36,0,3,0,3,18,0,19,0,0,0,0,16,0,17,0,0,0,0,3,0,3,43,8,0,51,139,6,198,0,0,0,0,13,0,19,0,0,0,0,11,0,11,4,0,0,11,17,0,21,19,3,0,27,9,0,38,14,0,0,19,10,0,33,0,3,0,8,30,3,44,0,6,0,6,14,0,21,0,0,0,0,17,0,19,0,0,0,0,0,0,0,47,18,0,68,130,3,202,0,0,0,0,28,0,34,0,0,0,0,25,0,25,8,0,0,7,39,0,52,36,3,0,42,21,0,64,36,3,0,40,18,0,57,7,7,0,16,61,4,77,0,8,0,10,31,0,41,0,0,0,0,37,0,38,0,0,0,0
80101100105,0,0,0,0,14,0,14,0,0,0,0,21,0,21,6,0,0,6,22,0,28,22,0,0,21,4,4,29,10,0,3,12,19,0,32,4,0,0,7,33,0,35,0,7,0,7,22,0,22,0,0,0,0,22,4,26,0,0,0,0,6,0,9,42,15,0,56,158,4,224,0,0,0,0,20,0,22,0,4,0,6,11,0,11,5,0,0,5,15,0,20,30,0,9,33,3,0,37,19,0,0,22,18,0,41,3,3,0,7,37,0,47,0,5,0,9,28,7,44,0,4,0,4,12,0,21,0,0,0,0,10,0,12,50,19,8,79,161,10,253,0,0,0,0,33,0,35,0,4,0,6,26,0,36,8,0,0,8,35,0,43,50,0,8,57,12,4,69,27,0,7,36,40,0,76,4,7,0,13,64,0,83,0,7,0,10,46,5,66,0,9,0,9,36,4,47,0,0,0,0
80101100106,0,0,0,0,16,0,16,0,0,0,0,9,0,15,8,0,0,8,20,3,30,19,0,0,17,7,4,29,21,0,0,21,14,0,33,0,0,0,0,25,0,27,0,0,0,0,22,0,21,0,3,0,3,14,0,18,0,0,0,0,7,0,7,44,3,0,50,133,7,192,0,0,0,0,11,0,12,0,0,0,0,10,3,11,11,0,0,7,16,0,22,28,4,0,30,3,4,37,12,0,0,12,12,0,25,0,0,0,0,34,0,37,0,0,0,3,22,0,25,0,5,0,5,18,0,20,0,0,0,0,9,0,8,45,11,0,60,125,10,199,0,0,0,0,26,0,25,0,0,0,0,20,6,24,16,0,0,17,38,4,57,43,4,3,49,5,4,63,32,0,0,32,30,0,65,0,0,0,4,63,0,64,3,0,0,7,36,0,46,0,4,0,4,31,0,40,0,0,0,0
80101100201,0,0,0,0,9,0,9,0,0,0,0,31,3,36,9,4,0,14,40,3,58,10,0,0,13,30,5,42,0,0,0,3,19,3,28,0,0,0,0,12,0,13,0,0,0,0,8,0,6,0,0,0,0,8,0,7,0,0,0,0,0,0,0,18,9,0,28,154,14,196,0,0,0,0,5,0,10,0,0,0,0,13,0,15,10,0,0,18,37,4,59,8,0,0,10,23,0,26,0,0,0,0,21,5,27,3,7,0,8,14,0,28,0,0,0,0,8,0,13,0,0,0,0,12,0,12,0,0,0,0,0,0,0,26,11,0,40,132,12,182,0,0,0,0,13,0,18,0,0,0,0,48,3,49,25,3,0,25,81,9,115,15,0,0,17,50,5,71,3,0,0,5,34,4,48,3,7,0,10,27,0,38,0,0,0,0,12,0,16,0,0,0,0,14,0,13,0,0,0,0
80101100202,0,0,0,0,6,0,6,0,0,0,0,6,3,11,10,0,0,9,34,0,37,19,0,0,19,17,0,42,8,0,0,8,10,0,22,0,0,0,0,9,0,9,0,0,0,0,6,0,5,0,0,0,0,5,0,7,0,0,0,0,0,0,0,34,3,0,35,100,6,138,0,0,0,0,6,0,6,0,0,0,0,14,3,17,12,0,0,15,35,0,50,14,0,0,11,22,0,42,3,0,0,8,3,0,16,0,0,0,0,8,0,11,0,3,0,3,12,0,14,0,0,0,0,4,0,10,0,0,0,0,7,0,7,30,4,7,42,111,6,157,0,0,0,0,11,0,11,0,0,0,0,22,7,27,18,5,0,24,66,0,92,26,0,0,32,36,6,76,12,0,0,13,20,0,34,0,0,0,0,21,0,21,0,4,0,7,15,0,22,0,0,0,0,6,0,9,0,0,0,0
80101100203,0,0,0,0,3,0,3,0,0,0,0,46,0,47,8,0,0,10,139,8,149,19,0,0,19,38,5,67,8,0,0,8,17,0,29,0,4,0,4,5,0,11,0,0,0,0,11,0,10,0,0,0,0,4,0,5,0,0,0,0,3,0,3,33,10,0,38,271,9,327,0,0,0,0,3,0,3,0,0,0,0,55,3,60,14,6,0,18,133,9,157,17,0,0,19,31,0,54,3,0,0,10,14,0,23,0,6,0,6,14,0,26,0,0,0,0,13,0,8,0,0,0,0,6,0,12,0,0,0,0,0,0,0,38,20,0,56,274,13,342,0,0,0,0,7,0,7,0,3,0,3,95,10,104,25,4,0,28,270,11,307,37,7,0,37,74,9,119,12,0,0,17,35,0,50,0,10,0,10,26,0,38,0,3,0,3,16,0,21,0,0,0,0,11,0,13,0,0,0,0
80101100205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
