SA1_CODE_2021,P_85ov_DNPCC,P_85ov_UCC_NS,P_85ov_Total,P_Tot_CF_Own_CCO,P_Tot_CF_Oth_CCO,P_Tot_CF_Own_CC_Oth_CC,P_Tot_CF_Total,P_Tot_DNPCC,P_Tot_UCC_NS,P_Tot_Total
80101100101,9,0,11,52,6,0,58,138,3,204
80101100102,7,0,10,74,24,4,98,198,15,309
80101100103,11,0,6,86,21,7,112,202,6,324
80101100104,8,0,8,89,24,5,116,271,8,393
80101100105,18,0,20,94,34,14,138,315,19,470
80101100106,15,0,15,93,13,3,110,260,19,391
80101100201,0,0,0,43,24,0,67,286,23,380
80101100202,5,0,5,64,6,3,78,202,18,298
80101100203,0,0,0,69,30,0,97,545,25,667
80101100205,0,0,0,0,0,0,0,0,0,0
80101100208,6,0,6,56,15,0,72,251,12,337
80101100209,0,0,0,42,3,3,46,175,15,241
80101100210,3,0,3,42,18,0,63,247,17,328
80101100211,7,0,7,82,16,3,101,376,22,499
80101100212,142,9,148,51,24,5,81,388,20,486
80101100213,0,0,0,0,0,0,6,16,0,19
80101100215,0,0,0,35,11,0,52,444,25,522
80101100216,0,0,0,114,37,0,151,1104,116,1369
80101100217,0,0,0,20,18,0,37,292,29,358
80101100218,0,0,0,49,8,0,55,421,30,510
80101100219,0,0,0,42,5,0,48,303,9,364
80101100220,0,0,0,32,0,0,38,177,9,218
80101100221,0,0,0,0,0,0,0,3,3,8
80101100222,4,0,4,55,10,0,68,452,18,539
80101100223,0,0,0,0,0,0,5,7,3,11
80101100224,0,0,0,0,0,0,4,225,7,236
80101100225,6,0,6,35,12,0,45,327,11,386
80101100301,0,0,0,61,14,0,75,264,8,354
80101100304,4,0,4,103,30,3,136,592,30,753
80101100306,9,0,9,62,11,0,73,261,11,345
80101100307,0,0,0,30,11,0,44,172,12,228
80101100308,7,4,4,7,21,0,29,937,47,1011
80101100309,0,0,0,46,9,0,61,192,3,252
80101100310,0,0,0,31,16,0,48,160,3,209
80101100311,3,0,3,25,14,0,46,205,6,257
80101100312,5,0,5,75,29,5,109,416,8,537
80101100314,3,0,6,0,3,0,7,66,29,102
80101100315,6,0,6,50,27,0,80,262,17,350
80101100316,84,7,95,22,12,3,35,239,11,281
80101100317,0,0,0,33,23,0,51,385,9,447
80101100318,0,0,0,41,34,5,77,153,14,244
80101100319,10,0,10,30,29,3,65,178,8,256
80101100320,0,0,0,89,14,9,102,207,11,321
80101100321,0,0,0,67,8,0,74,313,23,410
80101100322,0,0,0,32,12,0,48,313,9,367
80101100401,0,0,0,52,23,3,80,97,0,166
80101100402,4,0,4,80,24,3,110,213,9,335
80101100403,3,0,8,90,18,3,115,223,6,348
80101100404,0,0,0,87,15,0,108,163,10,282
80101100405,0,0,0,76,33,5,113,223,24,358
80101100406,8,0,8,100,34,4,132,329,29,492
80101100408,7,0,7,23,5,0,32,106,8,148
80101100409,0,0,3,54,13,0,70,189,21,283
80101100501,11,0,7,51,10,3,66,154,16,240
80101100502,4,0,6,88,31,4,121,223,20,360
80101100503,3,0,3,44,17,7,64,207,5,273
80101100504,7,3,14,50,24,3,76,211,7,293
80101100505,8,0,8,61,14,4,82,239,6,326
80101100506,6,0,6,24,9,0,37,128,11,177
80101100507,10,0,10,52,12,3,78,185,4,265
80101100508,0,0,0,42,3,8,55,112,0,171
80101100509,11,0,11,98,18,4,119,218,15,361
80101100602,0,0,0,42,20,0,65,87,5,155
80101100604,0,0,0,72,9,0,80,140,0,222
80101100605,7,0,7,109,21,3,137,169,7,314
80101100606,3,0,3,80,8,6,93,170,0,260
80101100607,0,0,0,80,20,6,108,214,5,324
80101100608,6,0,6,82,27,4,110,230,18,363
80101100609,4,0,4,68,33,0,106,171,10,286
80101100610,0,0,0,84,19,0,102,186,3,294
80101100611,4,0,4,72,22,7,96,233,9,341
80101100612,0,0,0,101,25,0,126,294,20,440
80101100613,0,0,0,59,23,3,82,97,5,183
80101100614,0,0,0,90,14,6,112,159,4,274
80101100615,0,0,0,35,13,3,54,119,9,175
80101100616,0,0,0,120,18,0,147,229,9,384
80101100617,3,0,3,53,20,0,77,254,12,345
80101100618,0,0,0,93,25,4,120,122,3,253
80101100619,0,0,0,34,3,0,40,108,8,162
80101100620,0,0,0,89,29,3,117,151,18,291
80101100621,0,0,0,0,0,0,0,0,0,0
80101100622,0,0,0,67,20,5,87,110,7,208
80101100623,5,0,5,81,18,0,100,172,14,286
80101100701,0,0,0,83,38,10,134,266,9,406
80101100702,3,0,3,51,20,0,66,142,3,213
80101100703,8,0,6,90,42,4,137,257,7,407
80101100704,3,0,3,44,17,0,65,105,5,173
80101100705,4,0,9,83,36,0,122,237,7,366
80101100706,0,0,0,87,28,5,118,187,9,309
80101100707,5,0,5,92,43,8,146,224,9,375
80101100708,0,0,0,71,19,0,91,163,11,259
80101100709,3,0,3,57,12,10,76,184,15,274
80101100710,4,0,4,81,19,3,98,204,4,315
80101100711,9,0,9,107,33,3,140,314,17,468
80101100712,0,0,0,80,11,0,94,238,8,342
80101100713,5,0,4,61,28,0,88,159,9,254
80101100714,4,0,4,39,15,4,56,169,4,228
80101100801,5,0,10,49,29,3,84,220,13,310
80101100802,4,0,4,100,52,3,154,236,16,401
80101100803,0,0,0,55,31,4,92,234,10,343
80101100804,3,0,3,40,10,4,59,165,15,245
80101100805,12,0,11,79,34,0,122,258,9,388
80101100806,0,0,0,54,36,0,95,188,4,280
80101100807,9,0,5,108,26,6,142,305,15,465
80101100808,7,0,9,66,18,0,84,198,19,303
80101100809,10,0,9,64,54,0,117,278,11,402
80101100810,4,0,4,68,19,0,92,199,12,298
80101100811,6,0,6,12,17,0,36,146,3,186
80101100812,8,0,8,68,17,4,89,227,29,346
80101100901,0,0,6,70,29,5,107,182,7,297
80101100902,0,0,0,52,30,9,91,128,0,221
80101100903,4,0,4,96,16,3,114,218,3,335
80101100904,3,0,3,58,33,0,99,198,12,306
80101100905,3,0,3,80,24,5,112,167,5,274
80101100906,4,0,4,88,37,7,130,257,16,403
80101100907,0,0,0,53,26,9,80,131,15,226
80101100908,8,0,6,57,23,3,87,199,9,293
80101100909,0,0,0,57,26,0,83,141,12,242
80101100910,0,0,0,66,21,0,93,196,10,292
80101101001,4,0,4,71,38,7,112,179,10,306
80101101002,0,0,0,66,25,0,94,182,5,279
80101101003,4,0,4,77,33,3,107,249,7,368
80101101004,5,0,5,65,38,10,107,197,4,311
80101101005,3,0,3,98,52,3,153,279,14,446
80101101101,5,0,5,138,52,5,193,328,26,543
80101101102,0,0,0,69,15,7,92,183,7,278
80101101103,11,0,11,147,35,10,195,315,8,516
80101101104,0,0,0,78,36,0,118,232,9,359
80101101105,0,0,0,53,22,5,78,145,3,220
80101101106,7,0,7,46,20,3,71,108,18,196
80101101107,0,0,0,0,0,0,0,0,0,0
80101101108,0,0,0,19,19,6,44,118,6,167
80101101109,0,0,0,36,21,5,65,126,3,194
80101101110,0,0,0,47,4,0,62,132,11,199
