SA1_CODE_2021,M_15_19_yr_Married,M_15_19_yr_Separated,M_15_19_yr_Divorced,M_15_19_yr_Widowed,M_15_19_yr_Never_married,M_15_19_yr_Tot,M_20_24_yr_Married,M_20_24_yr_Separated,M_20_24_yr_Divorced,M_20_24_yr_Widowed,M_20_24_yr_Never_married,M_20_24_yr_Tot,M_25_34_yr_Married,M_25_34_yr_Separated,M_25_34_yr_Divorced,M_25_34_yr_Widowed,M_25_34_yr_Never_married,M_25_34_yr_Tot,M_35_44_yr_Married,M_35_44_yr_Separated,M_35_44_yr_Divorced,M_35_44_yr_Widowed,M_35_44_yr_Never_married,M_35_44_yr_Tot,M_45_54_yr_Married,M_45_54_yr_Separated,M_45_54_yr_Divorced,M_45_54_yr_Widowed,M_45_54_yr_Never_married,M_45_54_yr_Tot,M_55_64_yr_Married,M_55_64_yr_Separated,M_55_64_yr_Divorced,M_55_64_yr_Widowed,M_55_64_yr_Never_married,M_55_64_yr_Tot,M_65_74_yr_Married,M_65_74_yr_Separated,M_65_74_yr_Divorced,M_65_74_yr_Widowed,M_65_74_yr_Never_married,M_65_74_yr_Tot,M_75_84_yr_Married,M_75_84_yr_Separated,M_75_84_yr_Divorced,M_75_84_yr_Widowed,M_75_84_yr_Never_married,M_75_84_yr_Tot,M_85ov_Married,M_85ov_Separated,M_85ov_Divorced,M_85ov_Widowed,M_85ov_Never_married,M_85ov_Tot,M_Tot_Married,M_Tot_Separated,M_Tot_Divorced,M_Tot_Widowed,M_Tot_Never_married,M_Tot_Tot,F_15_19_yr_Married,F_15_19_yr_Separated,F_15_19_yr_Divorced,F_15_19_yr_Widowed,F_15_19_yr_Never_married,F_15_19_yr_Tot,F_20_24_yr_Married,F_20_24_yr_Separated,F_20_24_yr_Divorced,F_20_24_yr_Widowed,F_20_24_yr_Never_married,F_20_24_yr_Tot,F_25_34_yr_Married,F_25_34_yr_Separated,F_25_34_yr_Divorced,F_25_34_yr_Widowed,F_25_34_yr_Never_married,F_25_34_yr_Tot,F_35_44_yr_Married,F_35_44_yr_Separated,F_35_44_yr_Divorced,F_35_44_yr_Widowed,F_35_44_yr_Never_married,F_35_44_yr_Tot,F_45_54_yr_Married,F_45_54_yr_Separated,F_45_54_yr_Divorced,F_45_54_yr_Widowed,F_45_54_yr_Never_married,F_45_54_yr_Tot,F_55_64_yr_Married,F_55_64_yr_Separated,F_55_64_yr_Divorced,F_55_64_yr_Widowed,F_55_64_yr_Never_married,F_55_64_yr_Tot,F_65_74_yr_Married,F_65_74_yr_Separated,F_65_74_yr_Divorced,F_65_74_yr_Widowed,F_65_74_yr_Never_married,F_65_74_yr_Tot,F_75_84_yr_Married,F_75_84_yr_Separated,F_75_84_yr_Divorced,F_75_84_yr_Widowed,F_75_84_yr_Never_married,F_75_84_yr_Tot,F_85ov_Married,F_85ov_Separated,F_85ov_Divorced,F_85ov_Widowed,F_85ov_Never_married,F_85ov_Tot,F_Tot_Married,F_Tot_Separated,F_Tot_Divorced,F_Tot_Widowed,F_Tot_Never_married,F_Tot_Tot,P_15_19_yr_Married,P_15_19_yr_Separated,P_15_19_yr_Divorced,P_15_19_yr_Widowed,P_15_19_yr_Never_married,P_15_19_yr_Tot,P_20_24_yr_Married,P_20_24_yr_Separated,P_20_24_yr_Divorced,P_20_24_yr_Widowed,P_20_24_yr_Never_married,P_20_24_yr_Tot,P_25_34_yr_Married,P_25_34_yr_Separated,P_25_34_yr_Divorced,P_25_34_yr_Widowed,P_25_34_yr_Never_married,P_25_34_yr_Tot,P_35_44_yr_Married,P_35_44_yr_Separated,P_35_44_yr_Divorced,P_35_44_yr_Widowed,P_35_44_yr_Never_married,P_35_44_yr_Tot,P_45_54_yr_Married,P_45_54_yr_Separated,P_45_54_yr_Divorced,P_45_54_yr_Widowed,P_45_54_yr_Never_married,P_45_54_yr_Tot,P_55_64_yr_Married,P_55_64_yr_Separated,P_55_64_yr_Divorced,P_55_64_yr_Widowed,P_55_64_yr_Never_married,P_55_64_yr_Tot,P_65_74_yr_Married,P_65_74_yr_Separated,P_65_74_yr_Divorced,P_65_74_yr_Widowed,P_65_74_yr_Never_married,P_65_74_yr_Tot,P_75_84_yr_Married,P_75_84_yr_Separated,P_75_84_yr_Divorced,P_75_84_yr_Widowed,P_75_84_yr_Never_married,P_75_84_yr_Tot,P_85ov_Married,P_85ov_Separated,P_85ov_Divorced,P_85ov_Widowed,P_85ov_Never_married,P_85ov_Tot,P_Tot_Married,P_Tot_Separated,P_Tot_Divorced,P_Tot_Widowed,P_Tot_Never_married,P_Tot_Tot
80105105504,0,0,0,0,9,9,0,0,0,0,20,22,10,0,0,0,28,43,25,0,0,0,15,47,15,0,0,0,5,24,14,0,3,0,0,16,7,0,5,0,0,15,0,0,0,0,0,3,0,0,0,0,0,0,81,4,11,0,85,181,0,0,0,0,10,10,4,0,0,0,35,33,7,4,0,0,20,34,22,0,4,0,13,41,14,0,0,0,4,22,6,0,5,0,10,19,12,0,0,0,0,16,4,0,0,5,0,5,0,0,0,5,0,6,74,3,12,10,90,190,0,0,0,0,17,17,4,0,0,0,53,57,23,4,0,0,47,71,51,0,3,0,27,85,29,4,5,0,12,50,22,0,7,0,12,37,24,0,10,0,0,33,5,0,0,5,0,7,0,0,0,5,0,10,154,8,25,14,174,372
80105105505,0,0,0,0,8,8,0,0,0,0,11,15,14,5,0,0,45,66,32,0,0,0,17,48,14,3,3,0,9,27,8,0,3,0,8,25,8,0,0,0,3,13,4,0,4,0,0,9,0,0,0,6,0,3,81,9,15,3,103,214,0,0,0,0,9,9,4,0,0,0,22,25,22,0,4,0,64,91,22,4,4,0,23,51,12,0,5,0,8,26,10,3,4,0,10,19,6,0,8,0,6,25,6,0,0,0,0,12,0,0,0,4,0,5,83,12,22,5,149,268,0,0,0,0,17,17,4,0,0,0,40,45,41,0,8,0,114,161,47,4,5,0,37,100,26,3,6,0,18,54,18,8,3,0,14,47,14,0,8,7,9,34,11,0,0,0,0,17,0,0,0,4,0,7,157,20,40,13,253,481
80105105506,0,0,0,0,16,16,0,0,0,0,20,22,10,0,0,0,41,54,24,5,0,0,19,56,14,0,7,0,10,28,10,0,6,0,3,25,4,0,3,3,6,17,0,0,0,0,0,4,0,0,0,0,0,0,73,5,21,3,115,217,0,0,0,0,11,11,0,0,0,0,36,36,19,0,0,0,33,58,22,5,7,0,10,47,10,4,7,0,4,28,9,0,0,0,0,15,10,0,3,0,0,16,0,0,3,8,0,11,0,0,0,3,0,4,66,15,18,15,96,215,0,0,0,0,24,24,0,0,0,0,52,56,30,0,6,0,77,113,53,11,5,0,29,99,24,7,11,0,11,51,19,0,9,0,10,39,17,0,7,8,6,30,3,0,4,8,0,16,0,0,0,7,0,4,138,19,36,19,220,431
80105105507,0,0,0,0,14,14,0,0,0,0,18,20,9,0,0,0,15,27,26,0,0,0,22,45,15,3,0,0,11,26,12,0,4,0,7,22,12,4,0,0,0,17,10,0,0,3,4,18,0,0,0,0,0,3,85,5,12,3,92,189,0,0,0,0,13,13,0,0,0,0,30,32,8,0,0,0,20,24,32,0,0,0,12,48,12,0,3,0,11,26,13,0,0,0,4,25,15,0,4,8,0,25,4,0,0,4,0,9,0,0,0,0,0,5,86,3,12,8,91,205,0,0,0,0,27,27,0,0,0,0,50,51,20,0,0,0,34,55,57,0,0,0,33,87,25,5,9,0,21,53,25,0,3,0,8,42,24,3,0,4,3,44,10,0,0,8,4,25,4,0,0,0,0,5,170,8,22,19,184,399
80105105508,0,0,0,0,17,17,0,0,0,0,24,24,19,5,0,0,22,48,38,4,0,0,16,56,25,0,4,0,16,44,31,0,3,0,0,34,20,0,0,0,8,25,7,0,4,0,0,7,3,0,0,0,0,7,138,4,12,3,98,265,0,0,0,0,11,11,0,0,0,0,18,23,21,0,0,0,16,35,44,3,0,0,17,62,29,4,0,0,17,56,12,0,0,0,7,31,15,0,0,0,3,27,4,0,4,0,0,13,4,0,0,9,0,6,137,9,9,17,90,261,0,0,0,0,31,31,0,0,0,0,38,46,43,5,0,0,42,87,82,8,4,0,31,124,58,3,3,0,33,100,45,0,3,0,10,63,35,0,0,6,11,50,13,0,5,0,0,23,3,0,0,9,0,13,277,20,24,14,191,523
80105105509,0,0,0,0,15,15,0,0,0,0,20,20,10,0,0,0,23,34,21,0,0,0,10,32,17,0,0,0,0,24,11,3,0,0,0,20,9,0,0,0,6,17,5,0,0,0,0,6,0,0,0,0,0,0,65,3,3,4,77,160,0,0,0,0,9,9,0,0,0,0,17,17,11,0,0,0,24,35,23,0,3,0,10,34,22,0,5,3,3,30,4,0,0,3,3,16,5,0,0,0,3,11,4,0,0,6,0,12,0,0,0,3,0,3,63,0,9,12,75,166,0,0,0,0,24,24,0,0,0,0,39,39,14,0,0,0,48,70,39,0,3,0,20,64,37,0,5,3,6,54,17,8,4,3,9,33,12,0,4,0,8,28,7,0,0,11,0,19,0,0,0,4,0,4,131,10,15,19,157,326
80105105601,0,0,0,0,14,14,0,0,0,0,12,12,3,0,0,0,33,37,24,0,0,0,16,43,24,3,3,0,18,47,18,0,6,0,3,28,9,0,0,3,6,17,9,0,0,0,0,8,0,0,0,0,0,3,87,7,11,3,104,215,0,0,0,0,20,20,0,0,0,0,25,25,8,0,0,0,32,42,37,0,0,0,11,48,17,0,0,0,17,35,18,0,3,0,10,34,12,0,4,0,9,29,4,0,4,5,0,13,0,0,0,6,0,7,99,4,16,18,123,254,0,0,0,0,35,35,0,0,0,0,36,36,16,0,0,0,61,72,59,3,0,0,27,93,42,0,8,0,30,79,34,0,11,0,19,63,24,3,5,0,14,47,12,0,7,11,0,25,0,0,0,10,0,12,182,11,24,21,222,468
80105105602,0,0,0,0,14,14,0,0,0,0,14,14,4,0,0,0,32,43,26,4,0,0,13,42,22,7,4,0,9,44,13,0,0,0,10,29,12,3,0,0,4,19,8,0,0,0,0,9,3,0,0,3,0,8,93,10,11,6,103,219,0,0,0,0,19,19,0,0,0,0,13,13,8,0,0,0,29,40,33,0,0,0,22,54,30,0,4,0,3,41,16,0,4,0,13,38,6,0,3,5,4,22,6,0,0,7,0,17,5,0,0,0,0,3,98,4,21,13,101,235,0,0,0,0,30,30,0,0,0,0,25,25,21,0,0,0,58,79,58,4,0,0,33,93,48,7,16,0,22,86,34,0,10,0,20,60,16,4,3,5,8,45,15,0,0,4,0,25,3,0,0,6,3,10,190,13,28,22,201,458
80105105603,0,0,0,0,4,7,0,0,0,0,13,13,7,0,0,0,17,30,22,0,0,0,12,34,20,0,0,0,10,34,12,0,3,0,12,23,14,4,0,0,4,20,9,0,0,0,4,15,0,0,0,3,0,3,82,3,9,3,78,173,0,0,0,0,8,8,3,0,0,0,23,28,11,0,0,0,11,23,19,0,6,0,10,32,21,6,0,0,14,40,12,0,0,5,9,25,13,0,3,0,4,26,6,0,5,0,3,22,4,0,0,0,0,9,94,11,13,10,83,207,0,0,0,0,15,14,3,0,0,0,35,39,18,0,0,0,24,51,42,0,3,0,23,67,38,6,0,0,31,73,25,0,3,5,18,48,32,0,5,0,7,46,17,0,4,3,8,31,6,0,0,5,0,12,171,12,25,9,156,380
80105105604,0,0,0,0,16,16,0,0,0,0,14,14,3,0,0,0,20,24,25,0,0,0,5,40,24,0,0,0,12,36,14,6,0,0,4,23,7,0,4,0,0,14,7,0,4,3,0,12,0,0,0,0,0,6,83,5,6,0,74,171,0,0,0,0,21,21,0,0,0,0,4,4,9,0,0,0,12,15,24,0,4,0,5,32,25,0,6,0,8,39,11,0,4,0,3,21,10,0,4,4,0,16,3,0,0,0,0,13,0,0,0,7,0,8,79,5,18,16,52,171,0,0,0,0,32,32,0,0,0,0,16,16,5,0,0,0,32,37,51,0,4,0,13,64,51,0,6,0,18,73,25,3,4,6,11,48,17,0,7,4,0,32,13,0,3,7,0,24,7,0,0,7,0,10,165,7,28,20,126,339
