SA1_CODE_2021,Neg_Nil_inc_fam_households,Neg_Nil_inc_Non_fam_househlds,Negative_Nil_income_Tot,HI_1_149_Family_households,HI_1_149_Non_family_hseholds,HI_1_149_Tot,HI_150_299_Family_households,HI_150_299_Non_fam_househlds,HI_150_299_Tot,HI_300_399_Family_households,HI_300_399_Non_fam_househlds,HI_300_399_Tot,HI_400_499_Family_households,HI_400_499_Non_fam_househlds,HI_400_499_Tot,HI_500_649_Family_households,HI_500_649_Non_fam_househlds,HI_500_649_Tot,HI_650_799_Family_households,HI_650_799_Non_fam_househlds,HI_650_799_Tot,HI_800_999_Fam_households,HI_800_999_Non_fam_hsehlds,HI_800_999_Tot,HI_1000_1249_Fam_households,HI_1000_1249_Non_fam_hsehlds,HI_1000_1249_Tot,HI_1250_1499_Fam_households,HI_1250_1499_Non_fam_hsehlds,HI_1250_1499_Tot,HI_1500_1749_Fam_households,HI_1500_1749_Non_fam_hsehlds,HI_1500_1749_Tot,HI_1750_1999_Fam_households,HI_1750_1999_Non_fam_hsehlds,HI_1750_1999_Tot,HI_2000_2499_Fam_households,HI_2000_2499_Non_fam_hsehlds,HI_2000_2499_Tot,HI_2500_2999_Fam_households,HI_2500_2999_Non_fam_hsehlds,HI_2500_2999_Tot,HI_3000_3499_Fam_households,HI_3000_3499_Non_fam_hsehlds,HI_3000_3499_Tot,HI_3500_3999_Fam_households,HI_3500_3999_Non_fam_hsehlds,HI_3500_3999_Tot,HI_4000_more_Fam_households,HI_4000_more_Non_fam_hsehlds,HI_4000_more_Tot,Part_inc_stated_Fam_household,Part_inc_std_Non_fam_hhds,Partial_income_stated_Tot,All_incomes_ns_Famly_househld,All_inc_ns_Non_famly_househld,All_incomes_not_stated_Tot,Tot_Family_households,Tot_Non_family_households,Tot_Tot
80103111502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,3,3,0,0,0,6,0,6,4,0,4,0,0,0,13,0,12,0,0,0,0,0,0,31,9,33
80103111503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80103111504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,10
80103111505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3
80103111506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,5,0,3
80103111507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80104103401,0,0,0,0,0,0,0,7,5,0,3,3,3,5,5,0,4,6,7,5,11,3,5,9,4,0,4,3,0,3,8,3,16,8,6,9,20,10,28,12,0,11,18,0,13,6,0,6,14,0,14,3,0,3,0,0,0,111,44,156
80104103402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,6,0,0,5,3,0,6,7,5,9,6,3,7,4,0,4,3,0,3,14,0,14,3,0,3,0,0,5,63,18,81
80104103403,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,6,0,4,4,0,5,3,5,3,3,0,4,0,4,7,8,4,9,9,4,16,10,0,10,18,0,20,13,0,13,47,0,47,4,0,3,5,0,5,123,27,151
80104103404,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,4,0,0,3,5,4,0,6,0,4,6,3,6,4,7,3,7,0,4,5,11,3,18,17,0,17,18,0,18,12,0,12,29,0,30,4,0,4,0,0,0,114,27,136
80104103405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,0,0,0,0,5,0,6,5,0,7,13,3,20,16,0,16,17,0,16,18,0,18,40,0,40,7,0,7,0,0,0,128,16,141
80104103406,0,0,5,0,0,0,0,0,0,0,0,0,0,5,5,0,3,3,3,0,4,7,0,7,0,0,5,9,3,6,6,0,12,12,6,12,7,9,18,5,4,15,18,0,18,12,0,12,26,0,23,7,0,7,0,0,0,116,31,149
80104103407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,4,0,0,0,0,0,5,6,0,6,4,5,10,7,0,7,9,0,9,9,0,9,24,4,30,0,0,0,0,0,0,70,13,82
80104103408,0,5,4,0,0,0,0,10,10,0,9,10,3,12,16,0,5,5,13,3,14,10,8,17,10,8,22,13,8,24,12,16,25,14,3,19,41,17,58,28,0,27,21,4,24,28,0,28,43,0,49,12,0,12,0,0,3,254,105,362
80104103409,0,0,0,0,0,0,0,0,0,0,0,0,5,8,7,0,0,0,0,0,4,0,0,7,4,0,4,0,5,4,3,0,9,4,0,4,7,0,9,10,0,10,3,0,9,11,0,11,18,0,17,4,0,4,0,0,0,75,16,93
80104103410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,4,0,4,5,0,4,3,0,3,4,0,6,10,0,9,19,0,15,23,0,29,20,0,20,49,0,47,4,0,4,0,0,0,133,19,155
80104103411,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,4,6,0,6,0,0,4,3,0,3,9,5,12,3,0,0,9,5,11,15,5,12,14,0,14,23,0,23,20,0,20,62,0,62,6,0,7,0,0,0,164,24,181
80104103412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,3,0,0,0,0,0,0,6,0,6,5,0,5,11,0,11,17,0,17,12,0,12,62,5,65,5,0,5,0,0,0,127,3,137
80104103413,0,0,0,0,0,6,0,0,0,0,0,0,0,0,3,0,0,0,3,0,8,0,9,7,3,5,6,7,0,12,7,0,7,3,3,9,19,12,30,10,0,10,8,6,12,15,0,15,31,3,30,0,5,3,0,0,0,114,40,151
80104103414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,6,3,0,4,5,0,8,3,0,5,9,0,9,6,0,6,18,0,18,0,0,0,0,0,0,60,4,65
80104103501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,5,3,9,0,9,14,0,20,9,0,12,6,0,6,10,0,8,23,0,23,5,0,5,0,0,0,94,17,108
