SA1_CODE_2021,M_15_19_yr_Marrd_reg_marrge,M_15_19_yr_Married_de_facto,M_15_19_yr_Not_married,M_15_19_yr_Total,M_20_24_yr_Marrd_reg_marrge,M_20_24_yr_Married_de_facto,M_20_24_yr_Not_married,M_20_24_yr_Total,M_25_34_yr_Marrd_reg_marrge,M_25_34_yr_Married_de_facto,M_25_34_yr_Not_married,M_25_34_yr_Total,M_35_44_yr_Marrd_reg_marrge,M_35_44_yr_Married_de_facto,M_35_44_yr_Not_married,M_35_44_yr_Total,M_45_54_yr_Marrd_reg_marrge,M_45_54_yr_Married_de_facto,M_45_54_yr_Not_married,M_45_54_yr_Total,M_55_64_yr_Marrd_reg_marrge,M_55_64_yr_Married_de_facto,M_55_64_yr_Not_married,M_55_64_yr_Total,M_65_74_yr_Marrd_reg_marrge,M_65_74_yr_Married_de_facto,M_65_74_yr_Not_married,M_65_74_yr_Total,M_75_84_yr_Marrd_reg_marrge,M_75_84_yr_Married_de_facto,M_75_84_yr_Not_married,M_75_84_yr_Total,M_85ov_Marrd_reg_marrge,M_85ov_Married_de_facto,M_85ov_Not_married,M_85ov_Total,M_Tot_Marrd_reg_marrge,M_Tot_Married_de_facto,M_Tot_Not_married,M_Tot_Total,F_15_19_yr_Marrd_reg_marrge,F_15_19_yr_Married_de_facto,F_15_19_yr_Not_married,F_15_19_yr_Total,F_20_24_yr_Marrd_reg_marrge,F_20_24_yr_Married_de_facto,F_20_24_yr_Not_married,F_20_24_yr_Total,F_25_34_yr_Marrd_reg_marrge,F_25_34_yr_Married_de_facto,F_25_34_yr_Not_married,F_25_34_yr_Total,F_35_44_yr_Marrd_reg_marrge,F_35_44_yr_Married_de_facto,F_35_44_yr_Not_married,F_35_44_yr_Total,F_45_54_yr_Marrd_reg_marrge,F_45_54_yr_Married_de_facto,F_45_54_yr_Not_married,F_45_54_yr_Total,F_55_64_yr_Marrd_reg_marrge,F_55_64_yr_Married_de_facto,F_55_64_yr_Not_married,F_55_64_yr_Total,F_65_74_yr_Marrd_reg_marrge,F_65_74_yr_Married_de_facto,F_65_74_yr_Not_married,F_65_74_yr_Total,F_75_84_yr_Marrd_reg_marrge,F_75_84_yr_Married_de_facto,F_75_84_yr_Not_married,F_75_84_yr_Total,F_85ov_Marrd_reg_marrge,F_85ov_Married_de_facto,F_85ov_Not_married,F_85ov_Total,F_Tot_Marrd_reg_marrge,F_Tot_Married_de_facto,F_Tot_Not_married,F_Tot_Total,P_15_19_yr_Marrd_reg_marrge,P_15_19_yr_Married_de_facto,P_15_19_yr_Not_married,P_15_19_yr_Total,P_20_24_yr_Marrd_reg_marrge,P_20_24_yr_Married_de_facto,P_20_24_yr_Not_married,P_20_24_yr_Total,P_25_34_yr_Marrd_reg_marrge,P_25_34_yr_Married_de_facto,P_25_34_yr_Not_married,P_25_34_yr_Total,P_35_44_yr_Marrd_reg_marrge,P_35_44_yr_Married_de_facto,P_35_44_yr_Not_married,P_35_44_yr_Total,P_45_54_yr_Marrd_reg_marrge,P_45_54_yr_Married_de_facto,P_45_54_yr_Not_married,P_45_54_yr_Total,P_55_64_yr_Marrd_reg_marrge,P_55_64_yr_Married_de_facto,P_55_64_yr_Not_married,P_55_64_yr_Total,P_65_74_yr_Marrd_reg_marrge,P_65_74_yr_Married_de_facto,P_65_74_yr_Not_married,P_65_74_yr_Total,P_75_84_yr_Marrd_reg_marrge,P_75_84_yr_Married_de_facto,P_75_84_yr_Not_married,P_75_84_yr_Total,P_85ov_Marrd_reg_marrge,P_85ov_Married_de_facto,P_85ov_Not_married,P_85ov_Total,P_Tot_Marrd_reg_marrge,P_Tot_Married_de_facto,P_Tot_Not_married,P_Tot_Total
80101100101,0,0,8,8,0,0,9,9,0,4,3,9,8,3,0,14,8,3,0,18,10,6,0,10,11,0,0,11,5,0,0,9,4,0,0,3,53,10,20,84,0,0,4,4,0,0,5,5,0,7,0,11,10,3,3,22,6,4,4,17,14,6,3,21,6,0,7,15,8,0,11,17,0,0,4,5,51,14,48,114,0,0,10,10,0,0,12,12,3,4,10,18,25,9,3,35,16,11,4,34,23,9,3,35,17,0,7,27,9,0,9,23,0,0,4,11,102,29,66,195
80101100102,0,0,11,11,0,0,17,16,10,0,14,22,10,3,3,20,22,3,0,34,19,0,4,21,7,0,5,13,7,0,7,12,0,0,0,5,77,7,62,147,0,0,14,14,0,0,9,9,9,0,3,15,20,5,0,28,21,4,0,27,11,0,4,12,10,0,5,19,7,0,4,11,0,0,0,3,80,6,47,142,0,0,30,30,0,4,28,28,15,4,17,36,31,10,8,48,49,3,4,52,29,0,5,34,23,0,7,29,18,0,11,26,4,0,4,10,165,22,108,289
80101100103,0,0,0,0,0,0,11,11,6,5,14,30,21,7,9,35,13,7,5,19,16,0,3,22,9,0,0,9,6,0,3,7,0,0,0,0,72,17,50,135,0,0,10,10,0,0,15,18,8,5,16,38,19,9,5,29,20,3,7,34,12,0,5,16,7,0,6,18,4,0,9,14,3,0,5,7,71,16,80,167,0,0,14,14,0,0,28,29,17,16,30,61,44,7,15,66,32,7,8,47,24,0,9,34,17,0,6,19,10,0,9,22,7,0,5,6,145,32,127,305
80101100104,0,0,15,15,0,0,13,12,8,0,15,25,19,0,0,27,25,5,3,30,24,3,0,29,17,3,4,22,14,0,0,16,0,0,0,3,112,16,57,182,0,0,13,13,0,3,9,10,10,0,9,24,24,3,4,37,22,4,3,31,33,4,4,41,17,0,6,20,7,0,11,19,0,0,0,0,111,18,60,189,0,0,28,28,0,3,18,23,21,8,24,48,44,7,10,62,44,9,8,58,55,5,6,67,28,3,5,40,27,0,10,38,0,0,3,8,218,37,118,373
80101100105,0,0,13,13,0,0,19,22,4,3,14,22,20,3,3,29,22,7,0,28,18,3,8,34,14,4,5,24,19,0,0,26,6,0,0,9,107,22,74,209,0,0,22,22,0,4,11,9,3,3,17,18,24,8,3,38,25,3,7,41,21,3,19,40,21,4,7,35,10,0,12,18,3,0,5,12,113,24,94,231,0,0,32,32,0,0,27,30,10,9,29,47,45,10,7,67,50,12,8,71,35,7,27,75,38,8,10,52,33,0,14,42,9,0,10,20,219,50,167,435
80101100106,0,0,16,16,0,0,6,10,11,3,12,29,17,9,4,22,22,6,3,33,15,8,4,27,12,0,3,20,16,0,5,22,4,0,3,4,95,31,62,177,0,0,12,12,4,0,6,11,7,3,10,23,23,6,7,36,17,6,6,29,20,8,6,37,11,0,8,21,16,0,5,20,0,0,5,9,91,24,67,184,0,0,25,25,0,0,19,21,14,6,27,49,41,10,10,59,39,5,12,60,36,18,9,62,28,3,10,44,27,3,6,36,8,0,7,13,188,56,124,367
80101100201,0,0,9,9,0,4,26,29,16,10,28,55,17,9,13,37,5,3,15,22,0,0,13,13,0,0,3,6,0,0,3,7,0,0,0,0,47,24,116,179,0,0,9,9,0,8,13,15,22,7,17,49,15,3,11,28,4,0,14,24,0,0,20,22,0,0,13,13,4,0,11,10,0,0,0,0,42,25,102,168,0,0,18,18,0,8,38,45,38,18,46,107,31,8,25,61,9,3,29,42,4,0,32,37,0,0,11,13,5,0,10,17,0,0,0,0,87,46,211,346
80101100202,0,0,6,6,0,0,6,6,12,9,18,40,15,0,11,34,8,0,10,15,3,3,5,9,7,0,3,5,3,0,0,4,0,0,0,0,46,10,70,123,0,0,6,6,0,0,17,16,21,4,21,48,20,0,14,33,0,0,13,16,3,0,8,17,5,0,8,15,0,0,0,4,0,0,7,7,44,15,87,151,0,0,11,11,0,0,21,21,31,10,38,87,34,8,30,68,7,0,23,34,9,4,12,23,13,0,12,22,0,0,4,10,0,0,7,5,92,21,158,273
80101100203,0,0,3,3,4,11,32,45,56,32,62,146,29,8,26,65,7,6,14,31,5,0,8,11,7,0,3,10,3,0,0,5,0,0,3,3,103,53,152,309,0,0,0,3,11,16,34,62,55,34,62,151,24,4,23,54,5,3,15,19,9,0,16,24,0,0,10,9,5,0,13,11,0,0,0,0,106,59,166,326,0,0,8,7,16,23,68,106,107,65,125,296,52,13,50,112,10,9,34,50,14,0,18,30,8,0,11,21,7,0,9,16,0,0,0,0,205,112,316,637
80101100205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
