SA1_CODE_2021,Num_Psns_UR_1_FamHhold,Num_Psns_UR_1_NonFamHhold,Num_Psns_UR_1_Total,Num_Psns_UR_2_FamHhold,Num_Psns_UR_2_NonFamHhold,Num_Psns_UR_2_Total,Num_Psns_UR_3_FamHhold,Num_Psns_UR_3_NonFamHhold,Num_Psns_UR_3_Total,Num_Psns_UR_4_FamHhold,Num_Psns_UR_4_NonFamHhold,Num_Psns_UR_4_Total,Num_Psns_UR_5_FamHhold,Num_Psns_UR_5_NonFamHhold,Num_Psns_UR_5_Total,Num_Psns_UR_6mo_FamHhold,Num_Psns_UR_6mo_NonFamHhold,Num_Psns_UR_6mo_Total,Total_FamHhold,Total_NonFamHhold,Total_Total
80101100101,..,23,23,30,0,30,11,0,11,25,0,19,4,0,9,0,0,0,72,28,98
80101100102,..,22,22,33,0,35,23,0,23,35,4,34,15,0,18,0,0,0,99,27,128
80101100103,..,16,16,39,5,46,23,4,21,28,0,32,13,0,13,8,0,8,107,26,133
80101100104,..,19,19,63,3,62,33,9,37,33,0,33,8,0,11,6,0,6,136,28,162
80101100105,..,31,31,61,6,67,33,0,33,36,3,37,20,0,20,5,0,5,155,41,199
80101100106,..,38,38,57,3,59,26,3,28,34,0,33,9,0,9,0,0,0,133,44,178
80101100201,..,74,74,51,12,61,28,5,33,8,0,12,4,0,3,3,0,3,94,96,191
80101100202,..,56,56,44,13,52,19,4,22,25,0,25,4,0,4,0,0,0,90,64,156
80101100203,..,121,121,103,49,151,41,3,40,26,0,28,8,0,8,5,0,5,182,169,349
80101100205,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80101100208,..,67,67,65,12,77,24,4,24,16,0,16,3,0,3,0,0,0,109,83,190
80101100209,..,51,51,39,9,41,16,0,18,7,0,10,8,0,8,0,0,0,69,61,126
80101100210,..,62,62,53,10,60,23,10,27,13,0,13,4,0,4,4,0,4,85,77,165
80101100211,..,96,96,82,14,93,25,4,30,23,0,24,9,0,11,4,0,4,139,112,253
80101100212,..,98,98,78,5,87,15,6,25,13,0,11,4,0,4,4,0,4,117,106,223
80101100213,..,4,4,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,7,14
80101100215,..,127,127,87,25,111,27,10,38,10,3,11,3,0,3,0,0,0,132,161,290
80101100216,..,239,239,282,71,349,70,12,86,32,0,32,10,0,10,5,0,5,391,318,711
80101100217,..,82,82,57,7,64,10,18,22,10,0,12,4,0,4,0,0,0,84,104,188
80101100218,..,132,132,101,23,131,26,3,29,5,0,5,4,0,4,0,0,0,138,152,299
80101100219,..,104,104,76,12,93,19,7,22,6,0,6,0,0,0,0,0,0,103,124,224
80101100220,..,52,52,40,7,46,16,0,16,6,0,7,0,0,0,0,0,0,67,58,122
80101100221,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80101100222,..,144,144,110,17,125,30,5,34,9,0,14,0,0,0,0,0,0,154,164,317
80101100223,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80101100224,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80101100225,..,84,84,78,13,90,11,9,20,17,0,17,0,0,0,0,0,0,107,108,213
80101100301,..,32,32,48,11,58,24,18,37,14,5,17,11,0,11,5,0,5,94,64,159
80101100304,..,154,154,112,13,127,38,10,49,43,0,49,3,0,11,6,0,6,208,182,388
80101100306,..,40,40,56,16,66,24,10,31,14,9,21,6,0,6,0,0,0,97,70,168
80101100307,..,16,16,24,9,31,16,11,25,11,0,14,4,0,3,0,0,3,53,37,95
80101100308,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80101100309,..,28,28,28,8,36,9,10,23,10,0,16,6,0,6,3,0,3,71,45,111
80101100310,..,10,10,20,3,25,17,3,18,19,4,21,0,0,0,7,0,7,59,18,82
80101100311,..,11,11,44,5,50,20,8,28,8,3,15,4,0,4,0,0,0,77,28,111
80101100312,..,33,33,67,10,80,36,18,53,32,5,32,18,0,18,4,0,5,158,70,226
80101100314,..,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9
80101100315,..,24,24,63,6,65,17,0,17,16,0,24,6,0,10,6,0,3,113,34,146
80101100316,..,47,47,39,0,37,6,0,6,5,0,3,3,0,3,3,0,3,59,49,105
80101100317,..,85,85,71,22,84,21,16,37,8,0,17,4,0,5,6,0,6,109,122,233
80101100318,..,11,11,40,0,40,20,0,16,18,0,20,4,0,4,3,0,3,86,10,101
80101100319,..,32,32,57,5,64,10,0,16,17,3,17,3,0,3,0,0,0,85,42,126
80101100320,..,65,65,35,3,38,22,4,20,24,0,28,11,0,15,0,0,0,98,73,169
80101100321,..,80,80,59,12,68,33,3,34,20,0,24,0,0,0,0,0,0,120,96,218
80101100322,..,121,121,94,4,106,10,0,12,4,0,4,0,0,0,0,0,0,113,127,242
80101100401,..,25,25,24,0,27,13,0,13,15,0,15,7,0,7,0,0,0,61,27,88
80101100402,..,26,26,45,0,49,32,0,32,34,0,34,13,0,9,0,0,3,121,33,151
80101100403,..,47,47,53,4,58,26,3,32,27,0,27,12,0,12,5,0,5,122,53,180
80101100404,..,35,35,31,0,31,32,0,32,20,0,20,14,0,14,4,0,4,100,35,134
80101100405,..,51,51,40,3,44,31,0,32,23,0,23,3,0,3,9,0,9,114,53,168
80101100406,..,59,59,63,3,70,47,0,52,31,0,31,10,0,10,8,0,8,158,69,222
80101100408,..,41,41,21,0,28,8,0,8,4,0,4,3,0,3,0,0,0,44,44,90
80101100409,..,46,46,36,3,45,20,0,24,12,0,16,0,0,0,6,0,6,85,53,136
80101100501,..,39,39,42,0,42,10,0,14,19,0,19,5,0,5,3,0,3,80,39,123
80101100502,..,42,42,49,0,53,32,0,29,31,0,31,6,0,6,6,0,6,122,42,164
80101100503,..,16,16,45,0,45,32,0,32,11,0,14,10,0,10,0,0,0,97,24,119
80101100504,..,82,82,50,0,54,26,0,25,14,0,14,0,0,0,0,0,0,88,87,171
80101100505,..,105,105,57,8,65,27,6,31,14,0,10,0,0,0,0,0,0,100,112,215
80101100506,..,33,33,33,0,32,18,0,14,4,0,4,5,0,8,0,0,0,52,39,89
80101100507,..,22,22,39,8,43,16,3,25,18,0,18,9,0,9,3,0,3,89,26,119
80101100508,..,15,15,25,0,27,16,0,16,18,0,18,6,0,3,0,0,0,60,20,79
80101100509,..,28,28,48,6,56,29,0,29,24,0,26,5,0,5,11,0,9,117,41,158
80101100602,..,0,0,19,0,24,12,0,12,13,0,13,4,0,4,0,0,0,56,0,58
80101100604,..,13,13,35,4,37,17,0,15,20,0,20,12,0,12,5,0,5,81,16,101
80101100605,..,14,14,31,0,33,25,0,26,32,0,32,16,0,16,9,0,9,116,13,128
80101100606,..,15,15,29,4,34,24,3,31,28,0,28,16,0,16,4,0,4,99,19,124
80101100607,..,22,22,50,0,53,26,0,26,40,0,36,6,0,6,9,0,9,123,17,145
80101100608,..,32,32,40,4,43,26,0,26,28,0,29,19,0,19,7,0,7,122,33,150
80101100609,..,12,12,33,0,31,26,0,26,29,0,29,13,0,13,5,0,5,105,14,115
80101100610,..,28,28,34,0,41,20,0,20,30,0,30,12,0,12,7,0,7,108,24,128
80101100611,..,49,49,55,3,63,37,0,35,21,0,21,8,0,8,4,0,4,122,58,174
80101100612,..,20,20,47,5,51,38,4,39,42,0,42,13,0,13,9,0,9,143,29,177
80101100613,..,7,7,19,0,19,17,0,17,19,0,19,4,0,4,8,0,8,65,7,70
80101100614,..,16,16,23,3,28,31,0,31,25,0,25,10,0,10,0,0,0,99,17,120
80101100615,..,15,15,23,0,23,13,0,14,16,0,16,6,0,6,0,0,0,57,13,74
80101100616,..,31,31,38,0,38,20,0,20,55,0,55,17,0,17,5,0,5,142,31,173
80101100617,..,64,64,58,3,60,30,0,27,17,0,17,7,0,7,5,0,5,110,68,172
80101100618,..,6,6,29,0,26,18,0,18,30,0,30,18,0,18,3,0,3,94,3,98
80101100619,..,50,50,21,3,29,11,0,11,10,0,10,5,0,5,0,0,0,49,50,100
80101100620,..,11,11,29,3,34,25,0,25,31,0,31,16,0,16,10,0,10,103,14,123
80101100621,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80101100622,..,6,6,18,0,18,10,0,11,23,0,23,13,0,13,8,0,8,72,5,77
80101100623,..,5,5,28,0,31,19,0,19,24,0,23,20,0,20,10,0,10,101,8,110
80101100701,..,33,33,54,6,61,38,0,40,25,0,25,14,0,14,5,0,5,146,41,186
