SA1_CODE_2021,F_Kidney_disease_0_14,F_Kidney_disease_15_24,F_Kidney_disease_25_34,F_Kidney_disease_35_44,F_Kidney_disease_45_54,F_Kidney_disease_55_64,F_Kidney_disease_65_74,F_Kidney_disease_75_84,F_Kidney_disease_85_over,F_Kidney_disease_Tot,F_Lung_cond_0_14,F_Lung_cond_15_24,F_Lung_cond_25_34,F_Lung_cond_35_44,F_Lung_cond_45_54,F_Lung_cond_55_64,F_Lung_cond_65_74,F_Lung_cond_75_84,F_Lung_cond_85_over,F_Lung_cond_Tot,F_Mental_health_cond_0_14,F_Mental_health_cond_15_24,F_Mental_health_cond_25_34,F_Mental_health_cond_35_44,F_Mental_health_cond_45_54,F_Mental_health_cond_55_64,F_Mental_health_cond_65_74,F_Mental_health_cond_75_84,F_Mental_health_cond_85_over,F_Mental_health_cond_Tot,F_Stroke_0_14,F_Stroke_15_24,F_Stroke_25_34,F_Stroke_35_44,F_Stroke_45_54,F_Stroke_55_64,F_Stroke_65_74,F_Stroke_75_84,F_Stroke_85_over,F_Stroke_Tot,F_Other_0_14,F_Other_15_24,F_Other_25_34,F_Other_35_44,F_Other_45_54,F_Other_55_64,F_Other_65_74,F_Other_75_84,F_Other_85_over,F_Other_Tot,F_None_0_14,F_None_15_24,F_None_25_34,F_None_35_44,F_None_45_54,F_None_55_64,F_None_65_74,F_None_75_84,F_None_85_over,F_None_Tot,F_NS_0_14,F_NS_15_24,F_NS_25_34,F_NS_35_44,F_NS_45_54,F_NS_55_64,F_NS_65_74,F_NS_75_84,F_NS_85_over,F_NS_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85_over,F_Tot_Tot,P_Arthritis_0_14,P_Arthritis_15_24,P_Arthritis_25_34,P_Arthritis_35_44,P_Arthritis_45_54,P_Arthritis_55_64,P_Arthritis_65_74,P_Arthritis_75_84,P_Arthritis_85_over,P_Arthritis_Tot,P_Asthma_0_14,P_Asthma_15_24,P_Asthma_25_34,P_Asthma_35_44,P_Asthma_45_54,P_Asthma_55_64,P_Asthma_65_74,P_Asthma_75_84,P_Asthma_85_over,P_Asthma_Tot,P_Cancer_0_14,P_Cancer_15_24,P_Cancer_25_34,P_Cancer_35_44,P_Cancer_45_54,P_Cancer_55_64,P_Cancer_65_74,P_Cancer_75_84,P_Cancer_85_over,P_Cancer_Tot,P_Dementia_0_14,P_Dementia_15_24,P_Dementia_25_34,P_Dementia_35_44,P_Dementia_45_54,P_Dementia_55_64,P_Dementia_65_74,P_Dementia_75_84,P_Dementia_85_over,P_Dementia_Tot,P_Diabetes_0_14,P_Diabetes_15_24,P_Diabetes_25_34,P_Diabetes_35_44,P_Diabetes_45_54,P_Diabetes_55_64,P_Diabetes_65_74,P_Diabetes_75_84,P_Diabetes_85_over,P_Diabetes_Tot,P_Heart_disease_0_14,P_Heart_disease_15_24,P_Heart_disease_25_34,P_Heart_disease_35_44,P_Heart_disease_45_54,P_Heart_disease_55_64,P_Heart_disease_65_74,P_Heart_disease_75_84,P_Heart_disease_85_over,P_Heart_disease_Tot,P_Kidney_disease_0_14,P_Kidney_disease_15_24,P_Kidney_disease_25_34,P_Kidney_disease_35_44,P_Kidney_disease_45_54,P_Kidney_disease_55_64,P_Kidney_disease_65_74,P_Kidney_disease_75_84,P_Kidney_disease_85_over,P_Kidney_disease_Tot,P_Lung_cond_0_14,P_Lung_cond_15_24,P_Lung_cond_25_34,P_Lung_cond_35_44,P_Lung_cond_45_54,P_Lung_cond_55_64,P_Lung_cond_65_74,P_Lung_cond_75_84,P_Lung_cond_85_over,P_Lung_cond_Tot,P_Mental_health_cond_0_14,P_Mental_health_cond_15_24,P_Mental_health_cond_25_34,P_Mental_health_cond_35_44,P_Mental_health_cond_45_54,P_Mental_health_cond_55_64,P_Mental_health_cond_65_74,P_Mental_health_cond_75_84,P_Mental_health_cond_85_over,P_Mental_health_cond_Tot,P_Stroke_0_14,P_Stroke_15_24,P_Stroke_25_34,P_Stroke_35_44,P_Stroke_45_54,P_Stroke_55_64,P_Stroke_65_74,P_Stroke_75_84,P_Stroke_85_over,P_Stroke_Tot,P_Other_0_14,P_Other_15_24,P_Other_25_34,P_Other_35_44,P_Other_45_54,P_Other_55_64,P_Other_65_74,P_Other_75_84,P_Other_85_over,P_Other_Tot,P_None_0_14,P_None_15_24,P_None_25_34,P_None_35_44,P_None_45_54,P_None_55_64,P_None_65_74,P_None_75_84,P_None_85_over,P_None_Tot
80101100101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,3,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,6,27,8,9,17,6,13,5,0,0,85,3,0,0,0,0,0,0,0,0,3,32,12,11,21,17,24,18,17,5,157,0,0,0,0,4,4,6,14,5,33,8,5,4,3,0,4,6,0,0,30,0,0,0,0,0,0,0,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,3,0,0,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,3,3,4,5,0,0,29,0,0,0,0,0,0,0,3,0,3,0,0,0,6,8,6,0,3,0,23,44,13,10,25,22,21,10,0,0,145
80101100102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,6,5,4,4,3,4,0,3,0,0,23,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,4,4,0,0,15,29,18,10,10,17,6,3,3,0,96,0,0,0,0,0,0,4,0,0,4,37,28,15,28,29,12,21,10,3,183,0,0,0,0,5,3,10,8,3,29,10,0,4,11,7,7,3,4,3,49,0,0,0,0,0,0,4,8,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,6,5,0,15,0,0,0,0,0,0,4,7,4,15,0,0,0,0,0,5,0,0,0,5,0,0,0,0,3,0,0,6,0,9,3,4,13,8,6,4,3,0,0,41,0,0,0,0,0,0,0,0,0,0,3,3,0,0,4,4,6,5,0,25,53,47,20,22,36,22,13,5,0,218
80101100103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,4,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,3,0,4,0,5,0,0,7,0,19,43,24,32,32,21,14,0,0,0,166,3,0,0,4,0,0,0,0,0,7,50,30,38,33,33,18,17,14,7,240,0,0,0,0,6,0,16,15,4,41,6,3,0,3,9,0,3,0,0,24,0,0,0,0,0,0,5,0,3,8,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,4,3,4,8,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,5,0,3,0,5,3,0,5,0,21,81,40,53,65,30,30,3,0,0,302
80101100104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,5,4,0,3,0,0,0,23,0,0,0,0,0,0,4,0,0,4,0,7,0,4,4,11,8,3,0,37,25,16,14,23,17,18,4,3,0,120,3,4,0,0,5,3,0,0,0,15,29,28,21,38,33,44,21,19,0,233,0,0,3,3,3,9,13,10,0,41,3,4,8,8,9,4,4,4,0,44,0,0,0,0,6,0,6,8,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,0,10,0,0,0,0,0,7,3,4,0,14,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,4,0,4,0,10,7,7,5,3,5,0,0,37,0,0,0,0,0,0,3,0,0,3,4,7,0,7,3,11,7,4,0,43,61,40,38,45,35,39,13,11,0,282
80101100105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,9,0,3,5,9,5,12,4,0,0,38,0,0,0,0,0,0,0,0,0,0,3,5,6,0,4,12,0,0,3,33,44,19,13,22,28,22,22,6,6,182,5,3,0,0,0,0,5,0,0,13,54,30,20,37,41,47,44,21,12,306,0,0,0,3,0,16,7,21,10,57,5,10,4,10,5,11,3,9,4,61,0,0,0,4,0,3,5,7,4,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,7,0,4,15,0,0,0,0,0,3,4,7,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,3,11,4,3,11,16,5,0,0,53,0,0,0,0,0,0,0,0,0,0,6,4,3,3,11,16,4,0,5,52,95,42,31,47,48,38,31,19,3,354
80101100106,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,3,0,8,11,3,3,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,9,31,18,12,21,19,23,6,3,0,133,3,3,0,4,0,0,0,0,0,10,38,23,22,37,25,37,25,20,8,235,0,0,0,0,3,3,17,11,3,37,9,4,5,6,0,4,0,0,0,28,0,0,0,0,0,4,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,3,0,15,0,0,0,0,0,0,9,10,3,22,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,9,3,10,7,6,10,6,0,0,51,0,0,0,0,0,0,0,3,5,8,6,0,0,5,9,8,9,3,6,46,69,41,39,34,45,45,14,10,0,297
80101100201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,17,9,8,3,5,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,7,4,7,6,0,6,0,30,24,13,35,16,9,11,5,7,0,120,0,0,0,0,5,4,0,0,0,9,26,29,59,26,27,28,13,12,0,220,0,0,0,3,8,3,3,0,0,17,5,11,12,7,4,0,5,3,0,47,0,0,0,0,0,3,0,4,0,7,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,28,18,12,3,8,0,0,87,0,0,0,0,0,0,0,0,0,0,0,3,10,6,10,9,5,7,0,50,37,41,70,35,20,21,8,7,0,239
80101100202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,4,3,0,4,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,5,0,0,12,34,11,32,18,9,10,0,4,0,118,0,0,5,7,0,6,0,0,0,18,37,18,50,42,16,11,14,10,7,205,0,0,0,0,3,6,6,0,3,18,0,6,7,7,5,0,5,0,0,30,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,8,0,0,0,0,0,0,0,3,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,4,26,9,9,5,4,0,0,57,0,0,0,0,0,0,0,0,0,0,0,3,6,9,8,0,8,0,0,34,62,23,57,47,19,13,9,5,0,235
80101100203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,14,11,3,4,3,0,0,52,0,0,0,0,0,0,0,3,0,3,0,0,6,4,0,3,0,5,0,18,21,47,114,40,10,12,0,0,0,244,0,0,9,3,0,0,0,0,0,12,24,60,157,54,23,26,8,12,0,364,0,0,0,5,5,5,8,5,0,28,5,4,28,8,3,0,0,3,0,51,0,0,5,5,4,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,6,3,0,17,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,16,29,14,4,4,3,0,0,70,0,0,0,0,0,0,0,3,0,3,0,0,12,8,3,3,4,3,0,33,45,84,232,82,36,19,5,0,0,503
80101100205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
