SA1_CODE_2021,M_Ptn_in_RM_0_14,M_Ptn_in_RM_15_24,M_Ptn_in_RM_25_34,M_Ptn_in_RM_35_44,M_Ptn_in_RM_45_54,M_Ptn_in_RM_55_64,M_Ptn_in_RM_65_74,M_Ptn_in_RM_75_84,M_Ptn_in_RM_85ov,M_Ptn_in_RM_Tot,M_Ptn_in_DFM_0_14,M_Ptn_in_DFM_15_24,M_Ptn_in_DFM_25_34,M_Ptn_in_DFM_35_44,M_Ptn_in_DFM_45_54,M_Ptn_in_DFM_55_64,M_Ptn_in_DFM_65_74,M_Ptn_in_DFM_75_84,M_Ptn_in_DFM_85ov,M_Ptn_in_DFM_Tot,M_LonePnt_0_14,M_LonePnt_15_24,M_LonePnt_25_34,M_LonePnt_35_44,M_LonePnt_45_54,M_LonePnt_55_64,M_LonePnt_65_74,M_LonePnt_75_84,M_LonePnt_85ov,M_LonePnt_Tot,M_CU15_0_14,M_CU15_15_24,M_CU15_25_34,M_CU15_35_44,M_CU15_45_54,M_CU15_55_64,M_CU15_65_74,M_CU15_75_84,M_CU15_85ov,M_CU15_Tot,M_DpStu_0_14,M_DpStu_15_24,M_DpStu_25_34,M_DpStu_35_44,M_DpStu_45_54,M_DpStu_55_64,M_DpStu_65_74,M_DpStu_75_84,M_DpStu_85ov,M_DpStu_Tot,M_NDpChl_0_14,M_NDpChl_15_24,M_NDpChl_25_34,M_NDpChl_35_44,M_NDpChl_45_54,M_NDpChl_55_64,M_NDpChl_65_74,M_NDpChl_75_84,M_NDpChl_85ov,M_NDpChl_Tot,M_OthRI_0_14,M_OthRI_15_24,M_OthRI_25_34,M_OthRI_35_44,M_OthRI_45_54,M_OthRI_55_64,M_OthRI_65_74,M_OthRI_75_84,M_OthRI_85ov,M_OthRI_Tot,M_URI_in_FH_0_14,M_URI_in_FH_15_24,M_URI_in_FH_25_34,M_URI_in_FH_35_44,M_URI_in_FH_45_54,M_URI_in_FH_55_64,M_URI_in_FH_65_74,M_URI_in_FH_75_84,M_URI_in_FH_85ov,M_URI_in_FH_Tot,M_GrpH_Mem_0_14,M_GrpH_Mem_15_24,M_GrpH_Mem_25_34,M_GrpH_Mem_35_44,M_GrpH_Mem_45_54,M_GrpH_Mem_55_64,M_GrpH_Mem_65_74,M_GrpH_Mem_75_84,M_GrpH_Mem_85ov,M_GrpH_Mem_Tot,M_LonePsn_0_14,M_LonePsn_15_24,M_LonePsn_25_34,M_LonePsn_35_44,M_LonePsn_45_54,M_LonePsn_55_64,M_LonePsn_65_74,M_LonePsn_75_84,M_LonePsn_85ov,M_LonePsn_Tot,M_Vis_within_Aus_0_14,M_Vis_within_Aus_15_24,M_Vis_within_Aus_25_34,M_Vis_within_Aus_35_44,M_Vis_within_Aus_45_54,M_Vis_within_Aus_55_64,M_Vis_within_Aus_65_74,M_Vis_within_Aus_75_84,M_Vis_within_Aus_85ov,M_Vis_within_Aus_Tot,M_Tot_0_14,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Ptn_in_RM_0_14,F_Ptn_in_RM_15_24,F_Ptn_in_RM_25_34,F_Ptn_in_RM_35_44,F_Ptn_in_RM_45_54,F_Ptn_in_RM_55_64,F_Ptn_in_RM_65_74,F_Ptn_in_RM_75_84,F_Ptn_in_RM_85ov,F_Ptn_in_RM_Tot,F_Ptn_in_DFM_0_14,F_Ptn_in_DFM_15_24,F_Ptn_in_DFM_25_34,F_Ptn_in_DFM_35_44,F_Ptn_in_DFM_45_54,F_Ptn_in_DFM_55_64,F_Ptn_in_DFM_65_74,F_Ptn_in_DFM_75_84,F_Ptn_in_DFM_85ov,F_Ptn_in_DFM_Tot,F_LonePnt_0_14,F_LonePnt_15_24,F_LonePnt_25_34,F_LonePnt_35_44,F_LonePnt_45_54,F_LonePnt_55_64,F_LonePnt_65_74,F_LonePnt_75_84,F_LonePnt_85ov,F_LonePnt_Tot,F_CU15_0_14,F_CU15_15_24,F_CU15_25_34,F_CU15_35_44,F_CU15_45_54,F_CU15_55_64,F_CU15_65_74,F_CU15_75_84,F_CU15_85ov,F_CU15_Tot,F_DpStu_0_14,F_DpStu_15_24,F_DpStu_25_34,F_DpStu_35_44,F_DpStu_45_54,F_DpStu_55_64,F_DpStu_65_74,F_DpStu_75_84,F_DpStu_85ov,F_DpStu_Tot,F_NDpChl_0_14,F_NDpChl_15_24,F_NDpChl_25_34,F_NDpChl_35_44,F_NDpChl_45_54,F_NDpChl_55_64,F_NDpChl_65_74,F_NDpChl_75_84,F_NDpChl_85ov,F_NDpChl_Tot,F_OthRI_0_14,F_OthRI_15_24,F_OthRI_25_34,F_OthRI_35_44,F_OthRI_45_54,F_OthRI_55_64,F_OthRI_65_74,F_OthRI_75_84,F_OthRI_85ov,F_OthRI_Tot,F_URI_in_FH_0_14,F_URI_in_FH_15_24,F_URI_in_FH_25_34,F_URI_in_FH_35_44,F_URI_in_FH_45_54,F_URI_in_FH_55_64,F_URI_in_FH_65_74,F_URI_in_FH_75_84,F_URI_in_FH_85ov,F_URI_in_FH_Tot
80105105502,..,0,4,17,12,10,4,4,0,53,..,0,7,7,0,4,0,0,0,20,..,0,0,0,0,0,0,0,0,0,36,..,..,..,..,..,..,..,..,36,..,3,..,..,..,..,..,..,..,3,..,8,0,0,0,0,0,0,0,9,..,0,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,12,..,3,9,0,3,3,0,0,0,23,..,0,9,3,3,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,36,12,35,32,23,23,3,3,0,170,..,0,6,21,17,6,0,5,0,55,..,0,8,9,5,4,0,0,0,26,..,0,0,0,6,0,0,0,0,8,28,..,..,..,..,..,..,..,..,28,..,9,..,..,..,..,..,..,..,9,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,4,0,0,10,..,0,0,0,0,0,0,0,0,3
80105105503,..,0,9,14,13,8,10,8,6,60,..,0,6,4,3,4,0,0,0,22,..,0,0,0,0,0,0,0,0,4,33,..,..,..,..,..,..,..,..,33,..,7,..,..,..,..,..,..,..,7,..,4,0,0,0,0,0,0,0,7,..,0,3,0,0,0,0,0,0,3,..,0,4,0,0,0,0,0,0,4,..,3,3,0,3,0,0,0,0,7,..,0,4,4,0,3,4,0,0,18,0,0,0,0,0,0,0,0,0,3,33,12,25,30,22,15,11,7,7,173,..,0,8,19,8,7,5,9,0,62,..,0,9,3,3,3,0,0,0,19,..,0,0,0,4,4,0,0,0,10,36,..,..,..,..,..,..,..,..,36,..,6,..,..,..,..,..,..,..,6,..,0,0,0,0,0,0,0,0,5,..,0,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0
80105105504,..,0,10,19,12,9,9,0,0,65,..,0,0,5,3,0,0,0,0,18,..,0,0,0,0,0,0,0,0,3,39,..,..,..,..,..,..,..,..,39,..,8,..,..,..,..,..,..,..,8,..,5,5,4,0,0,0,0,0,6,..,0,0,0,0,0,0,0,0,4,..,0,5,0,0,0,0,0,0,8,..,13,10,3,5,0,0,0,0,32,..,0,0,0,0,0,3,0,0,13,0,0,0,0,0,0,0,0,0,3,38,25,37,42,25,17,13,3,0,202,..,4,8,19,19,8,11,4,0,65,..,4,5,11,3,0,0,0,0,22,..,0,0,3,3,4,0,0,0,15,29,..,..,..,..,..,..,..,..,29,..,8,..,..,..,..,..,..,..,8,..,0,0,0,0,0,0,0,0,8,..,4,0,0,0,0,0,0,0,4,..,4,0,0,0,0,0,0,0,9
80105105505,..,0,14,25,14,8,8,3,0,76,..,6,28,5,4,5,5,0,0,45,..,0,0,0,3,0,0,0,0,3,36,..,..,..,..,..,..,..,..,36,..,3,..,..,..,..,..,..,..,3,..,3,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,4,0,0,0,0,0,0,3,..,3,5,0,0,0,0,0,0,11,..,0,18,13,8,9,4,3,0,50,0,0,0,0,0,4,0,0,0,4,36,18,67,42,27,23,13,5,0,238,..,0,21,20,12,3,6,5,0,71,..,7,22,4,3,4,0,0,0,45,..,0,5,7,0,3,0,0,0,15,35,..,..,..,..,..,..,..,..,35,..,6,..,..,..,..,..,..,..,6,..,4,0,0,0,0,0,0,0,6,..,0,0,0,0,3,0,0,0,10,..,0,0,0,0,0,0,0,0,0
80105105506,..,0,9,21,14,13,4,0,0,62,..,0,16,8,4,3,0,0,0,31,..,0,0,3,0,0,0,0,0,6,42,..,..,..,..,..,..,..,..,42,..,13,..,..,..,..,..,..,..,13,..,6,0,0,0,0,0,0,0,6,..,0,0,0,0,0,3,0,0,5,..,0,7,3,0,0,0,0,0,5,..,15,17,8,0,0,0,0,0,47,..,0,0,3,4,6,4,0,0,21,0,0,3,0,0,0,0,0,0,8,42,34,58,54,30,22,17,4,0,253,..,0,13,22,10,9,9,0,0,61,..,5,14,6,3,3,0,0,0,39,..,0,3,9,5,4,0,0,0,24,43,..,..,..,..,..,..,..,..,43,..,8,..,..,..,..,..,..,..,8,..,7,0,0,0,0,0,0,0,8,..,0,0,0,0,0,0,0,0,6,..,0,4,0,0,0,0,0,0,10
80105105507,..,0,5,22,15,12,12,4,0,74,..,0,3,10,5,3,0,3,0,27,..,0,0,0,0,0,0,0,0,0,39,..,..,..,..,..,..,..,..,39,..,10,..,..,..,..,..,..,..,10,..,6,0,0,0,0,0,0,0,7,..,3,0,5,4,0,0,0,0,12,..,3,4,0,0,0,0,0,0,9,..,10,6,4,0,3,0,0,0,23,..,0,0,0,4,3,0,0,0,12,0,0,0,0,0,0,0,0,0,3,39,34,24,43,26,21,11,7,3,218,..,0,8,29,12,9,8,4,0,73,..,0,7,11,10,5,0,0,0,27,..,0,0,3,8,4,0,0,0,10,36,..,..,..,..,..,..,..,..,36,..,17,..,..,..,..,..,..,..,17,..,4,0,0,0,0,0,0,0,8,..,4,0,0,0,0,0,0,0,8,..,3,0,0,0,0,0,0,0,5
80105105508,..,0,14,34,25,18,17,7,3,120,..,0,4,3,9,0,0,0,0,17,..,0,0,0,0,0,0,0,0,5,71,..,..,..,..,..,..,..,..,71,..,17,..,..,..,..,..,..,..,17,..,3,3,0,3,0,0,0,0,11,..,3,3,0,0,0,0,0,0,7,..,7,3,0,3,0,0,0,0,20,..,9,8,6,0,0,0,0,0,30,..,0,3,6,0,0,5,0,0,22,0,0,0,0,0,0,0,0,0,4,71,37,45,52,44,31,22,7,7,315,..,0,16,44,27,19,12,4,0,130,..,0,7,4,6,0,0,0,0,17,..,0,5,5,4,4,0,0,4,18,79,..,..,..,..,..,..,..,..,79,..,8,..,..,..,..,..,..,..,8,..,6,6,0,0,0,0,0,0,9,..,0,0,0,0,3,0,0,0,9,..,0,4,0,0,0,0,0,0,8
80105105509,..,0,7,18,17,15,9,5,0,63,..,0,6,5,0,4,3,0,0,15,..,0,0,0,0,0,6,0,0,8,28,..,..,..,..,..,..,..,..,28,..,12,..,..,..,..,..,..,..,12,..,3,6,0,0,0,0,0,0,9,..,3,0,0,0,0,0,0,0,3,..,0,0,3,0,0,0,0,0,6,..,7,13,0,0,5,0,0,0,25,..,3,5,0,0,0,4,0,0,13,0,0,0,0,0,0,0,0,0,4,28,27,34,33,23,20,17,6,0,178,..,0,11,20,19,5,5,4,0,65,..,0,5,3,5,6,0,0,0,17,..,0,0,3,3,0,0,0,3,12,46,..,..,..,..,..,..,..,..,46,..,9,..,..,..,..,..,..,..,9,..,0,4,0,0,0,0,0,0,8,..,0,0,0,0,0,0,4,0,7,..,0,3,0,0,0,0,0,0,8
80105105601,..,0,5,19,24,19,8,9,0,81,..,0,10,10,8,4,0,0,0,28,..,0,0,0,0,0,0,0,0,4,50,..,..,..,..,..,..,..,..,50,..,19,..,..,..,..,..,..,..,19,..,0,0,0,3,0,0,0,0,10,..,0,0,6,0,0,3,0,0,10,..,0,7,0,0,0,0,0,0,7,..,4,11,4,0,0,0,0,0,15,..,0,5,0,4,6,9,0,3,28,0,0,3,3,0,0,0,0,0,12,49,27,37,45,39,28,14,6,5,254,..,0,6,33,17,14,11,4,0,93,..,0,10,8,11,0,3,0,0,29,..,0,0,5,3,0,0,0,0,14,53,..,..,..,..,..,..,..,..,53,..,17,..,..,..,..,..,..,..,17,..,10,3,0,0,0,0,0,0,10,..,0,3,0,0,0,0,0,0,8,..,0,0,0,0,0,0,0,0,0
80105105602,..,0,7,22,22,17,8,7,4,77,..,0,5,8,4,4,0,0,0,27,..,0,0,0,7,0,0,0,0,11,61,..,..,..,..,..,..,..,..,61,..,19,..,..,..,..,..,..,..,19,..,5,9,0,4,0,0,0,0,19,..,0,3,0,0,0,0,0,0,4,..,0,3,0,0,0,0,0,0,3,..,3,8,0,0,0,0,0,0,10,..,0,0,0,7,0,7,0,0,15,6,0,3,3,0,0,0,0,0,12,62,28,35,37,37,24,15,11,8,260,..,0,8,23,26,13,6,9,5,85,..,3,8,14,0,7,0,0,0,33,..,0,0,4,8,4,3,0,0,22,51,..,..,..,..,..,..,..,..,51,..,12,..,..,..,..,..,..,..,12,..,4,6,3,0,0,0,0,0,18,..,0,3,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
