SA1_CODE_2021,CF_C_BPBO_DC_0_4,CF_C_BPBO_DC_5_9,CF_C_BPBO_DC_10_12,CF_C_BPBO_DC_13_14,CF_C_BPBO_DC_15_17,CF_C_BPBO_DC_18_20,CF_C_BPBO_DC_21_24,CF_C_BPBO_Tot,CF_C_FBO_DC_0_4,CF_C_FBO_DC_5_9,CF_C_FBO_DC_10_12,CF_C_FBO_DC_13_14,CF_C_FBO_DC_15_17,CF_C_FBO_DC_18_20,CF_C_FBO_DC_21_24,CF_C_FBO_Tot,CF_C_MBO_DC_0_4,CF_C_MBO_DC_5_9,CF_C_MBO_DC_10_12,CF_C_MBO_DC_13_14,CF_C_MBO_DC_15_17,CF_C_MBO_DC_18_20,CF_C_MBO_DC_21_24,CF_C_MBO_Tot,CF_C_BPBAu_DC_0_4,CF_C_BPBAu_DC_5_9,CF_C_BPBAu_DC_10_12,CF_C_BPBAu_DC_13_14,CF_C_BPBAu_DC_15_17,CF_C_BPBAu_DC_18_20,CF_C_BPBAu_DC_21_24,CF_C_BPBAu_Tot,CF_C_BP_NS_DC_0_4,CF_C_BP_NS_DC_5_9,CF_C_BP_NS_DC_10_12,CF_C_BP_NS_DC_13_14,CF_C_BP_NS_DC_15_17,CF_C_BP_NS_DC_18_20,CF_C_BP_NS_DC_21_24,CF_C_BP_NS_Tot,CF_C_Tot_DC_0_4,CF_C_Tot_DC_5_9,CF_C_Tot_DC_10_12,CF_C_Tot_DC_13_14,CF_C_Tot_DC_15_17,CF_C_Tot_DC_18_20,CF_C_Tot_DC_21_24,CF_C_Tot_Tot,One_PF_BPBO_DC_0_4,One_PF_BPBO_DC_5_9,One_PF_BPBO_DC_10_12,One_PF_BPBO_DC_13_14,One_PF_BPBO_DC_15_17,One_PF_BPBO_DC_18_20,One_PF_BPBO_DC_21_24,One_PF_BPBO_Tot,One_PF_FBO_DC_0_4,One_PF_FBO_DC_5_9,One_PF_FBO_DC_10_12,One_PF_FBO_DC_13_14,One_PF_FBO_DC_15_17,One_PF_FBO_DC_18_20,One_PF_FBO_DC_21_24,One_PF_FBO_Tot,One_PF_MBO_DC_0_4,One_PF_MBO_DC_5_9,One_PF_MBO_DC_10_12,One_PF_MBO_DC_13_14,One_PF_MBO_DC_15_17,One_PF_MBO_DC_18_20,One_PF_MBO_DC_21_24,One_PF_MBO_Tot,One_PF_BPBAu_DC_0_4,One_PF_BPBAu_DC_5_9,One_PF_BPBAu_DC_10_12,One_PF_BPBAu_DC_13_14,One_PF_BPBAu_DC_15_17,One_PF_BPBAu_DC_18_20,One_PF_BPBAu_DC_21_24,One_PF_BPBAu_Tot,One_PF_BP_NS_DC_0_4,One_PF_BP_NS_DC_5_9,One_PF_BP_NS_DC_10_12,One_PF_BP_NS_DC_13_14,One_PF_BP_NS_DC_15_17,One_PF_BP_NS_DC_18_20,One_PF_BP_NS_DC_21_24,One_PF_BP_NS_Tot,One_PF_Tot_DC_0_4,One_PF_Tot_DC_5_9,One_PF_Tot_DC_10_12,One_PF_Tot_DC_13_14,One_PF_Tot_DC_15_17,One_PF_Tot_DC_18_20,One_PF_Tot_DC_21_24,One_PF_Tot_Tot,Tot_DC_0_4,Tot_DC_5_9,Tot_DC_10_12,Tot_DC_13_14,Tot_DC_15_17,Tot_DC_18_20,Tot_DC_21_24,Tot_Tot
80101100101,3,0,0,0,0,0,0,3,3,7,5,0,0,0,0,11,0,3,5,0,0,0,0,7,8,10,0,5,3,0,0,40,0,0,0,0,0,0,0,0,11,17,12,10,8,3,6,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,8,11,20,16,10,8,3,3,70
80101100102,6,8,4,0,0,0,0,16,8,5,3,0,0,0,0,16,0,0,0,0,4,5,0,12,9,12,3,8,9,0,3,48,0,0,0,0,0,0,0,0,24,27,9,12,17,8,6,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,9,21,27,14,12,15,6,6,105
80101100103,15,11,9,4,3,0,0,41,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,12,10,5,4,3,0,0,39,0,0,0,0,0,0,0,0,23,20,16,10,6,0,0,91,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,0,0,9,0,0,0,0,0,0,0,0,0,6,3,6,4,0,3,20,23,26,23,15,9,0,6,112
80101100104,3,4,0,0,8,0,0,16,0,3,0,0,0,0,0,8,0,4,5,0,3,0,0,17,16,13,15,6,12,0,0,60,0,0,0,0,0,0,0,0,21,19,16,10,20,0,3,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,7,21,19,23,10,25,0,3,100
80101100105,0,3,0,0,3,0,0,11,7,7,3,0,0,0,0,23,4,0,4,4,3,0,0,15,7,22,24,8,7,0,0,66,0,0,0,0,0,0,0,0,22,33,28,12,17,0,4,117,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,13,0,0,0,0,0,0,0,0,6,5,4,5,10,4,0,23,21,36,34,20,20,5,4,141
80101100106,4,4,6,0,3,0,0,22,0,0,0,0,0,0,0,0,8,4,5,0,0,0,0,18,11,15,5,7,15,0,0,58,0,0,0,0,0,0,0,0,19,20,21,10,21,5,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,19,24,21,9,21,5,0,100
80101100201,11,4,4,0,0,0,0,13,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,4,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,16,10,4,5,0,0,0,33,0,3,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,0,0,3,0,0,6,0,0,0,0,0,0,0,0,5,7,3,0,7,4,0,24,23,17,3,5,3,4,0,54
80101100202,7,14,0,5,0,0,0,35,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,14,19,3,5,5,0,0,41,0,3,0,0,0,0,0,7,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,8,3,0,0,3,0,0,16,0,0,0,0,0,0,0,0,8,10,8,0,3,0,0,28,22,23,9,5,7,0,0,73
80101100203,21,0,3,0,0,0,0,28,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,5,5,4,3,0,0,0,0,14,0,0,0,0,0,0,0,0,27,9,7,0,0,0,0,49,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,12,30,11,7,5,0,0,0,60
80101100205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80101100208,9,5,3,0,4,0,0,29,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,5,7,4,0,0,0,0,0,11,0,0,0,0,0,0,0,0,20,14,0,0,3,0,0,45,0,3,0,0,0,0,0,11,0,0,4,0,0,0,0,6,0,0,0,0,0,0,0,4,0,6,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,14,4,7,3,0,0,26,22,21,5,9,7,0,0,73
