SA1_CODE_2021,Median_age_persons,Median_mortgage_repay_monthly,Median_tot_prsnl_inc_weekly,Median_rent_weekly,Median_tot_fam_inc_weekly,Average_num_psns_per_bedroom,Median_tot_hhd_inc_weekly,Average_household_size
80101101806,28,1820,1173,560,2520,0.9,2402,2.5
80101101807,29,2000,1341,552,2966,0.8,2455,2.4
80101101808,29,2076,1062,450,2437,1.1,2387,2.7
80101101809,27,2184,1074,530,2349,1.1,2323,2.7
80101101810,29,1950,1384,550,3214,0.9,3012,2.5
80101101902,31,1950,1267,500,2536,0.9,2309,2.7
80101101904,34,1950,1263,552,2799,0.8,2489,2.8
80101101905,34,1820,1253,450,2475,0.9,2203,2.6
80101101906,40,2167,1208,431,3208,0.8,2812,2.8
80101101907,39,2100,1140,485,2666,0.7,2374,2.8
80101101908,42,2370,1222,456,3083,0.8,2826,3
80101101909,38,2090,1083,313,2718,0.8,2288,2.8
80101101910,40,2123,1004,200,2480,0.7,2078,2.6
80101101911,39,2000,1088,425,2618,0.8,2250,2.7
80101101912,36,1950,1058,420,2360,0.8,2204,2.6
80101101913,35,1748,859,337,2312,0.9,2014,2.8
80101101914,30,1698,1125,451,2250,0.8,2143,2.6
80101101915,32,1950,1197,480,2382,0.8,2241,2.5
80101101916,31,1841,1325,475,2641,0.9,2382,2.6
80101101917,31,2000,1375,505,2890,0.9,2750,3
80101101918,34,2167,1264,555,2899,0.9,2968,3.1
80101101919,32,1762,1234,500,2539,0.8,2210,2.7
80101102001,40,2374,1258,465,3312,0.8,3027,2.9
80101102002,35,1975,1144,375,2514,0.8,1937,2.3
80101102003,39,2000,1016,381,2531,0.8,2178,2.6
80101102004,42,2210,1149,490,3156,0.7,2349,2.5
80101102005,33,1679,989,380,2166,0.9,1651,1.9
80101102006,38,2029,990,490,2424,0.8,2042,2.5
80101102007,42,2087,925,310,2250,0.8,1434,2.1
80101102008,36,2167,1158,525,2730,0.8,2517,2.6
80101102101,43,1950,994,355,2600,0.7,1966,2.4
80101102102,48,2217,1043,361,2818,0.7,2596,2.8
80101102103,42,2167,1125,490,2963,0.7,3015,2.8
80101102104,45,2130,1236,441,3187,0.7,2711,2.6
80101102105,40,2500,1341,450,3513,0.8,3325,3
80101102201,36,2383,1418,550,3321,0.7,3049,2.9
80101102202,44,1950,1375,550,3218,0.7,3156,2.9
80101102203,36,1733,1017,350,2374,0.8,1619,2.1
80101102204,37,2000,1037,405,2361,0.8,2135,2.6
80101102205,39,2105,1043,445,2687,0.8,2374,2.9
80101102206,37,2232,1202,321,3204,0.8,2833,3
80101102207,37,2214,978,400,2553,0.8,2402,3.1
80101102208,48,2338,1182,540,3285,0.7,3125,3
80101102301,37,2167,1073,468,2536,0.8,2215,2.7
80101102302,35,2050,1125,480,2666,0.8,2194,2.5
80101102303,34,2167,983,450,2444,0.9,2125,2.5
80101102304,36,1828,1018,420,1971,0.8,1730,2.1
80101102305,34,2086,939,395,2234,0.8,2117,2.6
80101102306,36,2139,1111,478,2714,0.8,2405,2.8
80101102307,81,1421,642,420,1444,0.6,872,1.5
80101102401,36,1846,1062,450,2478,0.7,1857,2.3
80101102402,35,2080,1037,390,2380,0.8,1898,2.5
80101102403,35,1950,1070,446,2527,0.8,2131,2.6
80101102404,35,2108,1070,365,2843,0.9,2395,2.9
80101102405,37,2383,1229,450,2874,0.8,2422,2.9
80101102406,36,1916,1080,460,2355,0.8,2194,2.6
80101102407,33,1625,922,320,1843,1,1428,2.1
80101102408,36,1881,939,393,2338,0.9,2025,2.6
80101102501,36,1950,971,127,2661,0.8,1791,2.5
80101102502,39,2210,1108,480,2821,0.7,2374,2.7
80101102503,40,2000,1149,420,2706,0.8,2510,2.7
80101102504,38,2123,1112,300,2522,0.8,2110,2.6
