SA1_CODE_2021,F_300_399_15_19_yrs,F_300_399_20_24_yrs,F_300_399_25_34_yrs,F_300_399_35_44_yrs,F_300_399_45_54_yrs,F_300_399_55_64_yrs,F_300_399_65_74_yrs,F_300_399_75_84_yrs,F_300_399_85ov,F_300_399_Tot,F_400_499_15_19_yrs,F_400_499_20_24_yrs,F_400_499_25_34_yrs,F_400_499_35_44_yrs,F_400_499_45_54_yrs,F_400_499_55_64_yrs,F_400_499_65_74_yrs,F_400_499_75_84_yrs,F_400_499_85ov,F_400_499_Tot,F_500_649_15_19_yrs,F_500_649_20_24_yrs,F_500_649_25_34_yrs,F_500_649_35_44_yrs,F_500_649_45_54_yrs,F_500_649_55_64_yrs,F_500_649_65_74_yrs,F_500_649_75_84_yrs,F_500_649_85ov,F_500_649_Tot,F_650_799_15_19_yrs,F_650_799_20_24_yrs,F_650_799_25_34_yrs,F_650_799_35_44_yrs,F_650_799_45_54_yrs,F_650_799_55_64_yrs,F_650_799_65_74_yrs,F_650_799_75_84_yrs,F_650_799_85ov,F_650_799_Tot,F_800_999_15_19_yrs,F_800_999_20_24_yrs,F_800_999_25_34_yrs,F_800_999_35_44_yrs,F_800_999_45_54_yrs,F_800_999_55_64_yrs,F_800_999_65_74_yrs,F_800_999_75_84_yrs,F_800_999_85ov,F_800_999_Tot,F_1000_1249_15_19_yrs,F_1000_1249_20_24_yrs,F_1000_1249_25_34_yrs,F_1000_1249_35_44_yrs,F_1000_1249_45_54_yrs,F_1000_1249_55_64_yrs,F_1000_1249_65_74_yrs,F_1000_1249_75_84_yrs,F_1000_1249_85ov,F_1000_1249_Tot,F_1250_1499_15_19_yrs,F_1250_1499_20_24_yrs,F_1250_1499_25_34_yrs,F_1250_1499_35_44_yrs,F_1250_1499_45_54_yrs,F_1250_1499_55_64_yrs,F_1250_1499_65_74_yrs,F_1250_1499_75_84_yrs,F_1250_1499_85ov,F_1250_1499_Tot,F_1500_1749_15_19_yrs,F_1500_1749_20_24_yrs,F_1500_1749_25_34_yrs,F_1500_1749_35_44_yrs,F_1500_1749_45_54_yrs,F_1500_1749_55_64_yrs,F_1500_1749_65_74_yrs,F_1500_1749_75_84_yrs,F_1500_1749_85ov,F_1500_1749_Tot,F_1750_1999_15_19_yrs,F_1750_1999_20_24_yrs,F_1750_1999_25_34_yrs,F_1750_1999_35_44_yrs,F_1750_1999_45_54_yrs,F_1750_1999_55_64_yrs,F_1750_1999_65_74_yrs,F_1750_1999_75_84_yrs,F_1750_1999_85ov,F_1750_1999_Tot,F_2000_2999_15_19_yrs,F_2000_2999_20_24_yrs,F_2000_2999_25_34_yrs,F_2000_2999_35_44_yrs,F_2000_2999_45_54_yrs,F_2000_2999_55_64_yrs,F_2000_2999_65_74_yrs,F_2000_2999_75_84_yrs,F_2000_2999_85ov,F_2000_2999_Tot,F_3000_3499_15_19_yrs,F_3000_3499_20_24_yrs,F_3000_3499_25_34_yrs,F_3000_3499_35_44_yrs,F_3000_3499_45_54_yrs,F_3000_3499_55_64_yrs,F_3000_3499_65_74_yrs,F_3000_3499_75_84_yrs,F_3000_3499_85ov,F_3000_3499_Tot,F_3500_more_15_19_yrs,F_3500_more_20_24_yrs,F_3500_more_25_34_yrs,F_3500_more_35_44_yrs,F_3500_more_45_54_yrs,F_3500_more_55_64_yrs,F_3500_more_65_74_yrs,F_3500_more_75_84_yrs,F_3500_more_85ov,F_3500_more_Tot,F_PI_NS_15_19_yrs,F_PI_NS_ns_20_24_yrs,F_PI_NS_ns_25_34_yrs,F_PI_NS_ns_35_44_yrs,F_PI_NS_ns_45_54_yrs,F_PI_NS_ns_55_64_yrs,F_PI_NS_ns_65_74_yrs,F_PI_NS_ns_75_84_yrs,F_PI_NS_ns_85_yrs_ovr,F_PI_NS_ns_Tot,F_Tot_15_19_yrs,F_Tot_20_24_yrs,F_Tot_25_34_yrs,F_Tot_35_44_yrs,F_Tot_45_54_yrs,F_Tot_55_64_yrs,F_Tot_65_74_yrs,F_Tot_75_84_yrs,F_Tot_85ov,F_Tot_Tot,P_Neg_Nil_income_15_19_yrs,P_Neg_Nil_income_20_24_yrs,P_Neg_Nil_income_25_34_yrs,P_Neg_Nil_income_35_44_yrs,P_Neg_Nil_income_45_54_yrs,P_Neg_Nil_income_55_64_yrs,P_Neg_Nil_income_65_74_yrs,P_Neg_Nil_income_75_84_yrs,P_Negtve_Nil_incme_85_yrs_ovr,P_Neg_Nil_income_Tot,P_1_149_15_19_yrs,P_1_149_20_24_yrs,P_1_149_25_34_yrs,P_1_149_35_44_yrs,P_1_149_45_54_yrs,P_1_149_55_64_yrs,P_1_149_65_74_yrs,P_1_149_75_84_yrs,P_1_149_85ov,P_1_149_Tot,P_150_299_15_19_yrs,P_150_299_20_24_yrs,P_150_299_25_34_yrs,P_150_299_35_44_yrs,P_150_299_45_54_yrs,P_150_299_55_64_yrs,P_150_299_65_74_yrs,P_150_299_75_84_yrs,P_150_299_85ov,P_150_299_Tot,P_300_399_15_19_yrs,P_300_399_20_24_yrs,P_300_399_25_34_yrs,P_300_399_35_44_yrs,P_300_399_45_54_yrs,P_300_399_55_64_yrs,P_300_399_65_74_yrs,P_300_399_75_84_yrs,P_300_399_85ov,P_300_399_Tot,P_400_499_15_19_yrs,P_400_499_20_24_yrs,P_400_499_25_34_yrs,P_400_499_35_44_yrs,P_400_499_45_54_yrs,P_400_499_55_64_yrs,P_400_499_65_74_yrs,P_400_499_75_84_yrs,P_400_499_85ov,P_400_499_Tot,P_500_649_15_19_yrs,P_500_649_20_24_yrs,P_500_649_25_34_yrs,P_500_649_35_44_yrs,P_500_649_45_54_yrs,P_500_649_55_64_yrs,P_500_649_65_74_yrs,P_500_649_75_84_yrs,P_500_649_85ov,P_500_649_Tot
80101100101,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,6,0,5,0,3,0,0,0,4,4,0,0,12,0,0,4,0,0,0,3,4,0,11,0,0,4,0,3,0,0,0,0,8,0,0,0,3,0,0,0,0,0,8,0,0,0,0,0,3,0,0,0,8,0,0,0,0,0,3,6,0,0,9,0,0,0,12,6,4,0,0,0,18,0,0,0,3,0,0,0,0,0,3,0,0,0,6,0,4,0,0,0,5,0,0,0,0,0,0,0,0,0,4,4,5,11,21,17,24,18,17,5,119,4,0,0,0,0,0,0,0,0,11,0,0,0,0,0,4,0,0,0,7,4,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,4,0,0,7,0,0,0,0,3,0,0,0,0,7,0,0,0,0,0,0,4,6,0,16
80101100102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,4,0,0,8,0,0,3,0,0,0,0,3,0,13,0,0,3,5,0,0,6,0,0,14,0,0,3,5,4,0,3,0,0,16,0,0,0,0,3,3,0,0,0,13,0,0,0,12,12,3,3,0,0,29,0,0,0,5,0,0,0,0,0,4,0,0,0,6,8,0,0,0,0,9,0,0,0,0,0,0,0,0,0,9,14,11,15,28,29,12,21,10,3,147,10,4,0,5,0,0,0,0,0,23,5,3,0,0,0,0,4,0,0,14,5,0,0,0,0,3,0,0,0,13,0,0,0,0,0,0,0,0,0,7,3,4,6,0,0,0,0,0,0,8,0,3,4,0,5,0,0,0,0,13
80101100103,0,0,3,6,4,0,0,0,0,8,0,8,3,0,3,0,0,0,0,13,0,0,3,0,0,0,3,0,0,16,0,4,0,3,0,0,0,0,6,13,0,3,5,4,0,0,0,3,0,19,0,0,4,5,3,0,6,3,0,20,0,3,5,3,0,0,0,0,0,21,0,0,4,0,5,0,0,0,0,9,0,0,4,0,0,0,0,0,0,3,0,0,0,5,7,4,0,0,0,20,0,0,0,0,3,0,0,0,0,7,0,0,0,0,4,4,0,0,0,7,0,0,0,0,0,0,0,0,0,5,9,18,38,33,33,18,17,14,7,179,0,0,3,0,3,3,0,0,0,16,5,0,0,0,0,0,0,0,0,8,3,6,0,6,0,0,0,3,4,14,0,0,3,6,4,0,0,3,0,10,0,4,5,0,3,0,0,4,0,14,0,3,3,0,0,0,6,3,0,21
80101100104,0,0,0,0,0,0,0,0,0,7,0,0,0,3,0,0,3,6,0,9,0,0,0,0,0,5,0,4,0,10,0,0,3,0,0,0,3,0,0,12,0,0,4,0,0,4,0,3,0,7,0,0,3,0,0,4,4,4,0,17,0,0,0,4,0,5,6,0,0,14,0,0,0,5,0,7,0,3,0,13,0,0,0,5,3,4,0,0,0,12,0,0,0,11,6,6,0,0,0,23,0,0,0,0,0,3,0,0,0,13,0,0,0,4,5,4,0,0,0,18,0,0,0,0,0,0,0,0,0,3,19,11,21,38,33,44,21,19,0,202,11,0,3,0,4,4,0,0,0,24,10,6,0,0,0,0,0,3,0,17,4,3,4,0,0,0,0,0,0,14,0,4,3,0,0,0,0,0,0,10,0,0,4,3,0,0,3,3,0,18,0,0,3,0,0,5,0,4,0,15
80101100105,0,3,0,0,0,0,0,0,0,15,0,0,0,0,0,3,4,3,0,13,0,0,0,4,0,5,0,5,4,18,0,0,3,4,0,3,3,0,0,14,6,3,0,0,0,5,5,0,0,15,0,3,3,3,4,5,0,4,0,25,0,0,0,4,0,6,7,0,0,17,0,0,4,3,9,0,4,0,0,21,0,0,3,5,4,3,4,0,0,16,0,0,0,8,12,3,4,0,0,31,0,0,0,6,0,0,0,0,0,4,0,0,0,4,5,0,0,0,0,9,0,0,0,0,0,0,7,0,0,10,22,11,20,37,41,47,44,21,12,253,12,3,0,3,4,5,0,4,0,38,7,4,0,0,0,0,0,0,0,19,4,4,0,0,0,0,0,0,0,15,0,4,0,0,0,0,4,0,0,11,0,6,3,0,0,3,4,6,0,24,0,0,7,4,0,4,0,5,4,24
80101100106,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,11,0,0,0,0,0,3,0,3,0,6,0,0,0,5,0,0,0,0,0,10,0,6,0,0,0,0,0,0,3,9,0,0,0,0,3,8,3,3,0,23,0,0,5,5,0,4,0,0,0,14,0,0,3,3,3,3,0,0,0,13,0,0,3,3,0,3,0,0,0,16,0,0,3,12,15,7,0,0,0,37,0,0,0,0,0,3,0,0,0,4,0,0,0,3,3,5,0,0,0,12,0,3,0,4,0,0,0,0,0,12,12,11,22,37,25,37,25,20,8,199,19,0,0,0,3,0,6,0,0,25,4,0,0,0,3,0,4,0,0,10,3,0,0,0,0,0,0,5,0,13,0,3,0,0,0,0,3,0,0,11,0,0,3,0,0,4,0,0,3,10,0,4,0,0,0,3,0,6,0,14
80101100201,0,8,0,4,0,3,0,0,0,16,0,0,0,0,4,0,4,8,0,18,0,3,3,0,0,5,0,0,0,19,0,0,0,3,0,3,0,0,0,21,0,0,11,0,0,3,0,0,0,19,0,0,7,0,6,0,0,0,0,11,0,0,8,7,0,0,0,0,0,12,0,0,6,3,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,3,0,0,4,6,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,3,0,5,0,0,0,0,8,10,15,59,26,27,28,13,12,0,182,3,10,13,5,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,4,3,4,3,3,3,5,0,0,0,25,4,13,3,0,3,0,0,4,0,36,0,3,8,0,3,3,4,8,0,29,0,6,7,6,0,4,0,0,0,26
80101100202,0,3,0,0,0,0,5,0,0,10,0,0,4,0,0,0,3,0,0,15,0,0,4,4,0,0,3,0,3,16,0,4,6,3,0,0,3,0,0,21,0,0,10,0,4,4,4,0,0,18,0,0,5,9,0,0,0,0,0,12,0,0,4,0,0,0,0,0,0,4,0,0,7,4,0,0,0,0,0,13,0,0,4,3,0,0,0,0,0,6,0,0,4,0,4,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,8,6,17,50,42,16,11,14,10,7,157,3,0,0,9,0,0,0,0,0,15,4,0,0,0,0,0,0,0,0,5,0,0,0,6,0,0,0,0,0,11,0,3,0,0,0,4,4,0,0,12,0,0,7,5,0,0,0,4,0,27,0,5,7,3,0,0,3,0,3,28
80101100203,0,0,0,3,0,0,5,0,0,14,0,7,3,0,0,0,0,0,0,16,0,14,12,7,0,0,0,0,0,30,0,3,13,5,0,0,0,3,0,31,0,6,25,0,0,3,0,0,0,45,0,3,18,3,3,0,0,0,0,27,0,6,12,6,0,0,0,0,0,31,0,4,17,7,0,0,0,0,0,31,0,3,18,4,0,3,0,0,0,31,0,0,13,12,4,4,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,3,9,0,0,0,0,0,0,17,3,60,157,54,23,26,8,12,0,342,0,8,10,6,5,0,0,0,0,24,0,0,0,0,0,0,0,0,0,9,0,5,0,0,0,0,0,0,0,17,0,0,3,6,4,0,5,0,0,21,0,11,6,0,0,0,5,3,0,25,0,15,28,7,0,0,3,0,0,49
80101100205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
