SA1_CODE_2021,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
80101100101,26,58,0,0,0,11,0,5,25,92,25,106,0,12,5,13,4,10,12,37,36,146,0,0,0,4,0,0,5,8,5,8,0,0,0,0,4,3,4,4,11,13,0,0,73,218
80101100102,30,60,0,0,9,26,3,6,33,125,37,159,10,27,10,35,3,15,20,79,60,235,0,0,0,0,0,0,5,13,3,15,0,0,0,6,4,3,3,12,12,24,0,3,98,315
80101100103,39,79,0,0,7,29,0,0,35,150,42,170,4,9,0,7,5,6,7,26,51,204,0,0,3,8,0,6,8,14,12,24,0,0,6,10,3,10,9,17,22,41,0,0,106,326
80101100104,58,112,0,0,5,31,0,3,36,137,46,171,0,13,10,37,12,37,23,86,71,255,0,0,0,0,0,0,0,3,0,3,3,5,3,6,8,12,8,21,11,24,0,0,140,390
80101100105,66,129,0,0,5,28,0,6,40,162,48,194,4,18,9,29,12,41,22,81,69,275,0,0,4,10,0,9,3,13,11,32,3,11,4,4,7,18,14,29,23,59,0,7,160,475
80101100106,61,114,0,0,4,28,0,0,40,143,46,178,6,14,3,21,8,26,18,62,66,243,0,0,0,0,0,0,5,6,5,6,0,0,0,0,4,11,4,11,11,18,4,6,134,377
80101100201,39,84,0,0,0,0,0,0,24,78,24,78,0,0,0,3,0,3,0,10,24,83,0,0,0,9,0,4,11,24,9,30,0,0,3,13,14,19,15,33,26,66,3,9,93,240
80101100202,29,61,0,0,4,17,0,0,23,78,27,92,0,0,0,3,0,4,5,13,28,99,0,0,0,3,0,0,21,39,21,46,0,0,0,0,7,18,13,24,30,70,3,4,93,243
80101100203,123,244,0,0,0,0,0,4,36,123,36,126,0,0,0,5,0,5,3,8,37,129,0,0,0,0,0,0,15,21,15,21,0,0,0,4,7,13,11,17,18,42,10,20,190,433
80101100205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
