SA1_CODE_2021,M_0_cond_0_14,M_0_cond_15_24,M_0_cond_25_34,M_0_cond_35_44,M_0_cond_45_54,M_0_cond_55_64,M_0_cond_65_74,M_0_cond_75_84,M_0_cond_85_over,M_0_cond_Tot,M_1_cond_0_14,M_1_cond_15_24,M_1_cond_25_34,M_1_cond_35_44,M_1_cond_45_54,M_1_cond_55_64,M_1_cond_65_74,M_1_cond_75_84,M_1_cond_85_over,M_1_cond_Tot,M_2_cond_0_14,M_2_cond_15_24,M_2_cond_25_34,M_2_cond_35_44,M_2_cond_45_54,M_2_cond_55_64,M_2_cond_65_74,M_2_cond_75_84,M_2_cond_85_over,M_2_cond_Tot,M_3_or_mo_cond_0_14,M_3_or_mo_cond_15_24,M_3_or_mo_cond_25_34,M_3_or_mo_cond_35_44,M_3_or_mo_cond_45_54,M_3_or_mo_cond_55_64,M_3_or_mo_cond_65_74,M_3_or_mo_cond_75_84,M_3_or_mo_cond_85_over,M_3_or_mo_cond_Tot,M_1m_cond_Tot_0_14,M_1m_cond_Tot_15_24,M_1m_cond_Tot_25_34,M_1m_cond_Tot_35_44,M_1m_cond_Tot_45_54,M_1m_cond_Tot_55_64,M_1m_cond_Tot_65_74,M_1m_cond_Tot_75_84,M_1m_cond_Tot_85_over,M_1m_cond_Tot_Tot,M_cond_NS_0_14,M_cond_NS_15_24,M_cond_NS_25_34,M_cond_NS_35_44,M_cond_NS_45_54,M_cond_NS_55_64,M_cond_NS_65_74,M_cond_NS_75_84,M_cond_NS_85_over,M_cond_NS_Tot,M_Tot_0_14,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85_over,M_Tot_Tot,F_0_cond_0_14,F_0_cond_15_24,F_0_cond_25_34,F_0_cond_35_44,F_0_cond_45_54,F_0_cond_55_64,F_0_cond_65_74,F_0_cond_75_84,F_0_cond_85_over,F_0_cond_Tot,F_1_cond_0_14,F_1_cond_15_24,F_1_cond_25_34,F_1_cond_35_44,F_1_cond_45_54,F_1_cond_55_64,F_1_cond_65_74,F_1_cond_75_84,F_1_cond_85_over,F_1_cond_Tot,F_2_cond_0_14,F_2_cond_15_24,F_2_cond_25_34,F_2_cond_35_44,F_2_cond_45_54,F_2_cond_55_64,F_2_cond_65_74,F_2_cond_75_84,F_2_cond_85_over,F_2_cond_Tot,F_3_or_mo_cond_0_14,F_3_or_mo_cond_15_24,F_3_or_mo_cond_25_34,F_3_or_mo_cond_35_44,F_3_or_mo_cond_45_54,F_3_or_mo_cond_55_64,F_3_or_mo_cond_65_74,F_3_or_mo_cond_75_84,F_3_or_mo_cond_85_over,F_3_or_mo_cond_Tot,F_1m_cond_Tot_0_14,F_1m_cond_Tot_15_24,F_1m_cond_Tot_25_34,F_1m_cond_Tot_35_44,F_1m_cond_Tot_45_54,F_1m_cond_Tot_55_64,F_1m_cond_Tot_65_74,F_1m_cond_Tot_75_84,F_1m_cond_Tot_85_over,F_1m_cond_Tot_Tot,F_cond_NS_0_14,F_cond_NS_15_24,F_cond_NS_25_34,F_cond_NS_35_44,F_cond_NS_45_54,F_cond_NS_55_64,F_cond_NS_65_74,F_cond_NS_75_84,F_cond_NS_85_over,F_cond_NS_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85_over,F_Tot_Tot,P_0_cond_0_14,P_0_cond_15_24,P_0_cond_25_34,P_0_cond_35_44,P_0_cond_45_54,P_0_cond_55_64,P_0_cond_65_74,P_0_cond_75_84,P_0_cond_85_over,P_0_cond_Tot,P_1_cond_0_14,P_1_cond_15_24,P_1_cond_25_34,P_1_cond_35_44,P_1_cond_45_54,P_1_cond_55_64,P_1_cond_65_74,P_1_cond_75_84,P_1_cond_85_over,P_1_cond_Tot,P_2_cond_0_14,P_2_cond_15_24,P_2_cond_25_34,P_2_cond_35_44,P_2_cond_45_54,P_2_cond_55_64,P_2_cond_65_74,P_2_cond_75_84,P_2_cond_85_over,P_2_cond_Tot,P_3_or_mo_cond_0_14,P_3_or_mo_cond_15_24,P_3_or_mo_cond_25_34,P_3_or_mo_cond_35_44,P_3_or_mo_cond_45_54,P_3_or_mo_cond_55_64,P_3_or_mo_cond_65_74,P_3_or_mo_cond_75_84,P_3_or_mo_cond_85_over,P_3_or_mo_cond_Tot,P_1m_cond_Tot_0_14,P_1m_cond_Tot_15_24,P_1m_cond_Tot_25_34,P_1m_cond_Tot_35_44,P_1m_cond_Tot_45_54,P_1m_cond_Tot_55_64,P_1m_cond_Tot_65_74,P_1m_cond_Tot_75_84,P_1m_cond_Tot_85_over,P_1m_cond_Tot_Tot,P_cond_NS_0_14,P_cond_NS_15_24,P_cond_NS_25_34,P_cond_NS_35_44,P_cond_NS_45_54,P_cond_NS_55_64,P_cond_NS_65_74,P_cond_NS_75_84,P_cond_NS_85_over,P_cond_NS_Tot
80101100209,16,24,27,10,6,9,5,0,0,92,0,3,10,8,8,5,0,0,0,27,0,0,5,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,6,0,3,8,12,8,6,4,0,0,34,0,4,4,0,4,0,0,0,0,12,16,26,37,24,16,16,8,0,0,139,20,10,35,15,10,3,6,0,0,96,0,3,9,6,0,0,0,0,0,24,0,0,0,0,4,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,8,14,8,3,3,0,0,0,31,3,0,3,0,0,0,0,0,0,8,23,17,50,19,14,8,10,0,0,134,33,28,60,26,20,12,7,0,0,190,0,12,18,14,3,5,0,0,0,49,0,0,6,4,4,0,0,0,0,15,0,0,0,0,0,5,0,0,0,5,0,8,21,16,9,10,4,0,0,71,4,4,9,0,4,0,5,0,0,20
80101100210,15,13,28,18,14,8,9,3,0,113,0,0,4,5,4,3,4,4,4,33,0,4,3,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,6,0,7,10,5,8,9,6,11,6,56,0,0,0,4,3,0,0,0,0,12,16,16,40,30,22,16,16,15,6,177,14,15,22,22,13,8,7,4,0,115,3,4,10,6,5,5,8,4,0,46,0,0,0,0,0,3,5,5,0,14,0,0,0,0,0,0,0,0,0,4,3,8,13,4,3,11,9,6,0,65,5,3,5,4,0,0,3,0,0,20,27,23,42,33,23,19,19,10,0,199,32,24,49,42,30,16,13,7,0,222,3,13,19,8,12,12,10,13,4,80,0,4,3,0,0,5,7,5,0,22,0,0,0,0,0,0,0,6,0,12,3,16,21,15,10,14,16,15,3,117,4,3,11,6,5,3,3,0,0,28
80101100211,34,30,85,43,15,10,5,0,0,220,5,9,8,9,15,0,5,0,0,53,0,0,3,3,0,0,0,0,0,11,0,0,0,0,0,0,4,0,0,5,5,10,16,9,17,10,9,3,0,70,3,8,3,0,0,0,0,0,0,16,38,47,97,53,34,20,14,3,0,304,38,32,55,24,11,6,6,6,0,181,0,8,19,10,4,0,6,0,0,52,0,3,7,3,0,0,3,0,0,11,0,0,4,0,5,4,0,3,4,13,0,14,27,10,7,4,5,4,3,76,0,5,3,6,0,3,0,3,0,19,42,49,90,40,20,16,16,9,3,278,71,64,140,64,28,20,10,6,0,396,0,16,32,12,12,3,12,0,0,101,0,4,12,4,0,0,3,0,0,26,0,0,4,0,6,4,4,3,4,16,0,24,45,21,20,16,15,3,3,142,5,12,4,11,4,4,0,3,0,38
80101100212,20,13,22,13,3,7,5,16,7,113,3,3,0,5,4,4,5,11,19,52,0,0,0,0,0,0,3,11,6,27,0,0,0,0,0,0,4,9,13,22,3,8,0,5,0,4,10,30,39,96,0,0,0,0,0,0,0,3,6,8,23,15,26,18,10,7,16,44,48,222,28,18,25,18,5,9,12,18,16,134,0,0,3,5,0,0,7,20,32,74,0,0,0,0,0,0,4,21,24,54,0,0,0,0,0,0,3,15,20,40,0,0,3,5,4,0,22,58,71,160,0,0,0,0,0,3,0,3,7,24,25,18,23,23,10,10,28,74,97,325,48,27,46,31,11,13,20,29,21,247,3,4,3,10,5,6,18,35,50,122,0,4,0,0,3,0,4,29,29,77,0,0,0,0,0,0,6,21,29,59,3,3,3,10,4,7,29,85,110,260,4,4,0,0,0,7,0,8,13,32
80101100213,0,3,0,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,8,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,10,0,8,0,4,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
80101100215,9,35,127,36,12,3,6,0,0,216,0,6,17,8,0,0,0,0,0,35,0,0,5,0,0,4,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,9,21,8,3,3,0,3,0,50,0,0,15,0,0,0,0,0,0,17,9,43,159,39,14,7,8,3,0,276,12,43,106,29,9,8,3,0,0,210,0,8,13,3,3,0,3,3,0,40,0,3,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,12,13,3,3,0,3,3,0,46,0,0,11,0,0,0,0,0,0,11,12,57,129,32,12,7,4,5,0,268,23,76,227,62,19,7,6,0,0,423,0,16,30,15,3,0,3,6,0,75,0,3,6,0,0,4,0,0,0,16,0,0,0,0,0,0,0,0,0,5,0,22,40,15,8,6,4,8,0,94,0,0,21,0,0,0,0,0,0,28
80101100216,44,147,317,44,15,7,6,0,0,584,0,16,27,7,6,5,0,0,0,67,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,19,27,8,6,5,0,0,0,78,5,15,35,0,10,0,0,0,0,70,46,186,380,58,34,16,4,0,0,729,45,154,316,36,12,6,3,0,0,578,0,26,28,9,6,5,3,0,0,82,0,4,5,0,0,0,0,0,0,12,0,5,0,0,0,0,0,0,0,7,0,41,35,10,8,11,4,0,0,107,3,12,29,0,5,0,0,0,0,51,47,206,384,42,24,18,12,3,0,736,92,302,637,85,27,12,9,0,0,1166,0,46,55,14,13,14,5,3,0,149,0,9,5,0,0,0,0,0,0,20,0,4,7,4,0,0,0,0,0,14,0,58,66,21,16,14,7,4,0,181,6,31,64,0,14,0,0,0,0,121
80101100217,12,21,67,22,10,9,3,0,0,132,0,0,15,3,3,4,3,0,0,32,0,0,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,20,3,3,4,7,0,0,37,0,0,5,0,0,3,0,0,0,19,9,21,93,26,13,14,8,3,0,187,8,27,55,18,12,4,6,3,0,122,0,8,16,8,0,3,0,0,0,43,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,3,0,10,14,8,0,6,7,4,0,50,0,5,5,0,0,0,0,0,0,10,8,38,78,28,14,10,5,3,0,185,15,49,121,41,17,12,9,5,0,255,0,13,31,11,6,6,9,0,0,75,0,4,3,0,0,0,0,0,0,10,0,0,0,0,0,0,0,4,0,9,0,12,31,11,8,11,15,6,0,93,0,0,13,6,0,4,0,0,0,29
80101100218,13,33,101,40,11,5,3,0,0,208,0,4,10,7,10,4,3,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,17,7,9,4,3,0,0,43,3,3,3,11,0,0,0,0,0,22,22,43,124,53,17,10,6,0,0,274,15,33,93,33,13,8,0,0,0,196,0,6,23,9,0,0,0,0,0,51,0,3,3,0,4,0,0,0,0,11,0,4,0,0,0,0,3,0,0,4,0,9,27,9,4,3,6,0,0,70,3,3,8,0,3,0,0,0,0,13,19,42,124,45,25,14,11,0,0,274,29,69,198,69,25,12,4,0,0,400,0,12,40,17,9,7,5,0,0,90,0,3,7,0,4,0,0,0,0,12,0,4,0,0,0,0,3,0,0,7,0,13,42,17,15,7,8,0,0,112,9,8,11,13,5,0,0,0,0,38
80101100219,8,23,82,26,8,6,0,0,0,158,0,3,23,6,0,0,0,0,0,32,0,0,4,0,0,3,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,3,28,6,0,0,0,0,0,40,4,0,4,4,0,0,0,0,0,11,15,33,111,39,9,10,0,0,0,214,6,17,59,28,8,3,0,0,0,123,0,4,21,3,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,4,20,6,0,0,3,0,0,41,0,0,5,3,0,0,0,0,0,5,13,24,90,30,5,3,3,3,0,170,21,40,145,51,16,5,0,0,0,282,0,9,42,3,3,0,0,0,0,63,0,0,3,0,0,3,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,9,54,13,3,5,4,0,0,83,5,3,6,8,0,0,0,0,0,21
