SA1_CODE_2021,Age_yr_0_M,Age_yr_0_F,Age_yr_0_P,Age_yr_1_M,Age_yr_1_F,Age_yr_1_P,Age_yr_2_M,Age_yr_2_F,Age_yr_2_P,Age_yr_3_M,Age_yr_3_F,Age_yr_3_P,Age_yr_4_M,Age_yr_4_F,Age_yr_4_P,Age_yr_0_4_M,Age_yr_0_4_F,Age_yr_0_4_P,Age_yr_5_M,Age_yr_5_F,Age_yr_5_P,Age_yr_6_M,Age_yr_6_F,Age_yr_6_P,Age_yr_7_M,Age_yr_7_F,Age_yr_7_P,Age_yr_8_M,Age_yr_8_F,Age_yr_8_P,Age_yr_9_M,Age_yr_9_F,Age_yr_9_P,Age_yr_5_9_M,Age_yr_5_9_F,Age_yr_5_9_P,Age_yr_10_M,Age_yr_10_F,Age_yr_10_P,Age_yr_11_M,Age_yr_11_F,Age_yr_11_P,Age_yr_12_M,Age_yr_12_F,Age_yr_12_P,Age_yr_13_M,Age_yr_13_F,Age_yr_13_P,Age_yr_14_M,Age_yr_14_F,Age_yr_14_P,Age_yr_10_14_M,Age_yr_10_14_F,Age_yr_10_14_P,Age_yr_15_M,Age_yr_15_F,Age_yr_15_P,Age_yr_16_M,Age_yr_16_F,Age_yr_16_P,Age_yr_17_M,Age_yr_17_F,Age_yr_17_P,Age_yr_18_M,Age_yr_18_F,Age_yr_18_P,Age_yr_19_M,Age_yr_19_F,Age_yr_19_P,Age_yr_15_19_M,Age_yr_15_19_F,Age_yr_15_19_P,Age_yr_20_M,Age_yr_20_F,Age_yr_20_P,Age_yr_21_M,Age_yr_21_F,Age_yr_21_P,Age_yr_22_M,Age_yr_22_F,Age_yr_22_P,Age_yr_23_M,Age_yr_23_F,Age_yr_23_P,Age_yr_24_M,Age_yr_24_F,Age_yr_24_P,Age_yr_20_24_M,Age_yr_20_24_F,Age_yr_20_24_P,Age_yr_25_M,Age_yr_25_F,Age_yr_25_P,Age_yr_26_M,Age_yr_26_F,Age_yr_26_P,Age_yr_27_M,Age_yr_27_F,Age_yr_27_P,Age_yr_28_M,Age_yr_28_F,Age_yr_28_P,Age_yr_29_M,Age_yr_29_F,Age_yr_29_P,Age_yr_25_29_M,Age_yr_25_29_F,Age_yr_25_29_P,Age_yr_30_M,Age_yr_30_F,Age_yr_30_P,Age_yr_31_M,Age_yr_31_F,Age_yr_31_P,Age_yr_32_M,Age_yr_32_F,Age_yr_32_P,Age_yr_33_M,Age_yr_33_F,Age_yr_33_P,Age_yr_34_M,Age_yr_34_F,Age_yr_34_P,Age_yr_30_34_M,Age_yr_30_34_F,Age_yr_30_34_P,Age_yr_35_M,Age_yr_35_F,Age_yr_35_P,Age_yr_36_M,Age_yr_36_F,Age_yr_36_P,Age_yr_37_M,Age_yr_37_F,Age_yr_37_P,Age_yr_38_M,Age_yr_38_F,Age_yr_38_P,Age_yr_39_M,Age_yr_39_F,Age_yr_39_P,Age_yr_35_39_M,Age_yr_35_39_F,Age_yr_35_39_P,Age_yr_40_M,Age_yr_40_F,Age_yr_40_P,Age_yr_41_M,Age_yr_41_F,Age_yr_41_P,Age_yr_42_M,Age_yr_42_F,Age_yr_42_P,Age_yr_43_M,Age_yr_43_F,Age_yr_43_P,Age_yr_44_M,Age_yr_44_F,Age_yr_44_P,Age_yr_40_44_M,Age_yr_40_44_F,Age_yr_40_44_P,Age_yr_45_M,Age_yr_45_F,Age_yr_45_P,Age_yr_46_M,Age_yr_46_F,Age_yr_46_P,Age_yr_47_M,Age_yr_47_F,Age_yr_47_P,Age_yr_48_M,Age_yr_48_F,Age_yr_48_P,Age_yr_49_M,Age_yr_49_F,Age_yr_49_P,Age_yr_45_49_M,Age_yr_45_49_F,Age_yr_45_49_P,Age_yr_50_M,Age_yr_50_F,Age_yr_50_P,Age_yr_51_M,Age_yr_51_F,Age_yr_51_P,Age_yr_52_M,Age_yr_52_F,Age_yr_52_P,Age_yr_53_M,Age_yr_53_F,Age_yr_53_P,Age_yr_54_M,Age_yr_54_F,Age_yr_54_P,Age_yr_50_54_M,Age_yr_50_54_F,Age_yr_50_54_P,Age_yr_55_M,Age_yr_55_F
80104112107,11,11,25,7,3,6,7,10,13,9,0,10,0,4,6,35,31,69,11,8,20,0,3,9,6,4,7,4,3,4,3,0,10,25,16,45,3,5,8,3,3,6,0,0,3,0,0,0,0,0,0,6,9,18,4,6,10,4,0,4,0,0,0,0,3,3,5,4,8,11,15,23,0,4,5,0,4,7,4,3,10,6,3,10,4,7,9,14,16,29,6,6,9,5,10,19,5,17,21,11,16,28,13,8,18,37,48,86,14,10,24,7,5,19,3,6,9,10,5,14,12,6,17,47,40,83,7,5,9,4,8,11,3,5,15,4,9,11,6,7,15,25,29,58,4,4,5,7,4,6,5,5,6,7,0,8,9,0,11,23,13,36,4,7,8,0,0,5,6,0,7,0,3,5,0,3,3,11,8,23,0,0,0,0,3,3,0,0,3,0,0,3,5,0,5,0,3,6,0,0
80104112108,6,3,8,0,3,3,8,7,12,3,6,10,9,0,7,24,28,45,8,6,4,3,10,13,7,6,12,10,9,11,3,3,8,28,21,49,10,6,7,0,0,4,3,3,5,0,6,6,0,0,0,15,7,23,0,4,3,0,0,0,0,0,3,0,4,4,0,0,0,4,9,11,0,3,8,0,0,5,4,4,5,5,4,8,0,5,5,18,13,33,0,0,0,0,0,0,0,0,3,4,8,10,0,0,0,10,9,22,4,7,20,4,5,4,3,9,15,7,3,7,6,11,15,27,35,57,8,7,15,3,7,6,5,3,8,5,0,10,3,10,13,24,26,54,3,5,9,5,3,12,5,0,5,0,3,4,7,0,11,24,8,35,0,0,0,0,3,0,3,0,3,0,3,6,4,0,4,6,8,18,0,0,7,0,4,4,0,0,3,0,0,0,0,0,3,8,8,14,0,0
80104112109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0
80104112110,0,3,4,0,0,0,0,0,0,4,0,4,0,3,3,6,6,17,0,0,0,8,0,8,0,0,3,3,0,3,0,0,0,6,0,7,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,5,0,5,0,9,5,0,0,3,4,11,16,0,0,0,0,6,6,3,0,3,0,0,3,0,0,0,7,4,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
80104112111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80104112112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80104112113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80104112114,3,11,12,3,6,13,0,6,7,4,6,7,8,9,13,18,33,55,4,8,13,3,7,13,3,6,14,8,9,9,9,5,11,30,33,62,5,3,7,4,0,11,5,3,13,9,3,12,3,4,3,26,14,41,4,4,3,3,5,7,4,0,4,5,0,5,6,3,8,17,6,26,0,0,0,0,6,4,0,0,3,0,3,3,0,0,0,10,9,18,0,4,7,5,5,7,12,6,17,0,0,3,4,5,10,18,20,38,0,8,3,4,0,3,7,11,10,4,3,9,3,12,10,16,30,52,8,10,18,10,5,7,11,10,25,5,0,10,3,4,13,42,29,76,8,9,12,3,3,10,5,3,10,3,4,10,7,0,5,26,24,47,4,5,6,0,4,3,5,0,6,0,0,3,9,3,12,14,11,23,0,0,4,3,0,3,0,0,0,0,0,0,4,0,4,9,4,15,0,0
80104112115,0,0,0,5,3,3,3,4,6,3,4,11,6,0,9,11,11,29,3,0,7,4,0,4,4,5,7,4,0,8,4,3,9,21,12,28,0,5,6,0,0,3,3,0,3,3,3,4,0,0,0,6,14,21,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,5,0,6,6,0,6,0,0,0,0,0,0,0,0,0,0,4,6,7,4,8,0,0,0,0,0,0,5,3,7,0,0,0,3,0,3,13,5,15,8,5,4,0,10,9,4,3,4,3,9,10,5,4,9,19,27,46,9,3,11,0,5,5,11,9,19,0,3,3,3,0,6,22,21,42,8,0,5,3,0,3,6,0,3,0,4,5,4,0,3,21,3,19,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,3,9,10,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,11,0,0
80104112202,7,11,13,3,8,9,9,3,9,8,7,13,12,7,14,29,30,65,9,3,10,3,8,8,0,10,13,6,8,10,5,6,8,21,30,44,3,3,7,5,0,5,6,5,10,3,5,5,0,0,4,20,8,34,3,0,7,0,0,5,0,3,0,3,5,4,0,0,0,5,12,14,0,0,0,3,0,3,0,0,0,0,6,8,3,4,8,3,11,17,0,0,5,4,0,4,4,6,8,0,6,4,3,9,9,16,14,33,10,3,15,8,7,19,3,6,15,5,5,4,10,6,15,33,33,67,0,3,8,8,12,18,6,8,15,8,5,14,4,3,8,30,36,60,6,6,12,11,7,17,4,4,4,3,0,3,4,0,7,30,21,47,10,7,6,4,5,8,4,0,6,0,0,7,0,5,0,14,8,31,0,0,8,0,4,3,3,0,3,5,0,3,0,0,7,12,9,22,0,0
80104112203,0,0,5,5,3,6,4,0,7,7,0,7,7,0,7,13,10,27,0,0,4,4,0,6,3,0,3,0,3,4,5,0,5,9,5,17,0,3,3,0,0,3,0,0,0,0,0,0,0,0,0,8,3,10,3,0,3,0,0,5,0,0,0,0,0,0,0,3,3,10,5,13,0,0,4,0,8,8,8,0,3,0,0,0,0,0,0,6,7,11,0,0,0,0,4,4,3,4,3,0,0,5,0,4,3,8,6,14,0,3,11,3,3,3,4,0,3,4,4,7,3,5,9,15,18,29,3,5,6,3,6,9,0,0,3,3,0,5,0,0,3,18,12,25,0,3,4,0,0,4,3,0,3,0,0,0,0,0,0,3,3,10,0,3,5,0,0,5,4,0,6,0,0,0,5,0,7,10,5,20,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,3,4,7,0,0
80104112204,3,8,8,9,3,13,3,8,9,4,3,10,9,3,12,28,25,53,8,3,11,0,0,0,4,8,14,10,0,8,0,8,6,26,15,43,8,5,10,4,9,12,3,5,7,0,5,10,0,5,6,15,20,41,4,4,7,0,0,6,0,0,7,4,0,0,0,0,0,11,8,20,9,0,7,0,0,0,0,3,6,0,0,0,3,6,10,11,8,18,0,4,4,3,6,11,3,6,7,9,0,4,3,8,15,19,18,37,4,4,11,6,6,11,3,10,14,7,5,17,8,0,12,33,27,58,8,5,14,3,8,9,4,6,8,6,7,11,6,6,10,29,29,60,8,0,7,10,0,10,8,4,5,5,3,10,7,3,15,33,14,50,0,5,7,0,0,4,0,4,5,3,0,3,5,0,5,10,9,17,0,3,7,0,0,0,0,0,0,0,4,3,0,0,0,3,8,11,3,0
80104112205,4,0,6,3,0,6,6,5,13,3,5,8,3,0,0,16,16,33,7,4,9,5,5,3,0,0,0,0,0,3,5,0,4,15,9,23,0,5,0,0,0,3,0,4,5,0,0,0,5,0,8,13,9,18,0,0,0,0,0,3,0,0,0,0,0,0,0,5,5,0,4,3,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,3,4,7,0,8,8,0,7,8,6,15,23,0,7,8,0,0,3,4,7,7,4,11,9,5,3,4,16,23,38,5,4,3,11,5,13,0,8,9,6,6,9,3,0,7,23,17,43,3,0,5,0,0,0,7,0,6,7,5,7,0,5,4,13,12,31,7,0,9,6,0,6,0,0,0,0,5,5,0,0,0,12,3,17,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,4
80104112206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,7,0,0,0,0,0,0,4,0,0,0,0,0,0,3,3,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0
