SA1_CODE_2021,P_650_799_15_19_yrs,P_650_799_20_24_yrs,P_650_799_25_34_yrs,P_650_799_35_44_yrs,P_650_799_45_54_yrs,P_650_799_55_64_yrs,P_650_799_65_74_yrs,P_650_799_75_84_yrs,P_650_799_85ov,P_650_799_Tot,P_800_999_15_19_yrs,P_800_999_20_24_yrs,P_800_999_25_34_yrs,P_800_999_35_44_yrs,P_800_999_45_54_yrs,P_800_999_55_64_yrs,P_800_999_65_74_yrs,P_800_999_75_84_yrs,P_800_999_85ov,P_800_999_Tot,P_1000_1249_15_19_yrs,P_1000_1249_20_24_yrs,P_1000_1249_25_34_yrs,P_1000_1249_35_44_yrs,P_1000_1249_45_54_yrs,P_1000_1249_55_64_yrs,P_1000_1249_65_74_yrs,P_1000_1249_75_84_yrs,P_1000_1249_85ov,P_1000_1249_Tot,P_1250_1499_15_19_yrs,P_1250_1499_20_24_yrs,P_1250_1499_25_34_yrs,P_1250_1499_35_44_yrs,P_1250_1499_45_54_yrs,P_1250_1499_55_64_yrs,P_1250_1499_65_74_yrs,P_1250_1499_75_84_yrs,P_1250_1499_85ov,P_1250_1499_Tot,P_1500_1749_15_19_yrs,P_1500_1749_20_24_yrs,P_1500_1749_25_34_yrs,P_1500_1749_35_44_yrs,P_1500_1749_45_54_yrs,P_1500_1749_55_64_yrs,P_1500_1749_65_74_yrs,P_1500_1749_75_84_yrs,P_1500_1749_85ov,P_1500_1749_Tot,P_1750_1999_15_19_yrs,P_1750_1999_20_24_yrs,P_1750_1999_25_34_yrs,P_1750_1999_35_44_yrs,P_1750_1999_45_54_yrs,P_1750_1999_55_64_yrs,P_1750_1999_65_74_yrs,P_1750_1999_75_84_yrs,P_1750_1999_85ov,P_1750_1999_Tot,P_2000_2999_15_19_yrs,P_2000_2999_20_24_yrs,P_2000_2999_25_34_yrs,P_2000_2999_35_44_yrs,P_2000_2999_45_54_yrs,P_2000_2999_55_64_yrs,P_2000_2999_65_74_yrs,P_2000_2999_75_84_yrs,P_2000_2999_85ov,P_2000_2999_Tot,P_3000_3499_15_19_yrs,P_3000_3499_20_24_yrs,P_3000_3499_25_34_yrs,P_3000_3499_35_44_yrs,P_3000_3499_45_54_yrs,P_3000_3499_55_64_yrs,P_3000_3499_65_74_yrs,P_3000_3499_75_84_yrs,P_3000_3499_85ov,P_3000_3499_Tot,P_3500_more_15_19_yrs,P_3500_more_20_24_yrs,P_3500_more_25_34_yrs,P_3500_more_35_44_yrs,P_3500_more_45_54_yrs,P_3500_more_55_64_yrs,P_3500_more_65_74_yrs,P_3500_more_75_84_yrs,P_3500_more_85ov,P_3500_more_Tot,P_PI_NS_15_19_yrs,P_PI_NS_ns_20_24_yrs,P_PI_NS_ns_25_34_yrs,P_PI_NS_ns_35_44_yrs,P_PI_NS_ns_45_54_yrs,P_PI_NS_ns_55_64_yrs,P_PI_NS_ns_65_74_yrs,P_PI_NS_ns_75_84_yrs,P_PI_NS_ns_85_yrs_ovr,P_PI_NS_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
80101100101,0,0,0,0,0,4,3,3,0,15,0,0,4,0,0,0,3,4,3,17,0,0,4,3,0,0,0,0,0,10,0,0,5,3,0,0,0,5,4,10,0,0,0,0,0,3,5,0,0,8,0,0,0,0,0,6,0,3,0,17,0,0,3,11,11,9,0,0,0,42,0,0,0,3,3,3,4,0,0,14,0,0,0,15,9,6,0,0,0,23,0,0,0,4,0,0,0,0,0,3,10,12,17,37,33,40,28,24,11,204
80101100102,0,0,0,0,0,0,0,0,0,10,0,6,0,0,0,0,6,9,0,17,0,0,3,6,3,0,9,0,0,17,0,5,7,5,0,3,3,0,0,28,0,3,5,5,3,0,0,0,0,19,0,0,3,0,8,6,3,0,0,18,0,0,3,15,22,12,4,6,0,58,0,0,0,3,0,4,0,0,0,7,0,0,0,9,10,3,0,0,0,30,0,9,0,0,0,0,4,4,0,17,30,34,36,48,58,35,32,27,10,309
80101100103,0,3,7,6,0,0,0,0,6,21,0,3,7,4,0,3,0,5,0,22,0,0,9,10,3,0,5,5,0,34,0,3,5,7,3,4,0,0,0,31,0,0,8,0,3,3,0,0,0,19,0,0,4,9,6,6,0,0,0,15,0,5,8,16,13,9,6,0,0,50,0,0,0,4,3,3,0,0,0,13,0,0,0,6,9,6,0,0,0,18,0,0,0,3,0,0,0,0,0,5,16,34,61,67,48,40,27,22,6,324
80101100104,0,3,4,0,0,0,6,4,0,20,0,4,3,0,0,8,0,5,0,17,0,0,6,0,0,5,7,0,0,32,0,6,5,4,0,8,8,0,0,33,0,0,0,6,0,8,0,4,0,26,0,0,0,8,8,7,0,0,0,28,0,0,5,12,21,10,7,6,0,57,0,0,4,7,5,3,0,0,0,26,0,0,4,14,16,17,5,0,0,53,0,0,0,0,0,3,0,5,0,10,34,25,52,64,57,77,41,38,8,393
80101100105,0,0,8,5,0,3,3,3,0,24,5,8,0,0,0,6,7,0,3,25,0,3,4,3,8,6,0,7,0,37,0,4,5,4,0,9,7,6,0,40,0,0,9,3,11,4,4,3,0,34,0,0,6,9,8,10,7,0,0,32,0,0,3,17,27,12,13,3,3,75,0,0,0,6,8,4,0,0,0,20,0,0,0,17,8,7,0,0,0,34,0,3,0,4,0,0,5,0,0,17,35,36,43,69,76,83,66,47,20,470
80101100106,0,0,0,0,0,0,0,3,4,16,0,3,0,0,0,0,5,5,3,16,0,3,10,3,3,8,5,6,0,34,0,0,3,5,4,5,9,0,0,34,0,0,14,3,5,3,3,5,0,38,0,0,11,3,4,6,5,0,0,29,0,0,9,22,21,20,7,6,0,80,0,0,0,0,5,4,0,0,0,13,0,0,0,12,10,12,4,0,0,35,0,3,8,8,0,0,0,0,0,15,25,24,57,63,65,64,46,40,15,391
80101100201,0,7,8,9,0,4,0,0,0,35,0,3,16,4,3,6,3,0,0,28,0,0,14,11,9,0,0,0,0,30,0,4,9,5,4,0,0,0,0,22,0,0,14,12,4,0,0,0,0,38,0,0,4,5,0,0,0,0,0,7,0,0,7,11,8,6,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,6,4,4,0,5,0,0,22,18,49,115,71,48,38,16,13,0,380
80101100202,0,0,6,9,6,0,3,0,0,29,0,5,17,6,4,0,3,0,0,40,0,4,16,13,3,0,0,0,0,38,0,0,4,0,0,0,0,0,0,13,0,0,10,7,5,6,0,0,0,26,0,0,8,8,0,0,0,0,0,13,0,0,6,7,9,3,3,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,6,3,6,0,0,0,0,0,12,11,27,92,76,34,21,22,9,5,298
80101100203,0,8,28,5,0,0,0,7,0,54,0,14,48,3,6,4,0,0,0,76,0,10,45,8,9,0,0,0,0,74,0,18,38,8,5,3,0,0,0,72,0,9,33,16,3,0,0,0,0,62,0,3,27,19,9,3,0,0,0,55,0,5,28,34,8,4,0,0,0,82,0,0,0,0,0,4,0,0,0,9,0,0,0,3,6,4,0,0,0,7,0,6,8,10,0,0,0,0,0,24,7,104,307,119,50,38,21,13,0,667
80101100205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80101100208,0,10,8,0,4,3,7,0,0,30,0,6,12,5,3,0,0,0,0,25,0,4,12,4,0,0,0,0,0,33,0,4,11,0,8,0,0,0,0,20,0,0,14,11,4,3,0,0,0,29,0,0,5,12,8,5,0,0,0,32,0,0,13,14,11,0,0,0,0,43,0,0,0,3,4,0,0,0,0,6,0,0,0,0,4,0,0,0,0,9,0,0,0,0,6,0,4,0,0,11,13,33,101,70,53,27,27,12,6,337
80101100209,0,4,11,3,0,0,0,0,0,25,0,3,9,7,0,0,0,0,0,15,0,6,14,10,0,3,0,0,0,29,0,5,3,0,9,0,0,0,0,17,0,4,0,3,0,0,0,0,0,15,0,0,6,0,0,3,0,0,0,14,0,0,6,4,0,0,3,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,4,0,0,0,11,11,34,87,49,26,25,14,0,0,241
80101100210,0,5,4,0,0,0,0,0,0,17,0,5,3,3,3,0,0,0,0,24,0,3,14,5,0,0,0,3,0,30,0,3,9,6,3,9,0,0,0,35,0,0,14,6,0,0,0,0,0,25,0,0,3,10,0,5,0,0,0,13,0,0,10,17,12,3,4,0,0,40,0,0,0,0,0,0,0,0,0,10,0,0,3,0,0,4,0,0,0,12,0,5,7,6,0,0,4,0,0,27,5,39,84,59,45,34,37,26,3,328
80101100211,3,11,16,3,0,0,4,0,0,46,0,12,20,13,3,0,0,0,0,52,0,5,31,10,6,4,0,0,0,53,0,6,32,11,0,8,0,0,0,52,0,0,18,10,7,0,3,0,0,44,0,0,9,10,6,0,0,0,0,20,0,4,13,14,8,5,0,0,0,33,0,0,0,0,0,0,0,0,0,5,0,0,0,4,0,0,0,0,0,5,3,5,6,7,5,0,0,3,0,28,24,66,191,97,49,38,26,11,7,499
80101100212,0,0,3,0,0,0,8,16,8,30,0,0,0,0,0,4,0,18,11,45,0,3,14,5,0,3,8,15,9,54,0,0,10,0,0,0,6,6,10,33,0,3,4,4,0,0,3,3,4,29,0,0,0,5,0,0,0,6,0,17,0,0,0,8,3,8,0,0,5,33,0,0,0,0,3,0,0,0,0,8,0,0,0,7,7,5,0,3,0,18,0,4,0,0,0,4,0,7,23,44,6,32,50,42,17,22,48,123,148,486
80101100213,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,5,0,0,0,0,0,19
80101100215,0,11,16,0,0,0,0,7,0,30,0,14,34,3,4,0,0,0,0,55,0,6,38,10,0,0,4,0,0,60,0,10,32,7,0,0,0,0,0,51,0,11,32,12,3,3,0,0,0,55,0,0,21,11,0,0,0,0,0,32,0,0,34,18,10,3,4,0,0,66,0,0,0,0,4,0,0,0,0,12,0,0,3,0,5,0,0,0,0,5,0,6,19,0,0,0,0,0,0,29,13,91,289,74,21,13,10,7,0,522
80101100216,3,24,49,8,0,0,0,0,0,85,0,48,113,10,0,0,5,0,0,173,0,52,121,13,6,0,5,0,0,195,0,28,82,8,4,3,0,0,0,125,0,16,57,9,7,3,0,0,0,94,0,6,33,8,5,0,0,0,0,53,0,7,37,13,16,10,0,0,0,84,0,0,5,4,0,0,0,0,0,11,0,0,8,3,4,6,0,0,0,22,5,27,59,0,11,0,0,0,0,109,29,355,772,100,56,31,12,7,0,1369
80101100217,0,6,11,0,0,3,0,0,0,26,0,5,12,6,0,0,0,5,0,32,0,7,31,4,4,0,6,0,0,52,0,5,25,3,3,0,0,0,0,41,0,4,16,5,0,6,0,0,0,33,0,0,12,4,6,4,0,0,0,26,0,0,9,11,6,3,4,0,0,31,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,5,0,0,19,3,0,5,0,0,0,28,6,56,169,54,28,24,14,4,0,358
80101100218,0,4,17,5,0,0,0,0,0,31,3,9,24,0,5,0,0,0,0,48,0,0,42,11,5,0,0,0,0,64,0,5,25,7,4,0,4,0,0,46,0,3,30,12,4,0,0,0,0,52,0,5,18,14,7,0,0,0,0,48,0,0,18,16,8,0,0,0,0,47,0,0,0,0,3,0,0,0,0,8,0,0,4,0,4,0,0,0,0,11,0,4,10,6,5,0,0,0,0,25,15,73,244,96,39,21,14,0,0,510
80101100219,0,0,11,3,0,0,0,0,0,20,0,3,15,0,0,0,0,0,0,28,0,5,29,7,0,3,0,0,0,40,0,0,33,8,0,0,0,0,0,47,0,8,35,8,0,0,0,0,0,49,0,0,12,10,0,7,0,0,0,29,0,0,19,18,4,3,0,0,0,45,0,0,6,5,0,3,0,0,0,12,0,0,0,0,0,0,0,0,0,9,0,4,3,5,0,0,0,0,0,15,3,48,196,70,18,11,3,0,0,364
80101100220,0,4,8,5,0,0,0,0,0,15,0,0,6,0,5,0,0,0,0,14,0,5,16,8,0,0,0,0,0,28,0,7,15,8,0,0,0,0,0,25,0,0,13,8,0,0,0,0,0,25,0,0,7,5,3,0,0,0,0,15,0,0,7,11,3,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,4,0,0,0,0,0,0,10,9,24,94,58,23,5,5,0,0,218
80101100221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,8
80101100222,0,5,15,4,0,3,0,0,0,34,0,7,21,11,0,0,0,0,0,37,0,8,23,7,3,3,0,0,0,54,0,10,25,16,0,0,0,0,0,56,0,8,27,22,5,3,0,0,0,69,0,0,20,13,8,0,0,0,0,41,0,0,12,21,12,5,3,0,0,54,0,0,5,5,0,0,0,0,0,6,0,0,5,3,5,0,0,0,0,15,0,3,8,0,0,0,0,0,0,21,9,82,223,109,40,30,14,17,4,539
80101100223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,5,5,0,0,0,0,11
80101100224,3,11,7,0,0,0,0,0,0,24,3,6,4,0,0,0,0,0,0,17,0,8,5,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,3,45,125,54,3,0,0,0,0,0,236
