SA1_CODE_2021,Neg_Nil_inc_cpl_fam_no_child,Neg_Nil_inc_cpl_fam_wth_chld,Neg_Nil_inc_One_parent_fam,Neg_Nil_inc_Other_fam,Neg_Nil_inc_Tot,FI_1_149_cpl_fam_no_child,FI_1_149_cpl_fam_with_child,FI_1_149_One_parent_fam,FI_1_149_Other_fam,FI_1_149_Tot,FI_150_299_cpl_fam_no_child,FI_150_299_cpl_fam_with_child,FI_150_299_One_parent_fam,FI_150_299_Other_fam,FI_150_299_Tot,FI_300_399_cpl_fam_no_child,FI_300_399_cpl_fam_with_child,FI_300_399_One_parent_fam,FI_300_399_Other_fam,FI_300_399_Tot,FI_400_499_cpl_fam_no_child,FI_400_499_cpl_fam_with_child,FI_400_499_One_parent_fam,FI_400_499_Other_fam,FI_400_499_Tot,FI_500_649_cpl_fam_no_child,FI_500_649_cpl_fam_with_child,FI_500_649_One_parent_fam,FI_500_649_Other_fam,FI_500_649_Tot,FI_650_799_cpl_fam_no_child,FI_650_799_cpl_fam_with_child,FI_650_799_One_parent_fam,FI_650_799_Other_fam,FI_650_799_Tot,FI_800_999_cpl_fam_no_child,FI_800_999_cpl_fam_wth_chld,FI_800_999_One_parent_fam,FI_800_999_Other_fam,FI_800_999_Tot,FI_1000_1249_cpl_fam_no_child,FI_1000_1249_cpl_fam_wth_chld,FI_1000_1249_One_parent_fam,FI_1000_1249_Other_fam,FI_1000_1249_Tot,FI_1250_1499_cpl_fam_no_child,FI_1250_1499_cpl_fam_wth_chld,FI_1250_1499_One_parent_fam,FI_1250_1499_Other_fam,FI_1250_1499_Tot,FI_1500_1749_cpl_fam_no_child,FI_1500_1749_cpl_fam_wth_chld,FI_1500_1749_One_parent_fam,FI_1500_1749_Other_fam,FI_1500_1749_Tot,FI_1750_1999_cpl_fam_no_child,FI_1750_1999_cpl_fam_wth_chld,FI_1750_1999_One_parent_fam,FI_1750_1999_Other_fam,FI_1750_1999_Tot,FI_2000_2499_cpl_fam_no_child,FI_2000_2499_cpl_fam_wth_chld,FI_2000_2499_One_parent_fam,FI_2000_2499_Other_fam,FI_2000_2499_Tot,FI_2500_2999_cpl_fam_no_child,FI_2500_2999_cpl_fam_wth_chld,FI_2500_2999_One_parent_fam,FI_2500_2999_Other_fam,FI_2500_2999_Tot,FI_3000_3499_cpl_fam_no_child,FI_3000_3499_cpl_fam_wth_chld,FI_3000_3499_One_parent_fam,FI_3000_3499_Other_fam,FI_3000_3499_Tot,FI_3500_3999_cpl_fam_no_child,FI_3500_3999_cpl_fam_wth_chld,FI_3500_3999_One_parent_fam,FI_3500_3999_Other_fam,FI_3500_3999_Tot,FI_4000_more_cpl_fam_no_child,FI_4000_more_cpl_fam_wth_chld,FI_4000_more_One_parent_fam,FI_4000_more_Other_fam,FI_4000_more_Tot,Prt_inc_std_cpl_fam_no_child,Part_inc_std_cpl_fam_wth_chld,Part_inc_statd_One_parent_fam,Partial_income_statd_Othr_fam,Partial_income_stated_Tot,All_inc_ns_cpl_fam_no_child,All_inc_ns_cpl_fam_wth_chld,All_incomes_ns_One_parent_fam,All_incomes_ns_Other_fam,All_incomes_ns_Tot,Tot_cpl_fam_no_child,Tot_cpl_fam_wth_chld,Tot_One_parent_fam,Tot_Other_fam,Tot_Tot
80101100101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,4,0,0,0,0,4,0,0,0,0,3,0,0,3,0,6,0,3,0,0,5,6,3,3,0,7,5,4,0,0,4,3,29,0,0,32,0,0,0,0,0,0,0,0,0,0,26,36,11,0,73
80101100102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,6,3,0,0,5,3,4,0,0,7,0,0,4,0,10,0,9,0,0,11,10,36,0,0,41,0,3,0,0,9,0,0,0,0,0,30,60,12,0,98
80101100103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,9,0,0,0,11,0,0,0,0,4,0,4,0,0,6,5,3,0,0,12,3,3,3,0,12,4,5,0,0,12,4,7,0,0,9,10,23,0,0,33,0,3,5,0,9,0,0,0,0,0,39,51,22,0,106
80101100104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,4,0,4,0,0,0,0,6,6,0,3,0,6,0,0,0,0,4,0,0,0,0,0,8,5,0,0,11,6,10,0,0,18,9,5,0,0,13,0,6,0,0,7,13,40,0,0,58,3,3,0,0,5,0,0,0,0,0,58,71,11,0,140
80101100105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,4,0,0,3,0,9,3,0,3,0,8,0,0,0,0,3,7,0,0,0,8,9,0,0,0,15,12,0,0,0,17,8,9,0,0,15,0,3,0,0,9,12,47,0,0,63,0,5,6,0,8,0,0,0,0,0,66,69,23,0,160
80101100106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,3,0,0,0,0,6,3,0,0,0,5,3,0,0,0,5,3,4,0,0,6,9,5,0,0,18,0,5,0,0,6,0,3,0,0,13,4,10,0,0,16,13,36,0,0,46,0,7,0,0,7,0,0,0,0,0,61,66,11,4,134
80101100201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,3,0,8,0,0,0,0,3,0,0,0,0,5,3,0,3,0,5,0,0,3,0,9,0,5,0,0,10,3,7,0,0,9,9,4,0,0,8,4,0,0,0,7,10,0,0,0,12,9,5,0,0,10,0,0,0,0,0,6,0,0,0,6,0,3,0,0,3,0,0,0,0,0,39,24,26,3,93
80101100202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,3,0,3,0,0,4,0,6,0,0,3,0,5,0,4,6,0,5,0,4,0,0,7,4,0,0,0,3,0,7,0,0,10,8,3,5,0,15,7,8,0,0,10,5,0,0,0,5,0,0,0,0,0,3,4,0,0,6,0,0,0,0,0,0,0,0,0,0,29,28,30,3,93
80101100203,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,3,0,7,8,0,0,0,8,8,0,0,0,11,13,5,0,3,23,10,0,0,0,10,11,3,0,3,12,23,11,3,0,37,18,8,0,0,26,6,4,0,0,7,5,3,0,0,16,12,8,0,0,19,0,0,0,0,0,0,0,0,0,0,123,37,18,10,190
80101100205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80101100208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,5,0,0,0,4,0,0,4,0,4,3,0,0,0,5,3,0,0,0,5,5,0,5,0,6,0,0,0,0,8,4,6,0,0,13,9,5,0,0,13,6,0,3,0,11,0,0,0,0,0,11,5,0,0,11,0,0,0,0,7,0,0,0,0,0,53,25,27,0,108
80101100209,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,0,0,0,0,3,0,0,0,0,5,4,5,0,0,14,0,0,0,0,4,5,0,0,0,4,6,5,0,0,8,4,0,0,0,6,0,0,0,0,0,3,5,0,0,5,3,0,0,0,3,0,0,0,0,3,0,0,0,0,0,32,18,13,5,66
80101100210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,4,4,0,0,0,4,9,0,0,0,6,5,6,0,0,7,4,0,0,0,3,6,0,0,0,8,7,3,0,0,12,8,3,4,0,14,4,4,0,0,5,11,4,0,0,16,3,0,0,0,3,0,0,0,0,4,54,25,11,6,88
80101100211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,5,0,6,0,0,6,0,9,4,0,0,0,8,8,3,0,0,8,3,7,3,0,7,3,4,3,0,16,3,0,0,3,12,8,21,3,0,27,9,4,0,0,11,11,3,0,0,7,7,0,0,0,7,5,0,0,0,6,0,0,0,0,0,0,0,0,0,0,65,41,30,3,144
80101100212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,11,0,0,0,11,11,0,0,0,11,10,0,0,0,16,6,0,0,0,10,7,6,4,0,13,8,5,0,0,11,5,6,0,0,13,3,6,0,0,6,6,3,0,0,5,9,11,3,0,12,0,4,0,0,6,0,0,0,0,0,79,29,10,0,117
80101100213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,8
80101100215,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0,8,3,0,0,0,10,13,0,3,0,15,9,0,0,0,8,5,4,0,0,11,18,6,0,0,20,13,4,0,0,12,11,4,0,0,19,5,0,0,0,9,10,4,0,0,16,8,0,0,0,7,0,0,0,0,0,105,18,10,0,132
