SA1_CODE_2021,F_GrpH_Mem_0_14,F_GrpH_Mem_15_24,F_GrpH_Mem_25_34,F_GrpH_Mem_35_44,F_GrpH_Mem_45_54,F_GrpH_Mem_55_64,F_GrpH_Mem_65_74,F_GrpH_Mem_75_84,F_GrpH_Mem_85ov,F_GrpH_Mem_Tot,F_LonePsn_0_14,F_LonePsn_15_24,F_LonePsn_25_34,F_LonePsn_35_44,F_LonePsn_45_54,F_LonePsn_55_64,F_LonePsn_65_74,F_LonePsn_75_84,F_LonePsn_85ov,F_LonePsn_Tot,F_Vis_within_Aus_0_14,F_Vis_within_Aus_15_24,F_Vis_within_Aus_25_34,F_Vis_within_Aus_35_44,F_Vis_within_Aus_45_54,F_Vis_within_Aus_55_64,F_Vis_within_Aus_65_74,F_Vis_within_Aus_75_84,F_Vis_within_Aus_85ov,F_Vis_within_Aus_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Ptn_in_RM_0_14,P_Ptn_in_RM_15_24,P_Ptn_in_RM_25_34,P_Ptn_in_RM_35_44,P_Ptn_in_RM_45_54,P_Ptn_in_RM_55_64,P_Ptn_in_RM_65_74,P_Ptn_in_RM_75_84,P_Ptn_in_RM_85ov,P_Ptn_in_RM_Tot,P_Ptn_in_DFM_0_14,P_Ptn_in_DFM_15_24,P_Ptn_in_DFM_25_34,P_Ptn_in_DFM_35_44,P_Ptn_in_DFM_45_54,P_Ptn_in_DFM_55_64,P_Ptn_in_DFM_65_74,P_Ptn_in_DFM_75_84,P_Ptn_in_DFM_85ov,P_Ptn_in_DFM_Tot,P_LonePnt_0_14,P_LonePnt_15_24,P_LonePnt_25_34,P_LonePnt_35_44,P_LonePnt_45_54,P_LonePnt_55_64,P_LonePnt_65_74,P_LonePnt_75_84,P_LonePnt_85ov,P_LonePnt_Tot,P_CU15_0_14,P_CU15_15_24,P_CU15_25_34,P_CU15_35_44,P_CU15_45_54,P_CU15_55_64,P_CU15_65_74,P_CU15_75_84,P_CU15_85ov,P_CU15_Tot,P_DpStu_0_14,P_DpStu_15_24,P_DpStu_25_34,P_DpStu_35_44,P_DpStu_45_54,P_DpStu_55_64,P_DpStu_65_74,P_DpStu_75_84,P_DpStu_85ov,P_DpStu_Tot,P_NDpChl_0_14,P_NDpChl_15_24,P_NDpChl_25_34,P_NDpChl_35_44,P_NDpChl_45_54,P_NDpChl_55_64,P_NDpChl_65_74,P_NDpChl_75_84,P_NDpChl_85ov,P_NDpChl_Tot,P_OthRI_0_14,P_OthRI_15_24,P_OthRI_25_34,P_OthRI_35_44,P_OthRI_45_54,P_OthRI_55_64,P_OthRI_65_74,P_OthRI_75_84,P_OthRI_85ov,P_OthRI_Tot,P_URI_in_FH_0_14,P_URI_in_FH_15_24,P_URI_in_FH_25_34,P_URI_in_FH_35_44,P_URI_in_FH_45_54,P_URI_in_FH_55_64,P_URI_in_FH_65_74,P_URI_in_FH_75_84,P_URI_in_FH_85ov,P_URI_in_FH_Tot,P_GrpH_Mem_0_14,P_GrpH_Mem_15_24,P_GrpH_Mem_25_34,P_GrpH_Mem_35_44,P_GrpH_Mem_45_54,P_GrpH_Mem_55_64,P_GrpH_Mem_65_74,P_GrpH_Mem_75_84,P_GrpH_Mem_85ov,P_GrpH_Mem_Tot,P_LonePsn_0_14,P_LonePsn_15_24,P_LonePsn_25_34,P_LonePsn_35_44,P_LonePsn_45_54,P_LonePsn_55_64,P_LonePsn_65_74,P_LonePsn_75_84,P_LonePsn_85ov,P_LonePsn_Tot,P_Vis_within_Aus_0_14,P_Vis_within_Aus_15_24,P_Vis_within_Aus_25_34,P_Vis_within_Aus_35_44,P_Vis_within_Aus_45_54,P_Vis_within_Aus_55_64,P_Vis_within_Aus_65_74,P_Vis_within_Aus_75_84,P_Vis_within_Aus_85ov,P_Vis_within_Aus_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
80105106107,..,10,0,0,0,0,0,0,0,15,..,3,0,0,0,6,3,3,5,18,0,0,0,0,0,0,0,0,0,3,32,26,23,30,23,24,12,14,9,177,..,0,19,30,21,19,8,13,0,118,..,0,18,7,0,9,0,0,0,40,..,0,0,0,7,4,0,0,0,11,62,..,..,..,..,..,..,..,..,62,..,15,..,..,..,..,..,..,..,15,..,6,4,3,0,0,0,0,0,15,..,0,0,0,0,0,0,0,0,4,..,0,0,0,0,0,0,0,0,8,..,12,6,0,0,0,0,5,0,24,..,5,0,5,0,7,6,3,4,31,0,0,0,6,0,0,0,0,0,7,62,42,44,55,40,39,13,22,8,336
80105106108,..,3,5,0,0,0,0,0,0,13,..,0,3,10,4,15,4,10,0,49,0,0,0,0,0,0,0,0,0,6,39,19,43,44,25,34,12,15,0,241,..,0,29,41,27,21,18,8,3,146,..,3,10,11,9,6,0,0,0,46,..,0,0,9,8,3,5,0,0,26,84,..,..,..,..,..,..,..,..,84,..,17,..,..,..,..,..,..,..,17,..,4,6,0,0,5,0,0,0,16,..,7,5,4,0,0,0,0,0,14,..,0,3,0,0,0,0,0,0,5,..,11,9,5,3,4,0,0,0,31,..,4,13,14,9,18,16,10,6,88,3,3,0,4,0,0,0,0,0,18,91,49,85,87,59,58,35,15,12,487
80105106109,..,0,5,0,0,0,0,0,0,11,..,0,0,0,0,3,0,5,0,13,0,0,0,0,0,0,0,0,0,0,46,23,24,32,39,32,12,8,3,205,..,0,9,48,38,38,12,4,0,151,..,3,3,8,19,11,0,0,0,51,..,0,0,0,7,4,0,0,0,14,91,..,..,..,..,..,..,..,..,91,..,30,..,..,..,..,..,..,..,30,..,17,9,0,0,0,0,0,0,23,..,0,0,0,0,3,0,0,0,4,..,0,3,3,0,0,0,0,0,9,..,4,9,0,0,0,0,0,0,15,..,0,3,4,0,4,0,5,7,20,0,0,0,0,0,0,0,0,0,0,91,55,37,60,65,61,21,8,5,408
80105106110,..,0,5,0,0,0,0,0,0,9,..,0,3,3,0,8,3,8,0,27,0,0,0,0,0,0,0,0,0,0,39,18,37,38,30,22,13,13,3,197,..,0,18,43,36,9,20,8,5,136,..,3,13,24,7,4,0,0,0,50,..,0,0,5,4,3,0,0,0,12,87,..,..,..,..,..,..,..,..,87,..,22,..,..,..,..,..,..,..,22,..,10,8,6,0,3,0,0,0,18,..,0,0,0,0,0,0,0,0,0,..,0,5,0,0,0,0,0,0,7,..,0,6,0,0,0,0,0,0,10,..,0,3,0,0,12,0,4,0,31,0,0,0,0,0,0,0,0,0,3,87,36,51,78,56,33,21,17,9,379
80105106111,..,5,4,0,0,0,0,0,0,9,..,0,0,0,0,5,4,6,0,22,0,0,0,0,0,0,0,0,0,0,37,22,14,38,15,16,15,14,4,189,..,0,10,43,26,15,9,10,6,121,..,0,9,11,10,3,0,0,0,31,..,0,0,5,6,4,0,3,0,16,78,..,..,..,..,..,..,..,..,78,..,19,..,..,..,..,..,..,..,19,..,0,0,0,5,0,0,0,0,12,..,0,0,0,0,0,4,0,0,9,..,0,0,0,0,0,0,0,0,8,..,5,4,0,0,0,0,0,0,9,..,0,4,4,0,10,9,12,0,38,0,0,0,0,0,0,0,0,0,5,78,36,34,64,38,32,25,32,6,339
80105106112,..,4,5,5,0,0,0,0,0,8,..,0,4,3,0,0,3,0,4,14,0,0,0,0,0,0,0,0,0,0,28,19,21,29,22,13,11,7,4,148,..,0,17,28,22,10,11,13,0,95,..,3,10,6,3,4,0,3,0,35,..,0,0,4,10,0,0,0,0,12,64,..,..,..,..,..,..,..,..,64,..,8,..,..,..,..,..,..,..,8,..,12,0,0,0,0,0,0,0,15,..,0,0,0,0,3,0,0,0,3,..,0,0,0,0,0,0,0,0,0,..,15,16,5,0,0,0,0,0,32,..,0,3,8,4,10,5,0,4,32,0,0,0,0,0,0,0,0,0,4,64,39,47,47,38,32,14,12,4,298
80105106113,..,6,7,3,0,0,0,0,0,23,..,0,0,3,3,4,0,0,0,16,0,0,0,0,0,0,0,0,0,0,28,20,29,33,19,13,8,0,0,148,..,0,14,30,15,6,5,0,0,70,..,7,15,19,9,0,0,0,0,43,..,0,0,5,4,0,0,0,0,13,62,..,..,..,..,..,..,..,..,62,..,11,..,..,..,..,..,..,..,11,..,0,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,6,..,4,4,0,0,0,0,0,0,6,..,17,21,3,0,3,0,0,0,44,..,0,3,4,7,7,6,0,0,26,0,0,0,0,3,0,0,0,0,6,62,43,56,63,38,19,6,0,0,296
80105106114,..,7,15,0,0,0,0,0,0,28,..,0,18,15,8,10,7,3,0,65,0,5,5,0,0,0,0,0,0,9,19,33,97,57,23,12,7,3,0,263,..,4,54,44,11,4,0,0,0,114,..,10,58,25,5,3,0,0,0,101,..,0,0,7,13,0,0,0,0,26,53,..,..,..,..,..,..,..,..,53,..,5,..,..,..,..,..,..,..,5,..,4,4,0,0,0,0,0,0,4,..,10,4,0,0,0,0,0,0,16,..,0,5,0,0,0,0,0,0,5,..,19,33,7,3,0,0,0,0,58,..,4,39,27,15,12,15,4,0,114,0,5,6,0,0,0,0,0,0,15,52,58,198,109,47,22,21,9,0,524
80105106116,..,8,7,0,0,0,0,0,0,13,..,3,15,15,7,6,4,3,0,58,0,0,3,0,0,0,0,0,0,10,45,35,100,57,33,16,3,3,0,290,..,7,70,50,16,8,4,0,0,154,..,19,43,15,5,0,0,0,0,89,..,0,3,12,16,3,0,0,0,34,100,..,..,..,..,..,..,..,..,100,..,13,..,..,..,..,..,..,..,13,..,0,4,0,0,0,0,0,0,5,..,0,5,0,3,0,0,0,0,12,..,0,8,5,0,0,0,0,0,9,..,14,20,4,0,0,0,0,0,40,..,3,27,36,16,16,8,0,0,113,0,4,4,0,0,0,0,0,0,17,99,64,185,125,58,28,13,5,5,583
80105106117,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
