POA_CODE_2021,M_Ptn_in_RM_0_14,M_Ptn_in_RM_15_24,M_Ptn_in_RM_25_34,M_Ptn_in_RM_35_44,M_Ptn_in_RM_45_54,M_Ptn_in_RM_55_64,M_Ptn_in_RM_65_74,M_Ptn_in_RM_75_84,M_Ptn_in_RM_85ov,M_Ptn_in_RM_Tot,M_Ptn_in_DFM_0_14,M_Ptn_in_DFM_15_24,M_Ptn_in_DFM_25_34,M_Ptn_in_DFM_35_44,M_Ptn_in_DFM_45_54,M_Ptn_in_DFM_55_64,M_Ptn_in_DFM_65_74,M_Ptn_in_DFM_75_84,M_Ptn_in_DFM_85ov,M_Ptn_in_DFM_Tot,M_LonePnt_0_14,M_LonePnt_15_24,M_LonePnt_25_34,M_LonePnt_35_44,M_LonePnt_45_54,M_LonePnt_55_64,M_LonePnt_65_74,M_LonePnt_75_84,M_LonePnt_85ov,M_LonePnt_Tot,M_CU15_0_14,M_CU15_15_24,M_CU15_25_34,M_CU15_35_44,M_CU15_45_54,M_CU15_55_64,M_CU15_65_74,M_CU15_75_84,M_CU15_85ov,M_CU15_Tot,M_DpStu_0_14,M_DpStu_15_24,M_DpStu_25_34,M_DpStu_35_44,M_DpStu_45_54,M_DpStu_55_64,M_DpStu_65_74,M_DpStu_75_84,M_DpStu_85ov,M_DpStu_Tot,M_NDpChl_0_14,M_NDpChl_15_24,M_NDpChl_25_34,M_NDpChl_35_44,M_NDpChl_45_54,M_NDpChl_55_64,M_NDpChl_65_74,M_NDpChl_75_84,M_NDpChl_85ov,M_NDpChl_Tot,M_OthRI_0_14,M_OthRI_15_24,M_OthRI_25_34,M_OthRI_35_44,M_OthRI_45_54,M_OthRI_55_64,M_OthRI_65_74,M_OthRI_75_84,M_OthRI_85ov,M_OthRI_Tot,M_URI_in_FH_0_14,M_URI_in_FH_15_24,M_URI_in_FH_25_34,M_URI_in_FH_35_44,M_URI_in_FH_45_54,M_URI_in_FH_55_64,M_URI_in_FH_65_74,M_URI_in_FH_75_84,M_URI_in_FH_85ov,M_URI_in_FH_Tot,M_GrpH_Mem_0_14,M_GrpH_Mem_15_24,M_GrpH_Mem_25_34,M_GrpH_Mem_35_44,M_GrpH_Mem_45_54,M_GrpH_Mem_55_64,M_GrpH_Mem_65_74,M_GrpH_Mem_75_84,M_GrpH_Mem_85ov,M_GrpH_Mem_Tot,M_LonePsn_0_14,M_LonePsn_15_24,M_LonePsn_25_34,M_LonePsn_35_44,M_LonePsn_45_54,M_LonePsn_55_64,M_LonePsn_65_74,M_LonePsn_75_84,M_LonePsn_85ov,M_LonePsn_Tot,M_Vis_within_Aus_0_14,M_Vis_within_Aus_15_24,M_Vis_within_Aus_25_34,M_Vis_within_Aus_35_44,M_Vis_within_Aus_45_54,M_Vis_within_Aus_55_64,M_Vis_within_Aus_65_74,M_Vis_within_Aus_75_84,M_Vis_within_Aus_85ov,M_Vis_within_Aus_Tot,M_Tot_0_14,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Ptn_in_RM_0_14,F_Ptn_in_RM_15_24,F_Ptn_in_RM_25_34,F_Ptn_in_RM_35_44,F_Ptn_in_RM_45_54,F_Ptn_in_RM_55_64,F_Ptn_in_RM_65_74,F_Ptn_in_RM_75_84,F_Ptn_in_RM_85ov,F_Ptn_in_RM_Tot,F_Ptn_in_DFM_0_14,F_Ptn_in_DFM_15_24,F_Ptn_in_DFM_25_34,F_Ptn_in_DFM_35_44,F_Ptn_in_DFM_45_54,F_Ptn_in_DFM_55_64,F_Ptn_in_DFM_65_74,F_Ptn_in_DFM_75_84,F_Ptn_in_DFM_85ov,F_Ptn_in_DFM_Tot,F_LonePnt_0_14,F_LonePnt_15_24,F_LonePnt_25_34,F_LonePnt_35_44,F_LonePnt_45_54,F_LonePnt_55_64,F_LonePnt_65_74,F_LonePnt_75_84,F_LonePnt_85ov,F_LonePnt_Tot,F_CU15_0_14,F_CU15_15_24,F_CU15_25_34,F_CU15_35_44,F_CU15_45_54,F_CU15_55_64,F_CU15_65_74,F_CU15_75_84,F_CU15_85ov,F_CU15_Tot,F_DpStu_0_14,F_DpStu_15_24,F_DpStu_25_34,F_DpStu_35_44,F_DpStu_45_54,F_DpStu_55_64,F_DpStu_65_74,F_DpStu_75_84,F_DpStu_85ov,F_DpStu_Tot,F_NDpChl_0_14,F_NDpChl_15_24,F_NDpChl_25_34,F_NDpChl_35_44,F_NDpChl_45_54,F_NDpChl_55_64,F_NDpChl_65_74,F_NDpChl_75_84,F_NDpChl_85ov,F_NDpChl_Tot,F_OthRI_0_14,F_OthRI_15_24,F_OthRI_25_34,F_OthRI_35_44,F_OthRI_45_54,F_OthRI_55_64,F_OthRI_65_74,F_OthRI_75_84,F_OthRI_85ov,F_OthRI_Tot,F_URI_in_FH_0_14,F_URI_in_FH_15_24,F_URI_in_FH_25_34,F_URI_in_FH_35_44,F_URI_in_FH_45_54,F_URI_in_FH_55_64,F_URI_in_FH_65_74,F_URI_in_FH_75_84,F_URI_in_FH_85ov,F_URI_in_FH_Tot
POA2600,..,0,73,262,359,333,335,211,44,1622,..,21,125,69,44,49,32,11,0,345,..,0,3,10,11,14,6,5,0,47,506,..,..,..,..,..,..,..,..,506,..,189,..,..,..,..,..,..,..,189,..,70,48,20,13,9,5,0,0,165,..,5,4,6,8,0,6,0,0,28,..,9,8,0,0,0,0,0,0,25,..,49,70,10,5,7,8,0,0,139,..,17,85,55,61,72,56,34,38,420,3,6,16,8,11,8,5,3,0,59,508,369,437,432,507,490,448,264,87,3535,..,3,110,328,362,315,356,137,26,1629,..,30,121,61,38,35,21,6,0,318,..,0,6,32,52,25,17,14,11,154,571,..,..,..,..,..,..,..,..,571,..,217,..,..,..,..,..,..,..,217,..,64,34,11,5,3,0,0,0,125,..,9,10,0,4,4,14,4,6,46,..,0,8,3,0,0,3,0,0,19
POA2601,..,0,87,78,72,63,53,18,4,375,..,69,222,56,17,11,10,3,0,382,..,0,0,0,9,3,0,0,0,18,63,..,..,..,..,..,..,..,..,63,..,16,..,..,..,..,..,..,..,16,..,7,3,0,0,0,0,0,0,8,..,12,7,0,0,0,0,0,0,26,..,11,19,5,0,0,0,0,0,38,..,70,113,23,4,0,0,0,0,212,..,45,165,90,68,33,17,3,3,433,4,104,16,4,6,4,0,4,0,133,64,332,635,253,184,124,82,28,9,1710,..,9,98,81,67,62,41,14,0,365,..,75,190,35,12,7,4,0,0,326,..,0,4,14,15,3,0,0,0,35,71,..,..,..,..,..,..,..,..,71,..,21,..,..,..,..,..,..,..,21,..,7,3,6,0,0,0,0,0,16,..,12,8,0,0,0,0,0,0,23,..,5,18,0,0,0,0,0,0,29
POA2602,..,19,577,1294,1161,814,602,338,136,4943,..,150,762,440,306,235,91,26,0,2021,..,0,15,43,91,57,22,11,11,257,2791,..,..,..,..,..,..,..,..,2791,..,754,..,..,..,..,..,..,..,754,..,316,184,53,49,35,9,0,0,646,..,74,73,23,23,25,26,7,11,256,..,91,187,40,23,11,3,0,0,360,..,651,663,111,61,63,22,5,4,1583,..,76,330,282,274,273,248,126,85,1696,30,49,70,62,29,34,29,9,8,313,2828,2177,2848,2349,2030,1550,1061,531,255,15627,..,33,755,1400,1191,733,555,277,74,5013,..,226,780,441,334,199,72,19,3,2075,..,11,74,233,324,165,53,37,47,948,2558,..,..,..,..,..,..,..,..,2558,..,710,..,..,..,..,..,..,..,710,..,248,130,40,22,25,5,0,0,476,..,73,80,23,11,49,46,49,31,362,..,81,138,24,10,5,3,0,0,264
POA2603,..,6,139,321,483,409,311,182,52,1904,..,31,189,74,69,50,34,7,0,457,..,0,0,19,18,23,7,4,0,75,711,..,..,..,..,..,..,..,..,711,..,335,..,..,..,..,..,..,..,335,..,118,70,14,10,6,0,0,0,227,..,23,21,10,7,3,7,4,0,69,..,9,20,3,3,3,0,0,0,42,..,62,146,12,7,8,8,0,0,247,..,33,129,95,85,91,64,37,13,542,0,16,19,7,10,8,6,4,0,71,714,630,731,555,691,604,432,237,72,4680,..,8,189,399,444,416,306,127,23,1907,..,47,187,72,66,41,15,0,0,430,..,3,12,35,92,38,9,8,10,209,675,..,..,..,..,..,..,..,..,675,..,310,..,..,..,..,..,..,..,310,..,56,54,11,6,7,3,0,0,134,..,17,26,4,0,8,13,13,19,96,..,13,23,0,3,0,0,0,0,43
POA2604,..,3,206,430,374,341,294,155,25,1829,..,58,408,176,90,82,28,10,0,850,..,0,0,24,59,27,9,0,0,124,790,..,..,..,..,..,..,..,..,790,..,238,..,..,..,..,..,..,..,238,..,123,55,28,14,13,0,0,0,233,..,18,26,14,5,6,10,0,0,72,..,16,24,12,3,0,0,0,0,61,..,81,216,43,14,18,9,0,0,379,..,40,246,196,163,134,97,46,11,931,9,16,28,16,24,14,9,0,0,113,802,597,1212,933,740,624,454,215,43,5622,..,12,285,452,372,322,251,118,16,1820,..,69,423,159,88,48,17,3,7,807,..,5,32,100,112,61,18,9,14,344,773,..,..,..,..,..,..,..,..,773,..,225,..,..,..,..,..,..,..,225,..,80,32,15,4,5,4,0,0,139,..,13,26,11,9,8,14,7,4,86,..,12,32,5,0,0,0,0,0,52
POA2605,..,4,176,595,533,463,310,221,82,2395,..,19,119,91,84,66,35,14,0,428,..,0,6,17,32,13,3,0,6,77,1221,..,..,..,..,..,..,..,..,1221,..,339,..,..,..,..,..,..,..,339,..,141,100,19,26,12,4,0,0,309,..,19,27,6,3,12,5,3,3,79,..,20,50,14,3,0,0,0,0,82,..,35,68,10,10,16,7,3,5,157,..,13,34,36,70,69,79,62,32,401,11,7,15,19,5,14,8,4,0,85,1232,604,593,798,769,668,454,313,126,5567,..,10,262,638,557,412,295,188,43,2405,..,30,115,91,82,62,23,13,0,415,..,0,22,70,86,63,24,22,26,316,1145,..,..,..,..,..,..,..,..,1145,..,380,..,..,..,..,..,..,..,380,..,128,70,18,13,12,0,0,0,233,..,16,20,11,3,16,15,13,12,115,..,19,31,6,3,4,0,0,0,63
POA2606,..,13,480,515,304,261,211,182,69,2026,..,76,284,118,71,30,17,3,0,609,..,0,0,18,36,21,6,0,0,92,799,..,..,..,..,..,..,..,..,799,..,203,..,..,..,..,..,..,..,203,..,105,83,21,24,16,0,0,0,244,..,43,48,8,11,5,5,0,4,127,..,39,93,15,4,3,0,0,0,154,..,78,158,57,18,18,6,0,0,337,..,51,239,165,136,130,84,44,24,883,11,17,25,18,17,11,5,3,0,101,806,616,1408,938,622,490,339,243,103,5567,..,51,583,440,333,243,209,148,33,2034,..,89,307,96,56,28,11,8,0,603,..,0,33,87,97,40,13,16,11,299,808,..,..,..,..,..,..,..,..,808,..,202,..,..,..,..,..,..,..,202,..,94,47,11,12,5,0,0,0,165,..,43,47,21,18,19,19,17,0,174,..,42,77,15,3,0,0,0,0,137
POA2607,..,8,270,573,602,541,454,363,107,2917,..,37,141,109,105,77,36,7,5,529,..,0,3,21,38,18,13,0,4,98,1340,..,..,..,..,..,..,..,..,1340,..,447,..,..,..,..,..,..,..,447,..,224,152,32,32,26,5,0,0,475,..,32,44,15,4,16,9,11,9,132,..,29,40,11,8,3,0,0,0,91,..,40,74,30,21,18,10,7,0,199,..,19,62,46,75,111,95,87,42,534,9,14,16,12,10,9,9,6,0,96,1351,847,810,854,898,816,628,484,168,6853,..,21,343,655,604,549,412,319,51,2945,..,45,150,120,101,70,25,3,0,526,..,7,26,88,133,81,25,32,21,407,1153,..,..,..,..,..,..,..,..,1153,..,376,..,..,..,..,..,..,..,376,..,158,85,24,18,3,0,0,0,288,..,33,23,13,11,19,19,22,16,163,..,20,42,9,0,3,0,0,0,80
POA2609,..,0,8,12,21,26,20,11,0,96,..,0,7,12,3,9,3,0,0,37,..,0,3,4,0,0,5,0,0,9,32,..,..,..,..,..,..,..,..,32,..,9,..,..,..,..,..,..,..,9,..,9,3,0,4,3,0,0,0,23,..,0,4,0,0,0,0,0,0,9,..,0,0,0,0,0,0,0,0,5,..,0,7,5,7,4,5,0,0,22,..,0,12,10,24,32,19,17,0,115,0,0,0,4,4,3,0,0,0,23,35,30,37,42,65,77,48,31,8,373,..,3,12,13,22,19,18,7,0,97,..,8,9,8,11,7,0,0,0,34,..,0,6,4,9,7,0,4,0,21,45,..,..,..,..,..,..,..,..,45,..,20,..,..,..,..,..,..,..,20,..,0,3,0,0,0,0,0,0,8,..,5,0,0,0,0,4,0,0,14,..,3,0,0,0,6,0,0,0,9
POA2611,..,18,802,1960,1422,917,864,611,132,6734,..,130,684,359,268,143,67,18,3,1673,..,0,17,74,113,64,20,20,6,324,3732,..,..,..,..,..,..,..,..,3732,..,890,..,..,..,..,..,..,..,890,..,453,258,106,72,37,8,0,0,922,..,90,97,25,16,16,18,18,16,304,..,80,140,43,10,13,3,4,0,289,..,116,257,70,48,26,23,9,4,541,..,54,250,190,225,186,191,123,62,1269,42,46,45,29,32,15,23,12,3,246,3771,1872,2545,2865,2200,1419,1211,822,221,16925,..,40,1165,2008,1340,902,830,452,59,6796,..,200,674,365,245,114,50,17,0,1659,..,19,119,270,339,173,83,49,35,1073,3533,..,..,..,..,..,..,..,..,3533,..,846,..,..,..,..,..,..,..,846,..,345,162,59,46,9,3,0,0,633,..,73,77,19,17,57,75,58,15,384,..,65,91,21,8,3,3,0,0,193
