POA_CODE_2021,M_Arthritis_0_14,M_Arthritis_15_24,M_Arthritis_25_34,M_Arthritis_35_44,M_Arthritis_45_54,M_Arthritis_55_64,M_Arthritis_65_74,M_Arthritis_75_84,M_Arthritis_85_over,M_Arthritis_Tot,M_Asthma_0_14,M_Asthma_15_24,M_Asthma_25_34,M_Asthma_35_44,M_Asthma_45_54,M_Asthma_55_64,M_Asthma_65_74,M_Asthma_75_84,M_Asthma_85_over,M_Asthma_Tot,M_Cancer_0_14,M_Cancer_15_24,M_Cancer_25_34,M_Cancer_35_44,M_Cancer_45_54,M_Cancer_55_64,M_Cancer_65_74,M_Cancer_75_84,M_Cancer_85_over,M_Cancer_Tot,M_Dementia_0_14,M_Dementia_15_24,M_Dementia_25_34,M_Dementia_35_44,M_Dementia_45_54,M_Dementia_55_64,M_Dementia_65_74,M_Dementia_75_84,M_Dementia_85_over,M_Dementia_Tot,M_Diabetes_0_14,M_Diabetes_15_24,M_Diabetes_25_34,M_Diabetes_35_44,M_Diabetes_45_54,M_Diabetes_55_64,M_Diabetes_65_74,M_Diabetes_75_84,M_Diabetes_85_over,M_Diabetes_Tot,M_Heart_disease_0_14,M_Heart_disease_15_24,M_Heart_disease_25_34,M_Heart_disease_35_44,M_Heart_disease_45_54,M_Heart_disease_55_64,M_Heart_disease_65_74,M_Heart_disease_75_84,M_Heart_disease_85_over,M_Heart_disease_Tot,M_Kidney_disease_0_14,M_Kidney_disease_15_24,M_Kidney_disease_25_34,M_Kidney_disease_35_44,M_Kidney_disease_45_54,M_Kidney_disease_55_64,M_Kidney_disease_65_74,M_Kidney_disease_75_84,M_Kidney_disease_85_over,M_Kidney_disease_Tot,M_Lung_cond_0_14,M_Lung_cond_15_24,M_Lung_cond_25_34,M_Lung_cond_35_44,M_Lung_cond_45_54,M_Lung_cond_55_64,M_Lung_cond_65_74,M_Lung_cond_75_84,M_Lung_cond_85_over,M_Lung_cond_Tot,M_Mental_health_cond_0_14,M_Mental_health_cond_15_24,M_Mental_health_cond_25_34,M_Mental_health_cond_35_44,M_Mental_health_cond_45_54,M_Mental_health_cond_55_64,M_Mental_health_cond_65_74,M_Mental_health_cond_75_84,M_Mental_health_cond_85_over,M_Mental_health_cond_Tot,M_Stroke_0_14,M_Stroke_15_24,M_Stroke_25_34,M_Stroke_35_44,M_Stroke_45_54,M_Stroke_55_64,M_Stroke_65_74,M_Stroke_75_84,M_Stroke_85_over,M_Stroke_Tot,M_Other_0_14,M_Other_15_24,M_Other_25_34,M_Other_35_44,M_Other_45_54,M_Other_55_64,M_Other_65_74,M_Other_75_84,M_Other_85_over,M_Other_Tot,M_None_0_14,M_None_15_24,M_None_25_34,M_None_35_44,M_None_45_54,M_None_55_64,M_None_65_74,M_None_75_84,M_None_85_over,M_None_Tot,M_NS_0_14,M_NS_15_24,M_NS_25_34,M_NS_35_44,M_NS_45_54,M_NS_55_64,M_NS_65_74,M_NS_75_84,M_NS_85_over,M_NS_Tot,M_Tot_0_14,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85_over,M_Tot_Tot,F_Arthritis_0_14,F_Arthritis_15_24,F_Arthritis_25_34,F_Arthritis_35_44,F_Arthritis_45_54,F_Arthritis_55_64,F_Arthritis_65_74,F_Arthritis_75_84,F_Arthritis_85_over,F_Arthritis_Tot,F_Asthma_0_14,F_Asthma_15_24,F_Asthma_25_34,F_Asthma_35_44,F_Asthma_45_54,F_Asthma_55_64,F_Asthma_65_74,F_Asthma_75_84,F_Asthma_85_over,F_Asthma_Tot,F_Cancer_0_14,F_Cancer_15_24,F_Cancer_25_34,F_Cancer_35_44,F_Cancer_45_54,F_Cancer_55_64,F_Cancer_65_74,F_Cancer_75_84,F_Cancer_85_over,F_Cancer_Tot,F_Dementia_0_14,F_Dementia_15_24,F_Dementia_25_34,F_Dementia_35_44,F_Dementia_45_54,F_Dementia_55_64,F_Dementia_65_74,F_Dementia_75_84,F_Dementia_85_over,F_Dementia_Tot,F_Diabetes_0_14,F_Diabetes_15_24,F_Diabetes_25_34,F_Diabetes_35_44,F_Diabetes_45_54,F_Diabetes_55_64,F_Diabetes_65_74,F_Diabetes_75_84,F_Diabetes_85_over,F_Diabetes_Tot,F_Heart_disease_0_14,F_Heart_disease_15_24,F_Heart_disease_25_34,F_Heart_disease_35_44,F_Heart_disease_45_54,F_Heart_disease_55_64,F_Heart_disease_65_74,F_Heart_disease_75_84,F_Heart_disease_85_over,F_Heart_disease_Tot
POA2600,0,0,9,15,22,47,92,66,20,271,47,25,37,31,34,32,44,13,8,271,0,3,0,3,9,30,62,42,19,168,0,0,0,0,0,0,6,5,8,19,0,5,3,5,18,34,38,35,9,147,0,0,3,3,6,28,88,49,30,207,0,0,4,3,3,3,17,12,11,53,0,0,0,0,5,4,19,17,3,48,6,41,48,33,36,36,23,12,4,239,0,0,0,0,0,6,21,7,0,34,32,18,34,20,41,61,79,38,14,337,432,287,336,351,358,292,172,81,21,2330,32,43,50,41,58,45,37,28,4,338,542,407,489,482,555,547,514,291,88,3915,0,7,9,9,43,65,135,122,68,458,30,51,45,62,58,56,61,31,7,401,0,0,3,8,23,41,55,35,20,185,0,0,0,0,0,0,3,16,9,28,0,3,0,6,9,12,35,37,20,122,0,0,6,0,4,18,43,36,34,141
POA2601,0,0,9,3,14,20,10,8,3,67,3,167,62,25,14,14,4,0,0,289,0,7,3,3,4,6,12,0,0,35,0,0,0,0,0,0,0,0,0,0,0,3,4,0,4,13,8,0,4,36,0,3,0,0,0,4,12,4,0,23,0,0,3,0,0,0,3,0,0,6,0,5,0,0,0,0,0,0,0,5,0,166,80,29,26,11,4,0,0,316,0,0,0,0,0,3,0,3,0,6,0,72,41,21,13,17,13,7,0,184,62,1202,660,220,140,70,48,17,5,2424,3,339,95,24,18,15,3,3,4,504,72,1891,927,319,205,138,98,39,10,3699,0,8,4,5,8,16,18,13,4,76,0,204,50,20,12,11,6,3,0,306,0,4,0,0,4,7,11,7,0,33,0,0,0,0,0,0,0,4,0,4,0,4,3,4,6,11,10,0,0,38,0,0,0,0,0,5,4,7,0,16
POA2602,9,3,29,73,131,209,233,149,86,922,224,229,244,249,177,127,96,53,15,1414,4,4,11,27,39,84,118,86,33,406,0,0,0,0,0,5,17,54,67,143,0,5,23,40,82,134,121,88,33,526,0,4,12,26,59,100,153,139,95,588,0,0,4,10,15,20,34,35,22,140,0,0,7,6,19,51,62,53,29,227,83,265,348,265,232,181,88,57,27,1546,0,3,3,3,13,22,36,31,22,133,151,112,175,196,231,225,187,94,53,1424,2391,1592,2122,1650,1307,839,448,148,60,10557,154,152,193,155,104,104,69,35,28,994,2961,2269,3025,2507,2133,1689,1180,595,332,16691,0,24,65,92,194,369,416,351,191,1702,133,262,344,281,253,226,153,86,48,1786,5,5,15,62,79,101,116,70,39,492,0,0,0,0,0,4,20,67,128,219,3,23,27,42,53,106,102,99,65,520,0,9,5,8,19,50,86,122,114,413
POA2603,3,3,16,13,49,55,92,48,33,312,40,79,79,36,46,33,41,18,4,376,0,0,3,3,18,32,51,44,18,169,0,0,0,0,0,5,9,11,14,39,0,5,8,11,11,40,38,23,17,153,0,4,0,6,17,28,99,67,28,249,0,0,3,3,4,7,18,12,11,58,0,0,0,0,7,9,11,19,10,56,13,49,70,45,55,49,32,8,14,335,0,0,0,0,0,8,7,12,4,31,30,35,44,30,64,86,70,48,14,421,640,498,563,425,490,351,181,85,17,3250,45,47,42,33,31,42,28,11,0,279,767,699,788,585,731,648,485,265,97,5065,5,5,14,28,54,113,152,118,95,584,30,54,82,60,77,49,56,27,21,456,0,0,6,5,21,41,48,37,17,175,0,0,0,0,0,0,5,31,66,102,0,4,7,12,18,25,34,21,13,134,0,0,0,7,0,19,26,41,52,145
POA2604,4,0,21,39,31,71,81,65,18,330,49,51,102,81,49,51,31,16,5,435,0,0,3,14,9,31,59,33,7,156,0,0,0,0,0,6,9,20,31,66,3,0,6,15,20,51,66,24,7,192,0,0,0,9,12,52,64,53,12,202,0,0,0,3,0,11,17,11,3,45,0,0,0,5,9,8,22,23,6,73,13,59,128,85,65,60,38,13,10,471,0,0,0,0,4,6,15,20,3,48,32,32,80,64,64,105,90,56,27,550,702,454,923,691,526,321,199,66,14,3896,70,54,134,98,77,73,48,22,8,584,865,640,1343,1029,807,699,546,266,84,6279,0,5,21,45,81,144,146,107,63,612,44,63,177,108,85,75,52,32,17,653,0,0,3,12,36,41,60,30,21,203,0,0,0,0,0,0,6,22,50,78,0,0,14,8,24,31,40,22,16,155,0,3,4,13,13,13,27,38,27,138
POA2605,0,6,11,24,39,69,106,86,53,394,92,75,45,59,62,67,45,34,14,493,0,0,4,3,9,34,57,63,24,194,0,0,0,0,0,0,3,33,40,76,3,6,3,18,32,41,59,57,23,242,7,6,3,6,21,43,55,93,58,292,3,0,0,0,11,5,15,24,12,70,0,0,0,3,3,3,22,27,10,68,26,56,67,67,76,44,32,23,16,407,0,0,0,0,3,5,9,13,17,47,64,41,36,59,82,99,77,54,33,545,1042,442,468,609,529,373,200,82,39,3784,45,31,33,36,53,35,30,28,11,302,1264,630,632,838,822,713,522,368,194,5983,3,4,11,35,72,158,153,218,129,783,61,70,49,94,89,72,67,58,30,590,0,0,0,12,33,46,54,68,36,249,0,0,0,0,0,4,7,42,81,134,3,0,8,14,17,35,37,56,35,205,0,0,0,3,7,26,21,71,75,203
POA2606,0,3,15,28,40,58,56,55,29,284,37,43,86,79,50,37,26,11,9,378,0,0,7,6,14,26,24,28,11,116,0,0,0,0,0,0,6,5,7,18,0,4,9,23,33,49,49,37,18,222,3,0,7,4,23,35,58,64,38,232,3,0,3,3,4,6,11,5,11,46,4,4,0,4,3,5,13,26,7,66,8,65,117,96,66,46,18,11,0,427,0,0,0,3,3,0,4,14,7,31,35,27,67,78,73,87,64,29,14,474,709,483,1131,691,384,269,129,81,13,3890,46,50,85,46,42,42,15,16,10,352,834,653,1472,983,654,541,353,266,108,5864,4,6,18,31,67,99,116,149,59,549,27,73,153,73,74,59,44,47,14,564,0,0,6,7,21,29,34,45,16,158,0,0,0,0,0,0,3,13,10,26,0,3,13,15,33,49,37,48,10,208,0,6,3,7,6,16,26,56,27,147
POA2607,0,5,8,25,59,101,105,117,62,482,78,75,78,74,71,62,55,30,8,531,0,3,0,6,17,38,70,80,31,245,0,0,0,0,0,0,10,19,24,53,0,7,4,26,44,88,93,70,28,360,0,0,4,9,21,52,108,133,44,371,0,0,0,4,10,10,20,21,19,84,0,0,0,6,6,16,16,51,26,121,37,75,65,80,69,63,48,24,4,465,0,0,0,0,7,13,22,20,16,78,81,60,36,50,86,119,106,78,32,648,1130,630,638,618,586,449,238,148,40,4477,96,53,60,41,65,50,40,24,19,448,1413,875,857,889,947,877,668,531,203,7260,0,9,16,29,109,175,245,283,108,974,65,55,97,100,105,93,88,79,21,703,4,0,8,19,33,53,63,67,24,271,0,0,0,0,0,0,4,26,25,55,0,0,8,18,45,51,62,83,26,293,0,0,3,0,11,22,50,99,61,246
POA2609,0,0,0,0,14,13,16,8,0,51,3,5,9,3,7,7,3,7,0,44,0,0,0,0,0,0,3,6,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,10,3,0,28,0,0,0,0,6,6,5,3,0,20,0,0,0,0,0,0,6,0,0,6,0,0,0,0,8,6,3,10,0,27,0,4,11,8,8,13,10,0,0,54,0,0,0,0,0,0,4,5,3,12,0,0,4,9,3,15,7,5,0,43,29,60,57,32,44,44,19,14,0,299,10,25,27,36,31,41,22,6,4,202,42,96,97,82,100,126,70,41,9,663,0,0,0,0,11,9,32,6,0,58,0,8,0,3,11,0,9,0,0,31,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,9,4,0,25,0,0,0,0,0,0,3,0,0,3
POA2611,0,3,34,79,137,175,254,233,88,1003,257,169,218,258,184,110,113,61,21,1391,4,3,6,26,37,60,139,134,47,456,0,0,0,4,0,0,24,40,44,112,3,12,30,71,103,137,208,160,40,764,7,8,8,39,50,97,201,206,93,709,9,6,6,20,15,27,43,50,20,196,0,6,4,12,21,41,71,72,25,252,100,181,233,250,219,136,103,56,18,1296,0,0,0,3,16,16,29,41,27,132,193,92,153,231,212,216,193,147,37,1474,3195,1420,1946,2063,1415,756,455,245,49,11544,199,136,167,140,122,86,67,56,26,999,3898,1957,2675,2977,2273,1506,1314,915,294,17809,0,18,60,119,254,380,514,434,186,1965,164,180,310,299,238,190,188,105,38,1712,5,0,19,34,76,102,159,125,42,562,0,0,0,0,0,4,18,69,70,161,10,9,29,61,88,121,168,130,44,660,8,5,3,15,25,64,124,145,90,479
