POA_CODE_2021,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
POA2600,1150,887,989,1033,1138,1072,1126,610,238,8255
POA2601,154,4325,1718,582,355,277,184,71,23,7680
POA2602,5663,4835,6192,5195,4445,3480,2473,1434,828,34540
POA2603,1484,1278,1613,1251,1463,1323,999,563,326,10306
POA2604,1702,1324,2800,2132,1632,1476,1110,575,280,13034
POA2605,2455,1315,1268,1782,1697,1452,1094,886,547,12488
POA2606,1685,1368,3058,1857,1379,1079,797,620,225,12071
POA2607,2628,1627,1680,1905,1957,1826,1417,1229,453,14717
POA2609,100,166,153,132,161,204,138,79,10,1136
POA2611,7592,3837,5620,6062,4606,3219,2909,1996,702,36535
POA2612,1507,4399,5359,2514,1731,1544,1112,581,220,18965
POA2614,3650,2313,2865,2893,2664,2117,1905,1569,610,20595
POA2615,10054,5307,6734,7672,6151,4718,4169,2072,481,47356
POA2617,5546,6195,8820,5406,3736,3197,3168,1432,577,38073
POA2618,256,171,108,170,239,173,175,94,18,1397
POA2900,457,453,1051,590,419,419,408,272,105,4177
POA2902,2942,1749,1855,2131,2100,1798,2020,887,191,15670
POA2903,1895,1027,1215,1338,1185,1218,1186,404,106,9588
POA2904,2525,1357,1451,1773,1577,1837,1615,701,349,13196
POA2905,5735,3507,4123,3918,3731,4058,2396,931,319,28731
POA2906,3630,2368,2484,2449,2724,2405,1231,610,208,18107
POA2911,1197,447,861,1060,555,284,218,140,38,4804
POA2912,1376,1262,2390,1415,996,632,357,148,33,8604
POA2913,8479,4720,7091,6922,4975,3547,2376,1055,226,39396
POA2914,9123,4258,5932,7059,4566,2007,1136,431,72,34576
