POA_CODE_2021,Count_home_Census_Nt_0_14_yr,Count_hom_Census_Nt_15_24_yr,Count_hom_Census_Nt_25_34_yr,Count_hom_Census_Nt_35_44_yr,Count_hom_Census_Nt_45_54_yr,Count_hom_Census_Nt_55_64_yr,Count_hom_Census_Nt_65_74_yr,Count_hom_Census_Nt_75_84_yr,Count_hom_Census_Nt_85ov,Counted_home_Census_Night_Tot,VisSame_SA2_0_14_yr,VisSame_SA2_15_24_yr,VisSame_SA2_25_34_yr,VisSame_SA2_35_44_yr,VisSame_SA2_45_54_yr,VisSame_SA2_55_64_yr,VisSame_SA2_65_74_yr,VisSame_SA2_75_84_yr,VisSame_SA2_85ov,VisSame_SA2_Total,VisDiff_SA2_NSW_0_14_yr,VisDiff_SA2_NSW_15_24_yr,VisDiff_SA2_NSW_25_34_yr,VisDiff_SA2_NSW_35_44_yr,VisDiff_SA2_NSW_45_54_yr,VisDiff_SA2_NSW_55_64_yr,VisDiff_SA2_NSW_65_74_yr,VisDiff_SA2_NSW_75_84_yr,VisDiff_SA2_NSW_85ov,VisDiff_SA2_NSW_Total,VisDiff_SA2_VIC_0_14_yr,VisDiff_SA2_VIC_15_24_yr,VisDiff_SA2_VIC_25_34_yr,VisDiff_SA2_VIC_35_44_yr,VisDiff_SA2_VIC_45_54_yr,VisDiff_SA2_VIC_55_64_yr,VisDiff_SA2_VIC_65_74_yr,VisDiff_SA2_VIC_75_84_yr,VisDiff_SA2_VIC_85ov,VisDiff_SA2_VIC_Total,VisDiff_SA2_QLD_0_14_yr,VisDiff_SA2_QLD_15_24_yr,VisDiff_SA2_QLD_25_34_yr,VisDiff_SA2_QLD_35_44_yr,VisDiff_SA2_QLD_45_54_yr,VisDiff_SA2_QLD_55_64_yr,VisDiff_SA2_QLD_65_74_yr,VisDiff_SA2_QLD_75_84_yr,VisDiff_SA2_QLD_85ov,VisDiff_SA2_QLD_Total,VisDiff_SA2_SA_0_14_yr,VisDiff_SA2_SA_15_24_yr,VisDiff_SA2_SA_25_34_yr,VisDiff_SA2_SA_35_44_yr,VisDiff_SA2_SA_45_54_yr,VisDiff_SA2_SA_55_64_yr,VisDiff_SA2_SA_65_74_yr,VisDiff_SA2_SA_75_84_yr,VisDiff_SA2_SA_85ov,VisDiff_SA2_SA_Total,VisDiff_SA2_WA_0_14_yr,VisDiff_SA2_WA_15_24_yr,VisDiff_SA2_WA_25_34_yr,VisDiff_SA2_WA_35_44_yr,VisDiff_SA2_WA_45_54_yr,VisDiff_SA2_WA_55_64_yr,VisDiff_SA2_WA_65_74_yr,VisDiff_SA2_WA_75_84_yr,VisDiff_SA2_WA_85ov,VisDiff_SA2_WA_Total,VisDiff_SA2_TAS_0_14_yr,VisDiff_SA2_TAS_15_24_yr,VisDiff_SA2_TAS_25_34_yr,VisDiff_SA2_TAS_35_44_yr,VisDiff_SA2_TAS_45_54_yr,VisDiff_SA2_TAS_55_64_yr,VisDiff_SA2_TAS_65_74_yr,VisDiff_SA2_TAS_75_84_yr,VisDiff_SA2_TAS_85ov,VisDiff_SA2_TAS_Total,VisDiff_SA2_NT_0_14_yr,VisDiff_SA2_NT_15_24_yr,VisDiff_SA2_NT_25_34_yr,VisDiff_SA2_NT_35_44_yr,VisDiff_SA2_NT_45_54_yr,VisDiff_SA2_NT_55_64_yr,VisDiff_SA2_NT_65_74_yr,VisDiff_SA2_NT_75_84_yr,VisDiff_SA2_NT_85ov,VisDiff_SA2_NT_Total,VisDiff_SA2_ACT_0_14_yr,VisDiff_SA2_ACT_15_24_yr,VisDiff_SA2_ACT_25_34_yr,VisDiff_SA2_ACT_35_44_yr,VisDiff_SA2_ACT_45_54_yr,VisDiff_SA2_ACT_55_64_yr,VisDiff_SA2_ACT_65_74_yr,VisDiff_SA2_ACT_75_84_yr,VisDiff_SA2_ACT_85ov,VisDiff_SA2_ACT_Total,VisDiff_SA2_OT_0_14_yr,VisDiff_SA2_OT_15_24_yr,VisDiff_SA2_OT_25_34_yr,VisDiff_SA2_OT_35_44_yr,VisDiff_SA2_OT_45_54_yr,VisDiff_SA2_OT_55_64_yr,VisDiff_SA2_OT_65_74_yr,VisDiff_SA2_OT_75_84_yr,VisDiff_SA2_OT_85ov,VisDiff_SA2_OT_Total,VisDiff_SA2_Tot_0_14_yr,VisDiff_SA2_Tot_15_24_yr,VisDiff_SA2_Tot_25_34_yr,VisDiff_SA2_Tot_35_44_yr,VisDiff_SA2_Tot_45_54_yr,VisDiff_SA2_Tot_55_64_yr,VisDiff_SA2_Tot_65_74_yr,VisDiff_SA2_Tot_75_84_yr,VisDiff_SA2_Tot_85ov,VisDiff_SA2_Tot_Total,Vis_Tot_Visitrs_0_14_yr,Vis_Tot_Visitrs_15_24_yr,Vis_Tot_Visitrs_25_34_yr,Vis_Tot_Visitrs_35_44_yr,Vis_Tot_Visitrs_45_54_yr,Vis_Tot_Visitrs_55_64_yr,Vis_Tot_Visitrs_65_74_yr,Vis_Tot_Visitrs_75_84_yr,Vis_Tot_Visitrs_85ov,Vis_Tot_Visitrs_Total,Total_0_14_yr,Total_15_24_yr,Total_25_34_yr,Total_35_44_yr,Total_45_54_yr,Total_55_64_yr,Total_65_74_yr,Total_75_84_yr,Total_85ov,Total_Total
POA2600,1119,849,953,1005,1092,1002,1021,572,233,7838,0,0,0,0,0,0,0,0,0,4,15,37,54,42,35,27,34,15,4,267,0,0,12,3,11,7,5,0,0,45,0,6,9,3,9,4,6,0,0,40,0,0,0,6,3,0,0,0,0,8,0,0,0,0,0,3,0,0,0,10,0,0,0,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,16,36,46,30,20,32,14,25,14,237,0,0,0,0,0,0,0,0,0,0,36,87,122,91,85,75,51,40,16,611,36,92,122,91,85,77,53,40,16,613,1151,934,1073,1092,1186,1075,1079,608,253,8454
POA2601,148,3935,1653,560,343,246,157,56,15,7121,0,18,0,6,4,0,0,0,0,27,15,239,54,45,44,36,8,0,0,435,0,94,16,13,4,15,4,0,0,146,0,41,18,13,18,8,4,0,0,99,0,20,4,0,6,3,0,0,0,34,0,24,14,0,4,0,3,0,0,52,0,11,0,0,9,0,6,0,0,24,0,0,0,0,0,0,0,0,0,0,11,55,47,13,17,14,19,0,0,172,0,0,0,0,0,0,0,0,0,0,24,484,156,89,100,79,34,4,0,966,24,504,161,91,100,79,36,6,0,992,170,4438,1809,650,439,326,195,64,19,8115
POA2602,5504,4652,5919,4967,4294,3268,2298,1364,790,33043,9,3,5,3,10,9,4,4,6,51,21,70,75,49,49,88,39,11,3,408,0,14,12,11,7,15,12,4,0,77,3,4,12,3,11,18,11,0,0,54,0,6,0,0,0,0,5,0,0,11,0,0,0,0,0,3,3,0,0,9,4,0,0,0,7,0,3,0,0,20,0,0,0,0,0,4,0,0,0,3,59,104,129,75,54,40,34,18,11,523,0,0,0,0,0,0,0,0,0,0,92,201,231,152,124,169,97,29,15,1109,96,207,236,154,130,177,105,39,25,1161,5602,4852,6153,5121,4417,3444,2401,1401,817,34204
POA2603,1460,1237,1540,1216,1420,1247,920,535,319,9896,0,0,0,0,0,5,0,0,0,4,12,62,58,27,54,40,39,4,0,302,0,6,19,5,10,11,5,0,0,70,6,12,4,5,9,8,0,0,0,50,0,0,8,0,3,4,0,0,0,20,3,0,3,8,0,10,0,0,0,26,0,4,0,0,8,4,8,0,0,21,0,0,0,0,0,0,0,0,0,3,30,63,29,32,30,20,11,11,0,227,0,0,0,0,0,0,0,0,0,0,50,146,128,82,117,103,64,19,4,707,48,146,128,80,117,107,64,19,4,713,1506,1385,1669,1303,1537,1354,982,550,323,10611
POA2604,1653,1257,2667,2047,1569,1388,1025,556,272,12425,0,0,0,3,0,4,4,0,0,15,17,49,80,26,55,64,39,6,4,333,0,3,23,10,15,13,8,0,0,65,0,4,9,14,16,12,9,0,0,53,0,0,0,0,3,7,0,0,0,16,0,0,10,7,4,6,5,3,0,38,0,0,0,0,0,3,0,0,0,8,0,0,0,0,3,0,0,0,0,4,35,55,64,21,19,22,5,5,0,228,0,0,0,0,0,0,0,0,0,0,55,116,183,73,112,122,63,20,5,738,52,120,183,75,118,128,63,20,4,756,1706,1374,2850,2119,1683,1509,1083,572,276,13181
POA2605,2394,1259,1219,1718,1631,1386,1031,836,530,12002,0,0,0,0,0,5,4,0,4,16,13,35,35,21,26,47,60,22,20,287,0,4,5,5,4,4,3,6,0,22,0,0,0,4,0,9,5,6,0,22,0,0,0,0,0,5,9,4,0,11,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,29,37,79,50,64,42,72,102,95,566,0,0,0,0,0,0,0,0,0,0,44,74,126,82,96,109,144,132,118,924,47,74,125,82,94,105,144,134,116,935,2444,1333,1343,1799,1726,1495,1175,977,647,12942
POA2606,1646,1302,2970,1790,1314,1014,755,587,211,11584,0,0,0,3,0,0,3,4,0,17,4,27,25,12,19,23,35,9,3,163,0,3,5,4,3,0,4,0,0,24,0,4,11,6,3,0,0,0,0,25,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,3,6,0,3,0,0,0,0,0,0,9,24,34,34,19,17,10,4,3,0,147,0,0,0,0,0,0,0,0,0,0,31,72,79,42,45,41,43,16,5,374,30,72,83,49,45,35,46,17,9,392,1677,1372,3050,1837,1355,1052,805,606,219,11979
POA2607,2563,1581,1607,1852,1887,1721,1355,1165,435,14166,3,0,0,0,3,0,4,0,0,10,13,24,22,9,15,8,10,3,0,98,0,0,0,0,5,3,6,0,0,12,0,3,3,0,3,6,8,0,0,15,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,6,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,22,31,27,22,19,15,8,10,0,152,0,0,0,0,0,0,0,0,0,0,37,62,53,30,36,35,31,15,3,296,40,58,55,30,39,35,29,13,3,300,2606,1642,1662,1886,1930,1754,1380,1176,437,14470
POA2609,89,160,153,119,160,193,129,73,6,1083,0,0,0,0,0,0,0,0,0,0,3,6,5,4,0,8,9,0,0,39,0,0,4,4,0,3,0,0,0,10,0,9,0,7,0,3,6,3,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,0,9,7,13,6,4,0,0,38,0,0,0,0,0,0,0,0,0,0,5,11,26,23,10,20,22,6,0,121,5,11,26,23,10,19,22,6,0,121,100,168,176,140,176,209,151,80,8,1205
POA2611,7446,3699,5435,5935,4484,3056,2757,1893,673,35382,10,3,4,4,0,0,3,9,0,27,16,38,40,30,20,42,47,14,0,241,0,0,8,6,0,10,8,0,0,44,4,5,9,3,3,0,3,0,0,27,0,0,0,0,0,0,0,0,0,9,6,0,0,0,0,3,4,0,0,12,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,65,83,85,57,41,29,26,13,13,416,0,0,0,0,0,0,0,0,0,0,80,126,146,102,67,94,91,34,17,762,88,130,151,105,67,101,97,41,18,788,7531,3827,5587,6035,4556,3150,2857,1933,686,36168
POA2612,1476,4246,5123,2399,1644,1460,1028,539,213,18123,0,4,9,0,0,0,4,0,0,24,6,69,61,45,49,48,39,7,0,330,3,21,22,13,15,16,0,0,0,94,3,23,34,22,20,12,14,0,0,131,0,3,0,0,5,7,5,0,0,21,0,4,5,7,9,0,0,0,0,28,0,0,5,3,5,3,4,3,0,19,0,0,12,0,6,0,0,0,0,17,24,98,101,60,36,31,10,10,0,381,0,0,0,0,0,0,0,0,0,0,39,224,237,154,142,120,76,21,0,1005,39,230,248,154,145,120,77,21,0,1027,1521,4470,5369,2552,1786,1582,1101,555,213,19152
POA2614,3599,2228,2757,2811,2595,1993,1800,1489,587,19847,7,3,4,4,3,0,0,4,4,26,10,36,21,16,19,25,27,17,0,169,0,0,12,5,0,3,0,0,0,28,3,0,4,8,0,6,0,0,0,19,0,0,0,0,0,0,0,0,0,3,0,6,3,0,0,0,0,0,0,13,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,32,52,56,40,24,16,7,8,3,247,0,0,0,0,0,0,0,0,0,0,46,101,93,71,51,56,37,25,3,479,51,101,96,74,53,56,40,26,6,505,3650,2328,2847,2879,2648,2049,1835,1518,593,20357
POA2615,9910,5111,6520,7480,5963,4533,3987,1996,474,45973,3,0,0,3,8,0,15,10,0,35,15,45,44,20,29,35,34,15,4,242,9,8,9,9,10,0,10,0,0,45,9,3,0,3,3,5,3,0,0,31,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,5,0,0,4,0,0,4,3,0,0,10,4,0,0,0,0,0,0,0,0,7,111,130,118,82,60,39,27,19,5,592,0,0,0,0,0,0,0,0,0,0,144,185,183,117,107,81,83,37,4,946,145,193,184,123,110,86,90,46,8,979,10059,5299,6703,7605,6072,4618,4077,2038,483,46953
POA2617,5446,5933,8522,5273,3589,3035,2999,1375,561,36738,0,9,4,0,5,0,9,0,3,44,21,174,62,53,56,48,40,14,9,480,5,16,18,10,11,14,3,0,0,71,0,5,8,3,3,8,0,0,0,41,0,0,6,0,0,0,0,0,0,10,0,9,0,0,0,0,0,0,0,15,0,3,0,4,0,0,5,0,0,13,0,0,0,0,0,0,0,0,0,8,62,130,154,94,74,55,58,53,24,709,0,0,0,0,0,0,0,0,0,0,83,339,251,173,144,123,117,68,41,1342,85,353,259,170,148,130,128,63,42,1377,5538,6283,8776,5447,3739,3161,3129,1443,599,38120
POA2618,244,168,102,152,225,169,164,86,18,1334,0,0,0,0,0,0,0,0,0,0,0,9,0,0,4,0,3,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,5,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,17,10,5,4,4,3,3,0,41,0,17,10,5,4,4,3,3,0,41,251,178,115,160,226,170,166,94,18,1374
POA2900,446,439,1029,577,388,406,378,260,96,4031,0,0,0,0,0,0,6,3,0,3,0,8,6,7,5,4,4,0,0,38,0,0,0,6,0,0,0,0,0,14,0,4,0,3,0,3,0,0,0,13,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,12,13,12,13,8,3,0,0,84,0,0,0,0,0,0,0,0,0,0,27,19,27,27,24,15,15,0,0,154,27,19,27,27,24,15,16,6,0,157,474,459,1054,606,416,423,400,270,98,4187
