POA_CODE_2021,M_Current_ADF_Regular_15_24,M_Current_ADF_Regular_25_34,M_Current_ADF_Regular_35_44,M_Current_ADF_Regular_45_54,M_Current_ADF_Regular_55_64,M_Current_ADF_Regular_65_74,M_Current_ADF_Regular_75_84,M_Current_ADF_Regular_85_ov,M_Current_ADF_Regular_Tot,M_Current_ADF_Reserves_15_24,M_Current_ADF_Reserves_25_34,M_Current_ADF_Reserves_35_44,M_Current_ADF_Reserves_45_54,M_Current_ADF_Reserves_55_64,M_Current_ADF_Reserves_65_74,M_Current_ADF_Reserves_75_84,M_Current_ADF_Reserves_85_ov,M_Current_ADF_Reserves_Tot,M_Prev_ADF_Ncs_15_24,M_Prev_ADF_Ncs_25_34,M_Prev_ADF_Ncs_35_44,M_Prev_ADF_Ncs_45_54,M_Prev_ADF_Ncs_55_64,M_Prev_ADF_Ncs_65_74,M_Prev_ADF_Ncs_75_84,M_Prev_ADF_Ncs_85_ov,M_Prev_ADF_Ncs_Tot,M_Tot_ADF_ev_ser_15_24,M_Tot_ADF_ev_ser_25_34,M_Tot_ADF_ev_ser_35_44,M_Tot_ADF_ev_ser_45_54,M_Tot_ADF_ev_ser_55_64,M_Tot_ADF_ev_ser_65_74,M_Tot_ADF_ev_ser_75_84,M_Tot_ADF_ev_ser_85_ov,M_Tot_ADF_ev_ser_Tot,M_never_served_15_24,M_never_served_25_34,M_never_served_35_44,M_never_served_45_54,M_never_served_55_64,M_never_served_65_74,M_never_served_75_84,M_never_served_85_ov,M_never_served_Tot,M_NS_15_24,M_NS_25_34,M_NS_35_44,M_NS_45_54,M_NS_55_64,M_NS_65_74,M_NS_75_84,M_NS_85_ov,M_NS_Tot,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85_ov,M_Tot_Tot,F_Current_ADF_Regular_15_24,F_Current_ADF_Regular_25_34,F_Current_ADF_Regular_35_44,F_Current_ADF_Regular_45_54,F_Current_ADF_Regular_55_64,F_Current_ADF_Regular_65_74,F_Current_ADF_Regular_75_84,F_Current_ADF_Regular_85_ov,F_Current_ADF_Regular_Tot,F_Current_ADF_Reserves_15_24,F_Current_ADF_Reserves_25_34,F_Current_ADF_Reserves_35_44,F_Current_ADF_Reserves_45_54,F_Current_ADF_Reserves_55_64,F_Current_ADF_Reserves_65_74,F_Current_ADF_Reserves_75_84,F_Current_ADF_Reserves_85_ov,F_Current_ADF_Reserves_Tot,F_Prev_ADF_Ncs_15_24,F_Prev_ADF_Ncs_25_34,F_Prev_ADF_Ncs_35_44,F_Prev_ADF_Ncs_45_54,F_Prev_ADF_Ncs_55_64,F_Prev_ADF_Ncs_65_74,F_Prev_ADF_Ncs_75_84,F_Prev_ADF_Ncs_85_ov,F_Prev_ADF_Ncs_Tot,F_Tot_ADF_ev_ser_15_24,F_Tot_ADF_ev_ser_25_34,F_Tot_ADF_ev_ser_35_44,F_Tot_ADF_ev_ser_45_54,F_Tot_ADF_ev_ser_55_64,F_Tot_ADF_ev_ser_65_74,F_Tot_ADF_ev_ser_75_84,F_Tot_ADF_ev_ser_85_ov,F_Tot_ADF_ev_ser_Tot,F_never_served_15_24,F_never_served_25_34,F_never_served_35_44,F_never_served_45_54,F_never_served_55_64,F_never_served_65_74,F_never_served_75_84,F_never_served_85_ov,F_never_served_Tot,F_NS_15_24,F_NS_25_34,F_NS_35_44,F_NS_45_54,F_NS_55_64,F_NS_65_74,F_NS_75_84,F_NS_85_ov,F_NS_Tot,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85_ov,F_Tot_Tot,P_Current_ADF_Regular_15_24,P_Current_ADF_Regular_25_34,P_Current_ADF_Regular_35_44,P_Current_ADF_Regular_45_54,P_Current_ADF_Regular_55_64,P_Current_ADF_Regular_65_74,P_Current_ADF_Regular_75_84,P_Current_ADF_Regular_85_ov,P_Current_ADF_Regular_Tot,P_Current_ADF_Reserves_15_24,P_Current_ADF_Reserves_25_34,P_Current_ADF_Reserves_35_44,P_Current_ADF_Reserves_45_54,P_Current_ADF_Reserves_55_64,P_Current_ADF_Reserves_65_74,P_Current_ADF_Reserves_75_84,P_Current_ADF_Reserves_85_ov,P_Current_ADF_Reserves_Tot,P_Prev_ADF_Ncs_15_24,P_Prev_ADF_Ncs_25_34,P_Prev_ADF_Ncs_35_44,P_Prev_ADF_Ncs_45_54,P_Prev_ADF_Ncs_55_64,P_Prev_ADF_Ncs_65_74,P_Prev_ADF_Ncs_75_84,P_Prev_ADF_Ncs_85_ov,P_Prev_ADF_Ncs_Tot,P_Tot_ADF_ev_ser_15_24,P_Tot_ADF_ev_ser_25_34,P_Tot_ADF_ev_ser_35_44,P_Tot_ADF_ev_ser_45_54,P_Tot_ADF_ev_ser_55_64,P_Tot_ADF_ev_ser_65_74,P_Tot_ADF_ev_ser_75_84,P_Tot_ADF_ev_ser_85_ov,P_Tot_ADF_ev_ser_Tot,P_never_served_15_24,P_never_served_25_34,P_never_served_35_44,P_never_served_45_54,P_never_served_55_64,P_never_served_65_74,P_never_served_75_84,P_never_served_85_ov,P_never_served_Tot,P_NS_15_24,P_NS_25_34,P_NS_35_44,P_NS_45_54,P_NS_55_64,P_NS_65_74,P_NS_75_84,P_NS_85_ov,P_NS_Tot,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_ov,P_Tot_Tot
POA2600,14,34,28,35,18,0,0,0,129,0,8,16,11,13,0,0,0,44,3,12,15,54,53,76,47,31,306,15,54,55,99,83,76,47,31,471,361,400,391,416,433,399,225,54,2676,33,34,31,41,33,34,18,3,225,407,489,482,555,547,514,291,88,3370,11,14,15,13,6,0,0,0,47,0,0,9,0,5,0,0,0,16,0,5,6,19,11,5,6,0,52,8,23,29,33,16,5,6,0,125,432,428,499,520,490,570,301,142,3380,34,52,28,30,19,38,19,12,229,472,502,557,587,526,616,328,151,3734,25,49,38,45,20,0,0,0,179,3,10,25,13,13,0,0,0,63,3,25,25,78,63,91,51,31,357,23,79,87,131,98,91,51,31,595,797,825,885,936,922,969,523,196,6054,65,91,58,71,49,68,44,13,461,887,989,1033,1138,1072,1126,610,238,7110
POA2601,15,21,15,22,3,0,0,0,86,13,11,0,0,3,0,0,0,36,7,15,9,17,21,10,9,0,90,37,51,30,48,33,10,9,0,215,1523,785,261,144,96,81,26,11,2923,337,93,21,8,15,7,4,0,475,1891,927,319,205,138,98,39,10,3619,3,5,7,3,0,0,0,0,22,0,5,0,0,0,0,0,0,6,0,0,0,4,10,4,0,0,23,8,7,9,8,9,4,0,0,48,1978,722,224,136,117,75,36,6,3302,442,67,25,7,7,5,0,0,563,2434,800,258,156,137,87,35,8,3912,26,34,21,30,3,0,0,0,117,19,14,6,3,9,0,0,0,40,7,18,9,20,26,15,7,0,110,46,59,38,56,40,15,7,0,269,3504,1502,492,282,215,159,52,15,6227,773,157,52,17,20,7,5,3,1037,4325,1718,582,355,277,184,71,23,7527
POA2602,22,42,73,67,25,0,0,0,227,15,32,38,24,20,0,0,0,125,15,43,79,130,118,105,98,82,665,54,120,184,221,163,105,98,82,1018,2134,2769,2214,1862,1460,1024,454,217,12127,83,132,107,49,65,54,39,36,575,2269,3025,2507,2133,1689,1180,595,332,13720,9,26,32,22,0,0,0,0,91,3,18,4,4,4,0,0,0,28,3,6,38,43,40,11,14,9,157,14,48,72,70,40,11,14,9,282,2476,3001,2524,2184,1696,1233,763,428,14299,73,126,93,61,57,38,65,61,578,2567,3171,2690,2309,1798,1287,838,497,15156,29,70,102,89,27,0,0,0,321,17,44,45,26,20,0,0,0,156,22,51,106,176,158,114,111,95,829,64,166,254,293,204,114,111,95,1302,4609,5766,4737,4043,3154,2262,1212,640,26425,159,262,197,113,121,99,106,92,1152,4835,6192,5195,4445,3480,2473,1434,828,28876
POA2603,16,25,28,35,15,0,0,0,113,0,23,6,14,11,0,0,0,54,0,17,28,51,66,59,46,26,295,20,66,59,110,89,59,46,26,471,660,692,500,605,540,408,210,64,3678,23,36,21,21,22,16,7,8,156,699,788,585,731,648,485,265,97,4302,10,15,18,14,8,0,0,0,65,3,5,3,3,5,0,0,0,19,0,6,13,20,25,5,3,5,69,10,26,36,37,32,5,3,5,157,550,772,618,670,619,491,280,208,4207,19,26,19,26,18,16,9,10,150,578,825,666,734,670,513,301,227,4518,21,43,43,48,24,0,0,0,178,3,26,12,17,14,0,0,0,80,0,24,38,72,85,68,51,29,368,30,89,98,142,123,68,51,29,626,1207,1461,1115,1276,1154,903,491,279,7887,39,63,41,44,42,32,25,23,303,1278,1613,1251,1463,1323,999,563,326,8817
POA2604,27,65,87,64,23,0,0,0,262,5,32,24,15,22,0,0,0,99,3,66,61,41,76,74,42,12,382,37,164,170,126,124,74,42,12,746,562,1064,782,622,521,419,183,36,4191,37,117,75,57,53,57,39,33,473,640,1343,1029,807,699,546,266,84,5412,20,40,39,18,5,0,0,0,124,0,19,9,12,0,0,0,0,34,3,9,23,33,15,8,0,3,102,24,64,69,62,19,8,0,3,259,608,1282,961,711,708,514,274,127,5171,54,102,75,53,49,43,41,62,487,685,1456,1104,829,776,562,312,195,5915,47,109,124,81,23,0,0,0,382,3,50,34,22,29,0,0,0,139,6,70,90,82,93,83,44,16,486,61,226,241,190,147,83,44,16,1003,1171,2352,1742,1330,1225,926,460,160,9364,100,223,152,113,104,96,73,98,957,1324,2800,2132,1632,1476,1110,575,280,11329
POA2605,0,11,31,35,3,0,0,0,80,6,8,7,12,20,0,0,0,46,3,14,40,48,81,63,69,64,388,10,30,79,92,107,63,69,64,516,607,578,735,694,591,431,282,123,4035,17,26,27,34,19,26,20,4,172,630,632,838,822,713,522,368,194,4724,0,0,11,13,0,0,0,0,24,0,6,0,5,3,0,0,0,15,0,0,14,18,23,22,13,8,101,0,6,29,39,26,22,13,8,139,668,609,881,807,694,526,478,313,4978,15,26,29,31,22,23,27,25,198,682,642,943,872,740,567,519,352,5310,5,12,46,41,6,0,0,0,109,6,11,11,16,21,0,0,0,61,5,10,52,74,105,89,86,71,488,10,37,104,130,131,89,86,71,653,1271,1182,1621,1499,1284,955,764,443,9019,31,51,62,65,43,50,44,30,365,1315,1268,1782,1697,1452,1094,886,547,10034
POA2606,6,19,13,11,0,0,0,0,52,3,10,7,3,8,0,0,0,30,0,26,41,39,52,47,47,37,287,15,55,61,54,59,47,47,37,370,608,1348,879,565,459,300,205,61,4426,37,69,43,36,27,11,17,9,240,653,1472,983,654,541,353,266,108,5036,9,4,6,7,0,0,0,0,21,0,3,0,5,4,0,0,0,13,0,4,9,18,16,5,4,0,65,7,11,17,32,17,5,4,0,96,675,1513,836,658,514,413,341,103,5052,31,68,22,32,13,19,9,10,198,710,1592,873,719,545,441,354,116,5348,16,25,22,13,0,0,0,0,77,3,13,9,11,8,0,0,0,41,0,30,51,63,63,50,46,41,346,23,66,81,86,73,50,46,41,467,1282,2858,1710,1226,970,711,544,169,9477,67,136,68,68,40,34,26,15,442,1368,3058,1857,1379,1079,797,620,225,10386
POA2607,0,9,23,26,10,0,0,0,70,5,3,11,10,21,0,0,0,55,0,12,33,59,79,110,97,59,451,3,24,73,95,109,110,97,59,567,838,788,788,819,740,540,404,122,5028,34,50,32,36,35,23,27,17,247,875,857,889,947,877,668,531,203,5847,0,6,8,9,4,0,0,0,21,0,0,6,5,4,0,0,0,19,0,7,12,25,19,14,12,0,91,0,14,26,39,26,14,12,0,131,725,776,963,948,894,705,661,229,5897,24,38,29,28,22,29,28,22,218,749,823,1016,1012,950,748,702,254,6249,0,12,32,36,10,0,0,0,90,5,8,16,17,28,0,0,0,70,4,16,45,81,95,122,113,64,542,5,35,95,133,135,122,113,64,703,1564,1567,1745,1757,1634,1240,1062,351,10924,54,84,58,60,55,51,55,40,464,1627,1680,1905,1957,1826,1417,1229,453,12090
POA2609,38,20,3,0,0,0,0,0,60,0,0,0,0,0,0,0,0,3,0,0,0,3,5,4,4,0,20,38,20,3,9,6,4,4,0,86,31,50,47,70,81,47,31,3,363,25,28,38,28,37,19,11,0,182,96,97,82,100,126,70,41,9,628,3,0,3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,4,5,3,0,0,0,0,15,47,38,37,44,50,55,28,3,298,21,19,8,13,19,13,6,0,102,72,58,48,58,70,71,31,3,412,45,23,3,0,0,0,0,0,70,0,0,0,0,0,0,0,0,3,0,0,0,9,4,3,4,0,27,45,24,3,4,8,3,4,0,96,79,87,85,114,134,103,60,7,658,44,44,45,43,60,34,12,0,284,166,153,132,161,204,138,79,10,1042
POA2611,11,30,78,56,9,0,0,0,186,6,28,19,20,21,0,0,0,94,5,88,105,156,157,188,187,74,960,19,147,198,230,192,188,187,74,1239,1848,2405,2677,1990,1268,1075,682,187,12134,81,129,95,55,50,47,48,27,537,1957,2675,2977,2273,1506,1314,915,294,13903,5,15,19,21,0,0,0,0,59,0,5,9,9,0,0,0,0,27,5,25,42,47,31,39,19,10,214,14,44,65,78,37,39,19,10,296,1796,2785,2936,2190,1616,1484,995,367,14169,69,120,89,60,64,78,64,34,574,1884,2943,3083,2331,1712,1601,1078,412,15039,17,51,90,74,13,0,0,0,244,7,33,29,31,21,0,0,0,124,12,110,142,203,192,226,210,85,1173,38,191,258,309,225,226,210,85,1538,3650,5183,5616,4180,2880,2561,1680,560,26305,154,245,180,113,111,125,109,66,1105,3837,5620,6062,4606,3219,2909,1996,702,28945
