POA_CODE_2021,M_15_19_yr_Marrd_reg_marrge,M_15_19_yr_Married_de_facto,M_15_19_yr_Not_married,M_15_19_yr_Total,M_20_24_yr_Marrd_reg_marrge,M_20_24_yr_Married_de_facto,M_20_24_yr_Not_married,M_20_24_yr_Total,M_25_34_yr_Marrd_reg_marrge,M_25_34_yr_Married_de_facto,M_25_34_yr_Not_married,M_25_34_yr_Total,M_35_44_yr_Marrd_reg_marrge,M_35_44_yr_Married_de_facto,M_35_44_yr_Not_married,M_35_44_yr_Total,M_45_54_yr_Marrd_reg_marrge,M_45_54_yr_Married_de_facto,M_45_54_yr_Not_married,M_45_54_yr_Total,M_55_64_yr_Marrd_reg_marrge,M_55_64_yr_Married_de_facto,M_55_64_yr_Not_married,M_55_64_yr_Total,M_65_74_yr_Marrd_reg_marrge,M_65_74_yr_Married_de_facto,M_65_74_yr_Not_married,M_65_74_yr_Total,M_75_84_yr_Marrd_reg_marrge,M_75_84_yr_Married_de_facto,M_75_84_yr_Not_married,M_75_84_yr_Total,M_85ov_Marrd_reg_marrge,M_85ov_Married_de_facto,M_85ov_Not_married,M_85ov_Total,M_Tot_Marrd_reg_marrge,M_Tot_Married_de_facto,M_Tot_Not_married,M_Tot_Total,F_15_19_yr_Marrd_reg_marrge,F_15_19_yr_Married_de_facto,F_15_19_yr_Not_married,F_15_19_yr_Total,F_20_24_yr_Marrd_reg_marrge,F_20_24_yr_Married_de_facto,F_20_24_yr_Not_married,F_20_24_yr_Total,F_25_34_yr_Marrd_reg_marrge,F_25_34_yr_Married_de_facto,F_25_34_yr_Not_married,F_25_34_yr_Total,F_35_44_yr_Marrd_reg_marrge,F_35_44_yr_Married_de_facto,F_35_44_yr_Not_married,F_35_44_yr_Total,F_45_54_yr_Marrd_reg_marrge,F_45_54_yr_Married_de_facto,F_45_54_yr_Not_married,F_45_54_yr_Total,F_55_64_yr_Marrd_reg_marrge,F_55_64_yr_Married_de_facto,F_55_64_yr_Not_married,F_55_64_yr_Total,F_65_74_yr_Marrd_reg_marrge,F_65_74_yr_Married_de_facto,F_65_74_yr_Not_married,F_65_74_yr_Total,F_75_84_yr_Marrd_reg_marrge,F_75_84_yr_Married_de_facto,F_75_84_yr_Not_married,F_75_84_yr_Total,F_85ov_Marrd_reg_marrge,F_85ov_Married_de_facto,F_85ov_Not_married,F_85ov_Total,F_Tot_Marrd_reg_marrge,F_Tot_Married_de_facto,F_Tot_Not_married,F_Tot_Total,P_15_19_yr_Marrd_reg_marrge,P_15_19_yr_Married_de_facto,P_15_19_yr_Not_married,P_15_19_yr_Total,P_20_24_yr_Marrd_reg_marrge,P_20_24_yr_Married_de_facto,P_20_24_yr_Not_married,P_20_24_yr_Total,P_25_34_yr_Marrd_reg_marrge,P_25_34_yr_Married_de_facto,P_25_34_yr_Not_married,P_25_34_yr_Total,P_35_44_yr_Marrd_reg_marrge,P_35_44_yr_Married_de_facto,P_35_44_yr_Not_married,P_35_44_yr_Total,P_45_54_yr_Marrd_reg_marrge,P_45_54_yr_Married_de_facto,P_45_54_yr_Not_married,P_45_54_yr_Total,P_55_64_yr_Marrd_reg_marrge,P_55_64_yr_Married_de_facto,P_55_64_yr_Not_married,P_55_64_yr_Total,P_65_74_yr_Marrd_reg_marrge,P_65_74_yr_Married_de_facto,P_65_74_yr_Not_married,P_65_74_yr_Total,P_75_84_yr_Marrd_reg_marrge,P_75_84_yr_Married_de_facto,P_75_84_yr_Not_married,P_75_84_yr_Total,P_85ov_Marrd_reg_marrge,P_85ov_Married_de_facto,P_85ov_Not_married,P_85ov_Total,P_Tot_Marrd_reg_marrge,P_Tot_Married_de_facto,P_Tot_Not_married,P_Tot_Total
POA2617,0,12,783,795,48,274,1301,1628,1092,957,2100,4150,1490,360,758,2610,1029,215,513,1748,884,113,394,1390,1073,64,242,1372,447,9,135,587,110,0,53,160,6167,2001,6278,14448,0,20,679,694,103,376,1254,1732,1401,998,1523,3922,1455,333,697,2482,976,181,594,1746,944,92,531,1567,984,46,529,1560,303,10,364,679,44,0,181,228,6211,2057,6351,14613,0,32,1462,1494,149,648,2553,3358,2492,1953,3626,8071,2944,695,1457,5095,2003,391,1100,3498,1831,204,925,2957,2054,109,769,2935,747,23,500,1267,155,0,233,387,12377,4059,12624,29060
POA2618,0,0,48,48,0,0,34,32,13,6,25,52,33,16,14,65,73,15,20,106,72,6,4,84,63,0,6,69,40,0,5,48,5,0,0,7,302,53,158,502,0,0,55,55,0,0,29,30,16,10,25,50,51,16,15,86,77,17,15,107,59,4,14,82,66,0,19,88,27,0,17,42,0,0,4,5,297,49,201,545,0,0,101,101,0,0,64,63,31,17,53,101,81,30,32,147,153,32,36,217,132,12,25,164,130,3,25,158,62,6,18,83,10,0,7,18,593,101,354,1049
POA2900,0,0,55,58,3,37,101,144,158,119,221,501,137,31,117,293,68,22,95,182,76,16,75,166,102,11,56,166,75,0,28,111,17,0,15,34,635,243,771,1650,0,3,43,48,9,56,112,177,188,109,209,502,115,27,129,273,77,16,110,205,86,15,126,224,88,18,99,194,58,3,64,131,7,0,42,47,635,239,934,1806,0,5,102,103,13,92,216,321,346,230,427,999,249,69,249,567,146,36,207,385,170,29,197,396,188,23,157,362,138,5,93,234,31,0,57,85,1268,483,1703,3450
POA2902,0,0,462,462,4,45,373,424,233,245,409,884,556,133,266,951,587,112,267,967,504,82,249,821,649,31,164,849,298,20,92,404,52,8,27,83,2870,668,2304,5841,0,4,400,403,12,60,302,363,304,245,300,850,630,138,257,1025,575,114,328,1014,502,65,307,868,620,22,366,1011,223,14,197,432,10,0,73,81,2873,661,2520,6057,0,4,861,865,9,101,669,786,534,491,712,1732,1186,270,521,1974,1163,227,590,1981,1001,143,547,1689,1264,60,535,1859,521,32,284,837,66,7,96,167,5746,1331,4829,11899
POA2903,0,3,302,300,0,26,204,235,192,131,253,581,384,96,132,613,359,73,138,573,341,44,138,518,388,28,101,515,141,3,47,194,26,3,12,41,1838,405,1325,3568,0,0,214,214,10,47,161,219,235,136,191,559,447,83,139,673,329,72,147,550,357,51,210,618,368,10,196,576,87,6,94,188,15,0,47,65,1855,402,1398,3652,0,0,515,514,17,69,369,451,428,262,444,1139,829,176,274,1283,691,148,282,1118,700,98,345,1136,751,39,295,1089,231,5,140,384,40,5,55,101,3694,807,2722,7221
POA2904,0,0,350,350,6,13,306,325,216,153,327,695,578,101,154,831,518,88,132,736,607,61,130,797,576,45,116,738,214,10,44,269,52,0,25,80,2762,473,1587,4821,0,0,340,338,13,29,245,283,299,158,235,689,621,100,163,884,508,90,193,796,657,58,242,952,495,27,259,779,165,6,169,341,30,0,103,135,2781,473,1947,5201,0,0,693,689,14,47,551,611,511,306,564,1381,1196,199,319,1718,1028,183,329,1533,1257,118,375,1750,1066,70,374,1510,377,14,216,607,84,0,128,214,5539,946,3539,10021
POA2905,0,7,884,887,12,91,757,863,578,485,827,1881,1111,304,435,1850,1071,204,413,1687,1222,162,392,1777,801,71,240,1113,269,14,86,373,55,0,36,92,5121,1329,4069,10524,0,4,793,796,36,166,553,757,794,518,685,2000,1137,269,455,1865,1115,199,554,1872,1246,152,655,2042,601,52,464,1125,186,11,271,469,23,4,137,167,5145,1378,4568,11092,0,10,1677,1687,49,261,1312,1618,1372,999,1509,3884,2249,576,890,3717,2189,403,966,3554,2464,311,1049,3823,1406,124,704,2234,458,20,361,839,80,4,174,258,10267,2706,8643,21611
POA2906,0,8,558,568,10,54,539,599,370,282,481,1131,724,165,209,1094,829,149,265,1241,833,84,232,1152,379,30,133,542,174,9,55,239,30,0,27,60,3352,785,2490,6620,0,8,537,543,17,88,435,547,516,303,390,1204,782,167,303,1250,886,142,349,1384,721,79,346,1143,312,28,263,603,121,0,175,299,19,0,63,79,3384,809,2864,7058,0,9,1098,1105,31,138,978,1139,884,585,872,2339,1509,334,507,2350,1719,293,612,2622,1559,157,578,2294,696,59,396,1144,294,10,233,541,53,0,92,137,6733,1592,5352,13678
POA2911,0,0,104,104,3,9,95,105,148,106,136,387,388,40,72,502,212,25,52,288,105,7,17,135,74,0,14,90,33,0,10,46,10,0,3,15,968,194,506,1676,0,0,98,102,4,17,90,114,213,112,110,432,405,42,82,534,183,21,51,253,79,9,45,134,64,0,56,123,24,0,62,84,6,0,16,17,979,204,605,1785,0,0,206,206,9,29,189,226,358,217,249,818,799,81,148,1029,389,49,101,541,189,16,65,265,141,4,68,212,62,0,64,127,12,0,24,33,1950,401,1112,3458
POA2912,0,4,190,193,13,54,308,381,394,214,557,1168,394,80,214,688,299,42,141,484,204,18,82,305,104,8,25,138,41,0,8,52,15,0,8,13,1468,424,1534,3423,0,3,215,217,34,90,261,383,477,217,402,1095,401,69,178,650,275,23,148,445,160,12,120,291,94,8,85,182,25,0,44,72,8,0,13,19,1481,420,1469,3367,0,11,406,416,51,140,574,760,878,433,960,2265,802,143,393,1338,574,69,286,930,364,29,204,598,197,15,113,326,75,3,55,123,19,0,21,33,2944,841,3003,6795
POA2913,0,6,1035,1044,35,137,1093,1262,1147,695,1408,3244,2275,386,647,3303,1669,198,472,2339,1190,108,325,1622,763,43,210,1014,376,15,81,470,60,0,38,96,7507,1589,5311,14400,0,18,993,1012,65,210,889,1169,1670,767,1004,3433,2251,368,694,3315,1592,171,691,2451,1063,100,602,1756,660,33,508,1203,238,5,283,527,23,0,96,118,7559,1671,5769,14995,0,27,2029,2058,98,350,1984,2435,2820,1456,2406,6683,4523,755,1344,6622,3260,367,1170,4798,2246,203,929,3381,1415,80,723,2217,613,17,366,997,83,0,129,219,15064,3258,11078,29400
POA2914,3,8,1032,1039,18,109,869,994,1048,507,1200,2753,2515,308,509,3327,1779,180,326,2277,715,59,156,929,380,25,76,485,149,9,27,185,23,0,10,31,6623,1195,4199,12025,5,8,994,1009,72,181,743,997,1529,532,819,2876,2615,291,548,3452,1480,143,482,2106,600,50,323,979,298,21,258,571,98,0,117,212,7,0,27,37,6704,1224,4313,12243,7,16,2030,2055,90,286,1608,1994,2572,1038,2013,5627,5125,600,1058,6779,3259,319,807,4382,1313,104,485,1907,674,45,330,1051,244,8,147,406,31,0,35,68,13327,2423,8512,24259
