POA_CODE_2021,Separate_house_NofB_0_i_b,Separate_house_NofB_1,Separate_house_NofB_2,Separate_house_NofB_3,Separate_house_NofB_4,Separate_house_NofB_5,Separate_house_NofB_6_or_m,Separate_house_NofB_NS,Separate_house_Total,Se_d_r_or_t_h_t_1_s_NofB_0_ib,Se_d_r_or_t_h_t_1_st_NofB_1,Se_d_r_or_t_h_t_1_st_NofB_2,Se_d_r_or_t_h_t_1_st_NofB_3,Se_d_r_or_t_h_t_1_st_NofB_4,Se_d_r_or_t_h_t_1_st_NofB_5,Se_d_r_or_t_h_t_1_st_NofB_6_m,Se_d_r_or_t_h_t_1_st_NofB_NS,Se_d_r_or_t_h_t_1_st_Total,Se_d_r_or_t_h_t_2_s_NofB_0_ib,Se_d_r_or_t_h_t_2_sts_NofB_1,Se_d_r_or_t_h_t_2_sts_NofB_2,Se_d_r_or_t_h_t_2_sts_NofB_3,Se_d_r_or_t_h_t_2_sts_NofB_4,Se_d_r_or_t_h_t_2_sts_NofB_5,Se_d_r_or_t_h_t_2_st_NofB_6_m,Se_d_r_or_t_h_t_2_sts_NofB_NS,Se_d_r_or_t_h_t_2_sts_Total,Se_d_r_or_t_h_t_Tot_NofB_0_ib,Se_d_r_or_t_h_t_Tot_NofB_1,Se_d_r_or_t_h_t_Tot_NofB_2,Se_d_r_or_t_h_t_Tot_NofB_3,Se_d_r_or_t_h_t_Tot_NofB_4,Se_d_r_or_t_h_t_Tot_NofB_5,Se_d_r_or_t_h_t_Tot_NofB_6_m,Se_d_r_or_t_h_t_Tot_NofB_NS,Se_d_r_or_t_h_t_Tot_Total,Flt_at_1or2_st_bl_NofB_0_ib,Flt_at_In_1or2_s_b_NofB_1,Flt_at_In_1or2_s_b_NofB_2,Flt_at_In_1or2_s_b_NofB_3,Flt_at_In_1or2_s_b_NofB_4,Flt_at_In_1or2_s_b_NofB_5,Flt_at_In_1or2_s_b_NoB_6_m,Flt_at_In_1or2_s_b_NoB_NS,Flt_at_In_1or2_s_b_Total,Flt_apt_3_st_bl_NoB_0_ib,Flt_apt_In_3_st_bl_NofB_1,Flt_apt_In_3_st_bl_NofB_2,Flt_apt_In_3_st_bl_NofB_3,Flt_apt_In_3_st_bl_NofB_4,Flt_apt_In_3_st_bl_NofB_5,Flt_apt_In_3_s_bl_NofB_6_m,Flt_apt_In_3_st_bl_NofB_NS,Flt_apt_In_3_st_bl_Total,Flt_apt_4to8_s_b_NofB_0_ib,Flt_apt_4to8_s_b_NofB_1,Flt_apt_4to8_s_b_NofB_2,Flt_apt_4to8_s_b_NofB_3,Flt_apt_4to8_s_b_NofB_4,Flt_apt_4to8_s_b_NofB_5,Flt_apt_4to8_s_b_NofB_6_m,Flt_apt_4to8_s_b_NofB_NS,Flt_apt_4to8_s_b_Total,Flt_apt_9_or_m_s_b_NofB_0_ib,Flt_apt_9_or_m_s_b_NofB_1,Flt_apt_9_or_m_s_b_NofB_2,Flt_apt_9_or_m_s_b_NofB_3,Flt_apt_9_or_m_s_b_NofB_4,Flt_apt_9_or_m_s_b_NofB_5,Flt_apt_9_or_m_s_b_NofB_6_m,Flt_apt_9_or_m_s_b_NofB_NS,Flt_apt_9_or_m_s_b_Total,Flt_apt_At_to_a_h_NofB_0_ib,Flt_apt_At_to_a_hse_NofB_1,Flt_apt_At_to_a_hse_NofB_2,Flt_apt_At_to_a_hse_NofB_3,Flt_apt_At_to_a_hse_NofB_4,Flt_apt_At_to_a_hse_NofB_5,Flt_apt_At_to_a_hs_NofB_6_m,Flt_apt_At_to_a_hs_NofB_NS,Flt_apt_At_to_a_hse_Total,Flt_apart_Tot_NofB_0_i_b,Flt_apart_Tot_NofB_1,Flt_apart_Tot_NofB_2,Flt_apart_Tot_NofB_3,Flt_apart_Tot_NofB_4,Flt_apart_Tot_NofB_5,Flt_apart_Tot_NofB_6_or_m,Flt_apart_Tot_NofB_NS,Flt_apart_Tot_Total,Other_dwelling_NofB_0_i_b,Other_dwelling_NofB_1,Other_dwelling_NofB_2,Other_dwelling_NofB_3,Other_dwelling_NofB_4,Other_dwelling_NofB_5,Other_dwelling_NofB_6_or_m,Other_dwelling_NofB_NS,Other_dwelling_Total,Dweling_structu_NS_NofB_0_i_b,Dweling_structur_NS_NofB_1,Dweling_structur_NS_NofB_2,Dweling_structur_NS_NofB_3,Dweling_structur_NS_NofB_4,Dweling_structur_NS_NofB_5,Dwelig_struct_NS_NofB_6_or_m,Dweling_structur_NS_NofB_NS,Dweling_structur_NS_Total,Total_NofB_0_i_b,Total_NofB_1,Total_NofB_2,Total_NofB_3,Total_NofB_4,Total_NofB_5,Total_NofB_6_or_m,Total_NofB_NS,Total_Total
POA2600,0,9,90,560,734,239,50,13,1693,0,23,38,57,21,3,0,3,151,0,27,115,225,54,3,0,3,431,0,52,155,279,77,14,3,3,579,0,38,63,13,0,0,0,0,108,4,37,77,32,0,0,0,0,149,0,237,215,107,0,0,0,0,561,0,74,49,30,0,0,0,3,148,0,59,78,7,0,0,0,0,145,4,439,479,189,4,0,0,4,1117,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,6,501,730,1027,808,250,55,18,3392
POA2601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,89,16,0,0,0,3,155,0,0,6,0,0,0,0,0,6,3,82,103,13,0,0,0,0,209,33,535,684,146,12,0,0,11,1416,0,0,0,0,0,0,0,0,0,44,663,885,180,8,0,0,15,1788,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,6,40,667,887,180,8,0,0,15,1799
POA2602,8,131,592,3635,2508,571,86,50,7590,8,168,382,397,71,14,5,23,1064,5,159,634,1125,120,12,0,5,2060,13,328,1019,1522,190,26,11,29,3122,6,444,575,74,6,0,0,14,1119,4,241,339,38,0,0,0,7,618,11,243,542,52,0,0,0,6,850,0,160,122,20,0,0,0,0,296,0,35,16,10,5,0,3,3,74,24,1111,1588,184,11,3,3,27,2953,0,0,0,0,0,0,0,0,0,0,6,8,4,0,0,0,0,20,45,1572,3204,5341,2710,598,103,101,13683
POA2603,0,12,59,510,878,364,73,17,1917,0,25,25,45,18,0,0,0,113,0,43,141,117,31,8,4,0,340,0,68,160,157,46,6,4,0,452,4,61,199,37,6,0,0,9,312,4,149,432,70,0,0,0,3,662,0,219,435,102,0,0,0,3,762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,428,1070,208,6,0,0,15,1740,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,12,8,513,1291,881,940,374,76,30,4119
POA2604,0,42,256,825,522,93,14,17,1771,0,0,73,95,9,0,0,4,189,0,14,63,221,23,4,0,0,335,0,22,139,316,32,6,0,3,524,6,75,327,80,6,0,0,5,497,0,67,574,119,3,0,0,9,764,15,716,1090,345,5,0,0,13,2180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,860,1992,542,15,0,0,23,3451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,926,2387,1685,570,101,14,42,5745
POA2605,0,23,105,1254,1430,395,66,18,3289,0,7,66,59,11,4,0,0,150,0,7,96,232,43,0,0,4,384,3,18,162,285,51,4,0,6,529,3,41,71,43,11,0,0,0,165,20,124,180,74,0,0,0,6,397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,0,0,0,0,17,24,169,249,124,7,0,0,6,585,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,6,32,211,518,1661,1491,402,66,28,4411
POA2606,6,11,65,766,607,184,83,18,1733,0,22,124,97,27,0,3,0,271,11,229,515,345,30,0,0,4,1137,11,257,634,436,60,4,4,0,1416,15,49,94,3,0,0,0,0,158,9,313,410,54,3,0,0,13,791,0,99,256,93,0,0,0,5,450,0,313,415,52,0,0,0,9,794,0,3,3,0,0,0,0,0,4,24,773,1171,198,4,0,0,25,2194,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,8,35,1036,1878,1401,669,188,86,51,5347
POA2607,4,25,106,1341,1791,514,94,37,3907,0,117,201,327,49,0,0,10,711,0,30,188,212,29,3,0,5,466,3,151,388,533,78,3,0,16,1173,5,0,15,9,0,0,0,0,30,0,0,121,0,0,0,0,0,123,0,121,153,50,0,0,0,4,330,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,4,120,290,56,0,0,0,10,485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,298,791,1929,1866,521,95,53,5570
POA2609,0,16,63,60,29,8,0,5,177,0,6,11,14,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,6,11,14,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,46,67,18,0,0,0,4,148,0,4,4,5,0,0,0,0,10,8,74,149,90,24,12,4,9,371
POA2611,10,52,234,3467,4345,990,147,65,9309,7,100,547,308,69,0,0,17,1051,0,82,274,673,172,9,0,10,1222,8,181,828,979,243,13,5,23,2275,0,76,224,45,16,0,0,5,367,0,67,154,100,31,0,0,0,354,0,280,526,176,20,0,0,8,1014,0,10,16,3,0,0,0,0,33,6,48,24,19,3,0,0,0,96,3,476,951,342,71,0,0,12,1864,0,0,0,4,0,0,0,0,4,0,0,3,9,0,4,0,0,15,25,716,2015,4796,4663,1001,156,103,13463
