POA_CODE_2021,A_0_4_y_Indigenous_M,A_0_4_y_Indigenous_F,A_0_4_y_Indigenous_P,A_0_4_y_Non_Indigenous_M,A_0_4_y_Non_Indigenous_F,A_0_4_y_Non_Indigenous_P,A_0_4_y_Indig_stat_ns_M,A_0_4_y_Indig_stat_ns_F,A_0_4_y_Indig_stat_ns_P,A_0_4_y_Tot_M,A_0_4_y_Tot_F,A_0_4_y_Tot_P,A_5_9_y_Indigenous_M,A_5_9_y_Indigenous_F,A_5_9_y_Indigenous_P,A_5_9_y_Non_Indigenous_M,A_5_9_y_Non_Indigenous_F,A_5_9_y_Non_Indigenous_P,A_5_9_y_Indig_stat_ns_M,A_5_9_y_Indig_stat_ns_F,A_5_9_y_Indig_stat_ns_P,A_5_9_y_Tot_M,A_5_9_y_Tot_F,A_5_9_y_Tot_P,A_10_14_y_Indigenous_M,A_10_14_y_Indigenous_F,A_10_14_y_Indigenous_P,A_10_14_y_Non_Indig_M,A_10_14_y_Non_Indig_F,A_10_14_y_Non_Indig_P,A_10_14_y_Indig_stat_ns_M,A_10_14_y_Indig_stat_ns_F,A_10_14_y_Indig_stat_ns_P,A_10_14_y_Tot_M,A_10_14_y_Tot_F,A_10_14_y_Tot_P,A_15_19_y_Indigenous_M,A_15_19_y_Indigenous_F,A_15_19_y_Indigenous_P,A_15_19_y_Non_Indig_M,A_15_19_y_Non_Indig_F,A_15_19_y_Non_Indig_P,A_15_19_y_Indig_stat_ns_M,A_15_19_y_Indig_stat_ns_F,A_15_19_y_Indig_stat_ns_P,A_15_19_y_Tot_M,A_15_19_y_Tot_F,A_15_19_y_Tot_P,A_20_24_y_Indigenous_M,A_20_24_y_Indigenous_F,A_20_24_y_Indigenous_P,A_20_24_y_Non_Indig_M,A_20_24_y_Non_Indig_F,A_20_24_y_Non_Indig_P,A_20_24_y_Indig_stat_ns_M,A_20_24_y_Indig_stat_ns_F,A_20_24_y_Indig_stat_ns_P,A_20_24_y_Tot_M,A_20_24_y_Tot_F,A_20_24_y_Tot_P,A_25_29_y_Indigenous_M,A_25_29_y_Indigenous_F,A_25_29_y_Indigenous_P,A_25_29_y_Non_Indig_M,A_25_29_y_Non_Indig_F,A_25_29_y_Non_Indig_P,A_25_29_y_Indig_stat_ns_M,A_25_29_y_Indig_stat_ns_F,A_25_29_y_Indig_stat_ns_P,A_25_29_y_Tot_M,A_25_29_y_Tot_F,A_25_29_y_Tot_P,A_30_34_y_Indigenous_M,A_30_34_y_Indigenous_F,A_30_34_y_Indigenous_P,A_30_34_y_Non_Indig_M,A_30_34_y_Non_Indig_F,A_30_34_y_Non_Indig_P,A_30_34_y_Indig_stat_ns_M,A_30_34_y_Indig_stat_ns_F,A_30_34_y_Indig_stat_ns_P,A_30_34_y_Tot_M,A_30_34_y_Tot_F,A_30_34_y_Tot_P,A_35_39_y_Indigenous_M,A_35_39_y_Indigenous_F,A_35_39_y_Indigenous_P,A_35_39_y_Non_Indig_M,A_35_39_y_Non_Indig_F,A_35_39_y_Non_Indig_P,A_35_39_y_Indig_stat_ns_M,A_35_39_y_Indig_stat_ns_F,A_35_39_y_Indig_stat_ns_P,A_35_39_y_Tot_M,A_35_39_y_Tot_F,A_35_39_y_Tot_P,A_40_44_y_Indigenous_M,A_40_44_y_Indigenous_F,A_40_44_y_Indigenous_P,A_40_44_y_Non_Indig_M,A_40_44_y_Non_Indig_F,A_40_44_y_Non_Indig_P,A_40_44_y_Indig_stat_ns_M,A_40_44_y_Indig_stat_ns_F,A_40_44_y_Indig_stat_ns_P,A_40_44_y_Tot_M,A_40_44_y_Tot_F,A_40_44_y_Tot_P,A_45_49_y_Indigenous_M,A_45_49_y_Indigenous_F,A_45_49_y_Indigenous_P,A_45_49_y_Non_Indig_M,A_45_49_y_Non_Indig_F,A_45_49_y_Non_Indig_P,A_45_49_y_Indig_stat_ns_M,A_45_49_y_Indig_stat_ns_F,A_45_49_y_Indig_stat_ns_P,A_45_49_y_Tot_M,A_45_49_y_Tot_F,A_45_49_y_Tot_P,A_50_54_y_Indigenous_M,A_50_54_y_Indigenous_F,A_50_54_y_Indigenous_P,A_50_54_y_Non_Indig_M,A_50_54_y_Non_Indig_F,A_50_54_y_Non_Indig_P,A_50_54_y_Indig_stat_ns_M,A_50_54_y_Indig_stat_ns_F,A_50_54_y_Indig_stat_ns_P,A_50_54_y_Tot_M,A_50_54_y_Tot_F,A_50_54_y_Tot_P,A_55_59_y_Indigenous_M,A_55_59_y_Indigenous_F,A_55_59_y_Indigenous_P,A_55_59_y_Non_Indig_M,A_55_59_y_Non_Indig_F,A_55_59_y_Non_Indig_P,A_55_59_y_Indig_stat_ns_M,A_55_59_y_Indig_stat_ns_F,A_55_59_y_Indig_stat_ns_P,A_55_59_y_Tot_M,A_55_59_y_Tot_F,A_55_59_y_Tot_P,A_60_64_y_Indigenous_M,A_60_64_y_Indigenous_F,A_60_64_y_Indigenous_P,A_60_64_y_Non_Indig_M,A_60_64_y_Non_Indig_F,A_60_64_y_Non_Indig_P,A_60_64_y_Indig_stat_ns_M,A_60_64_y_Indig_stat_ns_F,A_60_64_y_Indig_stat_ns_P,A_60_64_y_Tot_M,A_60_64_y_Tot_F,A_60_64_y_Tot_P,A_65_y_ov_Indigenous_M,A_65_y_ov_Indigenous_F,A_65_y_ov_Indigenous_P,A_65_y_ov_Non_Indig_M,A_65_y_ov_Non_Indig_F,A_65_y_ov_Non_Indig_P,A_65_y_ov_Indig_stat_ns_M,A_65_y_ov_Indig_stat_ns_F,A_65_y_ov_Indig_stat_ns_P,A_65_y_ov_Tot_M,A_65_y_ov_Tot_F,A_65_y_ov_Tot_P,Tot_Indigenous_M,Tot_Indigenous_F,Tot_Indigenous_P,Tot_Non_Indigenous_M,Tot_Non_Indigenous_F,Tot_Non_Indigenous_P,Tot_Indig_status_ns_M,Tot_Indig_status_ns_F,Tot_Indig_status_ns_P,Tot_Tot_M,Tot_Tot_F,Tot_Tot_P
POA2600,0,0,3,140,155,292,11,11,14,151,161,315,3,3,8,175,212,383,3,10,11,181,223,407,5,6,7,193,215,402,13,8,20,206,225,433,7,5,11,185,223,408,11,11,23,201,240,438,6,5,10,182,214,400,14,23,42,210,238,448,4,3,9,226,212,435,20,30,51,248,246,492,0,0,6,222,225,455,20,22,42,247,256,500,0,3,6,217,242,456,17,17,32,237,257,490,0,3,3,231,282,508,20,13,32,245,299,542,3,0,5,246,254,506,19,14,31,273,271,544,4,3,6,259,288,550,19,20,38,284,308,596,0,7,3,250,227,477,14,9,24,266,241,508,0,0,0,266,277,545,11,5,24,283,283,569,3,0,7,826,1030,1855,57,62,116,886,1091,1981,47,45,91,3622,4052,7676,243,248,487,3911,4348,8255
POA2601,0,0,0,32,35,62,0,0,6,31,40,79,0,0,0,23,15,35,0,5,5,23,23,42,0,0,3,14,11,27,0,0,0,18,18,32,3,18,21,668,1011,1672,148,222,366,813,1246,2065,4,8,12,902,965,1866,173,215,385,1078,1186,2262,3,0,6,505,462,972,57,45,103,564,513,1077,0,0,9,329,259,593,30,18,48,364,282,642,6,3,7,196,145,341,12,17,31,210,164,371,0,0,0,95,89,189,11,5,20,107,96,206,0,0,7,97,69,163,6,3,6,101,71,175,0,0,0,98,76,172,4,4,12,102,77,186,0,0,0,70,68,137,4,5,10,76,80,153,0,0,5,58,50,113,0,0,6,67,56,122,0,0,0,133,126,262,8,3,14,145,132,277,26,48,71,3207,3398,6601,464,546,1012,3689,3992,7680
POA2602,25,22,48,864,778,1640,32,22,53,921,823,1738,26,15,47,979,909,1884,27,31,62,1037,956,1992,24,17,41,964,896,1855,20,14,36,1011,930,1934,26,26,46,820,762,1577,19,15,33,861,803,1658,26,36,63,1327,1685,3017,50,43,99,1408,1764,3175,30,24,52,1483,1617,3103,46,48,96,1561,1690,3254,25,15,41,1368,1400,2769,71,60,131,1460,1481,2939,12,18,34,1252,1366,2626,50,41,95,1323,1430,2752,16,19,34,1124,1202,2322,47,40,85,1181,1259,2440,7,10,25,1038,1109,2147,25,22,46,1069,1145,2216,18,23,39,1023,1110,2135,23,28,58,1061,1168,2227,16,11,30,838,889,1728,38,27,61,894,929,1824,9,19,29,748,829,1576,34,23,59,792,868,1657,14,13,25,2002,2523,4519,90,96,186,2107,2627,4728,282,274,555,15833,17066,32892,573,517,1092,16679,17855,34540
POA2603,0,0,5,164,170,336,0,4,7,173,179,350,8,0,3,258,222,482,16,7,25,278,237,511,6,3,5,317,283,602,4,14,16,320,302,624,9,4,8,362,302,661,9,9,14,375,316,693,6,9,14,312,254,562,10,6,17,326,265,592,10,3,13,420,447,867,16,17,31,442,468,910,8,11,11,319,337,659,19,13,33,342,354,702,3,0,4,284,320,606,9,9,20,298,332,626,0,0,0,278,327,607,11,10,23,292,337,626,10,0,7,339,350,690,6,11,17,354,359,714,0,4,8,363,355,723,13,15,24,377,376,752,0,0,0,346,360,707,15,6,19,363,367,730,0,3,3,279,292,568,10,9,19,292,306,596,0,0,3,823,993,1818,22,39,63,848,1040,1883,44,42,87,4874,5024,9887,154,170,326,5071,5235,10306
POA2604,10,9,18,246,272,517,10,15,25,265,295,562,18,12,28,263,228,488,25,9,30,301,255,549,13,7,20,274,269,538,17,15,34,302,293,594,14,7,23,242,227,466,12,17,25,264,254,520,9,15,21,342,380,721,27,38,66,376,435,806,9,14,18,601,697,1293,45,49,97,649,761,1411,3,16,20,628,635,1263,58,47,108,694,694,1389,16,8,14,540,553,1091,48,46,90,599,603,1203,4,15,13,397,464,860,24,24,52,427,500,929,0,9,11,366,398,767,25,30,58,401,440,834,3,9,12,372,356,727,35,22,54,408,391,799,4,3,4,339,387,724,25,28,58,367,421,789,5,9,10,300,331,632,22,19,44,329,358,687,9,9,14,817,995,1812,69,75,140,891,1071,1965,113,122,240,5719,6190,11909,444,441,884,6283,6757,13034
POA2605,5,8,14,304,294,597,4,4,5,311,306,620,14,12,20,461,405,872,3,10,17,477,425,901,8,4,15,461,437,896,13,9,25,478,456,935,8,6,10,297,364,661,7,5,13,311,379,688,0,3,7,306,300,607,5,8,10,320,307,627,3,3,5,292,254,547,7,11,21,303,267,575,9,7,17,303,360,659,11,10,22,325,376,693,8,4,14,383,452,839,3,14,23,399,471,872,3,6,11,426,454,876,12,15,28,442,469,914,4,4,10,394,379,778,16,12,28,413,393,809,7,3,7,390,455,847,15,17,36,410,476,888,0,7,7,367,366,729,5,12,19,372,380,749,5,0,6,326,347,674,15,10,22,344,364,703,4,0,8,1037,1386,2422,45,48,95,1087,1434,2524,74,61,133,5754,6245,11999,163,193,356,5988,6502,12488
POA2606,4,9,12,322,310,628,10,8,17,333,323,654,4,5,10,228,260,487,4,10,13,235,269,510,6,3,12,250,245,494,9,10,15,262,264,522,3,10,10,213,220,434,11,3,14,223,237,458,13,17,33,401,444,849,15,14,31,427,475,910,16,14,28,701,803,1502,28,24,49,740,843,1581,9,16,21,691,710,1402,32,17,49,728,746,1479,7,7,11,525,512,1038,18,6,26,545,528,1078,6,7,8,418,329,746,17,8,20,440,345,783,0,6,11,296,340,641,16,12,28,309,360,674,0,4,11,325,338,665,15,13,32,345,359,704,3,4,9,266,301,563,12,5,19,284,309,589,0,0,5,240,230,469,14,5,20,255,240,497,9,7,13,696,872,1568,30,36,65,732,908,1646,89,105,190,5558,5914,11476,224,181,405,5872,6198,12071
POA2607,11,5,16,371,302,672,13,12,22,392,321,712,9,14,29,436,415,853,14,15,31,460,447,908,12,8,20,531,428,957,15,15,29,561,441,1010,12,6,19,452,334,785,12,6,20,478,354,835,16,16,27,368,374,748,10,10,19,397,399,796,3,8,18,398,375,778,20,9,31,428,388,821,10,8,15,408,403,812,15,17,32,431,427,865,9,9,13,422,490,913,8,15,24,442,508,955,3,8,9,426,484,909,13,13,28,446,505,947,6,5,6,449,502,952,13,20,33,459,533,991,3,6,10,466,465,935,19,9,21,488,480,961,6,0,9,431,508,941,17,13,27,450,519,972,6,8,11,400,406,810,17,11,31,421,424,854,12,7,16,1331,1626,2963,58,67,126,1399,1700,3099,113,109,225,6891,7130,14021,256,224,476,7258,7459,14717
POA2609,0,0,5,7,9,20,0,3,3,11,14,23,0,0,3,19,19,34,3,5,5,19,24,44,0,0,0,7,15,22,3,0,3,10,14,25,0,4,4,19,15,42,6,9,12,28,28,59,3,0,0,45,22,70,17,13,27,64,44,104,0,0,0,49,19,71,16,15,30,65,37,98,0,0,5,24,16,37,4,8,14,33,23,53,0,0,0,28,15,44,20,3,26,51,18,69,0,0,0,18,23,44,14,4,18,29,32,61,4,0,4,27,25,51,9,12,19,37,34,76,3,3,0,48,21,61,16,4,21,66,22,87,0,0,0,47,26,76,27,4,29,68,36,105,0,0,0,37,23,63,18,17,32,60,37,96,4,0,6,90,82,168,26,21,47,121,104,221,14,15,31,468,341,808,185,109,291,668,467,1136
POA2611,29,35,64,1194,1126,2322,28,35,62,1250,1195,2453,31,32,64,1337,1294,2631,49,45,91,1421,1373,2793,31,19,54,1165,1089,2250,27,20,46,1226,1124,2353,25,24,49,945,869,1817,32,23,54,1002,916,1918,35,32,65,882,906,1791,32,30,65,948,973,1918,26,22,53,1183,1316,2502,59,49,111,1271,1387,2661,20,23,36,1330,1482,2814,52,58,107,1404,1555,2959,17,15,37,1483,1605,3080,48,50,93,1546,1664,3213,13,11,26,1377,1374,2754,41,32,71,1430,1417,2843,17,20,33,1181,1218,2399,34,31,65,1233,1265,2497,13,13,26,1007,1025,2033,19,31,51,1044,1068,2110,15,6,21,791,824,1614,33,36,73,840,868,1709,6,8,18,638,814,1455,20,25,42,662,847,1509,8,13,23,2414,2960,5375,98,111,209,2521,3085,5608,291,274,566,16947,17890,34828,564,570,1136,17806,18734,36535
