POA_CODE_2021,A_0_4_y_Indigenous_M,A_0_4_y_Indigenous_F,A_0_4_y_Indigenous_P,A_0_4_y_Non_Indigenous_M,A_0_4_y_Non_Indigenous_F,A_0_4_y_Non_Indigenous_P,A_0_4_y_Indig_stat_ns_M,A_0_4_y_Indig_stat_ns_F,A_0_4_y_Indig_stat_ns_P,A_0_4_y_Tot_M,A_0_4_y_Tot_F,A_0_4_y_Tot_P,A_5_9_y_Indigenous_M,A_5_9_y_Indigenous_F,A_5_9_y_Indigenous_P,A_5_9_y_Non_Indigenous_M,A_5_9_y_Non_Indigenous_F,A_5_9_y_Non_Indigenous_P,A_5_9_y_Indig_stat_ns_M,A_5_9_y_Indig_stat_ns_F,A_5_9_y_Indig_stat_ns_P,A_5_9_y_Tot_M,A_5_9_y_Tot_F,A_5_9_y_Tot_P,A_10_14_y_Indigenous_M,A_10_14_y_Indigenous_F,A_10_14_y_Indigenous_P,A_10_14_y_Non_Indig_M,A_10_14_y_Non_Indig_F,A_10_14_y_Non_Indig_P,A_10_14_y_Indig_stat_ns_M,A_10_14_y_Indig_stat_ns_F,A_10_14_y_Indig_stat_ns_P,A_10_14_y_Tot_M,A_10_14_y_Tot_F,A_10_14_y_Tot_P,A_15_19_y_Indigenous_M,A_15_19_y_Indigenous_F,A_15_19_y_Indigenous_P,A_15_19_y_Non_Indig_M,A_15_19_y_Non_Indig_F,A_15_19_y_Non_Indig_P,A_15_19_y_Indig_stat_ns_M,A_15_19_y_Indig_stat_ns_F,A_15_19_y_Indig_stat_ns_P,A_15_19_y_Tot_M,A_15_19_y_Tot_F,A_15_19_y_Tot_P,A_20_24_y_Indigenous_M,A_20_24_y_Indigenous_F,A_20_24_y_Indigenous_P,A_20_24_y_Non_Indig_M,A_20_24_y_Non_Indig_F,A_20_24_y_Non_Indig_P,A_20_24_y_Indig_stat_ns_M,A_20_24_y_Indig_stat_ns_F,A_20_24_y_Indig_stat_ns_P,A_20_24_y_Tot_M,A_20_24_y_Tot_F,A_20_24_y_Tot_P,A_25_29_y_Indigenous_M,A_25_29_y_Indigenous_F,A_25_29_y_Indigenous_P,A_25_29_y_Non_Indig_M,A_25_29_y_Non_Indig_F,A_25_29_y_Non_Indig_P,A_25_29_y_Indig_stat_ns_M,A_25_29_y_Indig_stat_ns_F,A_25_29_y_Indig_stat_ns_P,A_25_29_y_Tot_M,A_25_29_y_Tot_F,A_25_29_y_Tot_P,A_30_34_y_Indigenous_M,A_30_34_y_Indigenous_F,A_30_34_y_Indigenous_P,A_30_34_y_Non_Indig_M,A_30_34_y_Non_Indig_F,A_30_34_y_Non_Indig_P,A_30_34_y_Indig_stat_ns_M,A_30_34_y_Indig_stat_ns_F,A_30_34_y_Indig_stat_ns_P,A_30_34_y_Tot_M,A_30_34_y_Tot_F,A_30_34_y_Tot_P,A_35_39_y_Indigenous_M,A_35_39_y_Indigenous_F,A_35_39_y_Indigenous_P,A_35_39_y_Non_Indig_M,A_35_39_y_Non_Indig_F,A_35_39_y_Non_Indig_P,A_35_39_y_Indig_stat_ns_M,A_35_39_y_Indig_stat_ns_F,A_35_39_y_Indig_stat_ns_P,A_35_39_y_Tot_M,A_35_39_y_Tot_F,A_35_39_y_Tot_P,A_40_44_y_Indigenous_M,A_40_44_y_Indigenous_F,A_40_44_y_Indigenous_P,A_40_44_y_Non_Indig_M,A_40_44_y_Non_Indig_F,A_40_44_y_Non_Indig_P,A_40_44_y_Indig_stat_ns_M,A_40_44_y_Indig_stat_ns_F,A_40_44_y_Indig_stat_ns_P,A_40_44_y_Tot_M,A_40_44_y_Tot_F,A_40_44_y_Tot_P,A_45_49_y_Indigenous_M,A_45_49_y_Indigenous_F,A_45_49_y_Indigenous_P,A_45_49_y_Non_Indig_M,A_45_49_y_Non_Indig_F,A_45_49_y_Non_Indig_P,A_45_49_y_Indig_stat_ns_M,A_45_49_y_Indig_stat_ns_F,A_45_49_y_Indig_stat_ns_P,A_45_49_y_Tot_M,A_45_49_y_Tot_F,A_45_49_y_Tot_P,A_50_54_y_Indigenous_M,A_50_54_y_Indigenous_F,A_50_54_y_Indigenous_P,A_50_54_y_Non_Indig_M,A_50_54_y_Non_Indig_F,A_50_54_y_Non_Indig_P,A_50_54_y_Indig_stat_ns_M,A_50_54_y_Indig_stat_ns_F,A_50_54_y_Indig_stat_ns_P,A_50_54_y_Tot_M,A_50_54_y_Tot_F,A_50_54_y_Tot_P,A_55_59_y_Indigenous_M,A_55_59_y_Indigenous_F,A_55_59_y_Indigenous_P,A_55_59_y_Non_Indig_M,A_55_59_y_Non_Indig_F,A_55_59_y_Non_Indig_P,A_55_59_y_Indig_stat_ns_M,A_55_59_y_Indig_stat_ns_F,A_55_59_y_Indig_stat_ns_P,A_55_59_y_Tot_M,A_55_59_y_Tot_F,A_55_59_y_Tot_P,A_60_64_y_Indigenous_M,A_60_64_y_Indigenous_F,A_60_64_y_Indigenous_P,A_60_64_y_Non_Indig_M,A_60_64_y_Non_Indig_F,A_60_64_y_Non_Indig_P,A_60_64_y_Indig_stat_ns_M,A_60_64_y_Indig_stat_ns_F,A_60_64_y_Indig_stat_ns_P,A_60_64_y_Tot_M,A_60_64_y_Tot_F,A_60_64_y_Tot_P,A_65_y_ov_Indigenous_M,A_65_y_ov_Indigenous_F,A_65_y_ov_Indigenous_P,A_65_y_ov_Non_Indig_M,A_65_y_ov_Non_Indig_F,A_65_y_ov_Non_Indig_P,A_65_y_ov_Indig_stat_ns_M,A_65_y_ov_Indig_stat_ns_F,A_65_y_ov_Indig_stat_ns_P,A_65_y_ov_Tot_M,A_65_y_ov_Tot_F,A_65_y_ov_Tot_P,Tot_Indigenous_M,Tot_Indigenous_F,Tot_Indigenous_P,Tot_Non_Indigenous_M,Tot_Non_Indigenous_F,Tot_Non_Indigenous_P,Tot_Indig_status_ns_M,Tot_Indig_status_ns_F,Tot_Indig_status_ns_P,Tot_Tot_M,Tot_Tot_F,Tot_Tot_P
POA2612,0,7,8,279,251,529,9,6,19,291,270,561,3,0,4,233,221,451,6,4,13,242,226,467,0,4,3,211,245,456,10,4,13,225,254,482,5,9,15,510,373,885,61,27,92,580,408,990,24,29,58,1575,1497,3066,187,97,281,1785,1618,3406,24,11,37,1419,1464,2879,114,60,177,1560,1532,3090,14,18,35,1106,1000,2113,75,46,121,1197,1067,2270,4,4,17,753,652,1406,45,28,76,801,691,1494,9,8,18,490,457,951,41,23,62,544,484,1027,3,0,4,392,411,802,38,9,47,428,426,859,4,3,8,410,405,814,41,11,48,453,420,876,5,0,7,423,379,797,26,9,37,450,388,841,0,0,0,327,342,673,22,9,30,352,348,704,5,0,10,844,963,1801,51,55,104,899,1016,1914,121,100,217,8972,8652,17620,715,409,1125,9810,9154,18965
POA2614,19,12,30,535,505,1039,18,17,40,572,541,1114,17,15,32,614,563,1180,22,19,46,656,594,1250,13,17,31,608,610,1221,17,16,34,645,650,1292,10,15,23,520,514,1032,10,19,28,541,544,1085,10,11,26,591,554,1147,44,16,64,651,585,1236,13,15,32,683,632,1315,31,30,60,729,676,1406,14,17,32,656,688,1343,44,35,82,715,745,1458,13,11,27,679,747,1427,21,25,49,716,786,1501,11,8,18,658,664,1330,28,18,46,692,696,1392,8,7,15,646,694,1344,23,12,38,684,713,1397,10,3,14,611,612,1215,14,21,32,633,634,1268,5,6,11,501,521,1023,24,18,38,524,550,1074,5,0,10,477,527,998,27,13,39,504,542,1048,13,8,18,1725,2203,3926,59,81,146,1793,2293,4093,157,155,311,9498,10040,19536,390,356,748,10048,10545,20595
POA2615,86,62,155,1553,1436,2985,44,54,100,1690,1547,3239,68,72,140,1667,1615,3278,40,52,94,1777,1742,3520,72,52,121,1642,1445,3085,50,47,95,1761,1535,3303,61,64,126,1331,1201,2527,37,31,70,1432,1290,2720,49,53,107,1240,1162,2397,49,33,84,1337,1254,2589,48,40,86,1421,1439,2859,63,51,115,1528,1531,3061,53,51,103,1673,1799,3471,47,50,96,1767,1906,3671,35,51,84,1848,1971,3826,63,49,114,1945,2075,4020,35,41,76,1703,1777,3480,46,44,90,1783,1866,3649,26,34,64,1546,1659,3203,63,39,101,1639,1730,3364,19,32,47,1351,1308,2660,38,34,74,1411,1371,2784,24,18,41,1103,1183,2287,43,31,69,1171,1230,2401,12,22,40,1036,1195,2231,19,22,45,1068,1246,2321,28,25,53,3003,3512,6517,77,79,152,3110,3615,6722,625,605,1234,22115,22695,44812,681,626,1308,23423,23932,47356
POA2617,34,26,59,930,878,1805,36,28,64,1001,933,1927,30,31,64,978,839,1821,29,31,60,1040,903,1944,26,23,44,842,735,1577,31,25,55,894,776,1673,39,27,69,920,911,1829,34,31,62,996,974,1962,53,39,93,1895,2100,3993,57,88,146,1998,2225,4230,45,39,88,2422,2253,4672,101,71,175,2563,2368,4934,17,30,46,1916,1795,3707,70,66,137,1997,1889,3887,25,21,44,1491,1391,2882,58,46,104,1568,1462,3027,24,17,39,1154,1115,2266,38,35,72,1211,1163,2378,16,11,29,966,930,1897,38,25,61,1022,966,1991,12,17,25,831,836,1669,31,26,54,866,873,1744,14,6,25,754,791,1547,31,24,54,800,819,1625,13,4,11,678,835,1513,16,29,44,704,864,1574,7,16,25,2300,2708,5005,71,74,142,2379,2802,5176,352,312,663,18070,18120,36195,621,596,1218,19049,19026,38073
POA2618,0,0,0,27,26,55,3,0,4,34,30,63,0,0,0,34,45,73,0,8,3,37,47,88,4,0,4,52,49,99,0,4,4,58,54,113,0,0,0,47,53,108,0,0,0,47,59,108,3,3,5,26,27,62,0,0,0,32,34,66,4,0,4,27,20,52,0,0,0,32,23,56,0,0,0,22,26,43,0,0,0,24,30,49,0,6,0,27,41,70,0,0,6,31,46,74,5,0,5,37,46,90,0,4,3,44,51,95,4,0,4,63,68,130,3,0,7,69,72,140,0,0,0,46,43,91,0,4,6,50,48,94,0,0,0,47,47,100,0,0,3,49,51,98,0,0,0,31,37,72,0,0,3,39,38,73,0,3,5,121,142,261,10,5,11,135,146,280,10,13,28,631,677,1308,33,30,61,674,720,1397
POA2900,4,4,13,106,103,211,5,3,9,120,112,224,0,4,3,66,69,131,3,0,5,65,77,140,8,0,11,37,38,74,0,0,5,49,42,89,0,4,4,54,50,105,0,0,4,54,49,109,8,5,9,146,174,324,6,5,9,162,182,345,10,4,11,252,264,514,9,8,14,270,273,540,3,3,11,250,235,482,10,4,21,263,248,511,0,4,4,181,159,337,0,7,7,180,172,350,0,0,4,121,111,226,5,5,7,122,120,241,3,0,3,99,95,196,5,0,3,112,98,206,5,7,12,83,119,197,0,6,6,87,129,213,3,0,6,101,122,224,4,3,9,109,125,234,0,0,0,76,107,183,3,0,6,80,113,192,6,3,8,320,381,705,39,37,71,359,425,783,47,48,98,1888,2018,3904,89,87,173,2024,2153,4177
POA2902,17,27,48,420,376,792,12,9,23,446,413,865,28,37,61,501,439,937,17,15,38,550,491,1037,30,31,54,466,462,929,33,21,54,528,513,1043,28,20,48,440,392,829,18,19,34,483,429,913,25,20,45,416,360,780,8,6,12,444,388,837,20,14,35,422,379,796,12,13,31,454,401,858,18,17,34,457,471,927,22,16,34,495,502,998,14,17,31,486,505,988,22,22,39,512,544,1059,6,14,24,491,517,1003,31,9,39,526,542,1066,11,16,30,496,522,1019,18,17,28,523,549,1075,6,6,13,477,496,970,14,23,37,500,524,1027,8,12,23,428,448,876,10,12,17,447,469,919,4,12,17,409,430,841,8,15,21,417,455,880,15,15,31,1373,1589,2965,49,53,101,1443,1659,3096,234,253,484,7276,7384,14659,273,254,527,7780,7886,15670
POA2903,16,11,26,269,253,518,6,5,16,290,271,561,22,10,37,339,262,601,12,9,16,375,281,656,18,17,41,327,307,630,6,7,14,350,330,680,23,19,42,284,200,485,4,9,19,317,226,546,18,18,33,230,214,441,10,5,16,248,237,487,13,15,21,286,251,533,4,8,17,301,275,575,10,7,19,300,306,607,10,8,21,317,320,642,10,9,13,332,333,667,9,11,24,350,353,701,3,19,24,286,318,596,15,8,19,300,342,639,10,11,22,301,269,570,13,7,19,323,286,603,13,8,22,261,274,538,15,13,24,293,291,578,7,12,21,270,290,564,9,9,15,285,315,601,5,8,9,262,324,586,13,11,18,271,342,620,6,10,12,774,857,1627,30,24,55,815,886,1701,167,163,334,4524,4448,8978,151,135,282,4837,4750,9588
POA2904,18,12,28,396,335,738,9,3,12,423,357,782,26,18,45,436,394,827,3,6,11,463,420,885,19,22,39,395,414,808,5,12,21,412,447,865,20,13,33,341,329,667,4,6,13,362,350,714,10,3,18,326,289,618,8,4,7,340,302,640,15,12,24,339,289,626,6,5,12,355,307,656,8,11,16,358,391,753,10,10,21,377,416,789,11,9,20,421,456,883,8,9,18,445,478,923,6,12,21,404,414,818,8,11,14,421,435,855,8,12,18,361,380,739,5,7,18,377,393,770,13,5,14,369,414,778,5,5,11,385,418,804,4,8,10,379,444,827,7,11,19,393,461,851,0,3,6,434,523,959,10,8,19,448,536,982,4,11,15,1164,1425,2595,31,39,68,1201,1477,2676,160,144,313,6128,6511,12630,120,138,253,6407,6790,13196
POA2905,60,51,112,887,832,1723,23,23,38,968,907,1875,62,51,118,881,905,1785,34,36,69,978,989,1966,69,50,118,876,848,1722,29,21,57,974,922,1894,52,42,94,862,767,1634,32,13,47,947,833,1777,34,44,77,854,747,1607,27,27,51,917,814,1732,40,38,81,893,932,1828,34,32,58,969,1002,1975,33,29,64,992,1047,2043,26,22,53,1052,1103,2150,17,27,46,995,997,1994,37,39,75,1053,1071,2119,17,25,42,857,843,1698,31,27,57,909,892,1803,19,22,40,840,913,1754,23,15,42,877,960,1833,18,22,40,848,948,1794,29,26,58,897,997,1893,22,26,52,898,1081,1985,25,25,50,947,1130,2083,5,14,24,922,992,1920,18,16,37,954,1026,1981,23,13,41,1647,1863,3505,39,66,108,1706,1943,3653,474,471,943,13260,13728,26992,403,392,796,14144,14593,28731
