POA_CODE_2021,SH_FHs_CF_no_C,SH_FHs_CF_C,SH_FHs_OnePF,SH_FHs_Oth_fam,SH_FHs_Tot,SH_Lone_P_H,SH_Group_H,SH_Tot,SDRTHT_1_S_FHs_CF_no_C,SDRTHT_1_S_FHs_CF_C,SDRTHT_1_S_FHs_OnePF,SDRTHT_1_S_FHs_Oth_fam,SDRTHT_1_S_FHs_Tot,SDRTHT_1_S_Lone_P_H,SDRTHT_1_S_Group_H,SDRTHT_1_S_Tot,SDRTHT_2more_S_FHs_CF_no_C,SDRTHT_2more_S_FHs_CF_C,SDRTHT_2more_S_FHs_OnePF,SDRTHT_2more_S_FHs_Oth_fam,SDRTHT_2more_S_FHs_Tot,SDRTHT_2more_S_Lone_P_H,SDRTHT_2more_S_Group_H,SDRTHT_2more_S_Tot,SDRTHT_Tot_FHs_CF_no_C,SDRTHT_Tot_FHs_CF_C,SDRTHT_Tot_FHs_OnePF,SDRTHT_Tot_FHs_Oth_fam,SDRTHT_Tot_FHs_Tot,SDRTHT_Tot_Lone_P_H,SDRTHT_Tot_Group_H,SDRTHT_Tot_Tot,FoA_1_or_2_SB_FHs_CF_no_C,FoA_1_or_2_SB_FHs_CF_C,FoA_1_or_2_SB_FHs_OnePF,FoA_1_or_2_SB_FHs_Oth_fam,FoA_1_or_2_SB_FHs_Tot,FoA_1_or_2_SB_Lone_P_H,FoA_1_or_2_SB_Group_H,FoA_1_or_2_SB_Tot,FoA_3SB_FHs_CF_no_C,FoA_3SB_FHs_CF_C,FoA_3SB_FHs_OnePF,FoA_3SB_FHs_Oth_fam,FoA_3SB_FHs_Tot,FoA_3SB_Lone_P_H,FoA_3SB_Group_H,FoA_3SB_Tot,FoA_4_to_8_SB_FHs_CF_no_C,FoA_4_to_8_SB_FHs_CF_C,FoA_4_to_8_SB_FHs_OnePF,FoA_4_to_8_SB_FHs_Oth_fam,FoA_4_to_8_SB_FHs_Tot,FoA_4_to_8_SB_Lone_P_H,FoA_4_to_8_SB_Group_H,FoA_4_to_8_SB_Tot,FoA_9moSB_FHs_CF_no_C,FoA_9moSB_FHs_CF_C,FoA_9moSB_FHs_OnePF,FoA_9moSB_FHs_Oth_fam,FoA_9moSB_FHs_Tot,FoA_9moSB_Lone_P_H,FoA_9moSB_Group_H,FoA_9moSB_Tot,FoA_Att_to_hous_FHs_CF_no_C,FoA_Att_to_hous_FHs_CF_C,FoA_Att_to_hous_FHs_OnePF,FoA_Att_to_hous_FHs_Oth_fam,FoA_Att_to_hous_FHs_Tot,FoA_Att_to_hous_Lone_P_H,FoA_Att_to_hous_Group_H,FoA_Att_to_hous_Tot,FoA_Tot_FHs_CF_no_C,FoA_Tot_FHs_CF_C,FoA_Tot_FHs_OnePF,FoA_Tot_FHs_Oth_fam,FoA_Tot_FHs_Tot,FoA_Tot_Lone_P_H,FoA_Tot_Group_H,FoA_Tot_Tot,OD_C_FHs_CF_no_C,OD_C_FHs_CF_C,OD_C_FHs_OnePF,OD_C_FHs_Oth_fam,OD_C_FHs_Tot,OD_C_Lone_P_H,OD_C_Group_H,OD_C_Tot,OD_CH_FHs_CF_no_C,OD_CH_FHs_CF_C,OD_CH_FHs_OnePF,OD_CH_FHs_Oth_fam,OD_CH_FHs_Tot,OD_CH_Lone_P_H,OD_CH_Group_H,OD_CH_Tot,OD_Imp_home_T_SO_FHs_CF_no_C,OD_Imp_home_T_SO_FHs_CF_C,OD_Imp_home_T_SO_FHs_OnePF,OD_Imp_home_T_SO_FHs_Oth_fam,OD_Imp_home_T_SO_FHs_Tot,OD_Imp_home_T_SO_Lone_P_H,OD_Imp_home_T_SO_Group_H,OD_Imp_home_T_SO_Tot,OD_HorF_at_to_S_O_FHs_CF_no_C,OD_HorF_at_to_S_O_FHs_CF_C,OD_HorF_at_to_S_O_FHs_OnePF,OD_HorF_at_to_S_O_FHs_Oth_fam,OD_HorF_at_to_S_O_FHs_Tot,OD_HorF_at_to_S_O_Lone_P_H,OD_HorF_at_to_S_O_Group_H,OD_HorF_at_to_S_O_Tot,OD_Tot_FHs_CF_no_C,OD_Tot_FHs_CF_C,OD_Tot_FHs_OnePF,OD_Tot_FHs_Oth_fam,OD_Tot_FHs_Tot,OD_Tot_Lone_P_H,OD_Tot_Group_H,OD_Tot_Tot,DS_NS_FHs_CF_no_C,DS_NS_FHs_CF_C,DS_NS_FHs_OnePF,DS_NS_FHs_Oth_fam,DS_NS_FHs_Tot,DS_NS_Lone_P_H,DS_NS_Group_H,DS_NS_Tot,Tot_FHs_CF_no_C,Tot_FHs_CF_C,Tot_FHs_OnePF,Tot_FHs_Oth_fam,Tot_FHs_Tot,Tot_Lone_P_H,Tot_Group_H,Tot_Tot
POA2600,535,668,126,3,1336,308,51,1693,42,20,9,0,72,75,3,151,145,65,38,0,252,166,15,431,190,89,47,0,328,239,10,579,25,10,4,0,47,56,5,108,54,15,4,3,69,72,3,149,182,50,11,0,251,294,23,561,57,13,5,0,77,68,4,148,43,7,3,0,55,75,12,145,368,103,32,3,503,561,52,1117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,7,0,0,3,1093,857,202,14,2163,1108,118,3392
POA2601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,7,6,0,68,61,27,155,6,0,0,0,6,0,0,6,91,6,0,0,97,83,24,209,481,84,50,19,638,648,137,1416,0,0,0,0,0,0,0,0,635,102,52,16,810,794,189,1788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,637,105,52,16,809,799,184,1799
POA2602,1846,2774,764,92,5476,1483,631,7590,215,168,88,11,480,494,84,1064,584,414,191,31,1224,627,210,2060,797,584,280,48,1707,1120,294,3122,257,87,68,3,415,618,84,1119,139,64,29,7,244,311,64,618,270,53,27,11,361,408,85,850,106,20,13,4,140,126,34,296,18,11,6,0,33,31,4,74,791,232,145,33,1199,1491,263,2953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4,0,11,14,0,20,3434,3594,1186,168,8389,4103,1189,13683
POA2603,572,885,146,10,1612,262,42,1917,28,16,11,0,54,56,4,113,102,66,21,4,199,119,20,340,130,85,33,4,255,175,23,452,92,38,19,4,155,141,21,312,190,59,41,13,310,310,45,662,220,80,41,0,336,359,61,762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,509,173,97,17,800,809,131,1740,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,12,1214,1145,276,38,2670,1250,195,4119
POA2604,388,634,204,17,1238,449,84,1771,71,25,17,0,114,70,3,189,103,71,34,6,204,111,19,335,170,99,46,5,315,185,19,524,125,81,50,7,261,205,34,497,213,92,57,7,376,306,87,764,695,178,105,4,983,1057,135,2180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1029,357,213,23,1619,1577,249,3451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1587,1089,461,42,3173,2208,357,5745
POA2605,907,1411,292,24,2629,597,64,3289,35,16,12,4,67,75,3,150,91,119,49,0,262,105,19,384,130,136,64,4,330,180,20,529,32,28,12,0,68,97,4,165,101,67,25,8,202,176,18,397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,12,7,0,17,131,96,42,8,279,278,19,585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,6,1173,1643,390,34,3244,1062,105,4411
POA2606,456,641,180,21,1304,361,64,1733,70,44,20,3,138,129,9,271,289,198,74,22,582,503,55,1137,360,244,93,22,717,628,67,1416,47,25,7,3,86,63,6,158,218,117,39,9,382,365,47,791,146,47,21,7,219,215,13,450,225,87,47,9,366,363,61,794,0,0,0,0,3,4,0,4,633,281,114,28,1052,1005,133,2194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,7,6,0,8,1451,1165,390,69,3079,2001,263,5347
POA2607,1160,1569,348,34,3118,697,99,3907,172,115,62,8,361,332,12,711,110,92,67,4,272,178,19,466,284,207,126,7,636,507,28,1173,13,0,3,0,13,14,4,30,31,23,9,7,65,53,7,123,103,29,6,9,146,166,14,330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,147,49,17,9,228,235,20,485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1588,1839,497,55,3977,1439,145,5570
POA2609,42,37,15,0,94,76,8,177,8,3,0,0,11,18,3,34,0,0,0,0,0,0,0,0,8,3,0,0,11,18,3,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,15,27,0,38,17,8,13,5,37,63,6,105,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,22,15,14,6,56,88,6,148,0,0,0,0,8,5,0,10,71,54,28,6,161,191,13,371
POA2611,2572,4062,960,62,7649,1479,178,9309,217,124,116,14,467,551,30,1051,311,297,161,22,788,345,92,1222,526,421,275,35,1260,894,123,2275,62,39,39,4,139,209,19,367,114,75,21,11,217,119,22,354,289,150,67,15,522,415,81,1014,11,3,0,0,11,13,4,33,13,13,9,4,42,51,3,96,488,282,132,33,934,808,123,1864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,4,4,4,6,0,0,9,4,0,15,3587,4767,1374,123,9855,3182,427,13463
POA2612,559,602,93,8,1269,270,165,1697,53,40,18,0,105,108,24,240,274,137,53,10,469,289,141,905,326,173,65,10,580,396,169,1138,170,38,9,3,230,365,81,675,392,79,53,17,539,678,228,1438,534,105,53,16,711,789,185,1688,484,117,46,20,666,672,188,1526,0,0,0,0,0,4,0,3,1584,338,163,57,2140,2509,679,5332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,10,3,15,2472,1115,320,75,3990,3185,1023,8191
POA2614,1619,2107,571,59,4353,1110,232,5689,236,146,90,13,488,565,41,1091,76,64,41,4,188,88,23,299,312,212,138,14,674,660,64,1394,93,69,45,4,211,245,27,489,24,5,0,0,28,39,7,79,48,14,9,0,78,79,9,166,0,0,0,0,0,0,0,0,8,0,0,0,7,0,0,12,167,93,58,5,326,364,43,738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,3,0,7,2100,2409,769,77,5353,2136,337,7830
POA2615,3872,5739,1772,148,11531,2674,378,14580,415,331,242,21,1015,900,74,1987,64,69,47,5,183,88,25,300,477,400,288,29,1197,989,99,2289,27,19,23,0,59,81,3,146,31,14,8,3,53,65,11,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,11,60,33,29,3,114,146,19,279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,6,0,13,4,0,15,4408,6172,2094,181,12857,3814,495,17164
