POA_CODE_2021,Preschool_M,Preschool_F,Preschool_P,Primary_Government_M,Primary_Government_F,Primary_Government_P,Primary_Catholic_M,Primary_Catholic_F,Primary_Catholic_P,Primry_Othr_non_Govt_M,Primry_Othr_non_Govt_F,Primry_Othr_non_Govt_P,Primary_Tot_Primary_M,Primary_Tot_Primary_F,Primary_Tot_Primary_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_non_Govt_M,Secondary_Other_non_Govt_F,Secondary_Other_non_Govt_P,Secondary_Tot_Secondary_M,Secondary_Tot_Secondary_F,Secondary_Tot_Secondary_P,Tert_Voc_edu_Ft_15_24_M,Tert_Voc_edu_Ft_15_24_F,Tert_Voc_edu_Ft_15_24_P,Tert_Voc_edu_Ft_25_ov_M,Tert_Voc_edu_Ft_25_ov_F,Tert_Voc_edu_Ft_25_ov_P,Tert_Voc_edu_Pt_15_24_M,Tert_Voc_edu_Pt_15_24_F,Tert_Voc_edu_Pt_15_24_P,Tert_Voc_edu_Pt_25_ov_M,Tert_Voc_edu_Pt_25_ov_F,Tert_Voc_edu_Pt_25_ov_P,Tert_Voc_edu_F_Pt_ns_M,Tert_Voc_edu_F_Pt_ns_F,Tert_Voc_edu_F_Pt_ns_P,Tert_Voc_edu_Tot_M,Tert_Voc_edu_Tot_F,Tert_Voc_edu_Tot_P,Tert_Uni_oth_h_edu_Ft_15_24_M,Tert_Uni_oth_h_edu_Ft_15_24_F,Tert_Uni_oth_h_edu_Ft_15_24_P,Tert_Uni_oth_h_edu_Ft_25_ov_M,Tert_Uni_oth_h_edu_Ft_25_ov_F,Tert_Uni_oth_h_edu_Ft_25_ov_P,Tert_Uni_oth_h_edu_Pt_15_24_M,Tert_Uni_oth_h_edu_Pt_15_24_F,Tert_Uni_oth_h_edu_Pt_15_24_P,Tert_Uni_oth_h_edu_Pt_25_ov_M,Tert_Uni_oth_h_edu_Pt_25_ov_F,Tert_Uni_oth_h_edu_Pt_25_ov_P,Tert_Uni_oth_h_edu_F_Pt_ns_M,Tert_Uni_oth_h_edu_F_Pt_ns_F,Tert_Uni_oth_h_edu_F_Pt_ns_P,Tert_Uni_other_high_edu_Tot_M,Tert_Uni_other_high_edu_Tot_F,Tert_Uni_other_high_edu_Tot_P,Tert_Tot_Tert_M,Tert_Tot_Tert_F,Tert_Tot_Tert_P,Othr_typ_educ_inst_Ft_stud_M,Othr_typ_educ_inst_Ft_stud_F,Othr_typ_educ_inst_Ft_stud_P,Othr_typ_educ_inst_Pt_stud_M,Othr_typ_educ_inst_Pt_stud_F,Othr_typ_educ_inst_Pt_stud_P,Oth_typ_ed_instit_F_Pt_ns_M,Oth_typ_ed_instit_F_Pt_ns_F,Oth_typ_ed_instit_F_Pt_ns_P,Other_type_educ_instit_Tot_M,Other_type_educ_instit_Tot_F,Other_type_educ_instit_Tot_P,Type_educanl_institution_ns_M,Type_educanl_institution_ns_F,Type_educanl_institution_ns_P,Tot_M,Tot_F,Tot_P
POA2618,10,11,24,26,24,47,26,18,43,10,16,26,60,58,120,19,22,39,26,26,56,25,16,39,69,62,136,0,0,3,0,0,0,3,7,10,9,12,22,0,0,0,16,19,31,16,11,28,3,6,12,5,9,8,3,11,15,0,0,0,27,36,59,41,60,96,0,0,0,0,0,6,0,0,0,0,0,3,37,40,71,219,238,452
POA2900,23,23,50,46,54,95,23,25,50,4,13,18,78,84,163,46,32,77,15,10,28,6,8,9,67,46,116,7,0,7,17,12,28,15,15,33,26,30,55,0,0,0,60,57,119,10,48,56,17,24,39,12,10,23,42,48,88,0,0,0,81,128,208,142,187,324,11,7,17,13,31,43,0,0,0,23,36,66,104,95,201,443,475,916
POA2902,127,135,266,438,405,844,220,198,415,61,71,127,715,673,1389,344,307,649,183,138,315,44,83,124,566,523,1085,25,10,38,23,27,54,67,28,90,87,116,201,0,0,0,200,189,383,121,154,276,37,49,88,30,39,67,96,150,255,0,0,0,289,397,685,485,585,1069,32,28,66,50,72,118,0,0,0,83,105,184,310,276,586,2292,2292,4584
POA2903,105,80,192,308,229,535,133,98,236,57,66,127,494,400,895,215,175,395,100,105,211,59,34,89,377,318,693,12,17,32,18,17,33,30,13,44,47,58,105,0,0,0,109,109,216,61,82,144,32,31,61,18,18,38,58,84,140,0,0,0,166,219,381,271,323,598,24,15,41,38,47,82,0,0,0,60,63,120,161,135,293,1472,1327,2796
POA2904,154,109,265,348,327,682,193,186,380,69,64,134,616,578,1192,195,222,421,174,166,337,54,60,120,426,455,878,28,15,45,13,11,28,64,26,92,66,77,141,0,0,0,171,130,300,102,134,234,44,43,88,21,26,48,68,122,183,0,0,0,240,324,561,408,453,863,17,17,35,36,49,87,0,0,0,54,70,121,140,175,319,1796,1847,3641
POA2905,298,296,596,836,822,1655,363,379,747,98,101,197,1299,1303,2601,639,549,1184,331,281,615,76,97,181,1046,932,1977,43,54,97,46,53,95,134,81,214,163,224,378,0,0,0,395,404,793,184,221,412,51,88,144,42,63,104,133,277,408,0,0,0,417,651,1066,813,1058,1866,53,48,95,88,116,202,0,0,0,143,164,302,439,419,859,4037,4172,8207
POA2906,175,193,359,554,454,1008,282,276,556,55,63,115,889,787,1681,374,380,752,197,209,409,42,65,108,615,655,1271,26,33,64,15,25,43,130,66,194,116,138,253,3,0,0,292,268,560,131,165,292,28,58,85,24,34,55,82,179,256,0,0,3,262,434,694,556,695,1252,30,30,62,61,93,148,0,0,0,88,122,207,262,275,533,2588,2727,5310
POA2911,74,95,173,136,130,263,75,63,137,62,64,128,273,258,530,69,51,124,44,47,89,20,43,63,139,138,276,3,3,7,11,16,33,10,15,19,24,35,57,0,0,0,48,67,116,53,62,114,38,44,81,9,6,15,61,58,112,4,0,4,156,172,327,205,237,442,21,16,33,19,32,50,0,0,0,37,50,87,63,59,124,795,836,1628
POA2912,80,69,145,159,170,323,71,55,118,52,42,93,273,264,544,136,142,283,49,48,102,41,40,81,230,235,464,22,26,47,43,55,94,27,29,52,70,79,146,0,0,0,160,182,343,121,145,270,100,143,244,26,29,51,101,112,217,4,0,4,352,429,787,513,616,1127,49,51,98,54,66,128,0,0,0,105,118,222,167,158,322,1369,1455,2823
POA2913,504,472,976,1279,1154,2438,500,436,941,239,213,452,2022,1814,3836,694,651,1343,357,369,722,202,192,394,1253,1216,2470,68,55,125,110,134,242,148,97,248,266,364,632,0,0,4,593,658,1250,438,530,970,250,289,536,88,110,198,343,493,836,5,3,8,1128,1420,2548,1720,2080,3805,112,90,207,159,215,373,0,0,3,275,305,581,645,593,1240,6424,6483,12904
POA2914,514,454,969,1332,1276,2609,589,604,1193,310,295,600,2238,2176,4415,842,797,1633,327,306,635,221,221,442,1388,1326,2713,74,60,140,108,91,201,122,82,206,210,307,513,0,0,0,510,540,1056,376,457,836,190,220,410,51,100,161,322,422,735,0,0,0,942,1204,2146,1456,1745,3210,101,90,189,154,173,328,3,0,3,261,258,517,598,579,1177,6456,6542,12993
