POA_CODE_2021,FOL_IAL_Oth_NS,FOL_IAL_Oth_Tot,FOL_IAL_Tot_SEO,FOL_IAL_Tot_UOLSE_VWorW,FOL_IAL_Tot_UOLSE_NWorNAA,FOL_IAL_Tot_UOLSE_Tot,FOL_IAL_Tot_NS,FOL_IAL_Tot_Tot,FOL_Italian_SEO,FOL_Italian_UOLSE_VWorW,FOL_Italian_UOLSE_NWorNAA,FOL_Italian_UOLSE_Tot,FOL_Italian_NS,FOL_Italian_Tot,FOL_Japan_SEO,FOL_Japan_UOLSE_VWorW,FOL_Japan_UOLSE_NWorNAA,FOL_Japan_UOLSE_Tot,FOL_Japan_NS,FOL_Japan_Tot,FOL_Khmer_SEO,FOL_Khmer_UOLSE_VWorW,FOL_Khmer_UOLSE_NWorNAA,FOL_Khmer_UOLSE_Tot,FOL_Khmer_NS,FOL_Khmer_Tot,FOL_Korean_SEO,FOL_Korean_UOLSE_VWorW,FOL_Korean_UOLSE_NWorNAA,FOL_Korean_UOLSE_Tot,FOL_Korean_NS,FOL_Korean_Tot,FOL_Macedon_SEO,FOL_Macedon_UOLSE_VWorW,FOL_Macedon_UOLSE_NWorNAA,FOL_Macedon_UOLSE_Tot,FOL_Macedon_NS,FOL_Macedon_Tot,FOL_Malayalam_SEO,FOL_Malayalam_UOLSE_VWorW,FOL_Malayalam_UOLSE_NWorNAA,FOL_Malayalam_UOLSE_Tot,FOL_Malayalam_NS,FOL_Malayalam_Tot,FOL_Persian_ED_SEO,FOL_Persian_ED_UOLSE_VWorW,FOL_Persian_ED_UOLSE_NWorNAA,FOL_Persian_ED_UOLSE_Tot,FOL_Persian_ED_NS,FOL_Persian_ED_Tot,FOL_Polish_SEO,FOL_Polish_UOLSE_VWorW,FOL_Polish_UOLSE_NWorNAA,FOL_Polish_UOLSE_Tot,FOL_Polish_NS,FOL_Polish_Tot,FOL_Portuguese_SEO,FOL_Portuguese_UOLSE_VWorW,FOL_Portuguese_UOLSE_NWorNAA,FOL_Portuguese_UOLSE_Tot,FOL_Portuguese_NS,FOL_Portuguese_Tot,FOL_Russian_SEO,FOL_Russian_UOLSE_VWorW,FOL_Russian_UOLSE_NWorNAA,FOL_Russian_UOLSE_Tot,FOL_Russian_NS,FOL_Russian_Tot,FOL_Samoan_SEO,FOL_Samoan_UOLSE_VWorW,FOL_Samoan_UOLSE_NWorNAA,FOL_Samoan_UOLSE_Tot,FOL_Samoan_NS,FOL_Samoan_Tot,FOL_Serbian_SEO,FOL_Serbian_UOLSE_VWorW,FOL_Serbian_UOLSE_NWorNAA,FOL_Serbian_UOLSE_Tot,FOL_Serbian_NS,FOL_Serbian_Tot,FOL_SAL_Filipin_SEO,FOL_SAL_Filipin_UOLSE_VWorW,FOL_SAL_Filipin_UOLSE_NWorNAA,FOL_SAL_Filipin_UOLSE_Tot,FOL_SAL_Filipin_NS,FOL_SAL_Filipin_Tot,FOL_SAL_Indon_SEO,FOL_SAL_Indon_UOLSE_VWorW,FOL_SAL_Indon_UOLSE_NWorNAA,FOL_SAL_Indon_UOLSE_Tot,FOL_SAL_Indon_NS,FOL_SAL_Indon_Tot,FOL_SAL_Tagalog_SEO,FOL_SAL_Tagalog_UOLSE_VWorW,FOL_SAL_Tagalog_UOLSE_NWorNAA,FOL_SAL_Tagalog_UOLSE_Tot,FOL_SAL_Tagalog_NS,FOL_SAL_Tagalog_Tot,FOL_SAL_Oth_SEO,FOL_SAL_Oth_UOLSE_VWorW,FOL_SAL_Oth_UOLSE_NWorNAA,FOL_SAL_Oth_UOLSE_Tot,FOL_SAL_Oth_NS,FOL_SAL_Oth_Tot,FOL_SAL_Tot_SEO,FOL_SAL_Tot_UOLSE_VWorW,FOL_SAL_Tot_UOLSE_NWorNAA,FOL_SAL_Tot_UOLSE_Tot,FOL_SAL_Tot_NS,FOL_SAL_Tot_Tot,FOL_Spanish_SEO,FOL_Spanish_UOLSE_VWorW,FOL_Spanish_UOLSE_NWorNAA,FOL_Spanish_UOLSE_Tot,FOL_Spanish_NS,FOL_Spanish_Tot,FOL_Tamil_SEO,FOL_Tamil_UOLSE_VWorW,FOL_Tamil_UOLSE_NWorNAA,FOL_Tamil_UOLSE_Tot,FOL_Tamil_NS,FOL_Tamil_Tot,FOL_Thai_SEO,FOL_Thai_UOLSE_VWorW,FOL_Thai_UOLSE_NWorNAA,FOL_Thai_UOLSE_Tot,FOL_Thai_NS,FOL_Thai_Tot,FOL_Turkish_SEO,FOL_Turkish_UOLSE_VWorW,FOL_Turkish_UOLSE_NWorNAA,FOL_Turkish_UOLSE_Tot,FOL_Turkish_NS,FOL_Turkish_Tot,FOL_Vietnamese_SEO,FOL_Vietnamese_UOLSE_VWorW,FOL_Vietnamese_UOLSE_NWorNAA,FOL_Vietnamese_UOLSE_Tot,FOL_Vietnamese_NS,FOL_Vietnamese_Tot,FOL_Oth_SEO,FOL_Oth_UOLSE_VWorW,FOL_Oth_UOLSE_NWorNAA,FOL_Oth_UOLSE_Tot,FOL_Oth_NS,FOL_Oth_Tot,FOL_Tot_SEO,FOL_Tot_UOLSE_VWorW,FOL_Tot_UOLSE_NWorNAA,FOL_Tot_UOLSE_Tot,FOL_Tot_NS,FOL_Tot_Tot,F_LUatH_NS_SEO,F_LUatH_NS_UOLSE_VWorW,F_LUatH_NS_UOLSE_NWorNAA,F_LUatH_NS_UOLSE_Tot,F_LUatH_NS_NS,F_LUatH_NS_Tot,F_Tot_SEO,F_Tot_UOLSE_VWorW,F_Tot_UOLSE_NWorNAA,F_Tot_UOLSE_Tot,F_Tot_NS,F_Tot_Tot,PSEO_SEO,PSEO_UOLSE_VWorW,PSEO_UOLSE_NWorNAA,PSEO_UOLSE_Tot,PSEO_NS,PSEO_Tot,POL_Afrikaans_SEO,POL_Afrikaans_UOLSE_VWorW,POL_Afrikaans_UOLSE_NWorNAA,POL_Afrikaans_UOLSE_Tot,POL_Afrikaans_NS,POL_Afrikaans_Tot,POL_Arabic_SEO,POL_Arabic_UOLSE_VWorW,POL_Arabic_UOLSE_NWorNAA,POL_Arabic_UOLSE_Tot,POL_Arabic_NS,POL_Arabic_Tot,POL_AIndLng_SEO,POL_AIndLng_UOLSE_VWorW,POL_AIndLng_UOLSE_NWorNAA,POL_AIndLng_UOLSE_Tot,POL_AIndLng_NS,POL_AIndLng_Tot,POL_CL_Canton_SEO,POL_CL_Canton_UOLSE_VWorW,POL_CL_Canton_UOLSE_NWorNAA,POL_CL_Canton_UOLSE_Tot,POL_CL_Canton_NS,POL_CL_Canton_Tot,POL_CL_Mandarin_SEO,POL_CL_Mandarin_UOLSE_VWorW,POL_CL_Mandarin_UOLSE_NWorNAA,POL_CL_Mandarin_UOLSE_Tot,POL_CL_Mandarin_NS,POL_CL_Mandarin_Tot
POA2600,0,6,..,107,8,121,0,121,..,45,0,44,0,44,..,10,0,10,0,10,..,0,0,0,0,0,..,12,3,19,0,19,..,6,0,6,0,6,..,9,0,9,0,9,..,19,0,19,0,19,..,12,0,15,0,15,..,16,0,15,0,15,..,11,0,19,0,19,..,0,0,0,0,0,..,6,0,11,0,11,..,3,0,3,0,3,..,13,0,16,0,16,..,8,0,12,0,12,..,3,0,3,0,3,..,32,6,34,0,34,..,36,0,41,0,41,..,17,0,17,0,17,..,10,0,12,0,12,..,9,0,6,0,6,..,28,0,28,0,28,..,76,5,74,0,76,..,730,53,784,9,792,..,16,0,16,245,260,3294,747,53,798,249,4348,6340,..,..,..,..,6340,..,14,0,14,0,14,..,25,3,33,0,33,..,8,0,8,0,8,..,41,6,41,0,44,..,156,28,182,0,187
POA2601,0,14,..,153,0,156,0,156,..,11,0,14,0,14,..,10,0,12,0,12,..,0,0,0,0,0,..,55,3,55,0,57,..,0,0,0,0,0,..,17,0,17,0,17,..,7,0,7,0,7,..,5,0,5,0,5,..,9,0,9,0,9,..,9,0,9,0,9,..,3,0,3,0,3,..,0,0,0,0,0,..,11,0,11,0,11,..,25,0,24,0,24,..,11,0,11,0,11,..,0,0,0,0,0,..,48,0,46,0,46,..,27,3,23,0,28,..,16,0,16,0,16,..,23,7,25,0,25,..,0,0,0,0,0,..,22,0,25,0,29,..,73,0,76,0,78,..,1213,52,1265,3,1266,..,5,0,6,556,566,2158,1217,52,1273,559,3992,4238,..,..,..,..,4238,..,9,0,9,0,9,..,41,4,39,0,39,..,0,0,0,0,0,..,157,5,165,0,165,..,968,63,1025,0,1029
POA2602,0,14,..,380,21,399,4,403,..,128,18,146,0,146,..,59,3,63,0,63,..,13,0,16,0,16,..,76,17,94,0,96,..,18,3,23,0,23,..,15,0,15,0,15,..,32,0,34,0,37,..,31,4,27,0,27,..,18,0,18,0,18,..,36,7,40,0,40,..,11,0,11,0,14,..,40,10,56,0,56,..,37,0,37,0,37,..,70,3,73,0,73,..,28,0,30,0,30,..,33,0,32,0,32,..,170,7,173,0,171,..,130,16,147,0,146,..,41,4,41,0,41,..,42,0,44,0,44,..,12,0,9,0,9,..,202,67,267,0,271,..,646,70,719,9,731,..,3150,399,3546,42,3591,..,85,12,97,568,660,13607,3228,410,3641,608,17855,26396,..,..,..,..,26396,..,38,0,38,0,38,..,99,19,123,0,122,..,36,0,36,0,36,..,206,37,246,4,249,..,733,166,902,16,915
POA2603,0,6,..,184,6,192,0,190,..,70,10,79,0,79,..,21,0,26,0,26,..,4,0,4,0,4,..,18,0,22,0,21,..,17,0,17,0,17,..,7,0,7,0,7,..,15,0,16,0,16,..,14,0,14,0,14,..,8,0,10,0,10,..,9,0,13,0,13,..,0,0,0,0,0,..,8,0,8,0,8,..,9,0,9,0,9,..,22,0,24,0,24,..,7,0,7,0,7,..,3,0,3,0,3,..,40,0,44,0,44,..,43,0,45,0,45,..,23,0,23,0,23,..,4,0,9,0,9,..,6,0,11,0,11,..,39,0,39,0,39,..,97,12,109,0,115,..,1071,73,1143,7,1151,..,18,0,21,162,177,3898,1090,78,1168,163,5235,7817,..,..,..,..,7817,..,9,0,9,0,9,..,34,3,39,0,39,..,0,0,0,0,0,..,91,12,101,0,101,..,230,43,265,0,265
POA2604,0,9,..,194,8,204,0,205,..,46,7,58,0,58,..,31,0,31,0,31,..,3,0,4,0,4,..,36,5,37,0,38,..,16,0,16,0,16,..,5,0,5,0,5,..,14,0,14,0,14,..,25,0,30,0,30,..,18,4,18,0,18,..,25,0,27,0,25,..,9,0,10,0,10,..,10,0,14,0,14,..,33,0,33,0,33,..,20,0,22,0,22,..,16,0,16,0,16,..,5,4,11,0,11,..,76,0,78,0,82,..,64,8,70,0,70,..,18,0,20,0,20,..,20,3,25,0,25,..,12,0,12,0,12,..,28,9,33,0,33,..,164,10,177,9,186,..,1256,100,1351,19,1369,..,27,0,26,510,534,4855,1278,99,1382,528,6757,9373,..,..,..,..,9373,..,15,0,15,0,13,..,99,16,112,0,112,..,11,0,11,0,11,..,88,7,91,0,91,..,236,17,255,3,258
POA2605,0,19,..,241,16,253,3,256,..,44,11,52,0,52,..,22,4,31,0,30,..,5,0,3,0,3,..,16,5,18,0,18,..,9,0,11,0,11,..,54,3,59,0,59,..,9,0,7,0,7,..,16,0,21,0,21,..,10,0,10,0,10,..,14,0,14,0,17,..,0,0,0,0,0,..,16,0,17,0,17,..,11,0,11,0,11,..,19,0,19,0,19,..,32,0,38,0,38,..,16,0,13,0,13,..,81,0,82,0,82,..,46,0,46,0,46,..,35,7,39,3,47,..,6,0,9,0,9,..,0,0,0,0,0,..,21,0,23,0,27,..,206,19,220,0,220,..,1170,101,1275,13,1293,..,28,7,30,197,225,4984,1202,110,1309,205,6502,9623,..,..,..,..,9623,..,13,0,11,0,11,..,38,8,42,0,47,..,4,0,4,0,4,..,69,11,83,0,79,..,195,42,231,0,231
POA2606,0,9,..,563,27,593,7,602,..,48,8,53,3,52,..,21,0,17,0,17,..,0,5,4,0,4,..,37,12,54,0,50,..,13,8,18,0,18,..,119,19,136,7,143,..,17,5,15,0,15,..,17,0,17,0,17,..,17,0,17,0,19,..,8,4,14,0,14,..,0,0,0,0,0,..,17,3,22,0,20,..,77,0,77,0,76,..,18,0,17,0,17,..,99,0,98,0,98,..,21,0,21,0,21,..,216,4,216,0,216,..,48,5,51,0,51,..,55,3,62,0,62,..,15,9,24,0,26,..,5,0,5,0,5,..,37,8,39,0,39,..,272,25,301,5,304,..,1976,183,2157,28,2186,..,50,5,53,194,251,3763,2030,184,2218,224,6198,7445,..,..,..,..,7445,..,8,0,8,0,8,..,114,7,113,0,118,..,8,0,8,0,8,..,131,19,149,0,149,..,271,63,326,0,330
POA2607,0,20,..,368,20,385,5,390,..,81,7,91,0,91,..,14,0,14,0,14,..,4,0,4,0,4,..,25,5,27,0,27,..,12,0,16,0,16,..,63,3,66,0,66,..,12,3,16,0,16,..,20,0,19,0,19,..,17,0,20,0,20,..,11,4,13,0,13,..,0,0,0,0,0,..,19,0,18,0,18,..,35,0,36,0,36,..,11,0,19,0,19,..,38,0,38,0,38,..,19,0,21,0,21,..,107,4,111,0,111,..,50,0,50,0,50,..,64,9,76,0,76,..,27,6,30,0,30,..,9,0,11,0,11,..,25,5,32,0,32,..,222,33,260,6,260,..,1610,159,1765,9,1780,..,31,3,34,229,262,5424,1638,166,1800,239,7459,10798,..,..,..,..,10798,..,12,0,12,4,18,..,83,12,92,0,92,..,18,0,18,0,18,..,109,20,129,0,129,..,286,36,319,4,325
POA2609,0,0,..,9,0,9,0,9,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,4,0,4,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,6,0,4,..,0,0,0,0,0,..,4,0,4,0,4,..,0,0,0,0,0,..,8,0,10,0,14,..,0,0,0,0,0,..,0,0,0,0,0,..,7,0,7,0,7,..,0,0,0,0,0,..,0,0,3,0,3,..,17,0,17,0,18,..,60,7,65,0,67,..,0,0,0,113,113,283,60,7,65,113,467,703,..,..,..,..,703,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,9,3,12,0,12
POA2611,0,44,..,986,66,1056,14,1068,..,123,13,132,3,137,..,41,11,52,0,52,..,12,0,12,0,12,..,78,18,96,3,96,..,23,0,19,0,19,..,229,13,242,6,245,..,55,4,66,0,66,..,45,3,45,0,45,..,31,0,35,0,35,..,37,5,40,0,40,..,16,0,16,0,21,..,54,6,59,0,59,..,102,0,103,5,107,..,39,0,48,0,48,..,112,0,115,0,115,..,34,4,38,0,38,..,294,4,298,5,298,..,124,23,150,0,150,..,96,3,98,0,101,..,62,9,77,0,77,..,19,3,20,0,21,..,89,17,105,0,105,..,587,54,645,25,670,..,4081,407,4490,59,4550,..,66,7,72,591,665,13519,4152,416,4565,650,18734,26460,..,..,..,..,26460,..,36,0,36,0,39,..,277,40,315,0,321,..,14,0,14,0,14,..,273,30,309,3,313,..,654,119,773,8,786
